Real Sto Return,Reward Loss,Running Env Steps,Real Det Return,Itration,Running Reverse KL,Running Update Time,Running Forward KL
298.06,298.6016540527344,0,305.94,0,21.067,0,30.0429
288.83,327.5767822265625,5000,290.39,1,19.0317,1,31.0623
338.37,245.99053955078125,10000,349.27,2,18.4886,2,29.2973
387.85,324.6799621582031,15000,405.54,3,22.2301,3,28.031
300.0,128.9744415283203,20000,323.63,4,28.2311,4,30.558
346.08,335.9737854003906,25000,358.31,5,37.0044,5,28.689
250.91,285.34259033203125,30000,240.7,6,16.7704,6,30.7434
108.75,-88.60972595214844,35000,101.46,7,68.2195,7,33.1511
502.81,98.39874267578125,40000,539.64,8,93.5274,8,30.472
265.63,187.57489013671875,45000,264.7,9,41.0297,9,30.4015
1043.89,-56.57105255126953,50000,1043.85,10,41.0177,10,33.9216
43.41,-316.8824157714844,55000,43.41,11,159.1287,11,33.5993
858.83,-138.32644653320312,60000,763.2,12,64.5702,12,32.536
999.35,-284.7344970703125,65000,1000.57,13,38.806,13,40.9413
971.13,-234.9706573486328,70000,1006.85,14,37.1446,14,32.2004
183.52,-146.314453125,75000,182.68,15,21.8049,15,33.6434
985.94,-436.9995422363281,80000,985.82,16,62.567,16,38.7218
746.83,-519.71240234375,85000,799.3,17,26.7212,17,35.3024
613.02,-220.68260192871094,90000,617.21,18,44.8182,18,33.4399
1038.69,-558.1884155273438,95000,1038.37,19,43.3522,19,36.5746
1035.16,-601.4779663085938,100000,1037.2,20,34.1066,20,35.025
1035.64,-642.4097290039062,105000,1036.59,21,30.2546,21,35.3419
1039.94,-681.4195556640625,110000,1013.74,22,30.2516,22,37.2207
372.3,-463.0547180175781,115000,372.9,23,47.3177,23,32.5435
290.15,-334.8292541503906,120000,291.19,24,53.5987,24,32.0782
387.38,-255.77374267578125,125000,379.69,25,16.2204,25,29.3709
440.05,-629.5997314453125,130000,478.64,26,24.3416,26,28.4198
511.54,-787.250732421875,135000,470.35,27,35.5891,27,29.8477
592.72,-773.17041015625,140000,476.41,28,20.332,28,31.4426
1002.25,-1060.621337890625,145000,995.47,29,23.9589,29,34.5164
1034.78,-1110.9666748046875,150000,1034.25,30,36.8369,30,36.3795
212.11,-1062.230224609375,155000,167.77,31,89.4759,31,33.5662
1010.22,-1212.469970703125,160000,1010.54,32,48.5907,32,37.5518
1012.81,-1202.4830322265625,165000,1011.21,33,27.0028,33,38.4783
915.76,-1312.238525390625,170000,843.18,34,37.6073,34,40.3428
982.48,-1372.986328125,175000,982.84,35,46.6757,35,38.4385
995.38,-1403.146728515625,180000,1002.3,36,29.6154,36,34.6879
74.33,-1115.3994140625,185000,74.02,37,61.6265,37,31.9685
440.63,-1348.00732421875,190000,893.3,38,23.8376,38,32.6796
138.56,-1235.2891845703125,195000,139.44,39,23.4385,39,32.4301
43.18,-1640.594482421875,200000,43.28,40,37.4363,40,36.6762
85.78,-1699.681396484375,205000,36.15,41,40.337,41,35.9417
1023.57,-1727.4222412109375,210000,1025.51,42,36.4726,42,39.3071
1012.81,-1785.5565185546875,215000,1013.16,43,41.6034,43,38.7455
980.38,-1783.1605224609375,220000,980.52,44,47.1394,44,37.0525
179.82,-1566.2012939453125,225000,179.15,45,32.2737,45,32.5474
342.22,-280.8748474121094,230000,341.31,46,19.3375,46,29.3188
1089.01,-1913.4185791015625,235000,1027.57,47,27.1087,47,34.6285
1028.73,-2024.53857421875,240000,1057.56,48,35.6881,48,34.8689
1021.9,-2137.783935546875,245000,1013.14,49,46.7,49,40.6997
1006.04,-2176.565673828125,250000,1006.33,50,52.6613,50,39.7382
1029.77,-2204.11865234375,255000,1029.96,51,41.6507,51,39.3282
1033.34,-2241.2216796875,260000,1034.49,52,36.355,52,37.5066
1030.12,-2303.729736328125,265000,1030.56,53,39.9228,53,37.9587
1031.97,-2359.61962890625,270000,1032.25,54,34.3882,54,37.9985
397.2,-1917.596435546875,275000,405.32,55,70.4963,55,32.7236
864.78,-2382.414794921875,280000,688.21,56,28.6719,56,34.5943
351.09,-2507.301025390625,285000,424.77,57,31.1783,57,38.395
