Real Sto Return,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time
-49.32,0,0,-38.00509262084961,312.18,25.1309,73.6816,0
-51.01,1,5000,-52.49382400512695,311.04,25.2122,73.5558,1
-3.57,2,10000,-64.95842742919922,410.32,26.7567,73.3724,2
4.76,3,15000,-84.33145904541016,618.3,28.2416,71.0114,3
41.11,4,20000,-100.24866485595703,430.02,29.8886,72.1696,4
48.73,5,25000,-113.67229461669922,519.74,30.1715,70.6183,5
94.57,6,30000,-121.41004943847656,568.04,29.5232,69.931,6
44.62,7,35000,-137.9561309814453,671.74,31.9327,70.4107,7
156.91,8,40000,-147.97222900390625,748.22,31.3379,68.0991,8
206.99,9,45000,-166.22438049316406,922.61,32.2167,70.0173,9
176.03,10,50000,-175.92628479003906,995.15,30.8805,66.1928,10
230.83,11,55000,-188.4644317626953,926.67,30.547,66.9969,11
222.77,12,60000,-207.42604064941406,1096.02,30.7211,68.0888,12
238.28,13,65000,-216.59503173828125,805.47,30.8538,68.2655,13
175.12,14,70000,-226.824462890625,802.37,32.1715,70.4127,14
268.28,15,75000,-242.81588745117188,1133.78,30.5522,65.4314,15
169.55,16,80000,-252.99375915527344,636.78,30.6993,68.4777,16
220.67,17,85000,-267.58941650390625,580.84,31.3593,68.8279,17
286.46,18,90000,-276.506103515625,947.99,29.8322,65.9123,18
240.43,19,95000,-298.262451171875,832.17,30.5568,67.598,19
209.66,20,100000,-312.938232421875,790.1,30.3471,68.1726,20
298.68,21,105000,-319.706787109375,974.25,30.6383,67.2346,21
323.37,22,110000,-336.6649169921875,994.15,30.5383,66.6572,22
356.78,23,115000,-337.50836181640625,1108.94,28.6814,63.6137,23
578.47,24,120000,-354.6972351074219,1030.27,29.1355,65.2176,24
217.37,25,125000,-372.8412780761719,1040.69,29.337,66.3804,25
358.32,26,130000,-382.7737121582031,1086.43,29.4835,65.3607,26
505.34,27,135000,-387.9857482910156,1157.25,28.4515,63.0766,27
466.37,28,140000,-410.55859375,1060.56,29.0955,65.5815,28
534.8,29,145000,-398.6338195800781,1110.01,27.4179,61.4175,29
673.28,30,150000,-407.1938171386719,1554.59,27.6698,61.8497,30
379.69,31,155000,-414.5390625,1085.59,26.473,61.0551,31
593.83,32,160000,-447.0067443847656,1211.19,27.8636,62.6171,32
547.71,33,165000,-461.8854064941406,1231.13,28.5443,63.5455,33
