Running Reverse KL,Itration,Reward Loss,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Running Update Time
25.7367,0,407.7174377441406,75.4102,272.0,0,-54.53,0
26.1469,1,329.0789794921875,75.4523,257.98,5000,-48.94,1
26.6864,2,272.07464599609375,73.7188,477.51,10000,-7.93,2
26.5538,3,200.19937133789062,73.0682,397.9,15000,-6.57,3
27.2766,4,116.16532135009766,72.7183,531.48,20000,-6.34,4
27.4417,5,29.53717041015625,73.1582,633.42,25000,62.78,5
29.0079,6,-54.04264831542969,72.4225,633.85,30000,87.06,6
29.4642,7,-135.34469604492188,70.5166,833.19,35000,110.26,7
30.3728,8,-206.28411865234375,71.7064,811.16,40000,133.11,8
30.0592,9,-273.6603088378906,71.2188,786.37,45000,141.53,9
30.1117,10,-333.4296875,69.5231,697.56,50000,156.87,10
29.9554,11,-387.7202453613281,71.111,651.68,55000,137.8,11
28.9205,12,-455.0951843261719,67.6382,809.02,60000,180.59,12
30.4352,13,-523.8328857421875,69.02,736.74,65000,161.37,13
29.3827,14,-597.18701171875,64.4801,1039.57,70000,381.93,14
29.6426,15,-681.1364135742188,69.6972,753.84,75000,172.09,15
29.0981,16,-721.271240234375,67.417,943.67,80000,270.41,16
30.0976,17,-815.3463134765625,66.1479,1059.56,85000,552.45,17
29.1547,18,-874.7352294921875,67.0852,820.98,90000,242.46,18
29.5513,19,-940.5769653320312,66.181,1076.86,95000,540.61,19
28.913,20,-1015.6620483398438,65.8765,1443.2,100000,361.65,20
28.3195,21,-1071.3106689453125,64.1249,877.41,105000,385.09,21
28.7249,22,-1145.3013916015625,66.5064,1280.93,110000,288.74,22
27.9416,23,-1198.3702392578125,65.2681,1197.24,115000,516.03,23
27.3963,24,-1216.0406494140625,62.6009,1511.28,120000,377.92,24
29.1423,25,-1363.7093505859375,67.025,1369.65,125000,481.15,25
26.6383,26,-1368.4847412109375,62.4501,1373.08,130000,411.12,26
27.9912,27,-1477.92724609375,64.4848,1591.27,135000,669.34,27
26.0672,28,-1424.740478515625,59.9448,1488.68,140000,627.43,28
26.9568,29,-1585.373779296875,62.2658,1058.47,145000,546.49,29
25.1565,30,-1530.183837890625,59.1521,2038.88,150000,584.22,30
26.0534,31,-1676.1361083984375,61.5527,1293.41,155000,934.27,31
24.3231,32,-1565.1114501953125,57.0741,1494.17,160000,916.33,32
23.3502,33,-1562.5855712890625,56.981,1654.07,165000,948.9,33
