Running Env Steps,Running Forward KL,Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Running Update Time,Itration
0,32.4257,19.4992,152.2963409423828,215.5,213.22,0,0
5000,30.659,38.5853,-51.37551498413086,293.19,277.3,1,1
10000,30.4957,33.2156,93.9966812133789,251.68,251.39,2,2
15000,30.4019,37.0212,93.0667724609375,298.17,298.42,3,3
20000,31.0351,27.9561,83.57997131347656,331.37,346.52,4,4
25000,28.9222,27.3813,-190.73960876464844,328.92,328.34,5,5
30000,31.0772,20.0152,-51.88130569458008,299.09,296.84,6,6
35000,29.8826,18.3882,-252.27003479003906,149.72,182.0,7,7
40000,31.1765,34.6251,-138.92623901367188,244.99,243.36,8,8
45000,28.9621,24.15,-272.41259765625,1030.36,865.25,9,9
50000,35.516,24.4062,-311.2624206542969,1041.91,1041.61,10,10
55000,37.8049,25.5306,-499.14276123046875,1012.14,1012.1,11,11
60000,30.554,25.8058,-34.70200729370117,276.79,272.24,12,12
65000,29.0079,43.2361,-428.8495178222656,556.65,416.05,13,13
70000,30.7359,27.481,-465.13726806640625,1043.16,792.17,14,14
75000,33.2209,27.6006,-594.72216796875,311.88,379.86,15,15
80000,32.7088,20.6823,-521.5986938476562,1060.52,960.89,16,16
85000,32.3238,30.205,-674.3878784179688,290.33,398.07,17,17
90000,28.9202,22.1241,-638.5009765625,429.17,426.14,18,18
95000,37.6231,26.8408,-762.2476806640625,1027.77,1029.1,19,19
100000,34.4793,21.7265,-846.522705078125,1022.31,1023.74,20,20
105000,30.0003,43.2936,-640.9722900390625,346.77,330.43,21,21
110000,31.7132,22.5513,-737.6943969726562,142.14,248.33,22,22
115000,29.5373,15.6185,-660.330810546875,356.04,361.68,23,23
120000,30.6007,54.9438,-875.427490234375,265.22,160.44,24,24
125000,29.054,40.5897,-496.82147216796875,363.51,349.21,25,25
130000,28.6164,80.0367,-573.8824462890625,437.49,322.57,26,26
135000,31.6192,54.8514,-872.5972900390625,293.57,307.44,27,27
140000,38.5557,25.4705,-1233.7825927734375,1028.57,1006.87,28,28
145000,31.0687,18.6537,-726.07861328125,253.36,254.67,29,29
150000,29.7381,65.8472,-860.5960083007812,339.56,336.8,30,30
155000,29.5806,49.1339,-767.9612426757812,377.98,375.87,31,31
160000,27.3487,20.8271,-638.1563110351562,519.76,462.17,32,32
165000,29.5965,130.4723,-722.8151245117188,428.48,401.68,33,33
170000,35.5682,26.4994,-1320.3642578125,1001.2,962.87,34,34
175000,38.115,48.4062,-1580.9112548828125,980.69,961.43,35,35
180000,36.0147,33.4088,-1571.82275390625,986.71,990.64,36,36
185000,36.7642,29.3205,-1595.6990966796875,990.28,988.04,37,37
190000,35.9097,22.6114,-1553.68212890625,1023.83,1015.81,38,38
195000,30.0722,19.1568,-1242.8477783203125,235.27,609.35,39,39
200000,29.3412,28.8267,-1290.302001953125,290.65,323.97,40,40
205000,30.6676,23.1214,-901.8798217773438,384.29,379.58,41,41
210000,33.9921,46.382,-1312.802001953125,346.85,344.09,42,42
215000,36.9955,27.2707,-1798.99462890625,1022.09,1021.1,43,43
220000,38.6128,23.28,-1907.059326171875,977.52,986.69,44,44
225000,37.3695,23.2443,-1920.6773681640625,1003.73,1010.12,45,45
230000,28.6756,39.2573,-1288.408203125,744.9,640.52,46,46
235000,29.3961,32.6769,-1378.535400390625,317.08,422.6,47,47
240000,27.447,40.7008,-1273.649169921875,772.23,775.48,48,48
245000,26.9686,28.7295,-1365.4215087890625,588.36,627.8,49,49
250000,28.1336,26.8314,-1367.553955078125,878.35,769.62,50,50
255000,28.2431,34.5421,-1387.4498291015625,877.87,946.89,51,51
260000,24.7967,17.0004,-844.7836303710938,2953.08,1688.53,52,52
265000,28.2381,25.7286,-1519.3179931640625,1130.95,915.32,53,53
270000,25.8627,19.1942,-1098.615234375,561.21,919.17,54,54
275000,25.1954,20.0432,-1448.9769287109375,940.67,1262.72,55,55
280000,25.6221,22.0533,-1382.0322265625,1004.06,1051.77,56,56
285000,26.7713,15.1492,-1061.2738037109375,2673.32,1966.83,57,57
290000,25.6219,17.1046,-911.0813598632812,2634.39,2273.82,58,58
295000,24.9761,14.5687,-624.500732421875,2826.09,2783.13,59,59
300000,23.7431,18.8193,-931.649169921875,2894.87,1688.85,60,60
305000,25.9694,32.1561,-1793.6552734375,698.96,687.34,61,61
310000,27.4382,33.6437,-1906.6339111328125,704.85,644.76,62,62
