Running Env Steps,Itration,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
0,0,341.8533630371094,0,33.3498,26.0047,215.68,205.24
5000,1,312.7270202636719,1,32.1738,26.3226,238.2,234.84
10000,2,149.54371643066406,2,32.2422,22.3831,273.85,280.2
15000,3,-22.489276885986328,3,30.8616,15.2182,290.84,297.02
20000,4,-59.839874267578125,4,32.5159,20.2117,315.59,317.48
25000,5,-94.97225952148438,5,32.2449,24.0748,301.2,308.2
30000,6,-163.43836975097656,6,31.7627,17.1464,320.7,324.35
35000,7,-128.231689453125,7,31.8887,30.9604,316.37,322.11
40000,8,-170.2788543701172,8,31.634,30.7062,323.68,324.41
45000,9,-265.0078125,9,31.3941,18.8096,322.28,319.44
50000,10,-391.4631042480469,10,31.0627,16.056,311.35,312.01
55000,11,-424.0962829589844,11,31.3152,18.2623,313.32,315.46
60000,12,-442.89971923828125,12,31.8632,20.0509,338.95,340.45
65000,13,-496.19500732421875,13,31.2579,16.1157,334.97,337.64
70000,14,-457.1490173339844,14,30.7833,15.1493,322.09,323.06
75000,15,-485.7946472167969,15,30.618,14.6823,326.41,331.76
80000,16,-574.84912109375,16,30.7746,14.7599,325.28,328.48
85000,17,-831.2225952148438,17,30.7879,25.8203,334.6,335.5
90000,18,-1003.1234130859375,18,31.4069,21.2149,342.53,349.06
95000,19,-683.8798217773438,19,30.412,25.5228,339.98,345.56
100000,20,-675.3155517578125,20,30.8298,28.2327,336.66,340.58
105000,21,-773.5118408203125,21,28.3511,27.853,643.3,872.89
110000,22,-520.7230834960938,22,26.8456,23.0253,934.36,310.17
115000,23,-695.6014404296875,23,26.4526,18.6874,889.63,819.38
120000,24,-549.922607421875,24,23.7389,33.945,920.26,1013.16
125000,25,-559.4412231445312,25,24.4924,27.3651,913.48,903.4
130000,26,-670.7874145507812,26,25.6983,18.9914,781.19,874.75
135000,27,-622.9368286132812,27,26.4054,16.1866,919.46,967.08
140000,28,-507.73114013671875,28,25.3239,26.598,1608.91,1556.25
145000,29,-678.9005737304688,29,26.4836,23.0198,884.99,1045.67
150000,30,-647.2614135742188,30,24.8548,28.1329,1113.6,1135.61
155000,31,-356.4268798828125,31,24.1307,27.7052,1415.68,1278.92
160000,32,-283.9866638183594,32,24.6434,13.36,2858.27,2830.23
165000,33,-639.853515625,33,25.3572,30.7294,19.64,20.04
170000,34,-283.6493835449219,34,24.5047,13.795,3180.86,3182.37
175000,35,-621.6188354492188,35,23.2252,16.5157,1191.23,1286.95
180000,36,-807.894775390625,36,27.4006,17.9833,1201.65,1020.6
185000,37,-1057.74365234375,37,26.588,18.6355,1018.28,999.36
190000,38,-1405.2393798828125,38,37.3812,25.0877,998.41,1000.14
195000,39,-1312.8367919921875,39,37.4074,32.6251,1022.33,1019.13
200000,40,-469.6623840332031,40,23.7353,17.3,2504.86,2655.68
205000,41,-674.3329467773438,41,24.5469,18.2866,1966.96,1519.23
210000,42,-1002.1243896484375,42,23.8241,24.7835,1393.07,1003.77
215000,43,-667.8829956054688,43,22.6463,32.3608,1141.47,1596.07
220000,44,-567.1986694335938,44,22.7865,14.1865,2288.89,2507.52
225000,45,-452.0802001953125,45,22.4506,14.6763,1881.63,1680.53
230000,46,-423.99169921875,46,23.1826,17.4285,2359.9,3190.31
235000,47,-458.8497314453125,47,21.4787,20.3129,2414.76,3209.0
240000,48,-704.8377685546875,48,23.0042,17.3226,936.43,955.8
245000,49,-398.85333251953125,49,22.3843,12.0816,3012.62,3063.04
250000,50,-310.34136962890625,50,21.3531,11.5998,2236.41,1496.23
255000,51,-603.0383911132812,51,21.2362,17.7019,1606.61,3172.36
260000,52,-566.2774658203125,52,22.5348,14.0978,2142.41,2954.94
265000,53,-629.9989013671875,53,21.3446,25.4938,1477.74,3267.15
270000,54,-333.86474609375,54,22.1895,14.0297,2938.63,3224.67
275000,55,-236.8533477783203,55,21.3594,12.6446,3027.22,3182.94
280000,56,-490.1131896972656,56,21.5433,13.1572,2379.07,2219.18
285000,57,-227.70396423339844,57,19.9995,10.647,2994.69,3243.0
290000,58,-469.62103271484375,58,20.4105,15.0648,3009.35,3174.31
295000,59,-499.7212829589844,59,20.0279,16.6967,2395.99,2813.26
300000,60,-257.7383117675781,60,19.0835,10.5057,3127.06,3276.14
305000,61,-350.5686340332031,61,19.6888,11.417,3096.08,3258.33
310000,62,-258.9136657714844,62,19.2046,11.1021,3319.81,3311.66
315000,63,-248.72447204589844,63,18.4756,11.1881,70.69,70.33
320000,64,-294.7514953613281,64,18.8193,10.8334,3281.46,3312.09
325000,65,-368.693603515625,65,18.8513,12.2665,3049.71,3293.29
330000,66,-330.56280517578125,66,18.1118,10.3811,3277.02,3269.91
335000,67,-239.0762481689453,67,18.5821,11.4919,3363.61,3367.73
340000,68,-286.6932373046875,68,19.191,11.3561,3088.36,3317.84
345000,69,-305.6573181152344,69,18.43,10.6125,3348.34,3391.71
350000,70,-180.14527893066406,70,18.3461,14.6941,2725.72,3493.52
355000,71,-173.87184143066406,71,17.8328,10.4476,3229.55,3348.15
360000,72,-221.6715087890625,72,17.6236,9.947,3388.86,3409.64
365000,73,-270.03948974609375,73,18.2365,10.4998,3384.86,3396.2
370000,74,-310.8434143066406,74,18.068,9.7745,3368.4,3381.96
375000,75,-335.5208740234375,75,18.3951,10.4425,3168.33,3299.26
380000,76,-1127.256103515625,76,20.2222,26.3581,2058.73,3463.05
385000,77,-333.05157470703125,77,19.348,10.6295,3398.31,3427.41
390000,78,-223.7889404296875,78,17.265,10.3419,3292.55,3441.9
395000,79,-395.3057556152344,79,18.5773,18.1942,3090.9,3427.55
400000,80,-251.44578552246094,80,16.8896,10.7829,3415.27,3429.88
405000,81,-297.1358337402344,81,18.791,11.2702,3457.48,3478.37
410000,82,-281.760009765625,82,19.0307,12.0519,3257.57,3388.67
415000,83,-331.5118713378906,83,18.8955,11.641,3369.9,3390.87
420000,84,-152.53106689453125,84,17.5316,9.908,3319.09,3443.01
425000,85,-201.15945434570312,85,18.6383,12.3319,3436.41,3448.91
430000,86,-401.6367492675781,86,19.9138,11.4938,3201.28,3215.96
435000,87,-406.79876708984375,87,19.235,13.5844,1516.29,3419.11
440000,88,-297.5927429199219,88,17.7597,10.616,3398.32,3421.95
445000,89,-268.36126708984375,89,15.6712,8.8657,3044.91,3390.21
450000,90,-299.53753662109375,90,17.4388,10.9533,3127.12,3392.85
455000,91,-1024.97607421875,91,20.7078,22.5435,1913.65,3462.06
460000,92,-307.1355285644531,92,17.5679,10.2365,3409.36,3442.57
465000,93,-467.66827392578125,93,17.5314,17.9395,3338.11,3451.65
470000,94,-482.146240234375,94,18.584,14.7855,3081.64,3435.93
475000,95,-226.12843322753906,95,17.3787,11.7463,3481.16,3497.87
480000,96,-363.4958801269531,96,18.0696,12.3611,3408.21,3458.03
485000,97,-354.4019470214844,97,18.315,10.7047,3341.22,3463.12
490000,98,-307.14935302734375,98,17.7234,11.7089,3428.56,3444.26
495000,99,-485.9201354980469,99,17.7544,14.1336,2866.94,3401.92
500000,100,-326.26239013671875,100,16.5432,10.5077,3384.66,3394.27
505000,101,-308.869873046875,101,17.5464,11.4154,3314.63,3439.12
510000,102,-344.9246520996094,102,17.0201,12.3777,3427.35,3498.81
515000,103,-221.4359130859375,103,16.2886,9.268,3419.69,3450.76
520000,104,-623.2582397460938,104,20.9151,11.3291,3147.6,3290.29
525000,105,-501.65362548828125,105,18.2367,10.7905,3243.35,3270.51
530000,106,-626.3790283203125,106,17.9926,14.9909,2636.46,3491.28
535000,107,-398.05474853515625,107,16.0827,12.0293,3088.15,3382.38
540000,108,-409.26983642578125,108,17.5909,10.2403,3435.0,3478.23
545000,109,-435.7384033203125,109,16.943,15.1916,2730.95,3436.85
550000,110,-328.38006591796875,110,16.8168,10.308,3334.77,3458.8
555000,111,-229.01388549804688,111,16.7608,10.3577,3460.78,3464.39
560000,112,-316.2336120605469,112,17.231,10.6913,3075.38,3452.8
565000,113,-308.55413818359375,113,17.0824,10.0381,3466.79,3501.24
570000,114,-396.6548767089844,114,18.5601,11.8613,3380.25,3345.05
575000,115,-945.687744140625,115,20.094,12.5905,2276.97,3441.03
580000,116,-334.4588623046875,116,18.3146,10.8829,3411.94,3453.43
585000,117,-418.79180908203125,117,17.333,10.3268,3397.52,3405.27
590000,118,-379.4934997558594,118,16.9727,10.2655,3416.0,3444.41
595000,119,-293.3998107910156,119,16.5017,10.1503,3231.78,3480.81
600000,120,-353.0271301269531,120,16.3622,11.2495,2267.39,3473.4
605000,121,-295.9823303222656,121,16.8039,10.6362,3441.11,3469.36
610000,122,-327.02197265625,122,16.7529,10.4872,3423.88,3445.71
615000,123,-570.2654418945312,123,18.175,12.5399,3220.46,3452.67
620000,124,-460.4245910644531,124,17.1208,10.6222,3438.85,3452.52
625000,125,-434.96392822265625,125,17.6318,10.7149,3201.91,3469.66
630000,126,-732.0597534179688,126,20.3514,11.9869,3306.32,3326.45
635000,127,-350.38427734375,127,16.3906,9.6527,3320.21,3485.99
640000,128,-1049.781005859375,128,22.0118,18.1703,2460.06,3354.36
645000,129,-429.3802185058594,129,17.7913,11.2718,3489.64,3500.9
650000,130,-674.9854125976562,130,18.7963,11.6762,3046.54,3447.17
655000,131,-692.6010131835938,131,18.2802,17.556,2426.93,3488.23
660000,132,-487.1631774902344,132,16.2251,8.817,3407.9,3431.43
665000,133,-394.9776916503906,133,17.1429,11.2256,3478.68,3488.0
670000,134,-443.99237060546875,134,17.4725,10.7231,3397.12,3474.5
675000,135,-476.3287353515625,135,16.1227,9.3189,3000.73,3430.4
680000,136,-632.6546020507812,136,18.6722,15.8696,2792.26,3468.36
685000,137,-363.0874328613281,137,16.1718,9.9566,3179.29,3489.62
690000,138,-1095.872314453125,138,19.3321,17.5647,1518.71,3449.33
695000,139,-439.06689453125,139,16.7306,10.384,3409.09,3410.54
700000,140,-666.7171020507812,140,17.0783,22.8802,3376.56,3473.45
705000,141,-424.1338806152344,141,16.3839,9.387,3472.64,3484.36
710000,142,-325.5948181152344,142,17.2954,10.8515,3405.91,3420.56
715000,143,-500.9051208496094,143,17.0094,11.0298,3425.32,3449.22
720000,144,-685.6793212890625,144,18.3907,13.0085,2946.26,3471.67
725000,145,-581.604248046875,145,17.8344,14.8803,3354.13,3467.21
730000,146,-525.294189453125,146,17.8422,10.952,3421.13,3477.46
735000,147,-495.590576171875,147,17.0726,9.6943,3178.05,3429.4
740000,148,-377.6643371582031,148,16.9351,9.319,3394.57,3439.23
745000,149,-517.28271484375,149,17.7344,11.1799,3343.12,3469.91
750000,150,-549.0762939453125,150,17.9605,11.2343,3350.56,3461.6
755000,151,-546.04541015625,151,17.2587,9.7683,3057.79,3457.03
760000,152,-482.859375,152,17.4272,10.5043,2397.89,3445.89
765000,153,-424.3980712890625,153,16.4671,9.4694,3440.52,3462.52
770000,154,-534.6759033203125,154,17.609,11.0377,3411.33,3423.4
775000,155,-412.92987060546875,155,17.2217,11.1667,3430.32,3470.22
780000,156,-497.3351745605469,156,17.1058,10.4316,3355.6,3472.51
785000,157,-451.46533203125,157,16.0387,9.9731,3449.16,3476.11
790000,158,-706.5842895507812,158,18.9152,10.9264,3368.5,3429.65
795000,159,-475.3026123046875,159,17.2439,10.7226,3384.14,3494.21
800000,160,-517.1333618164062,160,16.3319,9.659,3432.92,3444.55
805000,161,-543.234130859375,161,17.6195,9.8514,3413.08,3431.44
810000,162,-883.8473510742188,162,18.8361,10.7857,3428.15,3466.66
815000,163,-575.6990966796875,163,17.9969,11.6275,3193.1,3478.56
820000,164,-558.7422485351562,164,16.4598,10.0153,3439.64,3512.83
825000,165,-1199.460205078125,165,17.9104,13.9089,2586.97,3516.01
830000,166,-942.8018798828125,166,18.0317,12.0901,2425.79,3512.47
835000,167,-798.3999633789062,167,17.4394,10.1778,3417.67,3436.16
840000,168,-791.2474975585938,168,17.2976,10.9174,3039.79,3422.96
845000,169,-613.7335815429688,169,16.9074,9.3197,3436.76,3473.55
850000,170,-450.2325744628906,170,16.1656,9.4966,3229.75,3465.9
855000,171,-604.5396118164062,171,16.6408,9.3674,3241.57,3463.17
860000,172,-710.256591796875,172,18.1942,11.335,3438.54,3413.31
865000,173,-518.8339233398438,173,16.9843,10.3746,3458.24,3481.52
870000,174,-639.0958251953125,174,18.0871,10.5538,3450.01,3467.95
875000,175,-813.161865234375,175,18.4439,16.5111,2657.83,3273.39
880000,176,-1064.3385009765625,176,17.6575,11.0392,2571.43,3387.51
885000,177,-623.268798828125,177,16.2743,9.7081,3429.66,3429.31
890000,178,-442.5556945800781,178,17.3105,11.1824,3447.61,3471.2
895000,179,-589.6624755859375,179,16.0037,9.7961,3425.73,3446.34
900000,180,-637.1604614257812,180,17.9903,11.7658,3436.24,3452.76
905000,181,-555.3689575195312,181,16.1589,9.6196,3484.1,3475.38
910000,182,-737.6272583007812,182,17.1769,15.0499,3371.66,3455.62
915000,183,-571.0536499023438,183,15.9257,9.488,3377.88,3393.54
920000,184,-864.9443359375,184,16.3988,10.5977,3035.65,3470.71
925000,185,-1106.589599609375,185,17.6923,14.5695,2830.21,3484.57
930000,186,-577.2205810546875,186,16.6217,10.3593,3432.81,3467.5
935000,187,-581.2947387695312,187,15.41,8.7583,3336.67,3439.75
940000,188,-513.5241088867188,188,17.3453,10.785,3374.18,3358.42
945000,189,-521.2076416015625,189,15.1619,8.232,3314.12,3309.91
950000,190,-502.5659484863281,190,17.5898,9.7964,3277.82,3318.11
955000,191,-678.55712890625,191,17.2529,11.9756,3473.78,3502.13
960000,192,-759.3505859375,192,16.7052,11.11,3431.23,3447.37
965000,193,-663.56005859375,193,16.9836,10.8648,3237.19,3467.45
970000,194,-588.1253662109375,194,16.625,11.1271,3447.6,3472.57
975000,195,-638.9203491210938,195,15.714,11.9585,2821.91,3408.81
980000,196,-607.11376953125,196,16.849,9.3307,3481.49,3468.88
985000,197,-625.474609375,197,16.476,10.5322,3403.47,3479.05
990000,198,-664.0233764648438,198,17.5377,10.4791,3436.07,3487.49
995000,199,-619.249267578125,199,16.4072,9.3173,3416.57,3446.39
