Running Env Steps,Itration,Running Update Time,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Reward Loss
0,0,0,180.3,33.1367,36.5259,188.73,292.25830078125
5000,1,1,298.1,30.8367,27.1308,293.12,164.96414184570312
10000,2,2,258.83,30.4238,24.964,272.39,462.9007873535156
15000,3,3,289.05,30.749,35.1723,285.84,629.6466064453125
20000,4,4,318.6,29.3198,54.5407,311.63,197.95008850097656
25000,5,5,310.38,29.4462,22.5669,295.88,188.59249877929688
30000,6,6,152.83,34.5641,107.6761,131.62,-327.64111328125
35000,7,7,120.44,31.7924,46.313,135.2,155.94544982910156
40000,8,8,7.71,34.3624,42.1683,7.81,-417.9430847167969
45000,9,9,195.91,33.4085,28.7893,191.18,-284.4566955566406
50000,10,10,198.13,30.7577,41.3849,188.58,-130.31553649902344
55000,11,11,337.72,31.3917,20.4518,246.46,-269.18603515625
60000,12,12,249.92,30.8136,20.0432,203.03,-87.94625854492188
65000,13,13,231.32,29.7295,66.6124,227.76,-10.917037963867188
70000,14,14,1028.41,39.158,46.5237,1028.27,-610.336669921875
75000,15,15,185.69,34.5364,40.4043,182.56,-590.3296508789062
80000,16,16,999.58,35.7635,39.7578,998.41,-636.7709350585938
85000,17,17,689.61,29.5873,23.9456,688.52,-328.5086669921875
90000,18,18,293.11,29.2285,32.4502,317.64,-241.4027099609375
95000,19,19,56.66,34.7113,162.7004,57.35,-543.4011840820312
100000,20,20,435.78,31.9097,32.9935,434.78,-406.4273986816406
105000,21,21,353.77,29.7411,28.0727,353.42,-563.12255859375
110000,22,22,315.26,30.0576,29.567,321.68,-551.3524780273438
115000,23,23,1014.79,34.4727,54.8406,987.99,-798.3695068359375
120000,24,24,969.91,30.2838,48.7146,924.24,-879.2251586914062
125000,25,25,479.08,28.7018,100.4493,475.37,-430.72113037109375
130000,26,26,976.1,33.7857,44.0475,978.24,-1001.8517456054688
135000,27,27,75.91,31.0911,44.9267,76.22,-850.8402709960938
140000,28,28,419.67,30.7803,71.2386,400.23,-805.965087890625
145000,29,29,993.66,38.7486,40.1654,993.62,-1205.2159423828125
150000,30,30,1007.69,36.868,27.1238,1007.95,-1104.31689453125
155000,31,31,546.86,28.2065,30.9933,561.3,-689.8607177734375
160000,32,32,363.35,32.7102,41.0653,454.3,-1201.1622314453125
165000,33,33,915.01,32.6926,29.7278,973.92,-1225.483154296875
170000,34,34,953.83,32.7484,42.5964,990.36,-1247.30517578125
175000,35,35,1252.56,33.2351,19.6633,1252.14,-1065.65771484375
180000,36,36,1304.84,33.4988,23.1498,1302.95,-1077.9002685546875
185000,37,37,1034.59,34.3608,46.1423,1033.59,-1431.079345703125
190000,38,38,1054.66,33.7442,36.4587,1061.75,-1324.8436279296875
195000,39,39,892.93,33.4872,44.9453,961.65,-1413.212158203125
200000,40,40,1022.75,33.4216,47.9696,1027.16,-1544.27490234375
205000,41,41,1037.09,34.0617,38.5859,1035.94,-1549.564697265625
210000,42,42,1051.75,33.1636,44.1128,1043.99,-1586.672119140625
215000,43,43,1049.1,34.5623,57.2173,987.81,-1554.1875
220000,44,44,1086.62,32.8897,19.1829,1090.66,-1386.054443359375
225000,45,45,1123.97,34.0665,29.0416,1092.42,-1705.7562255859375
230000,46,46,1169.06,32.0398,20.8409,1174.1,-1222.215576171875
235000,47,47,1153.21,32.6887,19.3033,1152.91,-1367.9072265625
240000,48,48,1053.71,32.9265,19.2506,1060.25,-1465.818115234375
245000,49,49,1042.43,33.8051,49.4939,1085.49,-1868.014892578125
250000,50,50,1153.54,32.7274,35.5573,1154.49,-1628.94775390625
255000,51,51,1077.74,33.8828,45.8239,1076.72,-1872.5894775390625
260000,52,52,1050.24,33.5644,69.6468,1052.76,-2031.559814453125
265000,53,53,1014.62,33.5761,42.9169,1002.38,-1942.252685546875
270000,54,54,1057.26,34.6706,37.0373,1058.9,-2015.4097900390625
275000,55,55,1051.14,33.901,33.6339,1051.16,-2244.62353515625
280000,56,56,1015.7,31.8609,61.7868,985.73,-2219.377197265625
285000,57,57,1054.18,34.8006,64.4785,1056.75,-2362.571533203125
290000,58,58,1095.23,33.3533,26.4718,1053.07,-2134.46923828125
295000,59,59,1174.77,32.9271,20.9155,1175.28,-1317.6090087890625
300000,60,60,1029.19,33.0838,24.0238,1015.76,-2062.025634765625
305000,61,61,1120.73,33.5968,31.2701,1128.72,-1958.009765625
310000,62,62,932.15,34.2058,27.0348,930.72,-2167.537109375
315000,63,63,1091.23,33.1373,21.6948,1066.5,-2313.14453125
320000,64,64,1075.36,33.4367,31.7983,1076.12,-2625.134521484375
325000,65,65,1069.08,32.8926,25.0466,1068.5,-2254.85107421875
330000,66,66,1047.9,33.2719,37.8454,1047.45,-2755.7373046875
335000,67,67,1080.03,33.6068,28.6496,1083.3,-2677.339599609375
340000,68,68,1050.72,33.2999,38.1913,1051.46,-2668.042236328125
345000,69,69,984.72,32.0027,30.9866,1125.88,-2106.630859375
350000,70,70,1160.27,32.7765,32.0079,904.05,-2057.45849609375
355000,71,71,1057.4,33.0621,56.5785,1067.66,-2882.02880859375
360000,72,72,466.86,31.936,43.2463,546.29,-2050.306884765625
365000,73,73,847.38,32.7801,35.5019,901.51,-2386.8388671875
370000,74,74,1007.94,32.2571,42.305,1125.13,-2569.3740234375
