Real Sto Return,Running Forward KL,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Itration,Running Env Steps
303.08,450.2941,286.03,0,292.3139,3929.800537109375,0,0
303.32,422.4521,305.65,1,257.9485,3625.72802734375,1,5000
359.71,443.795,287.06,2,286.9968,3590.218994140625,2,10000
385.22,435.9281,369.05,3,253.0384,3166.23681640625,3,15000
376.38,405.5396,259.26,4,252.0537,3513.49365234375,4,20000
419.03,408.821,488.84,5,243.113,3060.953125,5,25000
415.83,418.4777,435.72,6,245.4696,2328.36767578125,6,30000
447.14,406.322,400.11,7,254.2307,2402.42724609375,7,35000
470.36,411.89,416.79,8,251.4425,2246.36669921875,8,40000
539.2,396.5105,566.98,9,257.7393,1815.1710205078125,9,45000
494.99,392.8352,560.07,10,250.6117,2041.4261474609375,10,50000
474.35,395.9921,541.93,11,243.5214,1087.455322265625,11,55000
503.07,387.0043,588.95,12,243.2738,1288.1864013671875,12,60000
536.42,410.3645,593.74,13,262.3637,932.502685546875,13,65000
524.87,399.8168,495.69,14,256.7601,354.7325134277344,14,70000
506.74,400.8405,571.52,15,258.1772,202.3984832763672,15,75000
541.46,399.1638,661.99,16,260.0315,149.9967041015625,16,80000
489.78,381.0856,569.64,17,244.603,-264.5959777832031,17,85000
651.89,408.736,721.84,18,266.867,-284.0765075683594,18,90000
576.26,409.3153,599.05,19,264.8522,-685.4315185546875,19,95000
542.89,404.8801,694.2,20,275.0447,-734.8071899414062,20,100000
545.81,405.7558,716.3,21,259.9231,-912.5643310546875,21,105000
587.73,402.5479,740.98,22,265.5934,-1230.68017578125,22,110000
583.77,393.0148,641.11,23,243.3926,-1240.0792236328125,23,115000
599.34,396.2014,628.89,24,239.083,-1257.13525390625,24,120000
537.72,386.2691,661.52,25,250.7616,-1649.5023193359375,25,125000
585.6,398.4435,681.92,26,274.7,-1775.7044677734375,26,130000
619.41,398.1486,588.99,27,246.1527,-2166.556884765625,27,135000
635.01,387.3988,489.48,28,265.3208,-2263.306884765625,28,140000
597.69,393.3317,834.61,29,249.7978,-2592.685302734375,29,145000
570.76,386.8654,755.3,30,246.7242,-2928.94921875,30,150000
662.46,379.9257,597.0,31,231.0647,-3178.39501953125,31,155000
