Running Env Steps,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Itration,Real Det Return,Running Reverse KL
0,-73.65,16.278587341308594,0,74.933,0,610.88,26.3514
5000,-21.2,4.267640590667725,1,73.5261,1,430.42,25.4203
10000,-18.76,1.4484561681747437,2,74.4973,2,667.92,28.3797
15000,6.0,-10.929361343383789,3,72.9769,3,533.22,28.4442
20000,38.31,-21.76718521118164,4,72.6122,4,735.54,29.2004
25000,82.23,-37.718505859375,5,73.2483,5,669.67,30.7885
30000,89.87,-38.27909851074219,6,73.797,6,763.24,31.0673
35000,131.39,-51.30763244628906,7,74.0446,7,717.15,31.541
40000,163.07,-67.38815307617188,8,72.9282,8,704.39,32.6992
45000,154.7,-77.97406005859375,9,72.0775,9,792.88,30.8563
50000,196.13,-90.38378143310547,10,73.3625,10,823.06,32.0849
55000,135.84,-98.71920013427734,11,74.2775,11,567.42,31.9531
60000,157.42,-113.18218231201172,12,73.1542,12,739.9,32.5088
65000,171.77,-124.74446868896484,13,73.3681,13,710.46,32.5457
70000,188.85,-134.35940551757812,14,71.4482,14,850.21,31.118
75000,166.28,-147.45753479003906,15,73.7048,15,725.39,31.3429
80000,169.48,-161.59725952148438,16,72.483,16,691.58,31.9612
85000,190.77,-171.67178344726562,17,73.672,17,885.06,31.4802
90000,214.47,-185.2313232421875,18,72.1231,18,927.66,31.2198
95000,218.24,-199.61473083496094,19,72.3014,19,868.68,32.0485
100000,218.01,-210.40977478027344,20,73.3107,20,880.78,32.0595
105000,220.07,-222.2187042236328,21,72.5915,21,970.2,31.322
110000,215.99,-230.29837036132812,22,71.4467,22,780.5,31.0226
115000,221.6,-245.6236572265625,23,73.9403,23,865.35,31.7958
120000,253.68,-259.5542907714844,24,72.6265,24,879.27,31.5186
125000,202.89,-273.5455627441406,25,72.7274,25,892.89,31.7767
130000,214.81,-286.3305358886719,26,72.803,26,791.39,31.5833
135000,272.1,-299.6925964355469,27,72.497,27,743.49,31.6122
140000,246.06,-310.639892578125,28,73.5982,28,827.27,31.874
145000,244.92,-326.1287536621094,29,72.3392,29,863.57,32.1595
150000,252.95,-338.02435302734375,30,73.8676,30,874.96,32.0223
155000,244.93,-349.4407653808594,31,73.1494,31,835.78,31.063
160000,235.03,-370.3213195800781,32,73.6697,32,891.84,32.0142
