Running Forward KL,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return,Real Det Return,Running Reverse KL,Itration
37.4515,-4579.63330078125,87,435000,1016.54,1017.26,32.2514,87
37.5688,-4601.72119140625,88,440000,1010.43,1011.02,37.857,88
38.0615,-4680.65869140625,89,445000,635.07,347.86,61.4337,89
38.3201,-4733.2978515625,90,450000,238.95,235.99,48.93,90
32.5451,-4618.74267578125,91,455000,175.84,175.52,38.7599,91
31.692,-4642.0771484375,92,460000,251.33,233.45,97.7534,92
38.5418,-4931.54541015625,93,465000,1024.93,1024.95,37.4426,93
38.0796,-5008.8642578125,94,470000,1014.04,1014.68,41.8759,94
38.4383,-2860.865478515625,95,475000,46.86,94.39,176.1987,95
30.2524,-4547.859375,96,480000,92.34,106.22,36.433,96
34.1655,-4367.14453125,97,485000,310.16,261.01,54.8068,97
38.6549,-3541.967041015625,98,490000,15.64,20.43,152.3094,98
37.4381,-5237.099609375,99,495000,943.19,987.55,56.499,99
38.111,-1256.7144775390625,100,500000,10.07,9.2,151.1067,100
34.0426,-5436.7646484375,101,505000,12.73,12.52,39.4781,101
35.7466,-3445.252197265625,102,510000,35.75,35.6,37.5123,102
38.6279,-2990.147216796875,103,515000,21.12,20.89,218.9408,103
38.3812,-2512.214599609375,104,520000,8.18,8.33,224.7519,104
32.3759,-5084.89990234375,105,525000,228.44,234.73,164.7752,105
39.4085,-4175.16015625,106,530000,7.96,7.96,205.2663,106
37.6688,-4600.97265625,107,535000,12.01,12.02,127.6744,107
36.0724,-6180.73583984375,108,540000,60.54,61.3,136.9234,108
36.3486,-6352.45361328125,109,545000,72.89,73.21,126.1303,109
32.6553,-5610.46240234375,110,550000,83.31,82.52,79.7859,110
32.5178,-4661.92333984375,111,555000,82.23,80.98,96.3863,111
31.3824,-5184.99560546875,112,560000,83.76,84.85,73.1919,112
32.3234,-4149.49560546875,113,565000,413.66,385.92,61.7712,113
38.576,-6067.490234375,114,570000,1005.13,1006.09,44.1593,114
38.6532,-5896.82177734375,115,575000,982.87,977.11,29.9244,115
39.2695,-6068.189453125,116,580000,660.37,714.69,53.0804,116
37.8176,-6150.11767578125,117,585000,1025.26,1021.16,40.5805,117
34.4395,-5992.56689453125,118,590000,1012.99,878.34,49.2286,118
33.28,-4823.44287109375,119,595000,356.96,382.9,117.606,119
31.2072,-5511.1142578125,120,600000,100.43,96.09,20.9161,120
37.8621,-6351.83447265625,121,605000,1000.56,1001.43,38.7767,121
36.2007,-6337.99462890625,122,610000,997.39,999.76,43.8244,122
38.4012,-6459.755859375,123,615000,998.63,998.58,42.6875,123
32.1047,-6271.25,124,620000,269.07,266.52,47.739,124
35.8297,-6411.109375,125,625000,865.78,1045.55,38.2758,125
38.2419,-6629.25341796875,126,630000,998.13,999.3,38.859,126
37.7864,-6519.78857421875,127,635000,994.88,996.32,34.9553,127
38.311,-6632.7041015625,128,640000,1035.62,1057.89,39.1201,128
38.6969,-6804.60693359375,129,645000,1002.63,1004.04,30.1622,129
38.7268,-6897.9248046875,130,650000,995.12,995.13,53.6747,130
39.3144,-6945.80078125,131,655000,1008.3,1008.82,36.2765,131
40.2213,-7081.81787109375,132,660000,1001.2,1001.83,50.023,132
35.055,-5803.2890625,133,665000,22.17,23.73,65.8333,133
40.5588,-7246.4814453125,134,670000,1001.59,1001.62,60.1365,134
38.7009,-6146.47119140625,135,675000,9.19,9.15,160.7786,135
32.9898,-6710.64111328125,136,680000,188.98,191.07,47.687,136
31.0984,-5865.94189453125,137,685000,274.22,272.3,118.9207,137
31.8805,-6886.66845703125,138,690000,398.66,400.71,135.9575,138
40.3639,-7335.16064453125,139,695000,996.71,996.38,43.4347,139
39.9908,-7502.1181640625,140,700000,994.64,995.15,59.2007,140
40.9317,-7562.41845703125,141,705000,994.96,995.79,39.6107,141
40.3561,-7547.5166015625,142,710000,1006.49,1005.58,35.4522,142
39.5712,-7556.5302734375,143,715000,998.53,999.1,52.6325,143
38.8211,-7551.82421875,144,720000,993.9,993.73,40.1228,144
38.7972,-7879.52783203125,145,725000,993.24,993.01,44.5291,145
38.5352,-7805.53955078125,146,730000,995.2,995.63,31.4253,146
39.2428,-7939.99072265625,147,735000,997.42,998.28,34.9241,147
38.1364,-8113.00537109375,148,740000,976.7,977.3,49.7786,148
37.8845,-8092.8720703125,149,745000,979.77,980.09,41.4174,149
36.9295,-8284.6083984375,150,750000,981.82,981.53,51.5224,150
40.5016,-8229.7998046875,151,755000,977.72,991.79,44.5168,151
39.9519,-6973.98681640625,152,760000,4.14,4.17,152.6958,152
36.0518,-8348.146484375,153,765000,160.44,167.57,45.1908,153
37.7994,-8423.8701171875,154,770000,89.02,88.94,50.1903,154
36.4183,-8283.6728515625,155,775000,1018.18,1018.2,45.8961,155
37.197,-8754.81640625,156,780000,977.98,978.29,57.2099,156
38.5187,-8376.046875,157,785000,53.23,52.67,27.4311,157
39.8254,-8821.482421875,158,790000,999.28,999.37,47.49,158
38.8983,-8805.6484375,159,795000,1003.53,1004.66,34.1097,159
39.6472,-8945.2421875,160,800000,1007.07,1007.48,39.1633,160
38.6098,-9060.861328125,161,805000,996.38,996.09,58.401,161
37.2984,-9061.6259765625,162,810000,136.17,86.32,38.1301,162
36.2716,-6625.86865234375,163,815000,35.33,34.98,56.848,163
32.9435,-8763.5263671875,164,820000,269.04,269.09,165.1257,164
37.7629,-9279.41015625,165,825000,1013.01,1014.35,38.8801,165
37.617,-9300.232421875,166,830000,1017.85,1018.05,38.1368,166
38.6259,-9520.8603515625,167,835000,1012.59,1008.49,42.8868,167
37.8517,-9657.3837890625,168,840000,985.17,993.92,38.3449,168
36.1225,-9382.1083984375,169,845000,998.84,998.57,37.6121,169
38.1739,-9540.166015625,170,850000,993.31,994.02,32.9083,170
34.2923,-9799.3134765625,171,855000,93.07,92.29,55.9392,171
36.2616,-9860.154296875,172,860000,1016.6,1001.88,41.3946,172
37.8042,-9775.6767578125,173,865000,980.36,979.9,40.8706,173
37.2229,-9956.2578125,174,870000,1009.4,1009.51,39.3239,174
35.4035,-9889.1943359375,175,875000,1038.8,1038.3,36.6268,175
33.7897,-8879.0224609375,176,880000,74.26,75.31,85.476,176
33.9284,-9585.013671875,177,885000,174.66,171.39,106.6949,177
33.286,-9607.865234375,178,890000,208.75,216.42,124.9679,178
32.2039,-9708.123046875,179,895000,222.61,222.51,104.107,179
32.597,-9604.1630859375,180,900000,219.91,221.28,38.2485,180
30.7021,-4484.16162109375,181,905000,154.72,152.38,17.1792,181
30.4634,-3566.8642578125,182,910000,214.24,214.61,20.9176,182
31.0861,-5727.34814453125,183,915000,18.55,18.67,19.6819,183
38.7561,-10940.9326171875,184,920000,1000.73,999.88,50.7526,184
32.7429,-10585.0703125,185,925000,924.2,992.28,53.1814,185
32.6726,-9069.67578125,186,930000,308.53,311.31,29.4778,186
30.7328,-5976.39794921875,187,935000,318.72,317.99,15.2176,187
33.303,-9171.140625,188,940000,241.68,187.42,62.8239,188
39.4348,-11238.111328125,189,945000,178.64,191.31,51.396,189
39.2033,-11396.4619140625,190,950000,982.97,983.06,64.2131,190
39.0505,-11475.3359375,191,955000,999.15,998.76,57.4365,191
30.8201,-8316.5712890625,192,960000,135.43,131.56,61.5796,192
32.379,-9394.3740234375,193,965000,142.36,141.56,111.6549,193
32.8844,-10620.0244140625,194,970000,228.21,217.68,75.8361,194
30.2383,-7462.3193359375,195,975000,230.25,221.28,66.341,195
31.9096,-10126.2431640625,196,980000,131.08,111.11,41.6501,196
30.4022,-7791.35302734375,197,985000,327.1,340.14,22.3017,197
31.0303,-10288.15625,198,990000,251.67,253.64,22.2639,198
32.3104,-10323.8056640625,199,995000,264.6,312.86,33.504,199
