Itration,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
0,113.78,255.6381,188.65,443.1294
1,253.39,291.0086,274.38,433.486
2,288.58,281.1945,303.02,423.8131
3,445.96,240.4255,378.93,424.0535
4,558.7,236.5408,436.5,406.221
5,525.98,223.2113,468.04,412.5288
6,446.55,244.3965,440.69,418.9157
7,506.21,245.2266,390.06,416.3583
8,508.29,241.2869,459.98,426.6627
9,643.16,242.9036,509.69,403.5843
10,633.09,254.1496,473.92,422.9188
11,613.7,252.2665,469.99,410.4869
12,628.53,260.2168,511.96,413.7595
13,605.87,263.7395,479.54,423.6661
14,596.4,246.3037,538.64,422.198
15,581.49,242.4843,570.96,428.1121
16,530.28,247.7955,567.35,410.0828
17,526.27,257.157,561.62,409.8629
18,511.79,239.4003,598.45,405.3247
19,465.98,254.0047,562.37,415.0537
20,426.98,240.4344,526.67,410.8825
21,457.31,248.7899,548.41,406.5968
22,488.73,245.2575,630.19,405.4163
23,532.31,243.5496,578.16,412.7413
24,539.81,251.7157,559.39,416.4197
25,523.82,225.5371,634.35,397.8968
26,512.53,250.7364,640.66,401.0282
27,593.42,238.2795,644.54,400.5295
28,543.52,243.8185,648.9,403.8798
29,525.91,236.3714,613.16,393.6189
30,597.0,251.0882,653.02,392.9845
31,543.56,262.5846,645.02,406.5836
32,664.04,241.611,786.53,383.3664
33,716.91,245.8391,924.5,393.7932
34,567.43,223.7014,830.22,387.9386
35,581.26,234.4813,749.2,384.5995
36,705.42,233.8061,915.14,380.3656
37,836.16,230.0197,901.51,369.4798
38,784.57,235.3729,1019.99,379.9641
39,610.99,234.0036,885.33,375.62
40,959.46,221.9639,1078.34,365.9873
41,665.59,228.9736,991.27,382.294
42,821.68,202.3661,1045.69,358.5265
43,771.96,222.8529,953.79,366.0301
44,666.38,218.1445,1157.74,363.8979
45,968.07,237.824,1235.93,367.3887
46,886.97,201.7816,1532.36,355.709
47,905.33,202.173,1677.37,353.6448
48,846.91,222.8397,1744.38,354.4784
49,724.39,238.9201,1082.61,367.2651
50,834.84,228.3646,1003.94,356.3897
51,917.56,192.0674,1770.38,350.6071
52,683.18,262.8594,1088.38,352.7561
53,798.34,210.7183,1375.21,347.5373
54,1045.35,193.5876,1682.69,334.0288
55,1243.68,192.6775,1493.79,347.732
56,1610.63,206.4557,1814.5,341.3157
57,954.04,191.1028,1365.39,331.8719
58,1330.41,145.3231,1624.99,328.5782
59,1100.19,189.1246,1368.96,341.6926
60,977.72,178.5536,1568.32,330.6648
61,1363.86,165.6376,2547.87,335.526
62,1027.73,155.4196,2041.62,319.7034
63,1484.02,165.1085,2080.57,336.8043
64,1971.84,112.3079,2711.71,303.1225
65,1143.41,132.0533,2149.02,309.3425
66,1520.71,102.8983,3255.37,309.6828
67,1237.23,152.176,2176.24,323.259
68,980.14,141.8073,2800.89,327.1042
69,811.37,178.5877,2398.72,322.3141
70,815.49,149.2508,2165.98,322.4986
71,931.39,181.7959,1841.68,327.7754
72,1128.34,114.9457,3218.22,304.4187
73,994.24,188.3215,2032.13,338.4474
74,898.64,141.6031,2535.99,318.1494
75,1166.48,114.8282,2471.78,305.2433
76,759.24,182.0034,2017.27,332.0255
77,862.89,109.9069,4162.59,300.8426
78,1573.9,118.1433,4298.72,303.7062
79,1218.8,105.9236,4141.54,292.5472
80,997.77,138.6975,3327.1,316.5565
81,1690.01,109.8277,3492.93,298.7941
82,1535.46,107.5645,3291.9,305.3374
83,1353.4,125.3103,4312.43,311.1962
84,4164.03,102.9106,3334.04,300.3893
85,1626.75,146.2055,2503.18,315.6885
86,1221.79,103.9863,3540.71,294.0354
87,1655.07,118.5601,3543.54,291.352
88,1958.11,170.076,3702.83,309.8453
89,2360.37,102.2249,3705.84,296.3356
90,1360.81,121.2709,3200.64,295.2507
91,1744.2,110.2578,4758.96,296.9828
92,1379.28,130.7025,3323.23,300.2329
93,1855.53,118.1066,4012.42,299.1569
94,1081.46,107.6108,3263.78,290.98
95,1219.75,141.046,3959.32,306.2939
96,2479.11,84.6382,4325.89,287.052
97,1321.33,105.2305,4474.78,292.9194
98,1843.4,107.8047,4482.89,291.4578
99,1222.19,128.705,4049.34,300.0027
100,857.35,156.1064,3121.26,314.5106
101,1392.83,106.5644,4223.49,292.8087
102,3972.41,123.7129,3868.68,296.8963
103,1503.76,138.4315,4082.87,301.4744
104,2539.27,122.3494,4208.57,299.9305
105,2022.93,94.8374,4441.27,283.2186
106,1303.02,121.6995,3990.62,308.4478
107,1478.99,107.5003,4841.33,294.0188
108,2166.48,99.4759,4230.03,286.4347
109,2151.49,114.3106,4943.09,296.2239
110,2165.97,123.0779,4513.57,294.6878
111,1005.98,148.5036,3772.09,315.5243
112,3021.18,95.3283,4721.59,286.1386
113,1274.81,134.6959,4018.23,315.0367
114,3140.56,122.8264,4886.86,306.4577
115,2014.21,133.9839,4089.69,320.6329
116,1380.97,127.2343,3587.18,304.4716
117,2276.73,107.0532,4749.6,307.0548
118,2390.63,119.7357,4704.65,306.2399
119,1487.91,120.5201,4177.51,307.6775
120,1555.07,106.8105,4501.0,304.1232
121,2693.03,117.318,4886.21,309.4269
122,1466.89,110.9812,4800.3,300.973
123,4656.84,117.0019,4909.58,304.0664
124,3919.51,99.7742,4810.12,286.1173
125,3677.88,106.8182,4956.76,287.8474
126,1330.0,123.3279,3937.56,307.2614
127,3604.72,104.5576,4776.93,307.9576
128,3914.53,108.6477,4817.09,309.8278
129,1860.43,110.5915,4835.9,312.0822
130,4517.57,106.9063,4880.27,303.5878
131,4151.97,94.749,4708.77,289.3354
132,4239.75,114.8686,4522.6,306.8428
133,4200.54,106.2837,4906.02,297.0108
134,4693.08,113.8696,4735.45,308.8157
135,4721.94,103.2314,4682.61,301.8755
136,4733.78,103.8223,4769.2,305.6467
137,4623.84,110.9029,4825.97,313.5275
138,3344.71,88.5207,4917.36,288.8372
139,1411.53,93.3462,4719.36,291.6339
140,1590.38,105.5238,4853.36,304.3839
141,2797.93,108.8816,4828.27,310.7596
142,973.57,106.3249,4783.23,308.5232
143,4478.26,95.2174,4765.36,285.389
144,1347.65,104.8025,4770.68,300.3205
145,4230.18,99.7566,4874.04,300.342
146,1579.5,103.1403,4881.52,294.4997
147,4368.7,93.6649,4903.09,289.8267
148,4288.08,91.4277,4921.18,287.0907
149,3601.36,105.4216,4650.43,306.9455
150,2912.87,92.9536,4818.15,300.2854
151,4460.32,83.8541,4941.86,275.5339
152,1272.97,89.0149,4820.61,288.9274
153,1813.18,108.7721,4845.02,306.4043
154,1456.71,96.9567,3989.64,284.8431
155,1278.52,91.1033,4851.59,294.8229
156,4770.1,88.5334,4789.66,278.5669
157,2919.39,93.0578,4895.44,292.0861
158,4540.18,96.3127,4645.59,288.8524
159,2718.54,104.9984,4895.26,295.8831
160,4976.48,89.943,4943.55,285.5163
161,3997.08,88.8777,4976.69,279.5677
162,3624.63,89.7055,4820.12,286.5894
163,1862.51,97.3127,4611.28,283.3818
164,4538.55,106.5588,4587.76,309.6163
165,4362.25,94.0939,4951.58,284.2198
166,4859.71,110.0905,4903.66,292.8878
167,1082.89,105.4574,4865.98,299.2162
168,4744.22,96.8148,4895.5,293.4978
169,3108.9,104.5505,4911.07,296.4884
170,2391.92,100.7862,4604.22,289.761
171,4462.5,97.2743,4558.33,294.1057
172,2299.06,91.9876,4905.74,289.1361
173,3244.81,96.0556,4688.64,298.3231
174,2521.06,106.0688,4699.16,297.5086
175,2466.94,95.7708,4588.56,285.0147
176,4458.67,94.553,4944.68,286.1191
177,1045.43,99.9666,4699.54,293.2748
178,1550.99,96.9612,4552.78,296.7554
179,3135.44,101.91,4704.69,299.2159
180,4073.3,98.9481,4691.38,283.6469
181,923.72,110.622,4711.09,294.1876
182,4863.92,104.87,4886.91,300.3278
