Itration,Real Det Return,Running Forward KL,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return
0,161.05,32.228,0,0,15.6881,554.452880859375,166.42
1,174.55,31.2288,1,5000,29.147,382.6544494628906,241.18
2,291.81,30.9821,2,10000,39.3449,165.0629119873047,288.18
3,292.99,31.2167,3,15000,49.2602,81.27623748779297,290.1
4,347.75,30.6431,4,20000,17.312,264.09906005859375,335.55
5,362.16,29.2501,5,25000,42.8062,-49.3718376159668,355.34
6,362.53,29.8502,6,30000,34.6705,-35.50858688354492,380.52
7,456.24,28.7933,7,35000,33.24,-136.43907165527344,527.36
8,1201.64,26.8135,8,40000,15.3957,40.571136474609375,829.68
9,556.22,26.1687,9,45000,18.6265,-89.2059097290039,522.23
10,566.82,27.2816,10,50000,16.9059,-35.912109375,616.03
11,813.67,27.0391,11,55000,16.3649,11.520822525024414,886.12
12,909.91,27.1554,12,60000,15.5429,-92.64635467529297,991.39
13,933.68,27.062,13,65000,16.9011,-150.23521423339844,997.51
14,1208.86,26.1257,14,70000,20.3918,-204.37147521972656,1075.94
15,1565.21,26.3618,15,75000,30.7243,-67.59263610839844,1374.26
16,1390.96,25.9227,16,80000,19.9176,-340.9142150878906,1064.26
17,1657.51,25.7374,17,85000,21.5022,-128.15969848632812,1373.35
18,1651.38,25.5734,18,90000,15.6102,-151.3865203857422,1691.92
19,1407.08,24.3368,19,95000,17.6189,-351.50860595703125,1340.71
20,2419.02,24.4529,20,100000,14.4811,-158.4571533203125,1370.54
21,1084.62,26.75,21,105000,18.8809,-573.5419921875,928.46
22,1424.08,26.0422,22,110000,17.325,-558.321044921875,1464.38
23,1214.1,26.2374,23,115000,18.6085,-480.5848693847656,1211.37
24,891.13,26.4035,24,120000,22.718,-733.5609130859375,1013.9
25,1704.45,26.7879,25,125000,25.5265,-774.4423217773438,1157.39
26,1756.73,25.6229,26,130000,17.9873,-735.8570556640625,1355.16
27,2121.23,25.2538,27,135000,22.0925,-742.3867797851562,1431.82
28,2003.24,25.6726,28,140000,19.918,-755.4926147460938,1486.16
29,1235.69,25.5146,29,145000,17.4948,-697.03125,1504.48
30,1358.34,25.2473,30,150000,22.6597,-881.1923217773438,1400.56
31,1934.54,25.3613,31,155000,14.6039,-579.1326904296875,1381.1
32,2340.06,25.5434,32,160000,17.5699,-698.1790161132812,1563.72
33,1313.11,25.5014,33,165000,17.2194,-849.6022338867188,1397.15
34,1911.96,24.7669,34,170000,15.5663,-670.500732421875,1720.14
35,2534.24,25.7483,35,175000,16.2853,-513.772705078125,2076.48
36,2475.97,24.5926,36,180000,19.1174,-630.28369140625,1880.1
37,1987.46,24.8332,37,185000,16.0739,-621.5679321289062,1994.37
38,2625.11,25.1234,38,190000,17.2719,-550.9935913085938,2145.09
39,2500.67,25.2885,39,195000,16.5734,-797.7431640625,1827.58
40,2207.83,25.246,40,200000,17.0422,-760.0654907226562,1758.9
41,2127.66,25.5325,41,205000,18.5259,-685.2687377929688,2379.51
42,2490.74,25.1514,42,210000,17.1604,-764.825439453125,2168.89
43,3282.68,24.5582,43,215000,19.7417,-486.630126953125,2882.3
44,2396.03,24.9103,44,220000,17.4563,-783.7477416992188,2307.9
45,2935.4,24.8047,45,225000,18.5464,-631.5169677734375,2564.51
46,2409.26,25.6418,46,230000,17.4489,-857.13623046875,2169.23
47,2385.61,24.6241,47,235000,19.6648,-756.3523559570312,2394.86
48,3097.58,25.5853,48,240000,23.1598,-559.4398193359375,2534.62
49,3204.65,25.0605,49,245000,19.5142,-691.2667236328125,2754.41
50,3158.46,25.1462,50,250000,20.7023,-422.2865905761719,2617.3
51,2773.51,25.4343,51,255000,17.928,-661.4165649414062,2453.26
52,2903.94,25.2811,52,260000,18.7844,-550.8250732421875,2737.02
53,3240.88,25.3628,53,265000,23.327,-851.7005004882812,2436.47
54,3207.15,24.4603,54,270000,19.5744,-662.7369384765625,2718.5
55,3356.3,25.0279,55,275000,20.2734,-759.5486450195312,2936.73
56,3344.82,24.8892,56,280000,21.1049,-443.14178466796875,3111.85
57,3349.7,24.708,57,285000,19.9129,-562.8147583007812,3022.59
58,733.61,24.4839,58,290000,17.3516,-977.3247680664062,1311.69
59,3256.26,24.4827,59,295000,21.0559,-746.284912109375,3137.6
60,3350.21,24.7883,60,300000,20.7806,-511.7665100097656,3286.95
61,3388.17,25.202,61,305000,19.8665,-889.1797485351562,2360.37
62,3349.48,24.5412,62,310000,23.803,-687.7190551757812,3251.55
63,3330.44,24.9552,63,315000,19.5604,-785.326171875,3027.0
64,3377.76,24.535,64,320000,21.2704,-1037.515869140625,2794.61
