Running Env Steps,Running Reverse KL,Real Sto Return,Real Det Return,Reward Loss,Running Update Time,Itration,Running Forward KL
0,26.5186,-68.04,398.04,7.250137805938721,0,0,75.9352
5000,27.3778,-67.76,528.43,4.92709493637085,1,1,74.3757
10000,28.3896,-32.84,571.58,-3.1042733192443848,2,2,74.4224
15000,28.7097,41.89,627.2,-20.150575637817383,3,3,74.1263
20000,30.5789,79.03,700.23,-24.242950439453125,4,4,74.2098
25000,29.8824,81.8,624.93,-37.66655349731445,5,5,72.5132
30000,31.1741,129.32,605.21,-49.676002502441406,6,6,74.0212
35000,31.6004,138.62,680.81,-54.087703704833984,7,7,74.6409
40000,32.1132,152.01,805.1,-69.44302368164062,8,8,73.8226
45000,31.4172,87.92,750.3,-84.40506744384766,9,9,72.4621
50000,30.9744,161.47,749.82,-89.901611328125,10,10,73.1978
55000,30.9128,188.64,721.24,-106.69633483886719,11,11,71.8321
60000,31.4045,155.3,781.15,-115.63457489013672,12,12,74.4371
65000,32.0149,201.83,838.54,-129.47332763671875,13,13,72.6524
70000,31.8536,178.78,862.4,-141.02792358398438,14,14,72.4803
75000,31.4974,168.27,824.2,-149.85800170898438,15,15,73.6647
80000,31.7458,169.29,822.94,-163.5855712890625,16,16,75.0846
85000,31.3909,199.06,826.13,-177.869873046875,17,17,72.9571
90000,32.4859,228.55,828.72,-188.03611755371094,18,18,72.5503
95000,33.8439,306.09,760.79,-200.46739196777344,19,19,73.9815
100000,32.1679,171.8,810.2,-213.7310028076172,20,20,72.7803
105000,31.4747,247.23,860.17,-224.69583129882812,21,21,73.7923
110000,31.4257,254.73,827.19,-233.80067443847656,22,22,71.3622
115000,30.9804,185.58,904.99,-246.4400177001953,23,23,73.1955
120000,30.7466,166.77,1015.64,-261.5144958496094,24,24,73.0572
125000,30.998,282.8,886.08,-270.85052490234375,25,25,71.9784
130000,31.7849,234.66,717.9,-280.6417541503906,26,26,73.1639
135000,31.0865,249.2,982.44,-295.34051513671875,27,27,71.2824
140000,31.2761,243.59,895.16,-311.54052734375,28,28,72.2735
145000,31.1712,238.87,749.96,-324.4635009765625,29,29,72.9705
150000,31.1246,318.27,900.09,-332.6684265136719,30,30,72.3173
155000,30.1057,275.29,814.35,-343.3105773925781,31,31,71.3265
160000,30.7044,266.52,912.83,-362.65374755859375,32,32,73.233
165000,30.363,253.26,1014.07,-371.3737487792969,33,33,71.0046
170000,30.6467,175.1,917.24,-387.72320556640625,34,34,71.727
175000,31.0439,323.4,835.44,-400.1412353515625,35,35,73.1915
180000,30.2675,284.54,774.03,-413.6163635253906,36,36,72.388
185000,30.202,200.18,747.97,-428.6365966796875,37,37,72.2196
190000,31.0097,239.69,942.13,-439.6768798828125,38,38,73.4656
195000,30.4919,243.65,832.5,-448.27972412109375,39,39,71.0209
200000,30.3677,211.35,982.02,-461.76947021484375,40,40,71.0487
205000,30.5722,277.96,903.15,-480.1976623535156,41,41,72.1453
210000,30.9019,317.91,954.1,-495.9681396484375,42,42,72.8443
215000,30.0921,163.69,798.77,-506.5393371582031,43,43,72.5029
220000,30.162,261.94,734.5,-518.1644287109375,44,44,71.9554
225000,30.1885,267.82,905.01,-534.1935424804688,45,45,71.6623
230000,30.2096,219.85,666.57,-548.6093139648438,46,46,72.7856
235000,30.5802,235.24,482.16,-568.0218505859375,47,47,73.1737
240000,31.4622,207.84,734.65,-587.220703125,48,48,72.5985
245000,30.7593,258.55,408.96,-594.5227661132812,49,49,72.4246
250000,32.6903,234.81,355.45,-608.745361328125,50,50,71.7055
255000,33.6339,224.47,680.34,-616.2955322265625,51,51,70.6961
260000,31.7747,216.22,560.71,-635.1449584960938,52,52,71.8634
265000,30.3838,144.77,302.94,-649.5383911132812,53,53,71.2122
270000,32.0806,282.29,1010.78,-647.3721313476562,54,54,69.459
275000,29.8887,297.8,953.92,-674.8471069335938,55,55,70.5139
280000,29.6197,234.33,786.52,-681.8421020507812,56,56,68.8815
285000,30.9367,298.87,832.38,-727.256103515625,57,57,71.6094
290000,29.9283,317.06,838.49,-731.1083374023438,58,58,71.5414
295000,30.4144,323.0,955.77,-736.5956420898438,59,59,70.4597
300000,30.436,297.75,906.51,-751.1343994140625,60,60,70.2692
305000,30.6536,277.44,855.53,-779.3195190429688,61,61,71.6674
310000,30.1869,289.78,807.48,-796.2451782226562,62,62,71.2992
315000,29.5809,245.43,871.25,-806.1441650390625,63,63,70.1533
320000,30.4288,335.03,987.82,-834.9489135742188,64,64,72.3919
325000,30.0367,289.38,806.22,-847.6008911132812,65,65,70.5442
330000,30.6612,297.45,839.4,-870.4297485351562,66,66,72.7872
335000,30.2775,256.89,834.94,-883.4996948242188,67,67,70.3609
340000,30.3019,279.74,1026.42,-906.2332763671875,68,68,72.8215
345000,29.5951,324.98,874.44,-903.5481567382812,69,69,69.759
350000,30.6688,228.03,807.9,-950.4463500976562,70,70,71.8934
355000,30.5591,219.56,799.59,-959.8536987304688,71,71,72.999
360000,30.0817,331.23,916.11,-967.1546020507812,72,72,70.7572
365000,30.3426,344.91,1023.26,-995.163330078125,73,73,72.205
