Running Env Steps,Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss,Itration,Real Det Return
0,24.5714,189.4,0,32.7883,334.9114685058594,0,199.83
5000,20.5622,263.26,1,31.9545,422.775146484375,1,271.63
10000,26.2347,271.9,2,30.4369,290.8084411621094,2,278.88
15000,18.4701,329.37,3,30.8071,369.05633544921875,3,327.77
20000,50.9646,370.32,4,34.7222,73.2496337890625,4,366.22
25000,175.71,1.08,5,36.4755,-77.92634582519531,5,1.59
30000,194.8913,31.86,6,38.1823,-121.29100036621094,6,31.58
35000,55.4579,990.02,7,38.9506,-21.190677642822266,7,989.69
40000,51.535,435.23,8,33.449,-117.33147430419922,8,437.95
45000,56.9133,79.15,9,33.6328,44.57636260986328,9,79.72
50000,51.8554,977.73,10,37.8441,-160.92373657226562,10,977.84
55000,78.0585,330.57,11,32.1936,274.7275390625,11,331.7
60000,19.179,331.46,12,31.0439,268.14117431640625,12,330.74
65000,31.5417,886.77,13,35.9906,-207.0298309326172,13,1053.7
70000,134.7139,181.29,14,33.5459,-203.35507202148438,14,180.57
75000,29.9596,186.06,15,32.0426,-96.54662322998047,15,185.42
80000,33.2471,170.93,16,33.6899,-299.25726318359375,16,171.51
85000,25.3038,1104.8,17,33.2917,34.765254974365234,17,1101.51
90000,68.9052,53.98,18,35.1742,-660.9500732421875,18,53.18
95000,34.2404,369.06,19,32.1484,-173.8333282470703,19,367.33
100000,22.4244,1053.51,20,35.3342,-582.43505859375,20,1053.34
105000,33.8383,1032.98,21,34.957,-625.5269775390625,21,1033.78
110000,59.1268,684.83,22,33.0026,-559.0274658203125,22,752.65
115000,59.556,974.41,23,38.8093,-740.0527954101562,23,974.5
120000,56.4348,990.4,24,38.0149,-824.2666015625,24,991.13
125000,20.8626,988.0,25,33.3222,-704.5277099609375,25,997.02
130000,30.5526,1033.59,26,34.7625,-845.0391235351562,26,1039.07
135000,33.0678,1060.94,27,35.8068,-916.6033935546875,27,1062.09
140000,42.0117,1059.32,28,35.9538,-944.7819213867188,28,1060.01
145000,21.849,1036.52,29,34.8867,-986.0217895507812,29,1034.3
150000,22.5896,1020.36,30,32.9538,-938.8994140625,30,1017.58
155000,41.1493,1009.89,31,38.7357,-1129.6531982421875,31,1010.25
160000,56.5243,279.99,32,40.1719,-1207.6016845703125,32,279.42
165000,40.5493,993.5,33,36.1869,-1254.9693603515625,33,993.57
170000,22.4243,998.37,34,35.7351,-1203.9603271484375,34,997.71
175000,36.347,1000.22,35,37.5878,-1379.05126953125,35,1000.09
180000,50.2735,219.92,36,31.8338,-919.4839477539062,36,188.99
185000,53.3887,982.95,37,39.242,-1500.1729736328125,37,981.54
190000,29.1724,1040.09,38,37.5865,-1533.209716796875,38,1039.78
195000,31.4341,1064.85,39,35.4095,-1511.38525390625,39,1064.25
200000,25.3446,871.77,40,34.3637,-1322.7464599609375,40,636.36
205000,23.0579,125.62,41,33.6577,-1341.170654296875,41,135.37
210000,124.1345,49.14,42,32.5058,-1935.24658203125,42,48.13
215000,25.2339,244.79,43,33.7382,-1344.535888671875,43,307.42
220000,47.8625,283.8,44,32.6252,-1627.399658203125,44,285.72
225000,63.084,201.45,45,33.1362,-1285.48779296875,45,202.29
230000,31.4745,279.65,46,33.1656,-1635.0509033203125,46,276.91
235000,51.6642,1018.08,47,39.0093,-2049.115234375,47,1017.63
240000,42.8875,1057.42,48,35.9231,-2027.3360595703125,48,1057.03
245000,22.0776,889.48,49,33.1068,-1621.9891357421875,49,790.94
250000,18.556,1085.2,50,32.521,-1463.02197265625,50,1076.45
255000,23.8824,787.56,51,33.0196,-1546.189453125,51,813.33
260000,21.9234,1036.34,52,33.8163,-1881.1124267578125,52,1034.05
265000,25.0688,1035.45,53,33.5668,-1943.3858642578125,53,1042.19
270000,22.0021,758.62,54,34.5478,-1738.244140625,54,764.89
275000,52.92,1013.28,55,37.7422,-2434.951416015625,55,1012.92
280000,39.0225,1063.63,56,35.9767,-2438.31494140625,56,1064.22
285000,51.3045,1050.16,57,34.6373,-2520.24853515625,57,1049.93
290000,28.7301,1016.54,58,30.9621,-1815.1158447265625,58,985.13
295000,22.3107,1065.63,59,34.1021,-2491.627197265625,59,1065.77
300000,54.838,365.85,60,32.1621,-2202.885009765625,60,364.25
305000,35.8084,952.44,61,32.2611,-2326.6884765625,61,907.46
310000,199.9081,207.15,62,33.136,-2643.46044921875,62,206.68
315000,35.3094,1007.58,63,35.7741,-2759.308837890625,63,1017.03
320000,34.1927,860.41,64,36.3045,-2889.2236328125,64,784.48
325000,32.4736,1037.0,65,36.936,-2878.6337890625,65,1037.96
330000,32.8312,1041.13,66,36.9353,-2958.86572265625,66,1038.02
335000,18.5423,1258.32,67,32.471,-2179.37060546875,67,1263.74
340000,38.8029,1053.4,68,36.7508,-3139.423095703125,68,1052.68
345000,30.4875,697.74,69,29.8064,-2495.30615234375,69,854.5
350000,27.2586,1410.05,70,32.7465,-2299.588134765625,70,1389.8
355000,32.3364,1054.61,71,38.1107,-3230.072021484375,71,1053.89
360000,37.5916,1056.41,72,33.9185,-3216.744140625,72,1055.49
365000,28.2021,1083.69,73,33.2092,-3184.22705078125,73,1077.96
370000,54.771,970.83,74,37.3278,-3525.196044921875,74,970.7
375000,49.9099,997.75,75,35.3361,-3533.5634765625,75,997.52
380000,43.2955,156.39,76,32.8894,-3089.177001953125,76,160.02
385000,28.9829,1045.26,77,36.1993,-3545.393798828125,77,1045.3
390000,33.9233,1034.02,78,36.3087,-3451.19580078125,78,1033.77
395000,19.7987,1104.77,79,31.7281,-1435.6055908203125,79,1105.78
400000,27.9153,1061.79,80,37.3901,-3673.870361328125,80,1061.12
405000,54.0784,1003.96,81,40.0945,-3833.714111328125,81,1003.09
410000,36.7336,1051.77,82,35.126,-3842.78369140625,82,1051.8
415000,23.5204,763.55,83,31.1969,-2767.989013671875,83,873.98
420000,39.8946,1019.53,84,34.6482,-3924.121826171875,84,1017.44
425000,59.3082,1038.25,85,37.5286,-4147.1162109375,85,1038.13
430000,27.5554,1072.31,86,37.8279,-4109.818359375,86,1023.29
435000,34.7544,1072.37,87,33.7937,-4129.04296875,87,1072.94
440000,33.9987,1065.87,88,34.5399,-4195.55029296875,88,1065.68
445000,75.8719,995.97,89,38.4014,-4439.75732421875,89,996.0
450000,69.03,997.9,90,36.3326,-4469.98193359375,90,997.92
455000,43.83,424.06,91,31.1271,-3248.2880859375,91,443.08
460000,151.7409,21.52,92,38.024,-4569.1181640625,92,21.25
465000,85.1242,976.33,93,39.8412,-4600.50341796875,93,976.5
470000,92.4225,974.79,94,39.1482,-4651.43798828125,94,974.85
475000,58.131,1039.73,95,34.5692,-4538.4990234375,95,1039.28
480000,33.4792,400.52,96,35.1782,-3486.25048828125,96,400.43
485000,37.5388,496.95,97,36.3334,-4168.35888671875,97,496.65
490000,55.3586,1056.54,98,37.1273,-4889.41357421875,98,1056.68
495000,59.9613,1053.11,99,36.8286,-4994.076171875,99,1053.24
500000,25.554,493.09,100,35.6905,-3839.785400390625,100,496.98
505000,37.5718,1062.55,101,36.1569,-4993.8212890625,101,1062.75
510000,35.8006,1055.14,102,35.4969,-4981.56005859375,102,1056.51
515000,24.8272,992.54,103,36.3662,-4700.06005859375,103,990.91
520000,67.344,980.05,104,35.6362,-5324.97216796875,104,980.42
525000,76.3881,975.03,105,38.5092,-5401.73583984375,105,975.01
530000,64.237,977.14,106,38.0188,-5365.873046875,106,977.1
535000,44.0455,978.57,107,37.4868,-5396.5576171875,107,978.37
540000,44.8709,978.09,108,37.8832,-5178.31640625,108,978.31
545000,31.1639,984.88,109,38.0988,-5386.876953125,109,984.76
550000,28.0756,977.93,110,36.6577,-5327.4921875,110,977.73
555000,23.2551,983.2,111,34.7843,-4998.7705078125,111,984.19
560000,23.6267,950.92,112,32.4621,-2883.72119140625,112,860.74
565000,69.798,198.84,113,32.3882,-4047.20849609375,113,201.01
570000,57.6243,263.66,114,32.367,-5495.31298828125,114,262.75
575000,99.7356,311.99,115,31.6584,-4630.05517578125,115,312.37
580000,85.7016,239.97,116,32.7051,-5229.79248046875,116,241.27
585000,62.9662,252.91,117,33.726,-5801.3896484375,117,252.81
590000,45.9523,267.74,118,32.2266,-5298.96728515625,118,267.81
595000,192.8091,279.43,119,33.8521,-6220.36279296875,119,278.46
600000,138.5923,178.36,120,34.0837,-5993.50390625,120,179.33
605000,31.1849,981.15,121,34.8734,-5110.099609375,121,980.21
610000,48.0517,1037.25,122,35.3225,-6377.0341796875,122,1037.59
615000,62.0465,1053.76,123,36.1117,-6499.66455078125,123,1053.6
620000,33.0992,254.71,124,36.5898,-6142.087890625,124,255.06
625000,111.6096,418.86,125,33.6896,-5904.60107421875,125,419.72
630000,36.6318,1054.5,126,35.5534,-6576.27392578125,126,1054.28
635000,36.0552,1048.65,127,36.3264,-6703.7177734375,127,1048.44
640000,36.7259,930.66,128,35.4479,-6777.05029296875,128,1024.47
645000,41.5216,1034.27,129,36.5782,-6932.1259765625,129,1034.21
650000,42.573,1037.09,130,35.9932,-6938.93310546875,130,1036.91
655000,32.2346,1051.89,131,36.2754,-6957.7041015625,131,1051.51
660000,68.6372,1031.99,132,36.212,-7118.06103515625,132,1031.97
665000,103.1107,107.39,133,33.2493,-6689.77880859375,133,105.58
670000,59.4024,1015.07,134,35.8217,-7178.50244140625,134,1015.19
675000,53.5307,1050.71,135,35.7479,-7101.408203125,135,1050.53
680000,49.5641,758.01,136,34.0842,-7110.7529296875,136,897.15
685000,40.0294,42.09,137,33.3015,-6760.77685546875,137,41.66
690000,65.4215,93.12,138,32.8956,-5798.6044921875,138,116.4
695000,19.5785,1060.32,139,33.5483,-6121.9755859375,139,1061.85
700000,28.1291,55.22,140,30.0855,-4831.90185546875,140,55.01
705000,40.2097,93.85,141,34.2158,-6516.07958984375,141,128.87
710000,50.467,123.57,142,34.6786,-6804.64013671875,142,123.06
715000,31.3243,203.37,143,33.1202,-6745.7548828125,143,203.89
720000,74.5686,210.79,144,31.028,-5162.3056640625,144,218.01
725000,128.784,268.22,145,31.4074,-6707.01611328125,145,267.37
730000,119.1487,270.22,146,31.2636,-7004.23828125,146,269.99
735000,65.8811,211.85,147,31.231,-5535.07861328125,147,212.72
740000,18.334,174.87,148,32.8056,-5375.08056640625,148,178.1
745000,154.4408,238.45,149,32.5816,-7167.939453125,149,237.28
750000,134.7378,974.28,150,37.9857,-8150.5478515625,150,974.35
755000,124.076,978.71,151,38.2631,-8213.4677734375,151,978.74
760000,113.5018,982.68,152,37.8182,-8309.404296875,152,982.51
765000,26.0026,1038.65,153,35.8086,-7161.45263671875,153,1031.36
770000,21.9387,964.41,154,34.023,-6088.04052734375,154,954.66
775000,18.4463,1084.25,155,33.9017,-6337.11181640625,155,1094.52
780000,60.4091,1045.91,156,35.1539,-8637.7587890625,156,1045.94
785000,31.8763,1027.86,157,35.2321,-7876.12890625,157,1028.06
790000,19.9642,1174.29,158,32.8427,-3474.86181640625,158,1176.21
795000,158.3997,141.81,159,32.4744,-7922.05615234375,159,150.26
800000,136.74,211.74,160,33.0961,-8058.0908203125,160,212.25
805000,146.0662,245.78,161,32.1768,-7222.62158203125,161,251.84
810000,197.4819,247.57,162,31.789,-7318.630859375,162,254.8
815000,218.2886,208.75,163,32.3482,-7455.9482421875,163,209.09
820000,189.6517,226.55,164,30.9851,-7519.2783203125,164,222.15
825000,179.8856,199.13,165,32.0081,-7577.65478515625,165,197.34
830000,30.5559,186.17,166,33.2912,-6654.9814453125,166,186.37
835000,18.0988,869.47,167,32.6169,-4760.82080078125,167,787.1
