Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Itration
56.1335,1689.14,613.47,23.1613,158
57.3425,1805.66,860.96,24.2177,159
62.9691,1016.62,296.67,27.3903,160
63.5894,954.76,379.53,28.409,161
60.0665,1268.02,514.54,26.04,162
53.877,1930.48,1084.39,21.8305,163
58.8114,1239.7,748.83,25.0665,164
63.0511,865.18,471.52,28.2018,165
66.4035,685.29,279.75,30.5875,166
70.4995,422.91,-161.81,52.9827,167
63.3964,865.02,201.89,30.8036,168
63.7594,663.03,44.87,32.9561,169
65.7225,1064.33,165.37,30.3769,170
63.2266,768.31,302.64,28.6827,171
63.5958,589.62,144.34,30.2368,172
56.7143,994.33,258.59,24.2458,173
57.2049,1019.49,485.52,25.0317,174
61.3368,685.56,510.0,26.1443,175
58.0056,1256.44,681.2,24.145,176
62.3921,1477.25,696.93,27.8426,177
53.4453,2209.16,1237.87,23.3624,178
58.1111,1554.74,613.17,43.5516,179
56.626,1083.21,643.23,25.7735,180
60.5037,1128.62,318.32,27.1897,181
62.4168,630.61,313.99,28.6646,182
61.0856,1355.71,497.47,27.5957,183
54.6901,1607.73,1218.69,22.5982,184
61.9461,945.85,424.47,29.011,185
55.9816,1576.57,927.16,24.5091,186
51.4817,2262.52,1308.63,22.4943,187
54.8539,1902.1,1401.83,25.1514,188
52.2214,2853.66,1949.27,21.2919,189
54.8721,2140.88,1543.08,23.5439,190
51.5997,1961.47,1891.15,20.9671,191
51.1307,3381.99,2143.97,24.3398,192
50.3454,2682.63,2181.66,23.7324,193
54.7497,2833.1,2301.74,26.9664,194
51.7343,3256.48,2213.2,25.4938,195
52.189,3323.03,2047.26,23.7015,196
50.9472,2373.66,1206.38,20.1074,197
53.8184,2153.41,1673.33,20.1897,198
52.3662,2821.56,2091.97,25.599,199
52.2128,3298.94,2237.99,22.3183,200
50.9486,3082.07,2563.1,21.6347,201
51.992,2431.69,1795.19,20.7926,202
49.6443,2550.16,1842.69,19.9418,203
51.2466,2295.03,2139.98,20.2447,204
50.7481,3347.34,2107.79,22.9229,205
49.9546,1903.49,1667.0,18.6565,206
50.0336,3088.97,2099.87,20.595,207
118.4032,-1574.87,-1900.21,194.4674,208
59.8764,756.72,257.41,31.0127,209
62.7416,619.65,246.8,30.455,210
58.9245,1398.51,527.86,26.5818,211
58.1646,1143.77,826.89,30.6986,212
58.64,721.93,87.8,24.6414,213
60.8755,624.02,219.84,27.2169,214
59.2483,807.25,329.05,24.3184,215
57.0917,969.73,535.16,23.7601,216
52.6433,1522.0,1060.03,18.4311,217
51.9189,1060.1,513.21,18.7513,218
53.0281,1324.06,546.12,19.0913,219
48.4294,1923.75,824.52,17.2857,220
50.6945,1161.49,750.97,19.0366,221
52.256,967.37,687.63,18.6047,222
53.0301,960.32,765.97,19.7976,223
51.3623,1313.72,828.66,18.079,224
52.9702,1126.9,742.1,18.4194,225
51.6318,1236.99,625.62,17.6151,226
51.0218,1490.37,949.97,17.3175,227
50.8573,1681.59,931.08,16.8339,228
54.7842,1587.41,843.37,19.9636,229
56.1154,1422.25,699.97,20.5203,230
50.7158,1695.51,1098.28,16.4566,231
51.7882,1811.38,986.31,18.2939,232
54.9682,1808.61,828.23,18.6355,233
53.5871,1706.79,659.1,17.89,234
52.6532,1223.13,829.95,16.876,235
55.9099,1528.05,878.3,19.9055,236
50.8166,1667.56,1103.56,18.2422,237
51.1614,1815.91,1073.97,17.9152,238
51.3651,1459.36,1382.69,17.293,239
49.8151,2408.48,1097.06,16.7916,240
49.9683,2824.38,2056.32,19.5023,241
53.0157,1556.97,597.6,17.6038,242
52.723,2008.67,1278.68,17.8605,243
48.8852,2180.9,1235.74,16.2855,244
48.9748,2210.38,1049.99,16.2024,245
61.5353,1735.33,914.42,23.6952,246
48.7195,1974.58,1045.84,16.378,247
51.399,2172.33,1172.18,16.4961,248
50.5823,2129.94,954.3,16.4191,249
49.3907,1686.05,952.8,16.026,250
48.7336,1731.31,1075.18,17.1071,251
53.0657,1330.48,1012.03,17.264,252
51.4662,1379.07,1205.27,17.9547,253
49.5871,2088.64,1238.3,18.0413,254
49.6238,2260.48,1460.05,17.3663,255
49.9984,2335.17,1483.43,16.5964,256
48.7924,2813.23,1941.72,18.6106,257
51.6719,2864.56,1617.93,18.2551,258
50.5507,3046.51,2166.49,25.57,259
49.6391,3161.8,1943.06,20.2094,260
49.5116,3148.17,1415.17,19.3015,261
47.8601,3322.05,1601.95,18.5993,262
47.6837,3336.16,2242.2,20.4083,263
50.2875,2266.93,1406.16,18.2967,264
50.3453,2423.51,1772.25,19.9819,265
55.1375,1915.42,1377.14,22.836,266
56.5237,2187.62,1602.67,22.4311,267
52.0488,3418.44,1941.95,24.5441,268
52.1779,3003.38,1712.22,22.5185,269
52.2705,2896.54,1974.17,22.7751,270
51.7184,2804.32,1970.01,27.3193,271
50.8321,3530.18,2107.08,23.9057,272
50.4552,3666.91,2626.0,27.469,273
49.3805,3355.86,2745.93,23.8718,274
51.2652,3308.78,2240.84,24.6466,275
51.4478,3640.76,2467.92,26.0647,276
51.8809,3206.36,1893.27,21.2098,277
51.3963,3037.57,2254.94,22.3453,278
51.0213,3280.16,1953.37,21.8171,279
51.1068,3104.31,2208.47,23.3385,280
52.0397,3174.79,2616.04,23.6853,281
51.9422,3219.32,1954.99,19.802,282
52.4065,2651.6,1985.99,19.3458,283
50.1261,3125.25,2422.45,19.8002,284
50.3692,3309.28,2677.64,20.5306,285
50.7471,2726.68,2223.38,20.1256,286
51.6903,2998.71,2508.61,19.306,287
49.975,3024.5,2382.29,21.4981,288
51.1248,2937.45,2023.79,20.35,289
49.7646,3057.03,2157.93,17.839,290
50.7121,2890.24,2242.95,20.9068,291
51.943,3511.16,2397.13,18.66,292
50.6311,3705.47,2553.96,24.0214,293
50.4313,3144.75,2413.15,21.6944,294
49.9276,3639.7,2344.59,20.0856,295
48.6813,3956.37,2461.73,23.1944,296
49.6103,3760.19,2987.51,22.5102,297
50.479,3627.99,2324.58,19.1882,298
50.4088,3629.78,2198.38,20.1296,299
49.3543,3307.13,2285.03,20.3779,300
49.8959,3516.92,2736.47,19.1913,301
50.4823,3405.84,2511.91,19.9043,302
52.1,3091.4,1942.56,18.2877,303
51.1024,3392.19,2640.37,19.6042,304
50.2332,3828.38,2701.58,23.8304,305
52.866,3474.47,2976.22,24.4829,306
49.9288,3675.63,3137.61,23.9105,307
50.5947,4093.46,2560.09,24.4937,308
50.9703,3247.28,2550.62,23.4222,309
50.5451,3651.52,2577.23,21.7831,310
49.2971,2556.28,2380.17,25.8798,311
50.0018,3592.21,2063.16,19.8308,312
49.7794,2745.01,1803.22,20.9002,313
48.6678,2840.81,2420.74,24.5553,314
51.6362,2744.13,2383.94,19.9814,315
50.642,2493.55,2189.27,21.9488,316
54.2911,1992.79,2275.06,23.7065,317
52.4811,3129.92,1790.12,22.5757,318
52.1463,3819.64,2159.52,25.2181,319
53.0166,2598.41,2275.09,25.7608,320
52.6964,3564.65,3161.27,23.671,321
53.2729,3311.16,2426.52,24.4839,322
52.9686,3228.96,2904.33,27.5125,323
53.3189,3010.03,2654.58,30.6015,324
54.0236,3214.35,2662.34,22.8661,325
51.8885,3520.02,2304.29,23.127,326
52.4187,3387.36,2840.05,23.2823,327
53.2151,2781.45,2800.69,24.9725,328
54.0306,3509.61,2692.43,23.8493,329
52.6782,3111.07,2333.29,21.7081,330
50.7715,3501.06,2635.68,20.4955,331
51.4723,3617.12,3263.45,27.0314,332
50.6622,2468.67,2528.18,22.2587,333
51.5155,2734.38,2793.98,22.6949,334
51.2255,3117.34,2525.54,21.0004,335
50.7731,3948.5,3002.13,25.0928,336
50.0747,3767.68,2675.9,25.0037,337
