Running Update Time,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Det Return,Real Sto Return,Reward Loss
0,158.3659,11.5088,0,0,-16.87,-181.99,449.1197204589844
1,158.2121,11.5727,5000,1,631.81,-23.67,413.92803955078125
2,158.1813,12.026,10000,2,-46.8,79.92,376.5231018066406
3,158.1955,12.9748,15000,3,-16.26,321.75,341.9441223144531
4,157.7593,13.052,20000,4,866.94,424.36,345.41986083984375
5,158.0176,13.6961,25000,5,274.91,494.96,301.3078308105469
6,157.9688,14.1991,30000,6,976.99,632.08,302.43121337890625
7,158.0477,14.519,35000,7,1153.12,799.54,207.82208251953125
8,157.8716,14.911,40000,8,1124.54,845.38,147.50823974609375
9,157.9812,15.2846,45000,9,1160.64,870.82,107.11115264892578
10,157.9065,15.1833,50000,10,1339.72,946.19,59.393882751464844
11,157.9614,15.9416,55000,11,1481.46,1056.19,43.15239334106445
12,157.8986,15.7453,60000,12,1487.78,1073.42,3.7444233894348145
13,157.8562,15.8906,65000,13,1536.38,1143.69,-44.79038619995117
14,158.0327,16.4603,70000,14,1599.67,1180.52,-68.39376831054688
15,157.9543,16.3293,75000,15,1652.62,1237.81,-116.75596618652344
16,157.8056,16.13,80000,16,1703.15,1167.12,-129.5240478515625
17,157.8865,16.4683,85000,17,1721.41,1308.15,-198.81898498535156
18,157.8655,15.9634,90000,18,1719.86,1289.64,-231.18978881835938
19,157.8778,15.7873,95000,19,1750.58,1333.49,-269.15496826171875
20,158.006,16.332,100000,20,1791.41,1430.09,-293.8904724121094
21,157.9393,16.118,105000,21,1783.08,1401.45,-360.29541015625
22,157.6945,16.2721,110000,22,1809.76,1465.12,-384.3365783691406
23,157.8301,16.6639,115000,23,1845.9,1496.24,-443.56842041015625
24,157.7009,16.2524,120000,24,1827.93,1463.18,-477.5167236328125
25,157.7749,16.4733,125000,25,1809.96,1513.88,-534.9155883789062
26,157.6924,15.9583,130000,26,1827.54,1499.17,-567.5859375
27,157.8416,16.5977,135000,27,1897.29,1569.23,-610.8214721679688
28,157.807,16.2262,140000,28,1861.98,1513.82,-638.0361938476562
29,157.6492,16.1586,145000,29,1845.61,1507.05,-704.8031616210938
30,157.9167,16.7177,150000,30,1913.8,1569.45,-739.6904907226562
31,157.687,16.1088,155000,31,1930.07,1579.57,-777.0425415039062
32,157.5978,15.7833,160000,32,1824.41,1533.76,-839.7189331054688
33,157.7706,16.5893,165000,33,1888.48,1569.88,-879.966552734375
34,157.5913,16.1672,170000,34,1905.06,1583.31,-917.256591796875
35,157.4883,16.4889,175000,35,1954.09,1624.14,-933.2874755859375
36,157.4653,16.4783,180000,36,1963.08,1631.57,-986.0343017578125
37,157.6524,16.1653,185000,37,1892.11,1583.28,-1034.029052734375
38,157.1969,16.1098,190000,38,1996.66,1638.35,-1069.5517578125
39,157.22,16.2747,195000,39,2018.34,1680.63,-1107.2740478515625
40,157.3643,16.0648,200000,40,2026.11,1654.64,-1161.8404541015625
41,157.303,15.9411,205000,41,1979.77,1641.05,-1206.5865478515625
42,157.3449,16.0326,210000,42,2008.96,1663.22,-1246.523193359375
43,157.1629,16.0497,215000,43,2065.37,1710.54,-1267.7080078125
44,157.3261,16.1165,220000,44,2026.68,1680.7,-1314.0413818359375
45,157.118,15.8659,225000,45,2028.21,1697.22,-1350.21826171875
46,157.2352,16.1934,230000,46,2008.07,1702.14,-1405.296630859375
47,156.9794,15.5217,235000,47,2018.63,1666.35,-1436.1064453125
48,157.0836,15.4339,240000,48,2028.21,1679.66,-1472.3734130859375
49,157.1537,15.7891,245000,49,1990.42,1685.48,-1514.76318359375
50,157.0518,15.9284,250000,50,2084.48,1724.89,-1559.578857421875
51,157.0686,15.7639,255000,51,2044.97,1718.72,-1599.8001708984375
52,157.1477,16.4143,260000,52,2102.78,1721.24,-1628.1258544921875
53,157.0085,16.1843,265000,53,2128.72,1738.54,-1660.87744140625
54,156.9227,15.841,270000,54,2112.08,1699.3,-1708.121337890625
55,157.1294,15.9515,275000,55,2079.61,1738.92,-1753.425537109375
56,156.9638,15.7659,280000,56,2044.8,1721.19,-1814.1815185546875
57,157.0746,15.7512,285000,57,2114.86,1752.42,-1817.73779296875
58,156.8148,15.6817,290000,58,2079.33,1761.13,-1877.6357421875
59,156.8905,15.8245,295000,59,2125.28,1764.19,-1913.9957275390625
60,157.0183,16.019,300000,60,2100.2,1723.51,-1961.9813232421875
61,156.8069,16.0513,305000,61,2112.28,1762.42,-1997.079345703125
62,156.8785,16.1867,310000,62,2148.31,1797.66,-2014.8990478515625
63,156.8288,15.7044,315000,63,2110.59,1742.93,-2083.744873046875
64,156.801,15.3817,320000,64,2007.52,1712.19,-2136.05810546875
65,156.6947,15.8603,325000,65,2091.33,1785.28,-2162.44140625
66,156.8101,15.4849,330000,66,2144.29,1751.09,-2194.393798828125
67,157.0541,15.6334,335000,67,2050.28,1747.88,-2256.5712890625
68,156.9996,15.6592,340000,68,2106.87,1765.82,-2301.124755859375
69,156.794,15.7239,345000,69,2150.63,1787.14,-2323.8466796875
70,156.9544,15.8329,350000,70,2148.09,1805.65,-2388.7109375
71,156.6981,15.6887,355000,71,2127.03,1776.05,-2403.031982421875
72,156.9192,15.484,360000,72,2048.81,1717.94,-2473.633544921875
73,156.9174,15.7149,365000,73,2171.2,1779.12,-2484.551513671875
74,156.8002,15.4164,370000,74,2039.67,1753.9,-2560.95263671875
75,156.7125,15.5835,375000,75,2151.48,1791.29,-2589.376708984375
76,157.0227,15.7905,380000,76,2145.0,1783.68,-2636.611572265625
77,156.8119,15.9537,385000,77,2105.97,1793.54,-2674.473876953125
78,156.7553,15.5976,390000,78,2100.98,1740.02,-2717.976318359375
79,156.6926,15.6514,395000,79,2124.51,1796.99,-2759.209228515625
80,157.0736,15.9556,400000,80,2184.18,1797.11,-2830.37646484375
81,156.7533,15.9131,405000,81,2119.45,1821.11,-2866.971435546875
82,156.8302,15.6052,410000,82,2132.94,1800.51,-2891.596435546875
83,156.7458,15.5119,415000,83,2169.05,1801.9,-2930.6240234375
84,156.7735,15.7126,420000,84,2161.41,1786.96,-2993.6171875
85,156.8287,15.5261,425000,85,2128.2,1799.78,-3014.886962890625
86,156.8381,15.7539,430000,86,2110.3,1810.2,-3090.751708984375
87,156.8967,15.6209,435000,87,2142.42,1792.16,-3140.358642578125
88,156.8075,15.5584,440000,88,2132.11,1800.82,-3164.685546875
89,156.8827,15.4435,445000,89,2091.16,1751.12,-3223.18212890625
90,156.8778,15.7853,450000,90,2155.02,1851.63,-3253.41943359375
91,156.8687,15.5385,455000,91,2128.28,1778.78,-3305.73388671875
92,156.8791,15.8532,460000,92,2146.38,1817.79,-3357.1337890625
93,156.6593,15.7423,465000,93,2158.86,1816.71,-3395.35400390625
94,156.6841,15.4023,470000,94,2121.93,1805.16,-3445.365478515625
95,156.894,16.1966,475000,95,2189.52,1837.82,-3501.01611328125
96,156.6978,15.6439,480000,96,2149.77,1812.79,-3551.07861328125
97,156.6973,15.5178,485000,97,2147.2,1824.57,-3567.04150390625
98,156.8616,15.7066,490000,98,2193.44,1835.92,-3652.579833984375
99,156.6801,15.5994,495000,99,2188.72,1821.87,-3668.997314453125
100,156.573,15.5528,500000,100,2173.58,1826.08,-3737.367431640625
101,156.8386,15.8008,505000,101,2197.39,1853.32,-3764.926025390625
102,156.7307,15.7842,510000,102,2181.37,1867.87,-3826.1484375
103,156.7423,15.4591,515000,103,2136.01,1794.84,-3857.55712890625
104,156.7555,15.8693,520000,104,2164.82,1856.81,-3912.32666015625
105,156.8502,15.5832,525000,105,2182.18,1829.16,-3925.60400390625
106,156.7161,15.1581,530000,106,2160.03,1818.75,-3979.769287109375
107,156.6197,15.6236,535000,107,2201.87,1845.98,-4046.56640625
108,156.8887,15.9901,540000,108,2195.11,1862.84,-4112.18359375
109,156.7246,15.486,545000,109,2159.54,1824.79,-4151.25244140625
110,156.6829,15.3777,550000,110,2133.64,1829.8,-4241.3623046875
111,156.7584,15.4972,555000,111,2141.08,1800.07,-4276.31494140625
112,156.7447,15.5912,560000,112,2188.22,1811.82,-4321.21630859375
113,156.7944,15.7145,565000,113,2194.32,1839.25,-4380.89794921875
114,156.7824,15.83,570000,114,2167.92,1829.7,-4421.98388671875
115,156.6806,15.7801,575000,115,2153.18,1826.38,-4444.23681640625
116,156.6883,15.6242,580000,116,2177.12,1853.56,-4490.93798828125
117,156.7842,15.4939,585000,117,2181.79,1827.67,-4522.826171875
118,156.7759,15.1663,590000,118,2150.81,1820.98,-4593.193359375
119,156.7026,15.6318,595000,119,2183.19,1816.36,-4637.533203125
120,156.7734,15.5692,600000,120,2163.33,1846.71,-4660.66015625
121,156.8414,15.1195,605000,121,2149.87,1836.06,-4685.48291015625
122,156.7613,15.4527,610000,122,2168.87,1811.07,-4752.28076171875
123,156.7132,15.6457,615000,123,2205.94,1848.46,-4753.21484375
124,156.8908,15.8995,620000,124,2198.43,1862.84,-4833.12109375
125,156.6481,15.7768,625000,125,2165.89,1891.72,-4848.30859375
126,156.7456,15.8047,630000,126,2216.67,1895.13,-4894.7265625
127,156.7545,15.2964,635000,127,2167.0,1845.59,-4930.18017578125
128,156.9081,15.7835,640000,128,2240.32,1850.52,-4987.46484375
129,156.8284,15.5561,645000,129,2187.61,1861.71,-5004.80810546875
130,156.6699,15.5086,650000,130,2170.05,1873.08,-5042.1484375
131,156.6516,15.3555,655000,131,2183.98,1853.3,-5088.55517578125
132,156.6875,15.531,660000,132,2178.5,1822.19,-5146.89453125
133,156.6044,15.4741,665000,133,2186.07,1859.35,-5160.5361328125
134,156.8468,15.488,670000,134,2199.36,1850.41,-5247.6708984375
135,156.7442,15.7902,675000,135,2236.22,1865.37,-5278.80615234375
