Real Sto Return,Running Forward KL,Running Env Steps,Real Det Return,Running Reverse KL,Itration,Reward Loss,Running Update Time
-164.4,158.4622,0,-61.54,11.7147,0,-2.4099647998809814,0
-38.83,158.4783,5000,3.53,12.0648,1,-42.357208251953125,1
145.64,158.2592,10000,596.07,12.1006,2,-87.52924346923828,2
256.71,158.2291,15000,823.73,12.7447,3,-131.54232788085938,3
378.33,157.9843,20000,707.38,13.0971,4,-181.9311065673828,4
609.15,158.054,25000,1046.14,13.7787,5,-237.56356811523438,5
572.42,157.7535,30000,910.38,13.2572,6,-275.9139404296875,6
730.12,157.8067,35000,932.01,13.3165,7,-317.56134033203125,7
867.38,158.0376,40000,1679.13,14.103,8,-363.8551940917969,8
1398.67,157.4936,45000,2138.13,13.3178,9,-352.4898376464844,9
2039.35,157.5289,50000,2510.58,15.5161,10,-387.3974914550781,10
2387.28,157.7408,55000,2899.85,16.0117,11,-384.5143127441406,11
2644.68,157.2397,60000,3103.55,15.426,12,-429.5519714355469,12
3081.09,157.2364,65000,3537.8,16.4534,13,-454.0433349609375,13
3015.46,157.2028,70000,3769.87,16.5863,14,-478.3374938964844,14
3143.36,157.0994,75000,3777.4,16.6156,15,-497.14813232421875,15
3591.67,156.9742,80000,4143.84,17.6444,16,-535.2614135742188,16
3435.14,156.8237,85000,4386.65,17.1731,17,-583.9647216796875,17
3415.01,156.679,90000,4287.64,17.332,18,-584.3089599609375,18
3302.7,156.2995,95000,3980.93,15.2221,19,-645.747802734375,19
3668.81,156.3326,100000,4221.17,15.8912,20,-672.4374389648438,20
4019.71,156.7357,105000,4759.61,16.8662,21,-656.7232666015625,21
4189.75,156.6619,110000,4784.05,16.3521,22,-673.5608520507812,22
4343.93,156.5569,115000,4907.47,17.077,23,-692.1583251953125,23
4516.73,156.5155,120000,5005.95,17.4223,24,-707.2319946289062,24
4640.7,156.4114,125000,5058.47,16.8391,25,-761.19091796875,25
4585.49,156.3817,130000,5039.65,16.6358,26,-762.33837890625,26
4803.94,156.1622,135000,5220.93,16.3599,27,-796.9695434570312,27
4909.26,155.8071,140000,5361.37,16.5388,28,-802.3929443359375,28
4981.3,155.6901,145000,5599.59,16.3827,29,-798.6168823242188,29
5174.12,155.6899,150000,5689.37,15.6401,30,-880.4562377929688,30
5385.12,155.2415,155000,5714.29,15.7082,31,-870.400390625,31
5579.17,154.5193,160000,6044.07,15.0414,32,-895.4879150390625,32
5249.64,154.7571,165000,6073.91,15.2929,33,-925.32373046875,33
5307.45,154.5564,170000,5803.82,15.0863,34,-958.5823974609375,34
5949.4,154.0975,175000,6351.85,15.4542,35,-923.3653564453125,35
5928.41,154.9595,180000,6236.98,15.6229,36,-985.6309814453125,36
5842.7,153.8001,185000,6581.09,14.1869,37,-1016.245849609375,37
5778.6,153.5638,190000,6804.56,14.83,38,-1031.3875732421875,38
6388.22,153.7416,195000,6791.09,14.7538,39,-1070.1063232421875,39
6443.95,153.1373,200000,7115.15,15.4197,40,-1057.18896484375,40
6347.01,153.1387,205000,6968.83,15.1549,41,-1095.2205810546875,41
6510.59,153.0505,210000,7035.68,14.438,42,-1164.39208984375,42
6645.36,153.086,215000,6749.89,15.408,43,-1137.513427734375,43
6605.5,152.8987,220000,7402.12,15.9787,44,-1108.5048828125,44
6979.2,152.9446,225000,7556.93,15.448,45,-1132.8475341796875,45
6859.52,153.5108,230000,7164.8,16.1068,46,-1205.5167236328125,46
6874.37,152.5589,235000,7275.43,15.6745,47,-1192.00146484375,47
6999.24,152.6726,240000,7505.66,15.3686,48,-1180.987060546875,48
7111.58,152.3418,245000,7674.53,14.9107,49,-1247.92333984375,49
6952.9,152.1619,250000,7444.96,16.257,50,-1147.7022705078125,50
7414.31,151.936,255000,7794.96,15.8595,51,-1200.950927734375,51
7586.77,151.7078,260000,7949.72,15.7772,52,-1245.176513671875,52
7438.06,151.7961,265000,8006.12,15.5388,53,-1251.46728515625,53
7525.31,151.6025,270000,7949.63,15.6128,54,-1280.2099609375,54
7107.0,151.3825,275000,7657.69,16.2018,55,-1273.6173095703125,55
7490.93,150.8859,280000,7801.16,16.1436,56,-1340.821533203125,56
7797.21,151.4083,285000,8067.83,15.1188,57,-1387.1258544921875,57
7780.85,151.5997,290000,8238.32,16.1979,58,-1369.5301513671875,58
7682.52,151.9771,295000,8037.46,16.855,59,-1439.6824951171875,59
8029.54,150.7278,300000,8646.74,16.0839,60,-1343.349609375,60
7776.5,150.828,305000,8592.91,16.2231,61,-1406.354736328125,61
7895.21,150.1394,310000,8190.94,16.2005,62,-1363.9378662109375,62
8235.73,150.3143,315000,8604.27,16.9694,63,-1398.428955078125,63
8218.37,150.4132,320000,8760.72,16.5003,64,-1418.0740966796875,64
8132.59,150.0514,325000,8770.94,16.6302,65,-1430.94873046875,65
8038.06,150.6125,330000,8643.66,16.8085,66,-1432.940673828125,66
8110.7,149.7089,335000,8393.71,16.6304,67,-1428.0108642578125,67
8379.39,150.3332,340000,8866.52,17.1401,68,-1491.476318359375,68
8536.58,149.4812,345000,9009.38,17.215,69,-1436.6942138671875,69
8384.05,149.6026,350000,8595.7,17.2006,70,-1481.81982421875,70
8504.24,149.7717,355000,9149.39,16.4795,71,-1573.74560546875,71
8339.64,150.2039,360000,8746.59,17.6208,72,-1525.7763671875,72
8666.94,150.079,365000,9111.41,18.376,73,-1492.5394287109375,73
8863.78,149.8737,370000,9256.96,17.431,74,-1510.278564453125,74
8825.58,149.5165,375000,9319.1,17.7462,75,-1558.6324462890625,75
8676.19,149.4096,380000,9127.69,17.1278,76,-1611.1556396484375,76
8965.41,148.7952,385000,9484.58,17.6603,77,-1534.81005859375,77
8973.67,149.3607,390000,9433.04,18.0012,78,-1584.0067138671875,78
8401.1,149.2577,395000,9471.59,17.0,79,-1572.17431640625,79
8656.81,148.5394,400000,9427.86,16.932,80,-1567.792724609375,80
9055.82,149.5093,405000,9432.62,18.9891,81,-1671.7606201171875,81
8735.59,149.0087,410000,9627.05,17.2553,82,-1748.480224609375,82
8812.26,148.5344,415000,9747.57,17.2561,83,-1648.1614990234375,83
9232.36,149.3825,420000,9836.1,17.4158,84,-1678.2791748046875,84
8915.46,149.8543,425000,9244.2,18.2538,85,-1830.201416015625,85
9421.0,148.2954,430000,9809.39,17.6015,86,-1683.1903076171875,86
9232.32,149.3228,435000,9809.27,19.0882,87,-1711.53125,87
9212.74,149.2945,440000,9623.81,19.079,88,-1768.455078125,88
9061.93,148.6662,445000,9145.45,16.9551,89,-1882.0830078125,89
8725.39,148.402,450000,9126.99,17.7263,90,-1902.3038330078125,90
9242.53,148.5478,455000,9880.76,18.3655,91,-1783.853271484375,91
9529.1,148.4838,460000,10104.52,19.0291,92,-1824.7568359375,92
9093.17,149.7168,465000,9685.83,19.4341,93,-1893.0526123046875,93
9559.34,148.809,470000,9991.65,20.5724,94,-1860.3114013671875,94
9592.77,148.5674,475000,10068.19,19.5632,95,-1857.9486083984375,95
9562.1,147.7195,480000,10088.46,18.8988,96,-1889.9307861328125,96
9486.9,148.1576,485000,9747.54,19.2993,97,-1901.447509765625,97
9468.03,148.1228,490000,10045.37,18.7526,98,-1941.970458984375,98
9616.85,148.4157,495000,10055.23,19.1426,99,-1940.77294921875,99
9479.6,148.5052,500000,10062.58,18.667,100,-1991.2296142578125,100
9659.5,148.2718,505000,9963.79,19.7397,101,-1989.1473388671875,101
9438.22,147.9853,510000,9773.33,19.62,102,-2063.932861328125,102
9462.86,148.6422,515000,9794.05,20.0552,103,-2111.832275390625,103
9592.72,148.5006,520000,9967.48,19.8518,104,-2119.24169921875,104
9860.28,148.6244,525000,10185.19,19.526,105,-2042.2491455078125,105
9617.3,147.8979,530000,10108.31,18.1735,106,-2109.635009765625,106
9595.56,147.6053,535000,10245.2,17.4352,107,-2113.0478515625,107
