Real Sto Return,Running Reverse KL,Running Forward KL,Itration,Real Det Return
409.98,13.0848,49.0964,0,267.7
312.15,19.403,49.3833,1,341.06
346.8,32.7812,49.3557,2,370.88
451.69,13.735,48.4391,3,506.13
406.59,13.6176,47.7291,4,452.41
445.04,15.8394,47.7927,5,477.91
501.71,13.2855,47.7691,6,458.85
943.87,12.7155,45.9024,7,905.77
454.62,14.7954,47.5238,8,460.27
872.31,28.8931,46.3655,9,1628.5
1321.13,16.8909,46.8068,10,1520.75
744.92,15.4646,44.9073,11,619.89
169.06,42.5382,49.5494,12,240.45
927.38,17.1022,47.7658,13,1614.98
273.84,52.6154,51.626,14,315.94
633.14,17.5526,48.167,15,692.95
556.43,54.3479,51.1419,16,620.34
388.04,45.2461,49.3835,17,468.41
298.97,76.8203,50.3239,18,373.43
20.35,37.1645,52.178,19,15.9
102.99,40.2632,52.642,20,155.42
498.44,30.1192,49.5515,21,431.66
-21.11,25.9481,51.0956,22,-45.37
3.1,32.5902,54.4464,23,-1.98
287.78,42.528,53.1577,24,228.21
665.61,39.1783,51.5946,25,1025.83
503.94,20.161,49.2045,26,449.12
607.49,25.8938,49.8191,27,797.2
920.68,18.6657,49.7927,28,1182.66
1146.99,30.2775,52.0757,29,1191.56
270.58,26.6938,50.4417,30,306.61
909.78,29.48,53.7698,31,999.31
100.61,32.1755,53.2327,32,112.74
1012.88,29.9141,54.6385,33,1008.37
988.86,74.7046,56.367,34,994.17
1009.22,46.0722,56.5531,35,1009.42
901.73,45.5862,55.293,36,942.57
1012.09,45.693,55.6981,37,1015.2
1028.08,34.1243,53.962,38,1026.88
1005.52,45.435,55.3059,39,1005.37
577.54,52.8148,53.768,40,490.85
343.48,52.0186,54.3697,41,281.92
576.65,60.1171,55.0583,42,916.64
997.61,51.1517,56.0498,43,998.52
496.26,57.6525,51.6293,44,457.1
375.33,100.5935,51.5176,45,383.56
1072.74,19.2761,51.3969,46,1031.44
1028.63,21.1015,51.0478,47,1161.82
15.62,41.2471,55.9992,48,8.25
159.93,76.1194,56.4649,49,165.47
315.5,24.0917,52.5228,50,215.5
895.6,18.7212,52.38,51,1002.07
663.54,42.132,49.7287,52,994.86
554.77,88.8422,50.5587,53,1034.02
382.73,84.1922,51.0429,54,529.48
712.74,56.9913,49.4398,55,716.9
510.45,73.2612,49.3263,56,794.31
507.35,66.4511,49.382,57,813.33
397.87,44.4032,49.9812,58,387.61
443.03,51.8316,50.3151,59,616.55
389.51,26.3317,49.9448,60,360.04
597.71,43.9994,48.8573,61,1137.08
554.02,30.7942,49.5527,62,1508.05
770.43,44.404,50.9154,63,1044.42
181.94,71.776,55.0133,64,151.69
591.23,54.0408,50.6575,65,1007.97
527.2,39.4392,51.8217,66,437.78
758.49,28.4701,51.6046,67,1004.31
994.12,33.9711,54.6905,68,999.09
1001.06,44.5583,55.0722,69,1006.45
370.84,25.3303,51.0785,70,1048.07
393.18,42.6391,49.2004,71,397.48
637.28,55.6006,51.1125,72,1028.54
489.76,25.52,50.0335,73,991.24
656.65,25.5282,51.1005,74,215.72
271.07,47.9436,53.1041,75,431.02
976.74,56.2713,54.796,76,1038.04
387.59,38.2828,53.4494,77,297.92
976.1,35.7189,53.1281,78,1048.71
1007.76,43.7274,56.2722,79,1011.0
1032.14,39.8152,55.441,80,1037.04
645.63,32.4311,50.7628,81,535.67
1000.55,49.9831,57.2934,82,1007.27
744.03,34.3409,55.0014,83,962.44
1000.86,45.8307,56.5511,84,1004.21
813.29,26.8654,53.3677,85,898.14
166.48,40.9236,53.8241,86,233.97
795.47,43.1462,50.0211,87,947.43
-16.21,46.657,54.0508,88,-16.81
1005.6,55.4502,56.6353,89,992.86
1002.75,43.7281,56.247,90,999.07
1013.98,48.3903,56.4559,91,1015.16
191.51,26.2723,53.385,92,63.85
808.38,43.8758,54.1138,93,1009.57
525.18,31.9086,50.2218,94,404.58
221.0,53.3526,55.2048,95,177.55
1014.42,47.9759,56.0882,96,1015.66
1045.56,24.6531,53.4964,97,1017.8
898.66,19.2106,50.1848,98,1101.46
1047.24,17.7783,51.1708,99,1045.42
1000.48,19.3828,51.4243,100,924.99
1031.72,15.6792,49.2708,101,1268.87
1424.53,15.4369,48.8923,102,1634.75
1376.77,15.2084,48.1219,103,1667.41
569.11,25.4141,49.1206,104,730.69
756.24,13.279,48.4273,105,1560.83
552.67,18.4469,47.9551,106,796.67
1017.16,13.938,48.3191,107,2063.51
576.86,16.9342,48.408,108,434.26
573.03,16.4459,49.7858,109,743.38
585.48,13.2392,48.1444,110,830.82
996.88,14.1716,48.2502,111,1599.57
1058.28,14.4223,48.1116,112,1572.19
816.24,13.9768,48.6866,113,1290.27
1117.89,19.8043,47.8863,114,1443.31
860.7,16.1072,48.3128,115,635.97
1621.7,15.6735,48.2037,116,1636.83
1286.18,19.6645,48.5477,117,2136.33
1621.6,15.199,47.8564,118,1868.85
995.45,17.3885,47.4962,119,2234.32
847.05,18.9697,48.1859,120,1675.49
885.21,25.373,48.7879,121,868.61
887.36,15.2862,49.3354,122,789.06
1082.72,13.6897,48.1134,123,1471.85
1102.99,16.613,47.7552,124,782.7
991.42,18.1694,48.2831,125,1423.69
1275.39,16.541,47.8286,126,1480.64
1804.89,14.981,47.8944,127,1838.19
1655.33,13.9095,47.6323,128,2149.01
1709.18,15.3211,47.4105,129,1701.6
1443.14,14.3229,47.3912,130,1793.62
1699.57,14.3308,47.4024,131,2224.96
