Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Itration,Running Forward KL,Real Sto Return
0,21.0182,0,-286.7359619140625,211.59,0,33.3831,210.02
1,16.9039,5000,-195.65771484375,272.67,1,29.6427,273.42
2,28.1324,10000,-313.691162109375,328.54,2,30.3198,325.22
3,23.7352,15000,-299.8235778808594,342.7,3,31.3841,332.88
4,20.8885,20000,-313.92169189453125,361.31,4,30.5484,355.8
5,22.1676,25000,-321.0475158691406,537.72,5,27.0927,479.6
6,20.9307,30000,-326.1005554199219,577.24,6,26.757,571.75
7,11.9131,35000,-206.09259033203125,2088.12,7,25.0237,1591.39
8,19.5246,40000,-316.3173828125,723.75,8,25.261,673.14
9,19.3823,45000,-304.2836608886719,881.01,9,25.1389,863.71
10,17.4881,50000,-282.4180603027344,796.7,10,25.7816,868.04
11,16.3461,55000,-296.1036071777344,953.54,11,24.7652,923.71
12,14.1161,60000,-272.307861328125,1330.17,12,23.9613,1047.03
13,17.851,65000,-285.8009948730469,1080.85,13,23.2253,1150.12
14,18.3674,70000,-276.544921875,943.09,14,24.3012,1653.38
15,21.6428,75000,-293.3234558105469,1937.83,15,23.6202,1840.71
16,15.8894,80000,-186.91590881347656,2527.35,16,22.7063,1889.15
17,13.9269,85000,-195.00360107421875,2659.25,17,21.6968,1755.3
18,21.0221,90000,-260.346435546875,1021.68,18,22.8373,1633.48
19,17.3188,95000,-248.3307647705078,1117.7,19,22.6715,2044.15
20,16.7933,100000,-254.5908660888672,1003.92,20,22.9112,1737.03
21,17.5112,105000,-313.9002380371094,1013.57,21,23.4826,1377.39
22,13.4288,110000,-195.89439392089844,1757.18,22,22.2436,1908.2
23,23.3201,115000,-310.401611328125,1433.13,23,22.81,1362.37
24,15.8147,120000,-310.3927307128906,1505.39,24,22.9929,1935.39
25,18.0085,125000,-348.3567810058594,1806.78,25,23.2514,1931.13
26,20.6721,130000,-375.53173828125,3140.14,26,23.4003,1707.02
27,14.6924,135000,-257.259521484375,2794.71,27,21.8011,2110.34
28,15.593,140000,-266.3221740722656,2153.67,28,22.2355,2265.95
29,15.2556,145000,-220.3605194091797,3162.67,29,22.1487,2642.95
30,23.3372,150000,-413.79486083984375,1572.87,30,23.9978,1252.16
31,22.2408,155000,-299.4961853027344,2956.73,31,22.4231,1886.56
32,31.0359,160000,-388.9347229003906,2673.55,32,23.0512,1578.61
33,33.3619,165000,-458.5633850097656,1114.58,33,24.3107,1001.81
