Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Update Time,Real Det Return,Running Reverse KL
0,187.78884887695312,158.5064,-185.13,0,0,-42.14,11.5269
5000,-70.95510864257812,158.409,-117.23,1,1,-23.85,11.7052
10000,-24.40635871887207,158.2936,35.72,2,2,747.38,12.1342
15000,113.63629150390625,158.2381,246.83,3,3,704.14,13.1275
20000,217.2332763671875,158.2294,399.8,4,4,549.35,13.1784
25000,-19.464296340942383,158.0476,500.18,5,5,993.19,13.3267
30000,-61.0345344543457,157.7796,629.42,6,6,790.02,13.8861
35000,-274.89593505859375,157.8664,737.51,7,7,1122.23,14.2278
40000,-317.0218505859375,158.16,896.43,8,8,1290.09,15.1864
45000,-620.1787719726562,158.0992,929.01,9,9,1403.81,15.0258
50000,-741.377197265625,158.1028,1005.61,10,10,1476.09,15.8445
55000,-912.7047729492188,158.0471,1083.63,11,11,1512.51,16.3101
60000,-1094.027587890625,158.0053,1155.72,12,12,1602.41,16.2509
65000,-1275.6202392578125,158.0082,1196.43,13,13,1610.77,16.5168
70000,-1502.5841064453125,157.9078,1201.49,14,14,1663.53,16.2133
75000,-1666.9886474609375,157.8388,1266.22,15,15,1689.23,16.4607
80000,-1883.85888671875,157.549,1327.11,16,16,1754.67,16.1796
85000,-2089.161376953125,157.9548,1374.03,17,17,1733.28,16.4651
90000,-2209.3935546875,157.9445,1373.78,18,18,1758.69,16.4481
95000,-2409.182861328125,157.9447,1410.94,19,19,1824.16,16.4871
100000,-2655.20703125,157.8154,1419.38,20,20,1765.2,16.4255
105000,-2905.410400390625,157.7947,1451.56,21,21,1849.04,16.417
110000,-3094.62060546875,157.7674,1478.24,22,22,1842.91,16.2945
115000,-3112.760986328125,157.7482,1487.56,23,23,1873.84,16.4382
120000,-3467.992431640625,157.822,1524.85,24,24,1850.89,16.6879
125000,-3698.519775390625,157.6202,1537.56,25,25,1878.69,16.6998
130000,-3876.260498046875,157.7687,1555.84,26,26,1961.13,16.7478
135000,-4000.485595703125,157.8113,1583.81,27,27,1903.14,16.652
140000,-4228.3935546875,157.7607,1525.83,28,28,1883.06,16.2337
145000,-4426.35107421875,157.4189,1626.27,29,29,1976.93,16.3883
150000,-4541.123046875,157.5652,1586.47,30,30,1956.73,16.4544
155000,-4802.67578125,157.5882,1553.77,31,31,1877.21,16.4659
160000,-4974.9794921875,157.5661,1593.0,32,32,1947.78,16.5451
165000,-5175.87353515625,157.4458,1565.01,33,33,1932.02,16.1079
170000,-5310.06884765625,157.4391,1616.48,34,34,1979.21,16.4908
175000,-5472.58251953125,157.5119,1617.52,35,35,1948.13,16.0983
180000,-5761.86083984375,157.5555,1598.24,36,36,1931.97,16.0256
185000,-5882.892578125,157.1717,1618.64,37,37,2015.72,16.288
190000,-6036.60546875,157.2644,1627.6,38,38,1938.75,15.957
195000,-6176.0556640625,157.3525,1688.1,39,39,2040.74,16.6408
200000,-6393.98095703125,157.4756,1652.54,40,40,2019.87,16.0325
205000,-6573.4375,157.096,1690.45,41,41,2072.5,16.093
