Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Reward Loss
0,0,76.3179,379.62,27.7864,0,-167.85,4.306994438171387
5000,1,74.6421,454.93,27.1962,1,-63.89,-5.781769752502441
10000,2,73.9846,570.12,27.8851,2,-29.79,-12.102469444274902
15000,3,72.6778,598.82,27.428,3,8.24,-29.22919464111328
20000,4,74.2072,479.36,29.4094,4,49.58,-56.63520812988281
25000,5,72.0746,538.98,28.9879,5,65.67,-75.45557403564453
30000,6,72.4932,615.1,31.1986,6,95.02,-94.48173522949219
35000,7,70.5749,929.88,30.2073,7,128.99,-105.89838409423828
40000,8,70.7854,930.55,30.797,8,144.15,-109.65176391601562
45000,9,71.7421,933.25,31.557,9,189.96,-130.29833984375
50000,10,68.6166,1139.9,29.7178,10,289.37,-145.81448364257812
55000,11,66.6641,785.33,28.8264,11,235.58,-156.67564392089844
60000,12,66.1973,1297.01,28.7672,12,451.69,-166.55746459960938
65000,13,67.3316,733.97,30.042,13,186.21,-179.42698669433594
70000,14,64.7898,796.1,28.368,14,252.04,-192.8284149169922
75000,15,64.6365,869.43,28.3429,15,295.25,-209.24266052246094
80000,16,65.3959,1088.78,29.3821,16,359.5,-216.5699005126953
85000,17,60.1983,983.81,26.5571,17,458.6,-219.52061462402344
90000,18,65.6194,1586.4,30.2526,18,450.62,-250.15115356445312
95000,19,61.0064,1057.45,26.5778,19,355.59,-242.77935791015625
100000,20,61.4122,1228.5,27.0785,20,482.22,-264.7111511230469
105000,21,65.7927,1291.17,28.6996,21,505.53,-284.4195251464844
110000,22,58.6245,1183.98,25.9288,22,708.68,-255.63674926757812
115000,23,62.0255,878.95,26.9974,23,448.21,-297.09423828125
120000,24,56.4483,1511.36,26.7856,24,1061.22,-228.2703857421875
125000,25,58.2401,1717.66,24.4632,25,957.91,-281.38189697265625
130000,26,56.3286,1277.32,25.4946,26,1190.64,-262.95947265625
135000,27,55.7863,1780.03,25.5016,27,1239.74,-257.9026794433594
140000,28,57.4351,1928.48,27.2162,28,1031.36,-284.419921875
145000,29,56.3898,2059.73,31.5468,29,899.5,-214.89736938476562
150000,30,56.2929,2868.06,30.3583,30,1870.9,-249.6715850830078
155000,31,55.9155,2655.56,26.2163,31,1535.93,-279.4500732421875
160000,32,58.6038,1094.95,24.3206,32,492.83,-362.0341491699219
165000,33,57.9958,1754.28,26.4026,33,939.03,-339.9563903808594
170000,34,58.9329,1502.96,32.9376,34,1532.33,-266.1149597167969
175000,35,59.0737,3024.55,27.0233,35,2454.34,-345.3867492675781
180000,36,60.8925,2772.41,38.8909,36,1706.13,-215.88998413085938
185000,37,57.1604,1288.65,31.7421,37,828.03,-282.8203125
190000,38,57.9746,2221.59,31.1881,38,1795.71,-305.3846130371094
195000,39,59.8186,2896.18,37.0096,39,2348.78,-271.5284729003906
200000,40,59.1034,1884.2,38.4837,40,1565.62,-257.3776550292969
205000,41,58.7417,2922.06,31.997,41,2263.3,-318.70355224609375
210000,42,56.8636,2650.62,31.3775,42,1470.65,-331.4479675292969
215000,43,59.7518,3605.6,38.9208,43,2591.92,-305.7438659667969
220000,44,60.8162,3611.42,39.7099,44,2742.65,-302.4755554199219
225000,45,60.1967,977.9,29.3278,45,900.14,-429.7789611816406
230000,46,59.8463,3562.59,39.2777,46,3179.29,-301.2209167480469
235000,47,63.5773,3476.7,46.2592,47,3222.9,-252.40676879882812
240000,48,60.2866,3958.73,39.8936,48,3363.56,-338.1057434082031
245000,49,62.8667,3583.78,43.3557,49,2591.84,-316.8708801269531
250000,50,60.6272,3550.23,36.4515,50,2637.54,-369.3444519042969
255000,51,60.9807,3054.25,40.8394,51,2456.51,-363.2478942871094
260000,52,64.2126,3621.24,52.6071,52,3020.58,-337.6251525878906
265000,53,60.8982,3166.07,43.2697,53,2876.01,-365.3133850097656
270000,54,61.1399,3474.96,41.3038,54,2716.26,-405.2748718261719
275000,55,62.0086,3157.66,42.296,55,2136.0,-418.08026123046875
280000,56,62.9106,3152.48,49.2083,56,2799.22,-363.2519836425781
285000,57,62.4332,4405.87,37.1947,57,3430.24,-509.8307800292969
290000,58,62.8329,3046.57,42.2358,58,2960.17,-415.185546875
295000,59,63.8819,4455.58,46.7629,59,3570.46,-439.7127380371094
300000,60,70.1215,4431.07,57.4214,60,4280.13,-361.1695861816406
305000,61,65.0612,4591.89,48.2217,61,3887.25,-384.9372863769531
310000,62,62.534,3307.13,42.889,62,2113.78,-456.14227294921875
315000,63,65.8516,4477.94,55.0934,63,4063.24,-420.3993225097656
320000,64,72.1229,4617.49,65.558,64,3782.44,-402.954345703125
325000,65,66.1018,3621.0,59.4663,65,3355.64,-464.1412353515625
330000,66,64.6332,3790.51,49.9397,66,3867.52,-484.6965026855469
335000,67,62.8537,2708.05,45.7372,67,1824.9,-538.78369140625
340000,68,67.808,4637.69,58.6859,68,3307.93,-484.9338684082031
345000,69,71.1018,4010.16,65.6944,69,3905.41,-461.2535705566406
350000,70,69.6939,2972.31,56.6587,70,3056.35,-558.8799438476562
355000,71,66.5076,4569.97,58.7969,71,2421.61,-520.2008666992188
360000,72,70.6617,4627.12,60.2627,72,4400.04,-494.65936279296875
365000,73,73.0758,4526.81,70.6884,73,4177.74,-510.6898498535156
370000,74,70.156,3932.61,64.3613,74,3399.12,-537.4200439453125
375000,75,66.2189,3224.3,54.3365,75,2621.16,-590.927734375
380000,76,65.3939,4518.57,55.1532,76,3478.98,-575.5274047851562
385000,77,75.1163,4961.32,67.9094,77,3965.0,-577.9769287109375
390000,78,65.7682,3899.98,54.5216,78,2883.17,-593.5478515625
395000,79,71.8559,4825.65,68.7824,79,3465.97,-601.476806640625
400000,80,67.4174,5139.17,58.6886,80,4418.37,-632.829345703125
405000,81,76.1693,4823.56,74.7907,81,3882.96,-639.1410522460938
410000,82,75.9196,4690.52,73.5996,82,4810.62,-639.7815551757812
415000,83,76.6939,4523.52,73.1773,83,4492.1,-663.6489868164062
420000,84,73.2231,4991.24,65.4057,84,4393.48,-671.2232666015625
425000,85,69.1599,5082.51,66.4173,85,4372.49,-720.8366088867188
430000,86,75.3256,4906.0,69.8565,86,4389.44,-718.2420654296875
435000,87,74.5476,5099.39,69.2672,87,4072.17,-712.0182495117188
440000,88,76.4464,4454.44,73.2529,88,4368.98,-741.3190307617188
445000,89,68.4768,5212.38,64.599,89,4359.08,-747.4534301757812
450000,90,69.513,4912.73,64.8371,90,3755.95,-778.48876953125
455000,91,74.8433,4235.25,70.4992,91,4266.72,-801.0650634765625
460000,92,69.6351,5090.35,67.2521,92,4534.23,-834.3809814453125
465000,93,72.199,5245.2,69.0653,93,4395.3,-818.5517578125
470000,94,74.1929,4370.06,70.6949,94,4253.49,-840.9572143554688
475000,95,77.401,4595.46,79.3063,95,4660.38,-872.2570190429688
480000,96,74.6685,4892.16,70.7743,96,4250.81,-881.045166015625
485000,97,77.1563,5110.03,78.0726,97,4543.39,-901.8463134765625
490000,98,67.8602,5165.87,60.6447,98,4890.87,-936.3681030273438
495000,99,78.8829,5172.23,75.4677,99,4563.34,-961.3843994140625
