Itration,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return
0,27.0459,378.36,75.554,-105.66
1,26.5108,555.08,73.9787,-42.42
2,27.6334,362.87,74.1973,-2.97
3,28.4095,639.29,73.2068,29.42
4,30.4201,704.12,72.0188,46.47
5,30.0488,665.29,71.8446,93.59
6,31.1855,824.13,73.0139,93.9
7,31.6939,735.95,73.2001,147.7
8,31.7147,772.63,71.5835,198.06
9,32.0424,894.7,71.2352,152.1
10,32.465,870.85,72.5624,193.91
11,32.1948,938.53,73.5901,174.08
12,32.6009,765.2,72.4292,177.49
13,31.7255,798.26,72.2179,195.64
14,31.5883,795.24,72.0167,212.39
15,32.3516,897.08,72.0965,246.35
16,31.4389,869.86,69.8209,307.54
17,31.4473,907.04,69.8453,269.16
18,31.5556,985.97,71.8863,289.18
19,32.3876,857.53,70.605,324.23
20,32.412,1093.1,72.2719,297.15
21,31.7931,920.42,70.7758,303.46
22,30.2162,923.48,67.2266,240.61
23,30.7477,1225.26,70.1906,369.53
24,31.0019,1231.64,70.1546,374.25
25,31.0238,1412.36,68.1059,401.58
26,30.2539,1489.95,67.6776,442.51
27,29.0342,1651.57,66.1486,614.28
28,30.205,1430.32,68.4771,404.46
29,28.2624,1124.08,66.5337,311.69
30,28.0909,1337.06,66.9066,458.92
31,28.2178,1355.06,65.2533,592.34
32,26.9645,1640.54,63.1315,512.76
33,28.8773,1161.72,66.4081,416.9
34,27.7478,1779.9,63.6152,676.34
35,26.9145,1345.24,64.8141,519.61
36,27.1769,1689.09,64.8034,400.03
37,26.2385,1789.8,61.7668,784.54
38,26.0531,2119.41,59.8538,793.93
39,27.2491,2109.49,61.1684,1138.41
40,26.0167,2042.29,62.527,764.14
41,25.5844,1646.22,61.326,772.29
42,26.0014,1652.4,62.3436,509.01
43,26.2306,1466.35,64.6756,735.78
44,25.6884,1886.16,61.4764,902.68
45,25.4159,1998.16,61.8635,877.53
46,24.6275,1827.69,60.1566,862.48
47,25.8833,1961.97,60.2972,1172.09
48,26.7733,2514.53,59.3633,1443.91
49,25.2514,2389.49,60.3568,993.41
50,25.674,2289.4,59.4335,1624.1
51,25.6445,2276.22,61.8754,1377.88
52,24.1534,1526.21,60.0268,1591.25
53,24.6458,2355.0,60.2955,1717.54
54,25.3557,1807.41,63.1496,1138.76
55,32.0365,2339.24,61.5405,1634.41
56,32.014,1912.49,61.8343,1987.88
57,26.2906,2558.74,61.2595,1576.01
58,30.3865,2488.55,61.3289,1812.37
59,25.9686,1646.04,62.1082,1188.19
60,25.6609,975.07,63.9473,964.26
61,31.0755,1557.69,63.8879,1023.28
62,33.8526,2503.24,65.1648,1863.31
63,33.7435,2689.6,63.8062,1746.71
64,35.3214,2795.71,64.4525,1813.37
65,49.2548,3280.68,70.3635,2286.83
66,41.352,3444.78,67.369,1985.21
67,40.4549,3899.21,65.775,2343.95
68,38.7876,1967.34,65.8043,2267.6
69,38.6439,2621.96,65.5412,1901.67
70,46.0734,3183.08,68.8386,2940.2
71,46.72,3285.88,69.0763,2933.14
72,48.8239,4107.32,70.5239,2632.72
73,46.5978,3358.35,70.2319,2365.84
74,50.5911,3540.78,70.0306,3057.12
75,42.5887,3766.19,67.2833,2804.76
76,46.1772,3011.31,70.8189,2178.07
77,51.069,4166.33,72.3383,3281.27
78,47.1259,2565.56,72.235,2241.08
79,48.2253,2681.24,69.7357,2261.06
80,66.2237,4248.44,80.4362,3713.42
81,48.2574,4001.72,71.0318,2745.26
82,55.7722,4321.22,71.8254,3006.15
83,51.9119,4237.13,70.0156,3940.6
84,63.6954,4222.19,77.4975,3332.61
85,62.6576,4066.64,78.2814,4164.56
86,62.1024,4245.53,72.9638,3187.72
87,61.5608,4359.42,77.511,3512.68
88,55.0733,3642.91,72.4078,2630.83
89,54.8107,4257.2,72.0027,3803.34
90,43.7302,3828.31,69.0803,3210.59
91,59.44,4659.63,73.7141,3606.12
92,56.1838,4623.11,71.0017,3561.91
93,53.6714,4579.35,70.9004,3965.72
94,71.858,4564.41,84.2434,4378.8
95,55.4214,3644.25,72.6263,4171.58
96,64.5466,4151.57,78.6589,3696.36
97,71.1907,4433.33,82.7616,3580.19
98,56.2725,3958.57,71.598,2744.3
99,64.6617,4114.87,73.998,3082.77
100,65.6812,4743.67,78.9455,3999.82
101,65.6478,4390.2,77.3685,3947.46
102,59.0777,4102.46,73.5986,3325.62
103,67.678,4319.27,80.6415,3890.24
104,60.2869,3869.36,74.8703,3730.7
105,58.0233,4372.66,73.5551,3894.95
106,63.5568,3620.68,76.4443,3803.02
107,71.164,4168.94,80.6996,4120.99
108,63.9067,4988.08,78.3661,3858.31
109,70.9037,4956.85,80.5792,4057.68
110,70.1067,4479.55,78.69,3906.67
111,70.2593,4751.65,79.334,4427.0
112,56.8098,3990.3,72.8265,3623.98
113,64.3731,4754.7,73.8569,4387.0
114,64.6288,4390.67,76.336,4056.67
115,64.0774,4670.81,77.5913,4467.1
116,59.1746,4801.72,73.764,4536.19
117,62.1821,4438.33,73.9308,3376.62
118,67.6891,4925.37,77.4601,4041.13
119,61.1252,4821.74,73.8407,4744.87
120,72.1246,4696.55,77.1439,4149.38
121,73.8354,4954.75,84.2615,4554.51
122,62.6088,4953.28,72.2605,3889.04
123,66.1776,4482.31,81.0473,4400.78
124,77.4168,5013.97,83.8063,4431.41
125,65.9923,5114.89,73.4912,4338.09
126,67.9204,5112.42,73.9613,4833.77
127,66.554,4542.55,73.9223,3568.66
128,73.3777,4958.58,82.6073,4639.05
129,73.8364,4877.08,81.6501,4801.4
130,72.4278,4888.89,82.6275,4518.52
131,76.5565,5237.42,85.1315,4586.66
132,76.8279,4663.65,83.2465,4442.06
133,80.4562,4565.13,81.877,4272.33
134,75.7847,4864.43,81.5708,4214.29
135,72.9756,4774.2,81.0058,4844.02
136,76.303,4704.03,82.8715,4575.9
137,70.594,4855.49,79.2597,4494.36
138,78.6093,5240.17,82.0317,4758.25
139,70.796,5219.51,77.9956,4621.19
140,69.5365,5030.66,75.8499,4472.87
141,79.7232,5248.95,86.9224,4951.58
142,79.3833,5274.28,82.6261,4971.27
143,75.2524,5051.62,80.4847,4850.47
144,77.673,5264.12,85.2818,4463.2
145,71.163,5088.51,77.6074,4706.15
146,75.2158,4889.71,81.1183,4794.92
147,65.1529,5118.63,74.9594,4712.76
148,75.2809,4863.93,81.309,4346.38
149,75.7004,4867.3,80.4784,4336.76
150,79.0859,5050.43,86.054,4106.11
151,78.9678,4733.75,82.4761,4750.57
152,85.2835,5092.06,89.2739,4656.99
153,80.0522,4978.99,85.3673,4629.64
154,81.2924,5264.89,85.9124,4902.68
155,70.9331,4682.85,75.9784,4564.16
156,75.1152,5271.04,80.8497,4434.57
157,86.8271,5155.43,91.1789,4546.51
158,75.3544,4836.95,79.0524,4366.26
159,60.5437,4978.28,73.2773,4628.99
160,81.2369,4787.02,82.8737,4827.19
161,71.4085,4973.25,78.2968,4029.96
162,76.7586,5062.28,82.2539,4209.34
163,79.589,4976.82,81.7669,4614.52
164,82.1376,5048.85,85.5787,4795.69
165,87.5052,5161.19,87.0147,4884.71
166,62.3751,5156.06,72.7514,4763.91
167,78.7695,4948.52,83.2817,4474.43
168,69.2294,4975.4,73.3441,4489.67
169,83.7293,4748.08,87.4708,4574.52
170,85.3895,4868.51,88.5318,4637.35
171,85.1536,5210.37,85.8563,4985.4
172,75.8986,4857.19,83.0041,4730.37
173,71.4215,5072.39,81.0679,4295.5
174,79.2015,5167.42,85.899,4755.44
175,83.6938,5019.69,85.9388,4804.39
176,71.4095,4913.22,83.949,4952.68
177,84.8143,5088.19,85.031,4905.78
178,77.3425,4891.01,82.4765,4772.27
179,72.5108,5054.72,76.2202,4869.08
180,79.6392,5012.97,84.108,4679.46
181,80.0185,5217.87,85.2526,4649.75
182,83.5416,4894.13,86.543,4929.22
183,78.4234,4731.95,84.5369,4126.11
184,83.9678,5073.02,87.5978,4500.69
185,79.2401,5156.21,85.4201,4875.88
186,74.613,4595.63,74.1885,4658.15
187,84.5117,4568.42,86.3683,4678.59
188,82.7043,4549.34,86.1204,3780.05
189,82.8568,5185.69,86.1408,4387.14
190,86.3144,5268.26,85.9806,4932.7
191,83.9764,5253.55,86.5984,4404.6
192,82.9116,4802.56,87.3623,3948.74
193,81.1537,4714.6,84.0652,4489.09
194,83.2442,4604.42,88.4447,4893.72
195,69.3653,4475.31,73.8846,3876.5
196,76.1982,5338.22,79.0382,5149.66
197,87.7518,5367.74,89.5824,4615.11
198,80.6671,5133.94,84.5525,4938.09
199,83.1436,5049.65,86.4566,4737.42
200,85.4149,5269.81,87.7741,5050.0
201,87.6948,5078.09,90.191,4703.17
202,85.1684,5013.87,86.8771,4354.54
203,80.42,4428.99,84.9743,3767.74
204,82.0687,4974.94,85.8528,4579.66
205,79.2815,4889.59,85.4527,3743.91
206,84.9398,5162.41,89.2781,4965.92
207,73.3601,5038.25,75.4051,5139.61
208,84.5278,4725.78,85.7605,4604.02
209,86.1236,5323.89,86.9839,5181.67
210,84.7275,5043.29,88.4351,3643.08
211,83.0564,4950.8,84.0495,4235.61
212,82.3914,4935.27,88.1379,4839.53
213,86.4575,4993.99,89.0143,4556.69
214,74.3694,4732.16,76.6988,4281.97
215,80.7031,4937.09,84.8143,4926.05
216,81.9742,4537.96,87.1577,3900.14
217,85.4091,4567.3,86.4235,4503.75
218,77.0559,4509.51,78.1153,4106.75
219,76.1549,4866.55,77.7014,4162.01
220,79.6978,5283.66,80.7106,4560.17
221,85.2943,5434.42,90.6887,5003.37
222,83.3623,5391.58,87.4884,4590.38
223,84.4602,5124.72,85.0984,4924.5
224,76.3299,4817.35,78.4721,4284.98
225,81.8164,5311.48,87.6564,5020.66
226,79.8237,5152.26,86.4075,4802.77
227,83.7583,5399.01,88.602,4704.6
228,86.0846,5209.51,85.7399,4671.23
229,79.573,5193.78,78.7168,4505.36
230,82.9025,5099.1,89.2693,4837.5
231,85.2198,5489.63,89.406,4635.4
232,81.9798,5383.49,80.6005,5191.32
233,82.4042,5479.15,87.5419,5120.94
234,80.9888,4939.59,86.0456,4742.38
235,85.3335,5398.0,87.6515,4965.07
236,84.0076,4970.79,87.4321,4697.21
237,82.9429,4979.21,88.402,4729.77
238,85.7679,5248.92,87.6063,4564.07
239,90.3701,5200.12,90.1892,4735.37
240,74.1383,5222.92,75.4149,4796.01
241,85.5399,5283.77,88.9701,4828.8
242,84.1926,5343.25,86.966,4486.01
243,87.7751,4966.56,90.6405,4073.01
244,85.1295,4906.42,88.4637,4337.64
245,88.2755,5484.01,90.815,5003.28
246,86.0181,5300.11,89.2536,4729.36
247,84.1238,5005.49,88.0356,4782.83
248,85.9212,5254.57,86.5354,4668.75
249,82.273,5306.65,89.7782,4629.62
250,83.0514,5526.53,87.5056,4476.74
251,86.2133,5264.44,88.5947,4803.27
252,82.596,5286.28,87.3973,4598.49
253,81.7681,5479.08,82.4574,5062.01
254,86.2604,5467.32,88.616,5261.07
255,80.7071,5438.78,87.6008,5233.15
256,86.0787,5168.98,89.2643,4878.88
257,81.0078,5504.69,86.8849,5240.62
258,76.5684,4980.0,78.8365,4378.78
259,82.9514,4816.91,87.6685,5278.48
260,87.3673,5569.4,89.8247,4931.0
261,82.2622,5230.55,82.6262,5067.06
262,82.1512,5363.08,80.3854,4978.65
263,86.1077,5197.77,87.9263,4990.17
264,81.3111,5611.29,87.7891,5019.76
265,81.0021,4848.03,84.3234,4577.25
266,83.785,5528.72,88.5317,5392.38
267,84.0435,4693.78,87.6189,4888.08
268,75.2201,5204.53,76.5848,4639.49
269,84.6119,5592.94,88.0893,4967.07
270,86.5392,5202.79,88.1282,4167.64
271,82.0467,5386.24,86.38,5106.91
272,79.7459,5401.55,83.3352,4764.33
273,83.0865,5620.23,87.9517,4392.54
274,83.688,4555.03,88.2229,4848.36
275,78.0136,5246.53,83.5324,4670.74
276,83.4242,5270.72,89.4218,5345.92
277,79.2207,5175.27,85.8879,4902.5
278,83.1899,5482.9,88.9329,4899.25
279,85.4199,5254.5,88.9722,5132.52
280,79.8665,5545.41,80.5937,5420.34
281,78.5188,5515.86,85.4867,5143.04
282,82.6353,5687.24,88.2607,5246.5
283,80.5509,5722.05,87.1471,5464.24
284,80.7978,5375.68,86.9619,4724.26
285,73.0076,5672.81,77.6808,5332.06
286,79.2602,5016.84,85.7909,5244.0
287,63.7919,5730.02,73.344,5312.66
288,76.3969,5490.17,85.5111,4796.34
289,79.5411,5339.64,85.4076,5101.21
290,78.1161,5686.86,86.3782,4821.08
291,81.0632,5396.32,87.266,5263.26
292,81.1115,5614.25,88.3064,5207.12
293,79.111,5417.45,85.1386,4716.14
294,80.816,5387.35,86.899,4885.34
295,79.393,5743.43,84.8886,5234.55
296,79.8925,5294.79,86.1452,4129.21
297,75.276,5336.91,83.5338,4679.73
298,68.4728,5119.15,72.3341,4485.05
