Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Itration,Real Det Return,Running Update Time
0,20102.759765625,312.94,291.9494,444.9256,0,302.89,0
5000,20818.556640625,303.51,301.7871,441.3281,1,286.92,1
10000,13073.53515625,360.23,292.9728,433.0065,2,370.88,2
15000,14783.310546875,398.24,319.9987,421.2091,3,400.58,3
20000,13820.9970703125,415.1,295.5961,426.9732,4,426.24,4
25000,11888.052734375,444.96,277.0416,418.1286,5,460.83,5
30000,13789.1396484375,452.5,302.8956,408.2562,6,454.78,6
35000,11298.9287109375,506.43,277.1238,417.1336,7,550.91,7
40000,8854.12109375,539.49,267.5526,391.1801,8,581.3,8
45000,9609.642578125,484.1,277.7016,385.0478,9,551.99,9
50000,10250.447265625,522.71,262.9067,371.1682,10,509.44,10
55000,8802.5009765625,567.32,278.3641,373.9972,11,627.65,11
60000,7551.740234375,619.32,277.6566,365.0378,12,646.46,12
65000,6306.58251953125,633.71,294.8991,362.459,13,617.9,13
70000,5511.79150390625,665.45,349.662,345.3733,14,652.12,14
75000,5347.69970703125,617.97,336.1589,373.3584,15,611.63,15
80000,3640.819580078125,618.87,295.2343,356.7219,16,592.55,16
85000,3325.267822265625,831.13,309.4304,336.0769,17,587.29,17
90000,1041.8106689453125,783.54,261.3691,326.5271,18,620.2,18
95000,-638.3408203125,804.12,260.3506,343.2935,19,849.86,19
100000,-2320.806640625,841.77,272.0865,327.3789,20,779.22,20
105000,-27.2644100189209,909.12,256.6105,341.0087,21,758.77,21
110000,-3098.4755859375,915.89,279.842,335.5526,22,797.91,22
115000,-5301.1748046875,844.92,283.7634,343.8827,23,643.31,23
120000,-9442.3212890625,860.58,323.1692,333.9647,24,770.91,24
125000,-9137.224609375,890.82,356.5827,347.1937,25,639.19,25
130000,-7685.115234375,862.25,301.1846,322.0821,26,747.73,26
135000,-8868.6943359375,1205.25,308.2975,328.7596,27,823.96,27
140000,-11270.44140625,1184.77,337.8296,325.835,28,688.6,28
145000,-12031.9033203125,1214.35,282.9161,322.7594,29,813.91,29
150000,-12417.7822265625,1587.47,257.2717,305.7126,30,716.4,30
155000,-13231.5419921875,1278.31,277.4592,308.2725,31,594.99,31
160000,-13670.669921875,1296.35,227.2824,300.4305,32,1311.86,32
165000,-9475.5556640625,1709.65,159.3341,293.5699,33,1485.84,33
170000,-15395.11328125,1909.45,253.527,307.6555,34,1616.57,34
175000,-8455.6005859375,3411.2,118.9338,286.7301,35,2622.78,35
180000,-11709.8974609375,2346.1,180.3481,307.1474,36,1997.05,36
185000,-7972.0498046875,3149.88,101.6411,277.6329,37,1866.17,37
190000,-9686.68359375,2650.86,118.1084,283.8502,38,2370.4,38
195000,-11942.73828125,3526.83,116.0909,283.2849,39,2617.7,39
