Running Reverse KL,Itration,Real Sto Return,Running Forward KL,Real Det Return
24.1171,0,-27.06,73.3071,293.37
26.586,1,-30.96,73.7041,408.28
27.161,2,-26.27,72.669,554.89
28.4654,3,15.76,72.5724,540.33
29.0746,4,59.05,71.7873,753.52
30.0975,5,132.66,70.4715,502.0
31.2935,6,211.88,70.1329,716.62
30.5926,7,162.4,69.4932,802.48
30.2282,8,189.72,69.5731,577.6
29.6915,9,291.09,65.9808,863.13
30.9243,10,207.31,66.6381,930.82
32.0127,11,413.5,69.6907,1007.48
29.6798,12,319.83,65.2129,1021.86
28.2452,13,308.62,62.1094,889.25
29.8804,14,269.14,64.4267,775.82
28.3261,15,304.29,63.3373,1184.96
28.2269,16,374.94,62.9074,852.09
27.475,17,357.32,60.9795,1101.33
27.3913,18,622.88,61.2845,1599.36
29.6901,19,264.31,68.1187,1008.59
26.6239,20,371.82,60.9281,1033.39
28.5259,21,509.05,64.5464,1193.04
27.5709,22,351.27,63.2554,933.23
25.9758,23,337.23,61.7195,1083.49
27.0683,24,295.7,62.2076,959.93
24.8827,25,316.24,59.4692,1123.24
27.4897,26,250.0,64.9228,965.03
26.6708,27,653.08,61.3741,1251.56
25.7819,28,737.01,59.0511,1504.2
26.0461,29,749.53,59.4845,1493.51
27.1555,30,470.22,62.6368,1236.13
26.154,31,389.71,60.8965,1162.22
24.5145,32,692.33,56.9353,1325.19
26.4605,33,722.07,62.3139,1350.43
25.142,34,623.26,58.9624,1341.63
24.6555,35,822.82,57.6833,1555.11
26.0847,36,843.87,58.1864,1456.52
25.5041,37,804.59,59.2602,1333.11
25.9078,38,493.98,59.0865,1189.84
26.8809,39,597.41,61.6189,1092.36
23.0358,40,1073.85,56.1114,1360.11
25.7989,41,1402.86,55.7733,2151.83
24.301,42,1320.57,57.8297,1876.05
25.8459,43,1339.5,56.6138,1942.6
24.7828,44,1416.82,57.0658,2108.54
24.8588,45,1037.02,58.2769,1551.23
24.4422,46,1464.24,55.6182,2416.75
24.9999,47,1605.63,54.4818,2447.45
23.1272,48,1671.27,52.9534,2689.17
26.1455,49,1452.11,54.4667,2419.05
24.0363,50,824.1,59.3901,1555.42
25.3608,51,1643.26,54.4482,2743.59
27.1013,52,1744.74,52.9942,2616.63
23.2097,53,1726.43,53.3672,2444.61
25.6464,54,1931.39,51.4572,2749.49
26.0033,55,1238.45,56.2773,1853.13
23.553,56,1735.67,54.8871,2260.03
23.5078,57,1753.08,54.3095,2547.31
23.8046,58,1168.72,56.1339,2074.0
31.6686,59,1608.52,56.2847,2810.22
24.0073,60,1749.1,52.8302,2471.58
26.6239,61,2058.56,53.7327,2473.78
24.2278,62,1791.27,53.0291,2693.65
23.6194,63,1772.6,55.082,2340.21
26.7818,64,1934.33,51.6012,2862.82
22.4657,65,1490.14,54.1218,2312.73
21.9267,66,1966.84,53.7429,2680.48
20.7843,67,1132.46,53.7705,1997.14
27.5068,68,2218.13,53.4241,3015.91
22.4239,69,1584.94,55.1862,2186.11
24.4283,70,2408.26,52.0207,3074.9
26.2158,71,2211.67,52.7816,2951.86
25.6049,72,1899.91,53.0636,3208.58
23.3508,73,2245.58,53.7493,2683.53
24.1561,74,1046.02,54.3114,2107.59
22.2888,75,1867.91,51.4106,2627.31
21.2128,76,1812.14,53.4581,2248.97
26.2877,77,2437.81,51.869,3276.33
23.109,78,2146.0,53.1609,2752.86
22.5968,79,2003.27,54.0879,2694.25
22.0359,80,1750.68,51.8777,2612.62
22.9058,81,2459.07,52.0431,3145.46
23.8661,82,2125.57,50.3845,3225.8
25.8424,83,2202.27,52.1782,3180.24
22.9233,84,2273.47,51.9121,3023.66
20.6405,85,1934.61,51.6205,2904.78
24.5148,86,2437.73,51.9511,3111.69
26.0583,87,2415.86,51.5523,2791.85
25.7222,88,2850.41,52.1113,3313.62
25.0232,89,2543.5,51.893,3467.4
27.0401,90,2546.82,51.1222,3318.56
22.507,91,2023.66,50.9378,3091.09
23.886,92,2228.68,52.0103,3078.81
24.3163,93,2388.66,50.0959,3254.98
24.5117,94,2790.63,50.1122,3464.26
27.9709,95,2769.75,52.4903,3406.29
22.964,96,2678.27,51.3223,3231.51
29.2991,97,2851.94,51.752,3471.42
21.2319,98,2137.46,52.6968,3397.5
24.1768,99,2135.36,51.6784,3333.73
22.4021,100,2748.05,52.8327,3411.76
23.5352,101,2399.16,52.5533,2907.12
22.3484,102,2961.15,50.626,3775.32
25.1222,103,2451.51,51.6411,3367.97
29.2581,104,3106.4,51.4321,3640.38
29.2406,105,2694.83,51.3548,3429.65
27.3238,106,3036.78,49.9928,3556.02
25.7561,107,3038.89,51.3072,3252.1
23.2624,108,2669.81,51.6209,3306.58
22.3516,109,3040.63,50.8237,3606.01
25.7192,110,2931.43,50.7011,3591.14
23.539,111,2095.89,51.0973,3224.82
24.453,112,2325.15,51.4869,3556.65
23.8849,113,3135.37,51.4094,3595.95
27.0962,114,2636.96,52.7204,3696.71
22.6829,115,2371.44,50.9037,3239.5
28.0043,116,2770.66,50.8807,3692.53
26.4836,117,2796.91,50.6972,3513.23
27.4069,118,2942.81,51.0714,3668.66
25.7562,119,3253.36,51.0744,3581.27
24.0694,120,2733.27,50.7178,3425.37
23.5393,121,3140.24,51.5796,3931.49
27.243,122,2890.33,50.86,3711.35
22.7476,123,2923.11,50.6356,3896.86
25.1552,124,2813.36,49.5108,3892.82
24.1917,125,2773.74,50.9745,3306.1
30.9649,126,2977.44,53.1417,3811.47
27.4899,127,3170.14,50.8338,4023.57
22.3333,128,2646.63,51.1123,3231.29
22.4317,129,2667.08,51.4066,3627.17
25.0685,130,2977.31,50.9416,3963.78
30.0456,131,2835.31,52.7092,3607.29
28.3922,132,3286.48,50.5378,3875.81
29.3965,133,2882.19,50.9837,3970.9
26.223,134,3010.47,50.6836,3963.38
24.826,135,2891.42,50.273,3628.92
23.5775,136,3129.68,50.3133,3946.78
20.3871,137,2624.57,52.1608,3903.79
23.069,138,2158.82,50.4873,3797.19
26.7226,139,2684.61,50.8539,3633.43
25.3071,140,2819.63,51.215,3935.65
26.8949,141,3017.7,51.7591,3885.51
26.6523,142,3218.93,50.751,4003.68
23.3273,143,3023.72,51.2708,3518.24
25.5579,144,2641.72,49.9174,3939.31
21.13,145,2166.58,55.0807,3056.59
25.2193,146,3147.72,51.7371,4079.4
28.8248,147,3287.64,52.6535,4009.96
25.2583,148,2466.42,51.6928,4119.1
25.5191,149,3205.1,51.7261,4194.14
23.3232,150,2912.97,52.425,3692.98
25.9337,151,2535.46,51.9712,3769.83
22.5562,152,3241.57,52.1923,3957.68
23.3062,153,2669.93,51.4943,3939.73
24.7449,154,3026.88,52.1891,4153.97
27.8823,155,2519.45,51.8943,3817.44
28.442,156,3366.23,50.9059,3963.17
28.4954,157,2847.2,51.4866,4087.38
25.3236,158,2977.72,48.6228,4110.48
26.3119,159,3164.45,52.5178,4026.41
23.0971,160,2832.65,51.6796,3955.47
29.6176,161,3037.15,50.6084,3998.03
27.1776,162,2530.77,51.5963,3951.6
24.9415,163,2718.1,52.2717,3052.57
24.9225,164,2794.63,52.4827,4079.99
30.3998,165,3097.18,52.3165,4157.33
25.6123,166,3342.12,51.7203,4145.22
29.8124,167,3274.34,52.8299,4070.62
27.3272,168,3148.18,51.9444,4033.6
28.765,169,3507.54,51.8829,4323.45
28.3963,170,3025.02,50.7107,3933.98
33.5079,171,3615.37,52.5805,4057.24
28.156,172,3501.09,50.9657,4134.75
32.0011,173,3230.8,51.8307,4125.78
28.2077,174,3507.83,52.425,4126.83
29.7092,175,3254.55,52.3933,4299.8
28.3493,176,3365.9,52.7842,4260.4
25.7326,177,3440.74,50.7285,4321.2
32.9408,178,2847.05,53.7993,4246.48
21.961,179,3452.17,52.761,3889.09
26.8887,180,2850.6,51.1595,3790.17
28.4902,181,3385.26,52.62,4196.68
29.8953,182,3494.61,52.3793,4245.21
31.6115,183,3299.72,51.9482,4380.97
32.1401,184,3748.97,54.2452,4049.48
29.311,185,3305.08,51.8764,4145.05
26.4729,186,3092.68,52.2488,3859.17
29.0772,187,2907.27,52.3645,3806.92
27.688,188,3390.98,52.51,4361.26
25.5987,189,2733.86,53.9628,4291.26
32.2081,190,3443.55,53.1008,4186.89
30.8071,191,3726.46,51.724,4404.55
33.5471,192,3258.31,52.9285,4290.39
27.5392,193,3288.88,51.6589,3555.42
32.1814,194,3367.87,52.8802,4260.63
29.1752,195,3167.64,51.8256,4048.09
26.5398,196,2374.59,52.3204,4130.25
31.2208,197,3230.43,53.0055,4221.83
27.2816,198,3290.08,52.7244,4225.11
32.4711,199,3439.76,52.5101,4068.14
33.0995,200,2768.83,54.0882,4291.32
32.8021,201,3676.59,53.3005,4366.75
28.4337,202,3005.35,53.707,4214.73
27.0861,203,3576.96,52.8539,3984.49
32.8921,204,3351.23,52.991,4024.83
34.4044,205,3682.76,54.581,4349.21
33.4216,206,3363.11,53.3268,4455.49
30.6802,207,3700.31,53.4811,4399.65
29.7862,208,3224.29,53.6603,4168.56
24.5834,209,3351.21,53.0145,4433.75
30.0441,210,2668.82,52.4158,3767.55
30.4021,211,2607.19,51.9171,4030.76
25.6925,212,2523.4,53.5644,4303.28
28.617,213,3058.0,53.4297,4101.88
24.4317,214,2852.42,53.247,4478.51
31.195,215,3242.91,54.1893,4223.99
28.4817,216,3584.21,52.0946,4444.32
30.5677,217,3202.18,53.351,4062.83
29.2041,218,3398.1,53.0741,4556.45
30.0983,219,3172.08,52.149,4259.58
30.8362,220,3263.93,53.2927,4230.52
26.6907,221,2722.01,53.0647,3672.9
33.1486,222,2951.92,53.6329,4228.28
29.0372,223,2761.65,52.6491,4488.96
26.5899,224,3199.7,53.5743,4112.54
33.1135,225,3223.64,54.2757,4325.91
30.9457,226,3279.72,53.9831,4129.7
26.3583,227,3343.31,53.2998,4036.73
32.263,228,3452.11,52.6384,4110.83
30.4342,229,2499.33,52.3464,4432.96
26.2707,230,3675.99,53.1456,4296.83
23.981,231,1940.72,52.9819,4014.0
23.8712,232,2120.59,53.8002,3556.57
30.6219,233,2721.14,53.1246,4379.02
33.9696,234,2881.46,53.5279,4360.11
24.9887,235,2803.73,52.3123,4118.99
29.0669,236,3334.64,52.1377,4388.93
29.3496,237,2430.84,53.7982,3827.98
24.6263,238,2841.53,52.7528,4374.07
35.0484,239,2839.03,52.8747,4381.88
34.8167,240,3525.91,53.6886,4302.02
33.5717,241,3577.86,52.8672,4229.73
26.6476,242,3112.96,53.2896,4503.75
28.5544,243,2935.87,53.5503,4529.1
30.7742,244,3810.86,53.9065,4568.3
34.9116,245,3428.23,53.3362,4613.77
31.2166,246,3414.79,54.0917,4606.01
29.2586,247,3252.36,53.947,4408.15
28.6261,248,2925.03,53.3911,4553.11
28.7065,249,3011.47,53.5039,4107.86
