Running Forward KL,Running Update Time,Reward Loss,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Env Steps
422.1268,0,-666.6300048828125,259.2593,346.26,524.53,0,0
433.5222,1,-1181.34716796875,280.5253,331.61,340.33,1,5000
407.8647,2,-1384.388916015625,255.7938,386.94,435.92,2,10000
410.6805,3,-718.8901977539062,271.5352,381.07,297.93,3,15000
394.3768,4,-1065.31787109375,265.9946,428.92,445.2,4,20000
386.3071,5,-1229.57861328125,249.6961,381.38,484.76,5,25000
385.8961,6,-1684.825439453125,257.8444,444.26,427.12,6,30000
396.3608,7,-1516.718994140625,272.9557,429.72,475.1,7,35000
388.5571,8,-1865.3026123046875,291.584,422.76,385.54,8,40000
375.2292,9,-1703.4931640625,264.5901,494.62,447.12,9,45000
375.7689,10,-2121.36181640625,290.3899,505.42,415.61,10,50000
373.8624,11,-2073.18115234375,257.9086,510.64,516.37,11,55000
376.0693,12,-3047.81103515625,313.2712,506.88,451.61,12,60000
373.1491,13,-2629.4892578125,276.2128,630.91,477.3,13,65000
361.6418,14,-2990.245361328125,268.6287,556.45,485.15,14,70000
357.5048,15,-3263.30419921875,263.5226,651.92,661.81,15,75000
356.8832,16,-2847.548828125,245.8976,629.82,525.62,16,80000
355.1421,17,-3244.963134765625,244.9086,595.38,537.34,17,85000
353.204,18,-3366.60498046875,245.0712,721.4,709.71,18,90000
365.5634,19,-3172.121337890625,252.9272,630.81,599.21,19,95000
338.4729,20,-3925.24755859375,246.6646,707.31,734.21,20,100000
338.5267,21,-3965.75732421875,240.4624,753.93,721.63,21,105000
343.3165,22,-3984.79443359375,240.3564,818.16,699.13,22,110000
340.0242,23,-4255.4560546875,234.338,743.9,710.88,23,115000
337.8589,24,-5008.259765625,266.3107,774.27,658.6,24,120000
356.6182,25,-4535.66162109375,223.8924,817.83,591.56,25,125000
369.7163,26,-4503.61572265625,241.979,745.84,679.82,26,130000
335.492,27,-4708.85498046875,253.1965,807.64,790.36,27,135000
331.4134,28,-4637.51708984375,228.2817,935.64,676.2,28,140000
305.5922,29,-5374.04345703125,262.9406,818.08,733.63,29,145000
318.9935,30,-5929.53564453125,267.9621,888.51,604.04,30,150000
318.3791,31,-5537.4697265625,227.5005,842.31,583.38,31,155000
319.0947,32,-6194.10888671875,244.1071,833.08,689.19,32,160000
322.3724,33,-6134.8193359375,271.2094,1007.9,631.72,33,165000
315.5524,34,-6447.74951171875,290.1668,1142.25,562.82,34,170000
296.99,35,-6178.31005859375,205.0706,793.98,592.25,35,175000
337.6874,36,-6220.80810546875,225.7348,1033.65,924.03,36,180000
314.4048,37,-6780.724609375,249.3569,1137.31,897.98,37,185000
314.9101,38,-6776.53466796875,228.9649,1134.39,1232.54,38,190000
302.769,39,-6504.6591796875,212.7802,1163.6,1057.51,39,195000
308.5902,40,-6853.5,203.9538,1410.92,1401.19,40,200000
303.6624,41,-7171.4169921875,222.8233,1074.73,1399.92,41,205000
288.7851,42,-7208.623046875,215.8945,1196.77,1134.5,42,210000
289.2176,43,-6660.3134765625,179.1133,1757.46,2478.49,43,215000
287.7577,44,-6789.2119140625,186.1967,1458.24,3357.24,44,220000
303.7306,45,-6576.6142578125,172.1548,2418.37,1600.09,45,225000
290.281,46,-6788.10205078125,175.0434,1904.07,2870.23,46,230000
291.1341,47,-6851.2822265625,166.735,1716.03,1966.9,47,235000
299.6875,48,-6580.4453125,165.1073,1894.68,2646.79,48,240000
298.2093,49,-7570.9873046875,190.8946,2059.23,2739.56,49,245000
296.5372,50,-7644.408203125,178.0573,1866.53,1879.22,50,250000
265.2782,51,-4781.01318359375,104.1213,3682.94,2221.84,51,255000
280.8103,52,-5679.14013671875,130.0278,2699.0,1638.19,52,260000
270.8607,53,-5499.5625,119.1802,2577.63,1539.95,53,265000
266.6433,54,-5403.4150390625,111.1481,2389.87,3146.26,54,270000
267.75,55,-5689.0830078125,107.1187,3317.86,3810.3,55,275000
259.69,56,-3550.815673828125,68.0494,3388.36,3475.2,56,280000
290.9503,57,-8236.9384765625,175.9161,2318.8,1538.65,57,285000
257.9495,58,-4772.80517578125,89.5858,3825.25,1745.08,58,290000
263.0198,59,-4371.896484375,78.8006,3839.33,4033.72,59,295000
262.2135,60,-5927.9423828125,114.9576,3272.93,1730.72,60,300000
234.4541,61,-2465.666259765625,41.7457,4245.68,2054.07,61,305000
282.4813,62,-8095.52392578125,171.1696,2651.92,2129.65,62,310000
247.8028,63,-3449.609375,50.4274,3865.22,3021.32,63,315000
242.8339,64,-2343.146240234375,46.4531,4251.2,1298.64,64,320000
262.9914,65,-6556.6796875,115.2376,3653.26,1983.39,65,325000
263.3453,66,-7001.9912109375,132.8896,3508.87,1580.43,66,330000
257.7733,67,-4370.4619140625,74.7926,3331.22,1609.45,67,335000
260.9016,68,-4750.5693359375,80.4948,3332.56,1573.22,68,340000
252.9039,69,-5117.34326171875,85.7769,3841.89,2064.25,69,345000
285.364,70,-8641.423828125,177.8572,2083.76,1161.52,70,350000
