Running Forward KL,Itration,Running Reverse KL,Real Det Return,Real Sto Return
454.0978,0,288.5521,265.1,314.01
429.8234,1,246.7866,390.93,357.48
425.3014,2,241.9826,428.1,391.39
412.1722,3,244.1087,288.1,430.62
417.1268,4,254.5237,478.65,407.39
436.4918,5,274.4435,374.33,398.9
430.5991,6,292.216,331.8,352.33
424.0772,7,266.0621,384.95,430.06
421.7188,8,279.9549,416.82,503.03
412.0994,9,267.5177,553.05,448.01
410.583,10,306.0827,364.02,413.68
387.174,11,306.0305,363.68,465.15
399.4995,12,310.852,408.94,479.63
400.233,13,326.2661,484.06,495.41
405.2212,14,319.3116,489.28,540.28
412.6336,15,330.6497,453.62,504.85
393.2511,16,341.0469,615.14,529.71
385.4443,17,326.4616,470.69,581.27
382.6118,18,289.4596,423.14,535.24
367.0425,19,274.891,672.66,618.89
407.7897,20,345.3819,392.67,482.08
385.5463,21,310.8385,411.83,517.69
382.581,22,301.7395,469.46,575.1
380.7783,23,292.0276,508.8,649.64
377.1773,24,276.8321,515.41,653.38
376.0884,25,272.7966,689.45,771.41
374.7895,26,256.1791,516.46,703.47
376.1844,27,254.64,750.65,702.74
380.5172,28,270.6858,731.95,760.03
362.4746,29,252.2315,641.81,829.01
378.2714,30,272.9962,700.05,748.24
373.2671,31,268.8464,556.62,787.04
374.6096,32,276.7371,592.01,822.18
370.394,33,285.6166,538.0,748.49
361.2087,34,274.975,770.73,1087.62
366.894,35,292.7806,859.2,894.9
378.0707,36,264.5124,1119.51,914.22
367.8329,37,237.6965,1183.89,822.13
362.7854,38,239.5731,990.64,936.05
376.0813,39,259.7488,1114.22,831.58
376.6743,40,252.0571,1090.99,966.52
368.29,41,237.968,1684.73,985.49
376.321,42,249.4534,853.85,853.54
378.3616,43,261.7777,1304.81,816.06
366.1346,44,244.2544,1024.5,910.72
358.2417,45,235.3546,595.78,1070.64
373.1781,46,231.1775,1603.8,1260.75
360.7276,47,231.2206,1866.19,1146.73
357.0197,48,239.2999,1254.16,1334.12
367.9038,49,244.821,1793.85,1195.1
351.2164,50,254.3533,2092.94,1037.77
344.7665,51,244.0578,2138.47,2273.31
361.933,52,260.7156,1801.07,1140.09
340.4063,53,219.7,2980.53,1476.69
363.0301,54,270.0435,1542.75,1775.64
354.0433,55,282.075,1739.08,1707.35
349.9173,56,303.4868,2228.74,1786.16
322.7697,57,162.2555,3141.55,1984.08
337.3257,58,200.022,2662.35,1588.94
337.7852,59,212.9329,2748.82,2856.23
323.9674,60,199.6926,3706.7,2417.89
322.8659,61,193.9686,3503.43,3171.2
338.3396,62,266.2387,2070.17,1902.97
320.578,63,227.7805,3436.8,3018.91
318.5009,64,185.6914,3043.54,2418.93
313.7897,65,149.9434,2965.94,2502.45
335.5634,66,238.8071,3276.42,2829.85
323.9918,67,230.5497,3740.53,2415.86
322.9459,68,227.6809,4111.25,3019.87
323.2999,69,184.9985,4467.86,2962.7
316.4276,70,157.5035,5318.05,3542.75
300.4017,71,146.8304,5373.5,3704.5
300.0981,72,126.1975,5220.17,3132.58
335.9587,73,235.2138,5187.17,2883.76
339.2748,74,272.1829,4424.34,3140.32
