Running Update Time,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps,Reward Loss,Itration
0,206.54,39.2172,30.8867,198.89,0,277.52545166015625,0
1,316.99,37.7434,22.0872,293.71,5000,230.8204345703125,1
2,221.1,37.8878,26.2633,224.64,10000,236.3323211669922,2
3,440.42,36.6654,29.9277,454.4,15000,212.4081268310547,3
4,340.0,37.0831,18.8266,350.7,20000,185.89308166503906,4
5,288.87,34.0003,53.3772,287.25,25000,82.56401824951172,5
6,897.55,32.8942,21.6639,1160.21,30000,127.32288360595703,6
7,737.42,33.0205,28.0171,757.81,35000,147.060302734375,7
8,714.43,32.3364,19.276,807.95,40000,122.7744140625,8
9,1027.85,31.9233,18.0707,1157.55,45000,94.00043487548828,9
10,679.94,32.8975,57.7551,719.56,50000,152.73094177246094,10
11,953.9,30.9431,45.408,836.2,55000,136.70277404785156,11
12,1084.18,31.5292,21.3371,1182.35,60000,84.41741180419922,12
13,2300.56,30.5497,18.1521,2986.93,65000,17.563316345214844,13
14,2043.26,30.2327,18.6379,2981.35,70000,24.415407180786133,14
15,1206.12,30.8341,24.6421,1382.03,75000,64.64354705810547,15
16,884.47,32.7888,21.766,933.51,80000,65.59748840332031,16
17,2561.31,31.4869,17.8956,2983.91,85000,2.514064311981201,17
18,1129.17,31.2986,15.6373,1162.85,90000,40.91022872924805,18
19,874.14,31.7435,22.3412,993.48,95000,49.5401611328125,19
20,2368.82,30.9512,16.6098,3077.02,100000,-4.434656143188477,20
21,1113.67,30.7712,14.9922,1140.71,105000,9.534187316894531,21
22,1382.02,29.8655,15.5421,3176.88,110000,0.5009274482727051,22
23,2422.03,30.1273,15.2519,3136.9,115000,-21.387584686279297,23
