Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Sto Return,Running Env Steps,Real Det Return,Itration
77,-523.9254760742188,14.8313,20.2006,3380.34,385000,3471.42,77
78,-516.18505859375,13.955,19.8694,3380.41,390000,3458.13,78
79,-521.2033081054688,14.5674,19.3589,3338.77,395000,3474.17,79
80,-486.3617248535156,14.0074,19.617,3410.58,400000,3432.79,80
81,-535.1911010742188,14.385,19.9904,3430.9,405000,3442.96,81
82,-523.2898559570312,14.1033,19.4348,3438.01,410000,3435.43,82
83,-545.2109985351562,13.6743,19.9249,3410.11,415000,3417.42,83
84,-568.7609252929688,13.2129,19.9464,3179.67,420000,3424.18,84
85,-499.0288391113281,13.7179,19.3923,3440.02,425000,3436.97,85
86,-511.19293212890625,13.569,19.1482,3453.39,430000,3437.16,86
87,-565.2191162109375,14.3008,19.3853,3441.68,435000,3453.78,87
88,-616.7984008789062,14.2314,19.4014,3448.47,440000,3451.75,88
89,-573.1646118164062,13.1921,19.3474,3352.98,445000,3476.78,89
90,-588.8536376953125,13.1083,19.149,3348.19,450000,3490.51,90
91,-563.2330322265625,13.7099,19.2812,3439.02,455000,3457.94,91
92,-627.7052612304688,14.1333,19.315,3373.87,460000,3439.2,92
93,-634.2357788085938,14.1667,19.7094,3399.14,465000,3459.66,93
94,-598.8849487304688,13.678,19.2009,3465.4,470000,3470.9,94
95,-614.1470336914062,14.1485,19.5384,3408.19,475000,3429.02,95
96,-687.6744995117188,15.2667,20.5719,3396.26,480000,3487.89,96
97,-636.3038940429688,13.4039,19.4788,3411.37,485000,3443.31,97
98,-681.7440795898438,12.9451,19.7144,2795.01,490000,3475.94,98
99,-598.2576293945312,12.9693,18.7209,3227.16,495000,3459.97,99
100,-649.4501342773438,13.6387,19.3671,3375.56,500000,3389.78,100
101,-631.9838256835938,12.9901,18.4971,3457.86,505000,3433.27,101
102,-678.8641967773438,13.3889,19.139,3436.77,510000,3457.76,102
103,-702.3712158203125,13.8335,19.6951,3431.01,515000,3447.18,103
104,-784.6674194335938,12.1506,20.4933,2834.66,520000,3500.74,104
105,-715.6880493164062,13.3432,19.6492,3408.89,525000,3460.32,105
106,-719.451171875,13.8423,19.123,3465.24,530000,3464.8,106
107,-760.062255859375,13.3687,19.9016,3253.06,535000,3459.66,107
108,-725.5077514648438,13.4542,19.4357,3314.56,540000,3431.51,108
109,-734.569091796875,12.1009,18.8275,3238.16,545000,3445.93,109
110,-787.68701171875,13.0744,19.8129,3323.88,550000,3481.98,110
111,-786.1492309570312,13.6602,20.4058,3368.0,555000,3436.11,111
112,-814.6116943359375,13.5467,19.8174,3408.58,560000,3428.56,112
113,-859.1126098632812,13.1178,20.8034,2683.41,565000,3454.51,113
114,-812.608642578125,13.3701,20.4665,3351.37,570000,3440.37,114
115,-900.3836059570312,12.1247,21.2604,2680.59,575000,3360.52,115
116,-806.7367553710938,13.035,19.1835,3423.74,580000,3431.79,116
117,-800.4473266601562,13.0329,19.056,3255.42,585000,3416.12,117
118,-880.1253662109375,12.2645,20.0161,3086.68,590000,3441.23,118
119,-809.60205078125,12.4265,18.8166,3426.06,595000,3442.2,119
120,-857.0490112304688,12.8105,18.5405,3435.38,600000,3456.45,120
121,-939.5934448242188,12.416,19.726,2870.28,605000,3471.18,121
122,-882.7481689453125,12.7374,19.9086,3315.5,610000,3424.8,122
123,-838.869873046875,13.24,18.9972,3415.68,615000,3438.35,123
124,-914.7029418945312,13.2971,19.5109,3234.62,620000,3460.07,124
125,-922.203125,13.2292,18.907,3417.66,625000,3451.14,125
126,-975.1522216796875,12.9988,20.0579,3000.18,630000,3455.77,126
127,-919.8048095703125,12.5896,19.9023,3306.51,635000,3473.82,127
128,-941.6502685546875,12.3486,19.0249,3297.75,640000,3444.2,128
129,-914.9113159179688,12.6945,19.4202,3422.13,645000,3469.73,129
130,-968.73583984375,13.1441,19.5083,3225.59,650000,3454.94,130
131,-976.3697509765625,13.2336,18.8166,3408.34,655000,3429.33,131
132,-964.2312622070312,13.6743,19.3155,3395.11,660000,3414.63,132
133,-969.0498657226562,13.7059,19.5823,3435.61,665000,3448.89,133
134,-1001.8761596679688,13.5694,19.421,3426.62,670000,3454.45,134
135,-1005.1197509765625,13.46,19.0502,3417.67,675000,3449.67,135
136,-969.9207153320312,12.6954,20.045,3132.8,680000,3479.23,136
137,-1092.7486572265625,13.2532,19.3733,3243.66,685000,3418.65,137
138,-1031.4322509765625,12.9326,18.9756,3407.6,690000,3428.66,138
139,-1053.15869140625,13.7772,19.2441,3398.99,695000,3441.52,139
140,-1107.94970703125,14.1447,19.0043,3426.71,700000,3436.87,140
141,-1031.6265869140625,13.6959,19.369,3356.09,705000,3452.08,141
142,-1053.6934814453125,13.3585,19.1645,3427.82,710000,3449.24,142
143,-1103.3956298828125,13.3524,18.69,3375.57,715000,3413.93,143
144,-1072.1888427734375,13.8698,19.2233,3429.43,720000,3439.85,144
145,-1147.72509765625,13.1349,19.5324,3331.96,725000,3461.09,145
146,-1154.4444580078125,13.8878,19.789,3418.7,730000,3474.62,146
147,-1134.8770751953125,13.6049,19.2805,3410.91,735000,3434.47,147
148,-1250.527099609375,14.0382,19.7952,3394.26,740000,3440.63,148
149,-1186.103759765625,13.3878,19.7128,3253.96,745000,3455.25,149
150,-1152.60205078125,13.9131,19.2857,3434.94,750000,3453.77,150
151,-1197.20263671875,13.5874,19.4862,3406.92,755000,3460.22,151
152,-1207.84521484375,13.1743,19.3768,3391.96,760000,3422.83,152
153,-1213.117431640625,12.9378,19.5884,3407.05,765000,3434.17,153
154,-1324.323974609375,14.5113,19.8048,3431.61,770000,3451.56,154
155,-1176.9222412109375,12.9126,19.0117,3375.82,775000,3418.42,155
156,-1243.5595703125,13.5174,19.1573,3414.26,780000,3438.15,156
157,-1251.0765380859375,13.4819,19.556,3381.77,785000,3390.92,157
158,-1320.731689453125,14.5035,20.0827,3407.59,790000,3450.7,158
159,-1326.207763671875,14.3757,19.9945,3382.08,795000,3454.55,159
160,-1211.4573974609375,13.4414,19.3399,3410.68,800000,3433.14,160
161,-1308.916015625,13.7529,19.3737,3191.33,805000,3428.7,161
162,-1389.9095458984375,13.226,20.0297,3234.27,810000,3484.5,162
163,-1316.62060546875,13.7565,19.0933,3415.73,815000,3457.35,163
164,-1385.653076171875,13.713,20.2299,3447.21,820000,3452.09,164
165,-1268.7816162109375,14.0758,19.6396,3376.7,825000,3431.57,165
166,-1151.387939453125,12.4579,18.6609,3387.22,830000,3426.03,166
167,-1416.3465576171875,13.7386,19.5418,3441.21,835000,3461.07,167
168,-1351.430908203125,13.3477,18.9924,3448.18,840000,3466.17,168
169,-1361.6917724609375,13.5964,19.2797,3417.53,845000,3442.73,169
170,-1422.3052978515625,13.3532,19.3792,2866.01,850000,3459.51,170
