Running Forward KL,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Reward Loss
158.3448,0,27.75,0,11.3276,-170.47,0,284.2315979003906
158.3093,1,263.65,5000,11.4237,-57.77,1,222.68447875976562
158.1257,2,614.69,10000,11.8666,100.09,2,223.36386108398438
157.7424,3,726.29,15000,11.7123,210.17,3,222.1501007080078
157.8287,4,767.45,20000,12.3724,348.91,4,161.9926300048828
157.487,5,868.29,25000,12.2693,441.87,5,-17.509843826293945
157.5777,6,884.13,30000,13.0418,619.06,6,-201.83938598632812
157.7666,7,1138.21,35000,13.6889,704.79,7,-399.8331604003906
157.9235,8,1292.88,40000,15.1649,934.26,8,-324.1186218261719
157.7441,9,1347.17,45000,15.3223,987.18,9,-534.9141845703125
157.8317,10,1476.86,50000,15.3662,1063.82,10,-601.8701782226562
157.8765,11,1532.64,55000,15.7472,1132.79,11,-803.9158325195312
157.6811,12,1567.49,60000,15.9879,1149.11,12,-1053.3531494140625
157.7958,13,1580.29,65000,15.8131,1227.74,13,-1216.245361328125
157.6232,14,1608.87,70000,15.7315,1221.96,14,-1364.333984375
157.4932,15,1557.31,75000,15.9649,1277.63,15,-1676.3543701171875
157.6072,16,1746.46,80000,16.2516,1352.61,16,-1820.4212646484375
157.6265,17,1768.14,85000,15.7022,1371.79,17,-2069.655029296875
157.4913,18,1835.52,90000,16.0019,1415.77,18,-2190.485595703125
157.5379,19,1876.66,95000,15.7288,1431.32,19,-2402.558837890625
157.1827,20,1921.04,100000,15.8579,1509.76,20,-2608.707275390625
157.2412,21,1900.12,105000,15.9589,1492.89,21,-2951.085205078125
157.1925,22,1978.19,110000,15.7556,1563.61,22,-3027.45068359375
157.2959,23,1974.72,115000,15.5609,1554.16,23,-3184.5048828125
156.9794,24,2036.81,120000,15.7519,1565.13,24,-3370.244384765625
156.9663,25,2007.13,125000,15.751,1592.24,25,-3549.6064453125
156.9319,26,2003.7,130000,15.4802,1589.29,26,-3794.9140625
157.0773,27,2035.57,135000,16.0216,1654.27,27,-3981.001708984375
156.9225,28,2032.75,140000,15.9913,1639.94,28,-4158.5478515625
157.0365,29,2003.02,145000,15.7269,1619.64,29,-4299.58251953125
156.9938,30,2036.22,150000,15.8432,1659.58,30,-4503.2490234375
157.1831,31,1990.84,155000,15.8644,1651.0,31,-4726.55615234375
157.0806,32,1881.33,160000,16.0013,1631.11,32,-4880.71435546875
157.0332,33,2010.06,165000,15.6078,1637.95,33,-5075.87451171875
157.1111,34,2080.99,170000,15.6638,1686.05,34,-5169.3291015625
156.9265,35,2051.46,175000,15.8008,1684.66,35,-5384.1875
156.9189,36,2044.85,180000,15.5882,1674.66,36,-5557.33349609375
156.858,37,2071.84,185000,15.5319,1658.14,37,-5732.1103515625
156.8425,38,2088.6,190000,15.6234,1702.58,38,-5859.36865234375
156.8763,39,2030.49,195000,15.6802,1671.0,39,-6165.001953125
157.0289,40,2046.06,200000,15.6699,1692.42,40,-6322.513671875
156.962,41,2106.99,205000,15.8563,1720.41,41,-6391.20361328125
156.7213,42,2045.32,210000,15.5614,1701.0,42,-6597.79248046875
157.0843,43,2098.87,215000,15.6966,1735.66,43,-6791.63330078125
156.9005,44,2092.17,220000,15.9378,1734.38,44,-6946.59814453125
156.8907,45,2044.58,225000,15.7494,1728.08,45,-7065.21484375
156.9308,46,2107.52,230000,15.9253,1729.83,46,-7329.283203125
156.9307,47,2050.75,235000,15.8048,1725.95,47,-7424.5791015625
156.7968,48,2061.08,240000,15.6395,1736.0,48,-7708.58154296875
156.9498,49,2098.44,245000,15.9487,1746.0,49,-7910.13134765625
156.8946,50,2060.91,250000,15.6339,1745.98,50,-8080.47314453125
156.8557,51,2138.31,255000,15.7383,1783.23,51,-8067.14306640625
156.6794,52,2052.27,260000,15.5314,1728.28,52,-8303.3486328125
156.901,53,2175.23,265000,15.847,1781.42,53,-8535.083984375
157.0149,54,2018.35,270000,15.7588,1722.41,54,-8863.15234375
156.7984,55,2073.18,275000,15.6396,1726.01,55,-8962.2216796875
