Real Det Return,Reward Loss,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Itration
226.98,235.92860412597656,18.9634,0,230.72,32.3127,0,0
255.72,80.03189849853516,17.5276,1,248.41,30.5839,5000,1
165.12,35.09856414794922,15.8326,2,224.47,30.8202,10000,2
299.43,64.60618591308594,24.0526,3,297.22,30.7443,15000,3
286.94,33.85155487060547,29.8785,4,280.47,31.1888,20000,4
288.17,-146.90438842773438,20.0892,5,291.5,30.7707,25000,5
361.29,276.6645202636719,52.6936,6,362.64,27.733,30000,6
383.56,-76.59931945800781,35.7331,7,314.71,26.9363,35000,7
351.69,-183.80145263671875,28.2283,8,336.02,28.583,40000,8
507.87,-24.230648040771484,57.1592,9,494.76,27.3236,45000,9
686.57,65.38015747070312,60.3651,10,691.59,28.7355,50000,10
560.18,99.12239074707031,93.4771,11,579.26,28.0003,55000,11
801.07,15.379627227783203,89.9519,12,842.41,27.5048,60000,12
665.27,32.286888122558594,75.3975,13,699.09,27.2712,65000,13
2586.71,-135.92129516601562,17.0225,14,2034.03,25.8011,70000,14
1447.04,-49.105682373046875,25.3663,15,1640.98,26.211,75000,15
1150.7,-76.73278045654297,33.8938,16,1554.18,26.1609,80000,16
1419.66,-31.391529083251953,21.0801,17,1406.95,25.7074,85000,17
2410.87,-30.047401428222656,24.4701,18,1661.78,25.1767,90000,18
2985.28,-21.34267234802246,16.6246,19,2640.01,25.3645,95000,19
3011.49,-57.00425720214844,37.5415,20,2305.64,25.5811,100000,20
3062.71,-27.003015518188477,16.3504,21,2886.52,25.6516,105000,21
3140.0,-20.230525970458984,16.5837,22,2851.37,25.0631,110000,22
3152.92,-49.32508850097656,17.0658,23,3056.69,25.619,115000,23
3114.73,-109.34565734863281,27.0757,24,2644.6,24.1179,120000,24
1105.85,-296.5579833984375,70.4842,25,1286.69,25.9179,125000,25
3214.51,-235.30905151367188,28.9385,26,2063.18,24.6671,130000,26
3248.74,-74.47358703613281,20.929,27,3001.01,23.8051,135000,27
3196.69,-85.5021743774414,23.0546,28,3114.71,24.1664,140000,28
2978.97,-299.54296875,43.8242,29,2094.15,24.5071,145000,29
1516.93,-325.9063415527344,52.4602,30,1577.95,24.3772,150000,30
2306.83,-442.0464782714844,59.3394,31,1892.95,25.7899,155000,31
1760.7,-469.3076477050781,46.611,32,1501.76,25.0329,160000,32
1090.79,-460.2718200683594,54.7441,33,1605.88,25.5642,165000,33
1641.2,-593.888427734375,72.839,34,1325.1,25.3775,170000,34
3188.24,-274.37945556640625,27.0365,35,2586.18,24.4331,175000,35
2768.34,-521.36669921875,56.4942,36,1850.83,25.0733,180000,36
3196.38,-208.29251098632812,18.4278,37,1998.53,24.7257,185000,37
3096.95,-439.1360168457031,44.3865,38,1808.24,24.7864,190000,38
1823.09,-630.3453369140625,46.6864,39,1876.02,24.6006,195000,39
3180.25,-215.02877807617188,16.8025,40,2569.78,23.9,200000,40
3236.68,-211.57168579101562,28.059,41,2305.56,23.9598,205000,41
3041.5,-403.9486083984375,31.6031,42,2474.12,23.646,210000,42
3259.59,-304.4933776855469,24.96,43,2575.38,23.9784,215000,43
3012.73,-279.79803466796875,17.9684,44,2408.12,24.0315,220000,44
3237.17,-263.90643310546875,16.2789,45,2814.21,23.2391,225000,45
3271.83,-690.083740234375,23.4385,46,2266.73,23.965,230000,46
3293.52,-275.2931823730469,20.1316,47,2613.06,23.3079,235000,47
3191.91,-592.7645263671875,34.6296,48,2885.29,23.7647,240000,48
2766.94,-645.4412841796875,27.5637,49,2595.14,24.4755,245000,49
3304.82,-302.1524658203125,16.2248,50,2895.98,23.5152,250000,50
3329.61,-251.05384826660156,16.4777,51,2808.16,23.5894,255000,51
3383.13,-140.22116088867188,16.5189,52,3195.97,23.0702,260000,52
3285.88,-295.9121398925781,18.7898,53,3035.58,23.619,265000,53
3380.57,-194.23458862304688,14.5419,54,2718.24,22.1904,270000,54
3298.69,-177.64370727539062,15.933,55,3326.31,23.6715,275000,55
3326.26,-503.7265625,20.0928,56,2187.17,23.7825,280000,56
3398.75,-168.63723754882812,16.0154,57,3282.32,22.847,285000,57
3365.78,-325.54132080078125,17.2969,58,3358.62,22.8911,290000,58
3390.38,-360.32763671875,21.5176,59,3164.4,22.7954,295000,59
3356.53,-200.55970764160156,15.9669,60,3234.92,23.541,300000,60
3387.18,-333.15582275390625,17.6652,61,2468.55,22.8179,305000,61
3392.83,-233.78028869628906,16.9898,62,3309.65,23.0664,310000,62
3370.81,-584.3751831054688,26.235,63,3113.9,21.9962,315000,63
3425.65,-543.3416748046875,17.5968,64,2961.93,22.7837,320000,64
3359.57,-587.6702270507812,17.5387,65,2740.66,22.8456,325000,65
3423.63,-259.09515380859375,15.5812,66,2964.67,22.4668,330000,66
3418.15,-249.71766662597656,15.9041,67,3207.72,22.5979,335000,67
3404.72,-361.8036804199219,16.2378,68,3091.87,21.6984,340000,68
3437.14,-263.0772399902344,15.9677,69,3423.23,21.9907,345000,69
3414.03,-248.9709014892578,15.5571,70,3416.25,22.2178,350000,70
3415.55,-344.06536865234375,16.9615,71,3401.82,22.3839,355000,71
3405.08,-291.12310791015625,16.4674,72,3408.04,22.6472,360000,72
3448.37,-252.55079650878906,14.4819,73,3434.05,21.6849,365000,73
3463.45,-316.6561279296875,15.436,74,3284.97,22.4647,370000,74
3452.37,-286.815185546875,16.1464,75,3349.59,22.4479,375000,75
3445.26,-448.5695495605469,15.2082,76,3265.11,22.5024,380000,76
3460.98,-301.322509765625,14.3841,77,3419.58,21.8133,385000,77
3450.86,-303.07318115234375,15.5261,78,3298.92,21.8772,390000,78
3465.28,-291.276611328125,14.3367,79,3159.95,21.4607,395000,79
3453.3,-322.7164611816406,16.0386,80,3455.88,22.27,400000,80
3491.75,-347.7487487792969,13.3927,81,3217.48,21.4297,405000,81
3444.89,-342.71319580078125,16.2335,82,3398.37,22.0524,410000,82
3468.87,-482.4629211425781,15.5441,83,3352.57,21.4719,415000,83
3424.53,-328.23968505859375,15.0341,84,3442.64,21.5354,420000,84
3495.0,-356.7937927246094,14.7264,85,3352.56,21.5557,425000,85
3472.74,-347.5692443847656,15.3935,86,3320.4,22.3567,430000,86
3452.4,-353.3920593261719,14.1332,87,3466.41,20.386,435000,87
