Itration,Running Update Time,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Real Det Return,Running Env Steps
0,0,158.5048,-199.47,453.02557373046875,11.6154,6.01,0
1,1,158.4577,-41.19,393.18731689453125,12.033,59.9,5000
2,2,158.3453,275.49,375.72796630859375,13.3426,811.45,10000
3,3,158.2242,447.62,396.4343566894531,14.5156,924.91,15000
4,4,157.9876,492.89,356.9850158691406,14.2695,971.45,20000
5,5,157.9872,606.1,286.31268310546875,14.5187,992.99,25000
6,6,157.924,766.95,255.66329956054688,15.0377,1203.02,30000
7,7,157.8351,910.91,190.4249267578125,15.545,1382.26,35000
8,8,157.7287,972.88,182.2977294921875,15.1716,1326.81,40000
9,9,157.6879,1068.48,153.6428985595703,15.9563,1518.13,45000
10,10,157.7677,1074.48,91.23310089111328,15.7362,1505.43,50000
11,11,157.854,1191.61,75.89250946044922,16.5447,1600.9,55000
12,12,157.735,1190.54,28.93102264404297,16.1941,1595.8,60000
13,13,157.8315,1206.67,-9.975194931030273,16.3649,1617.83,65000
14,14,157.8888,1227.75,-49.83973693847656,16.2682,1619.14,70000
15,15,157.8652,1244.98,-93.77545166015625,16.1411,1686.0,75000
16,16,157.6495,1277.6,-133.77171325683594,16.1304,1702.92,80000
17,17,157.7388,1330.06,-167.2482452392578,16.2207,1796.21,85000
18,18,157.6627,1373.52,-247.12843322753906,16.193,1765.49,90000
19,19,157.7843,1364.59,-255.56851196289062,16.6558,1820.09,95000
20,20,157.8259,1358.72,-306.5959167480469,16.5211,1809.68,100000
21,21,157.7555,1484.15,-337.4248046875,16.9256,1908.52,105000
22,22,157.7548,1488.87,-400.0917053222656,16.7673,1906.4,110000
23,23,157.8423,1490.6,-419.0537414550781,16.6738,1898.11,115000
24,24,157.7532,1541.99,-498.4886779785156,16.5533,1869.08,120000
25,25,157.862,1525.38,-518.20166015625,16.985,1885.88,125000
26,26,157.7089,1559.92,-562.3778076171875,16.7071,1942.28,130000
27,27,157.683,1567.24,-611.5435791015625,16.3464,1917.6,135000
28,28,157.7092,1568.96,-650.8685302734375,16.5957,1893.14,140000
29,29,157.7469,1610.03,-686.6316528320312,16.8502,1954.54,145000
30,30,157.6814,1600.09,-737.845947265625,16.6167,1945.88,150000
31,31,157.444,1624.84,-771.4669799804688,16.6182,1968.72,155000
32,32,157.5737,1637.78,-824.1885986328125,16.8813,1975.94,160000
33,33,157.6644,1651.23,-862.075439453125,16.8181,2002.05,165000
34,34,157.5157,1654.62,-919.1776123046875,16.7636,1948.76,170000
35,35,157.2474,1656.68,-943.9197387695312,16.6002,2051.26,175000
36,36,157.6682,1670.01,-988.1837768554688,16.7039,1987.51,180000
37,37,157.5121,1665.43,-1034.52587890625,16.6047,1984.89,185000
38,38,157.3991,1708.98,-1066.81689453125,16.6635,2041.07,190000
39,39,157.5632,1660.2,-1097.9151611328125,16.3815,2008.05,195000
40,40,157.4909,1691.95,-1143.047119140625,16.4478,2021.69,200000
41,41,157.1808,1715.85,-1179.4908447265625,16.5424,2069.16,205000
42,42,157.4479,1711.69,-1227.63818359375,16.8982,2092.64,210000
43,43,157.339,1701.54,-1272.0286865234375,16.4787,2036.53,215000
44,44,157.4177,1705.19,-1326.55126953125,16.3988,2012.02,220000
45,45,157.1745,1721.48,-1363.071533203125,16.4424,2092.71,225000
46,46,157.2113,1711.04,-1386.0985107421875,16.3699,2046.39,230000
47,47,157.1254,1696.42,-1441.9825439453125,16.3236,2045.85,235000
48,48,157.1191,1729.22,-1478.21923828125,16.4328,2073.08,240000
49,49,157.0084,1725.07,-1533.780029296875,16.2039,2083.18,245000
50,50,157.2331,1739.06,-1555.705810546875,16.4629,2060.18,250000
51,51,157.1639,1715.95,-1612.7672119140625,16.3592,2033.37,255000
52,52,157.0795,1732.73,-1654.121826171875,16.212,2080.45,260000
53,53,157.1963,1706.78,-1692.505859375,16.2376,2080.93,265000
54,54,157.3393,1752.92,-1731.1455078125,16.5905,2125.91,270000
55,55,157.2408,1712.71,-1766.1961669921875,16.3491,2139.41,275000
56,56,156.9845,1747.91,-1807.1656494140625,16.4071,2143.33,280000
57,57,156.9673,1761.03,-1848.266845703125,16.3034,2142.11,285000
58,58,157.0587,1717.49,-1883.2310791015625,15.8152,2020.38,290000
59,59,157.0103,1705.75,-1930.817626953125,15.9341,2021.5,295000
60,60,156.9696,1756.65,-1968.453857421875,16.3098,2091.09,300000
61,61,157.1571,1738.19,-2029.3406982421875,16.0713,2067.99,305000
62,62,156.9721,1736.92,-2077.41064453125,15.8204,2035.66,310000
63,63,156.8741,1754.18,-2093.00927734375,16.0259,2116.93,315000
64,64,156.8908,1765.02,-2110.727294921875,16.2496,2144.66,320000
65,65,157.054,1751.86,-2180.6943359375,16.0662,2093.67,325000
66,66,157.154,1773.4,-2232.29248046875,16.0878,2105.86,330000
67,67,156.9415,1777.26,-2249.377685546875,15.9202,2122.75,335000
68,68,157.0975,1756.01,-2310.916015625,15.831,2086.45,340000
69,69,156.8689,1759.9,-2351.75390625,15.8309,2128.39,345000
70,70,157.2769,1767.06,-2394.432373046875,16.373,2103.53,350000
71,71,157.0684,1748.14,-2438.61083984375,16.0958,2103.45,355000
72,72,157.007,1760.37,-2487.59521484375,15.6715,2107.0,360000
73,73,156.8759,1781.19,-2528.963134765625,15.9796,2136.3,365000
74,74,156.8227,1788.89,-2563.619384765625,15.9167,2148.24,370000
75,75,157.0624,1810.1,-2604.05419921875,16.4763,2159.05,375000
76,76,156.9007,1809.74,-2653.441650390625,16.5937,2173.48,380000
77,77,156.8815,1802.09,-2663.091064453125,16.0691,2118.99,385000
78,78,156.8714,1806.73,-2734.666259765625,15.8764,2146.57,390000
79,79,156.9072,1793.83,-2802.937255859375,16.0131,2106.27,395000
80,80,156.6812,1773.44,-2827.18603515625,15.8634,2129.35,400000
81,81,156.9811,1813.23,-2889.91259765625,16.2058,2184.95,405000
82,82,156.9071,1790.84,-2937.309814453125,15.8668,2112.08,410000
83,83,156.9278,1784.63,-2975.162841796875,15.868,2140.28,415000
84,84,156.9112,1796.86,-3011.33740234375,15.657,2139.19,420000
85,85,157.0162,1811.39,-3046.496337890625,16.1262,2123.19,425000
86,86,156.8347,1768.21,-3124.26318359375,15.7013,2095.71,430000
87,87,156.9444,1789.11,-3158.2880859375,15.8792,2149.53,435000
88,88,156.8228,1791.63,-3215.138916015625,15.8483,2111.32,440000
89,89,156.8859,1794.48,-3228.474853515625,15.9131,2153.57,445000
