Real Sto Return,Itration,Running Update Time,Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Real Det Return
225.14,0,0,21.2778,-22.30830955505371,0,31.8376,244.23
243.36,1,1,18.2608,-43.15803909301758,5000,31.655,242.35
286.56,2,2,45.5943,-102.78230285644531,10000,31.3257,289.43
300.93,3,3,55.4482,-124.28663635253906,15000,30.0698,267.21
769.39,4,4,18.9266,-63.317535400390625,20000,27.6009,844.74
1090.38,5,5,16.5233,-59.38584518432617,25000,25.7001,891.29
854.64,6,6,50.0271,-181.6507568359375,30000,27.0019,1753.03
920.68,7,7,26.9595,-170.8114471435547,35000,24.9457,969.25
1261.64,8,8,22.731,-154.7646942138672,40000,25.0117,851.86
1469.35,9,9,18.6867,-104.2794418334961,45000,25.1876,1543.04
919.02,10,10,32.9821,-206.95492553710938,50000,25.7422,971.21
2043.99,11,11,20.5112,-102.07703399658203,55000,23.8496,2837.21
2394.33,12,12,16.1955,-64.85259246826172,60000,23.5115,2358.17
1893.15,13,13,19.7288,-67.14108276367188,65000,23.5509,620.16
2368.22,14,14,18.4167,-104.433349609375,70000,24.2647,1274.19
2322.19,15,15,25.181,-75.05915832519531,75000,22.7849,2977.46
1080.99,16,16,46.2963,-213.5430450439453,80000,23.0914,2043.21
1492.83,17,17,33.857,-197.8647003173828,85000,23.3408,2442.02
1270.45,18,18,72.3524,-231.8762664794922,90000,23.4629,2879.28
1702.23,19,19,22.6957,-148.8767547607422,95000,22.6309,1336.58
2676.79,20,20,15.7205,-78.61551666259766,100000,23.3196,3074.73
2837.89,21,21,14.6122,-62.93510055541992,105000,23.5299,3019.3
3038.05,22,22,14.6919,-68.5326156616211,110000,23.1074,3097.34
2549.37,23,23,14.6067,-77.91712951660156,115000,22.0067,3091.79
3096.25,24,24,15.8145,-71.29351806640625,120000,23.6305,3093.83
2997.25,25,25,15.1204,-55.24732208251953,125000,22.9967,3060.85
3131.76,26,26,15.4502,-73.10374450683594,130000,23.1052,3075.83
3018.47,27,27,15.1017,-79.83431243896484,135000,23.0822,2919.7
2214.42,28,28,15.6295,-97.98811340332031,140000,23.4391,3143.31
2705.04,29,29,14.9663,-103.5352783203125,145000,22.0622,3149.74
1213.74,30,30,18.184,-156.5952606201172,150000,23.8481,3141.34
2614.11,31,31,16.1957,-119.2415542602539,155000,22.7705,3159.81
1882.61,32,32,16.8272,-141.244140625,160000,22.7989,3157.51
2609.39,33,33,13.9306,-109.80693817138672,165000,23.0281,3118.76
2490.65,34,34,14.4704,-117.32720184326172,170000,22.6644,3111.33
1760.38,35,35,18.2741,-157.9609375,175000,23.7693,1238.85
2557.0,36,36,14.3381,-125.40359497070312,180000,22.5934,3127.75
2565.36,37,37,15.1398,-105.04916381835938,185000,23.5049,3169.77
2948.17,38,38,13.5563,-106.87692260742188,190000,21.6848,3201.26
2323.78,39,39,15.7713,-138.61756896972656,195000,23.568,3163.47
3219.92,40,40,14.5545,-99.37986755371094,200000,22.3928,3161.67
3135.82,41,41,14.2471,-88.62889099121094,205000,22.0474,3150.2
1954.73,42,42,16.6622,-193.14808654785156,210000,22.3466,2915.15
2521.02,43,43,13.8836,-130.68125915527344,215000,23.2987,3160.07
2351.19,44,44,13.2468,-152.4998321533203,220000,22.0637,3177.3
3185.82,45,45,13.4996,-123.17654418945312,225000,22.6866,3211.79
2867.3,46,46,14.1857,-130.00437927246094,230000,23.1477,3199.62
2869.99,47,47,14.317,-133.19544982910156,235000,23.192,3121.07
3061.02,48,48,14.8791,-133.873291015625,240000,23.161,3009.57
2512.8,49,49,13.0664,-147.69830322265625,245000,22.259,3243.46
2958.99,50,50,14.5187,-133.45956420898438,250000,22.9867,3214.32
