Running Env Steps,Running Reverse KL,Running Forward KL,Reward Loss,Running Update Time,Real Sto Return,Itration,Real Det Return
0,33.1553,32.0226,-102.11450958251953,0,193.69,0,185.75
5000,41.9606,31.5739,-127.71934509277344,1,286.7,1,320.09
10000,45.6131,31.9409,-222.65032958984375,2,234.71,2,216.37
15000,17.4983,30.9824,-458.88739013671875,3,291.44,3,293.08
20000,18.6006,30.8235,-531.1729736328125,4,341.15,4,351.0
25000,76.1722,32.9684,332.1650085449219,5,15.12,5,-0.04
30000,20.9701,30.3918,-444.1370544433594,6,333.75,6,323.35
35000,23.2901,28.0484,-570.0088500976562,7,358.61,7,371.75
40000,31.621,27.4431,-516.8887329101562,8,441.73,8,481.21
45000,36.3936,29.0968,-568.321044921875,9,416.27,9,423.79
50000,23.154,26.3811,-551.7406005859375,10,503.76,10,543.19
55000,21.7325,24.4852,-489.4640808105469,11,776.08,11,813.91
60000,26.4285,26.6089,-623.694091796875,12,696.0,12,704.79
65000,28.4617,26.3499,-621.9585571289062,13,658.05,13,637.43
70000,22.714,25.673,-558.1805419921875,14,870.91,14,1506.72
75000,21.0863,25.3457,-421.04595947265625,15,1281.15,15,1965.67
80000,17.2783,23.8895,-465.5838623046875,16,1462.52,16,2646.98
85000,15.327,24.491,-448.9080505371094,17,1950.32,17,2500.98
90000,47.3739,25.1092,-816.547119140625,18,759.79,18,793.28
95000,16.4704,24.6605,-441.0091857910156,19,1823.24,19,2844.26
100000,22.5768,23.8446,-459.68792724609375,20,1876.04,20,1992.28
105000,52.5129,25.5855,-1057.892578125,21,896.78,21,887.81
110000,35.5455,26.208,-1054.83544921875,22,973.17,22,916.58
115000,19.6981,25.697,-967.2671508789062,23,917.26,23,895.88
120000,32.4047,25.2442,-976.5713500976562,24,946.87,24,918.46
125000,15.1094,24.318,-816.1309814453125,25,1165.28,25,1365.52
130000,16.3903,24.6467,-986.0667114257812,26,997.47,26,1007.74
135000,35.5812,23.3689,-996.8206176757812,27,1078.85,27,1469.84
140000,41.2478,25.4239,-1308.9256591796875,28,1070.08,28,1007.66
145000,35.9737,24.1392,-1163.655517578125,29,1285.5,29,1026.29
150000,22.4687,23.8673,-1041.1475830078125,30,1215.03,30,1450.57
155000,38.8034,23.7949,-1192.1517333984375,31,1211.05,31,1287.25
160000,23.5768,24.0864,-1030.8875732421875,32,1334.97,32,1630.27
165000,21.0406,24.3489,-1102.490234375,33,1235.43,33,1221.16
170000,32.9355,23.9974,-1245.1519775390625,34,1112.53,34,1146.53
175000,43.8257,22.7748,-1308.16259765625,35,1602.38,35,1679.58
180000,61.3915,24.4283,-1644.6019287109375,36,1016.26,36,1082.49
185000,51.0935,22.4772,-1282.9862060546875,37,1568.38,37,2616.02
190000,51.9899,21.8179,-1470.3843994140625,38,1354.85,38,1884.62
195000,40.3014,22.5854,-1452.6448974609375,39,1257.43,39,1381.31
200000,42.6188,22.8282,-1735.2054443359375,40,1060.53,40,1009.01
205000,28.4805,21.0657,-914.5647583007812,41,1801.82,41,3283.58
210000,63.631,23.0514,-1931.669677734375,42,1234.95,42,1365.79
215000,76.8951,23.5538,-2209.495849609375,43,1047.83,43,1094.35
220000,29.3445,22.0103,-1001.8115844726562,44,1983.71,44,2486.81
225000,54.5839,22.4329,-2043.4395751953125,45,1487.67,45,1336.37
230000,17.7136,20.8589,-834.4200439453125,46,1743.11,46,1551.73
235000,33.7223,21.494,-1407.9981689453125,47,1655.6,47,1596.46
240000,54.3088,21.4787,-1838.373779296875,48,1574.78,48,2399.34
245000,29.9421,20.687,-1176.04833984375,49,2065.58,49,3041.32
250000,12.7169,20.5303,-435.0591735839844,50,3299.21,50,3280.4
255000,34.419,22.8239,-1809.04150390625,51,1105.89,51,1275.61
260000,12.6835,21.4706,-436.453369140625,52,3151.73,52,3168.5
265000,13.7619,19.2173,-585.539306640625,53,2778.44,53,3388.32
270000,13.5376,20.0541,-576.9916381835938,54,3071.84,54,3324.69
275000,14.8091,19.976,-576.128662109375,55,3058.26,55,3362.52
280000,12.0475,18.5113,-294.1077880859375,56,3361.22,56,3388.86
285000,20.608,20.4461,-551.97509765625,57,2537.73,57,3298.29
290000,24.8768,20.5029,-1256.174560546875,58,1999.97,58,3331.2
295000,13.9042,21.6812,-516.0790405273438,59,3222.01,59,3265.87
300000,11.9587,17.9513,-129.81610107421875,60,3428.05,60,3453.28
305000,13.0087,19.4064,-534.5988159179688,61,3065.22,61,3337.5
310000,37.5246,20.5147,-1862.414794921875,62,1661.73,62,1520.45
