Real Sto Return,Running Forward KL,Itration,Running Update Time,Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return
328.07,450.5299,0,0,262.6007,0,-931.9550170898438,406.31
325.47,467.9414,1,1,264.7665,5000,-772.7430419921875,326.64
338.46,448.9883,2,2,275.6638,10000,-2333.24169921875,358.35
448.86,437.6888,3,3,247.6383,15000,-1891.114501953125,446.2
406.44,431.6602,4,4,249.2163,20000,-1043.4976806640625,379.47
411.7,434.9195,5,5,260.8909,25000,-2110.687744140625,368.54
388.2,437.6683,6,6,284.0019,30000,-2605.9189453125,334.17
367.54,447.9378,7,7,303.1596,35000,-3603.302734375,396.19
468.66,427.4093,8,8,271.626,40000,-3251.404052734375,398.38
458.09,421.3399,9,9,278.0711,45000,-2745.8779296875,434.78
463.85,427.4604,10,10,278.7334,50000,-3880.329833984375,406.24
520.66,421.6322,11,11,280.3167,55000,-4120.53466796875,411.09
445.08,433.3193,12,12,288.8614,60000,-4898.9521484375,378.87
476.31,420.4473,13,13,270.9108,65000,-4756.57763671875,392.64
419.49,421.7399,14,14,270.44,70000,-5410.09423828125,359.3
483.97,422.536,15,15,254.5718,75000,-4458.10107421875,531.37
549.46,423.918,16,16,253.6808,80000,-4735.29443359375,508.95
628.54,424.8383,17,17,249.9906,85000,-4900.8310546875,608.18
525.41,418.5466,18,18,261.4769,90000,-5653.60986328125,499.88
558.53,412.9175,19,19,247.1543,95000,-5154.533203125,492.01
555.52,410.7769,20,20,245.6811,100000,-6443.21435546875,599.5
658.24,419.5883,21,21,243.9117,105000,-6787.54345703125,454.28
605.57,416.3658,22,22,229.9102,110000,-6296.544921875,542.55
535.35,432.9844,23,23,244.0481,115000,-7262.76708984375,455.83
557.17,419.7159,24,24,250.7642,120000,-7212.84130859375,552.73
623.36,406.2307,25,25,243.3854,125000,-6614.69921875,540.99
582.96,423.0827,26,26,280.5235,130000,-8128.55322265625,522.08
554.34,410.7173,27,27,279.447,135000,-8273.4619140625,485.0
601.11,411.8686,28,28,282.3985,140000,-8366.109375,503.52
668.98,402.2015,29,29,244.7879,145000,-8061.98876953125,567.92
652.38,413.8576,30,30,266.4068,150000,-8628.6484375,467.07
751.88,399.8014,31,31,254.5059,155000,-8288.1630859375,783.02
696.48,397.5038,32,32,251.4635,160000,-8220.431640625,571.85
749.01,408.2485,33,33,267.1436,165000,-9108.7890625,485.17
708.87,416.0375,34,34,282.1371,170000,-9488.4541015625,728.77
797.94,400.7258,35,35,277.272,175000,-9002.7275390625,768.99
887.66,397.9067,36,36,280.6987,180000,-9602.138671875,716.03
698.07,392.3437,37,37,266.7936,185000,-9092.349609375,635.01
845.67,389.5912,38,38,265.9625,190000,-9582.5,775.61
842.9,402.1766,39,39,277.5341,195000,-10045.7802734375,809.14
646.54,393.9435,40,40,303.4498,200000,-10653.5439453125,489.83
721.11,393.2607,41,41,266.4755,205000,-9973.5849609375,710.4
702.01,400.6862,42,42,321.1727,210000,-10520.6796875,580.03
994.74,389.7088,43,43,268.2738,215000,-10203.6025390625,922.85
1014.51,376.752,44,44,241.3308,220000,-9818.4169921875,835.75
826.78,389.1742,45,45,246.7741,225000,-10642.5849609375,930.35
976.49,385.5399,46,46,246.0371,230000,-10556.84375,810.77
1176.62,381.1398,47,47,248.8604,235000,-10199.9169921875,942.91
1055.92,398.7359,48,48,253.912,240000,-11425.3701171875,1130.33
942.54,381.3256,49,49,245.7462,245000,-10077.5302734375,707.59
1257.52,387.1525,50,50,267.7795,250000,-10906.9873046875,1512.16
1245.6,381.1825,51,51,238.4491,255000,-10523.673828125,1614.11
1162.75,380.7534,52,52,242.2511,260000,-10056.248046875,1674.82
1269.75,372.9604,53,53,236.4649,265000,-10450.7138671875,2176.66
