Running Forward KL,Running Env Steps,Real Sto Return,Itration,Running Reverse KL,Real Det Return,Running Update Time,Reward Loss
49.6491,0,305.55,0,12.9744,310.53,0,279.2134094238281
49.4206,5000,307.04,1,32.1621,386.02,1,42.162418365478516
51.0179,10000,379.8,2,32.4,356.42,2,53.47259521484375
50.3304,15000,379.82,3,22.6808,480.51,3,63.27164077758789
50.0524,20000,425.46,4,35.947,536.25,4,18.21671485900879
50.0691,25000,380.14,5,33.9794,462.21,5,28.482168197631836
48.95,30000,461.46,6,13.4221,648.47,6,99.38034057617188
48.906,35000,454.6,7,13.8193,475.49,7,152.1167449951172
49.3086,40000,586.36,8,14.0437,593.65,8,253.0860595703125
48.2689,45000,761.09,9,15.4569,740.1,9,184.214599609375
48.5032,50000,1643.88,10,17.8719,1891.37,10,95.59285736083984
48.2682,55000,1278.93,11,18.5019,1747.04,11,74.92715454101562
47.0779,60000,1552.45,12,19.2591,1721.17,12,66.19164276123047
48.0057,65000,1299.87,13,23.1793,1450.44,13,63.56185531616211
47.2069,70000,1283.12,14,22.4393,1525.54,14,79.51683044433594
46.9595,75000,1487.06,15,19.7818,2430.63,15,92.1500015258789
47.551,80000,1571.65,16,15.5635,2235.93,16,19.898950576782227
46.293,85000,1689.48,17,17.5537,2104.27,17,31.559288024902344
47.0124,90000,1778.32,18,16.6921,1822.27,18,8.459419250488281
46.9393,95000,2087.14,19,17.8743,2640.13,19,-38.938819885253906
46.9023,100000,2378.84,20,17.6759,2746.5,20,-25.548755645751953
46.8935,105000,2943.9,21,18.1577,2982.29,21,-19.493938446044922
47.0758,110000,2446.43,22,19.9389,2768.56,22,-57.2644157409668
46.9867,115000,2620.11,23,20.156,2844.25,23,-65.22557067871094
46.6895,120000,3229.72,24,21.7225,3167.71,24,-83.54779815673828
46.4151,125000,3116.84,25,19.3729,3080.3,25,-85.40847778320312
55.9605,130000,0.5,26,54.6732,-15.15,26,-330.9306945800781
49.5554,135000,413.28,27,13.9364,394.83,27,55.5593376159668
45.3553,140000,2264.27,28,18.6297,2228.61,28,-116.40641021728516
47.5611,145000,2511.43,29,20.8444,2850.6,29,-133.815673828125
47.1276,150000,2875.32,30,22.0098,2955.21,30,-139.63729858398438
46.0766,155000,3018.92,31,19.6042,3095.03,31,-129.46376037597656
47.3024,160000,2924.69,32,20.1756,2923.8,32,-169.97756958007812
