Itration,Real Det Return,Real Sto Return,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps
0,264.48,-70.64,0,87.98054504394531,74.5024,25.1694,0
1,432.63,-24.23,1,24.677677154541016,75.143,25.2125,5000
2,392.41,-10.99,2,-59.63508987426758,73.5565,26.5336,10000
3,611.36,31.22,3,-142.4923095703125,70.3644,28.1832,15000
4,655.84,52.27,4,-201.51246643066406,70.9311,27.5004,20000
5,773.34,89.36,5,-256.96002197265625,70.8829,29.1733,25000
6,765.71,166.27,6,-324.30389404296875,69.7179,29.9874,30000
7,812.95,126.78,7,-391.22369384765625,68.4616,28.7775,35000
8,740.11,116.18,8,-439.26275634765625,71.378,30.739,40000
9,678.68,123.98,9,-499.0980224609375,69.6316,30.6356,45000
10,813.61,146.04,10,-570.979736328125,69.9344,30.2713,50000
11,849.84,143.46,11,-629.3084106445312,68.9551,29.8471,55000
12,986.67,175.26,12,-665.0778198242188,66.4447,29.981,60000
13,776.32,171.62,13,-737.5496215820312,68.375,30.3116,65000
14,702.29,185.63,14,-800.4662475585938,68.2435,30.1495,70000
15,784.52,169.82,15,-867.0859375,68.3226,29.3126,75000
16,822.18,182.2,16,-905.4634399414062,64.3659,28.6881,80000
17,576.51,158.45,17,-981.2909545898438,64.9666,29.1786,85000
18,787.9,134.93,18,-1063.120361328125,68.9174,30.3618,90000
19,518.66,187.8,19,-1096.65478515625,67.549,29.1888,95000
20,601.53,235.07,20,-1178.988525390625,68.5743,29.707,100000
21,768.66,186.65,21,-1231.092529296875,66.2113,29.4182,105000
22,813.66,214.54,22,-1261.8031005859375,63.6216,28.6349,110000
23,880.98,197.28,23,-1334.9305419921875,64.9728,28.9208,115000
24,739.94,261.91,24,-1413.9888916015625,66.891,29.0802,120000
25,1140.57,317.15,25,-1418.7794189453125,61.7209,27.5805,125000
26,1002.78,298.47,26,-1524.595703125,64.6659,28.0857,130000
27,849.69,338.42,27,-1575.990234375,63.2435,27.946,135000
28,914.06,249.95,28,-1645.9873046875,64.4115,28.8376,140000
29,667.57,330.01,29,-1660.9566650390625,62.1368,28.1817,145000
30,989.66,326.35,30,-1735.4395751953125,61.1773,28.1818,150000
31,1005.52,370.51,31,-1835.0968017578125,64.0492,28.3061,155000
32,858.78,278.62,32,-1784.245849609375,59.679,26.3619,160000
33,855.14,347.35,33,-1929.208251953125,62.7785,27.3994,165000
34,797.82,241.02,34,-1974.4833984375,61.9096,27.6993,170000
35,1417.24,608.98,35,-1881.2236328125,57.9077,26.4236,175000
36,1174.76,530.36,36,-1896.3529052734375,57.9331,26.7025,180000
37,760.42,649.36,37,-1961.041748046875,58.3249,25.486,185000
38,911.76,392.82,38,-1639.7308349609375,54.0709,25.7126,190000
39,492.85,399.64,39,-2146.958251953125,59.5594,27.0287,195000
40,1008.52,673.44,40,-2166.38720703125,58.6509,25.531,200000
41,1425.75,1052.03,41,-1726.3262939453125,55.6374,30.1355,205000
42,2184.35,1381.08,42,-1989.56396484375,56.5869,30.0239,210000
43,1644.39,1400.39,43,-1806.994140625,56.1926,28.5096,215000
44,2596.84,1352.47,44,-1652.6885986328125,57.0339,33.405,220000
45,1592.54,743.15,45,-2226.299072265625,57.6352,26.1943,225000
46,1908.53,1186.98,46,-2170.15087890625,58.9268,31.9597,230000
47,2432.55,1520.8,47,-1689.822998046875,56.7798,33.716,235000
48,2400.24,2154.0,48,-1848.2156982421875,56.6356,30.8465,240000
49,2514.51,1281.33,49,-1892.105712890625,57.0269,30.5326,245000
50,2676.13,1737.21,50,-2132.403564453125,56.4637,28.654,250000
51,2139.61,1393.92,51,-2492.1533203125,59.4202,29.4185,255000
52,3079.45,2727.38,52,-1619.531005859375,58.1071,41.3607,260000
53,3072.75,1982.82,53,-1802.1416015625,54.8678,33.8222,265000
54,2485.66,1835.91,54,-1738.8604736328125,56.0729,34.9001,270000
55,2852.32,2068.94,55,-2255.86083984375,57.271,31.2261,275000
56,3073.32,2604.53,56,-1768.661865234375,56.9915,36.1787,280000
57,1605.17,1797.49,57,-2362.064453125,57.0853,30.3785,285000
58,2810.83,2806.23,58,-1905.9368896484375,56.3713,36.8085,290000
59,2240.82,2330.08,59,-2125.03125,56.5492,32.9015,295000
60,3396.54,3041.28,60,-1910.386962890625,57.4456,39.6109,300000
61,2071.66,1563.71,61,-2950.00390625,60.3429,30.4087,305000
62,3062.51,2657.11,62,-2401.219482421875,57.903,33.2065,310000
63,3846.46,3450.32,63,-1960.584228515625,65.8452,58.0653,315000
64,3768.69,3190.84,64,-1894.176513671875,60.8575,52.4179,320000
65,3777.24,3082.36,65,-2064.879150390625,60.1227,44.6357,325000
66,3563.66,2741.07,66,-2262.843017578125,60.8781,46.5407,330000
67,2459.29,1694.96,67,-2684.508544921875,57.6679,32.5363,335000
68,4156.92,3357.91,68,-2055.5244140625,60.0863,46.7649,340000
69,4055.92,3784.49,69,-2259.690673828125,61.036,47.0396,345000
70,3509.42,3030.68,70,-2309.94482421875,58.2942,42.3284,350000
71,3495.74,3532.69,71,-2575.02734375,58.8407,37.771,355000
72,3408.96,2270.07,72,-2500.018798828125,58.8359,41.2981,360000
73,4183.46,3202.06,73,-2317.513427734375,59.2446,45.4272,365000
74,3588.2,3105.27,74,-2181.29150390625,58.72,46.6638,370000
75,3291.94,2652.58,75,-2497.387939453125,58.7713,41.6383,375000
76,3683.53,2598.74,76,-2225.756591796875,58.0128,44.913,380000
77,4611.96,3830.79,77,-2181.915771484375,62.7554,54.5516,385000
78,3731.83,3251.97,78,-2630.0458984375,59.1525,40.2636,390000
79,3588.55,2876.54,79,-2304.989990234375,60.7009,47.9014,395000
80,2915.69,2084.73,80,-2779.08203125,58.3559,38.0336,400000
81,3624.81,3428.58,81,-2425.381591796875,59.6261,43.0516,405000
82,4445.33,4120.69,82,-2634.60986328125,63.924,53.1699,410000
83,3416.58,2658.37,83,-2935.551513671875,59.8173,43.0407,415000
84,3339.79,3480.84,84,-3155.399658203125,60.3296,42.8091,420000
85,3728.03,3312.58,85,-3727.530029296875,59.1093,30.6351,425000
86,4249.78,3887.4,86,-2985.382568359375,61.8412,47.6985,430000
87,4739.72,3877.75,87,-3105.522216796875,60.4301,41.347,435000
88,4374.86,3367.23,88,-3061.09912109375,60.8894,42.966,440000
89,4531.07,3445.48,89,-2993.747314453125,61.6264,47.831,445000
90,4362.55,3527.32,90,-2836.965576171875,61.5121,46.0621,450000
91,4058.3,3566.6,91,-3138.78369140625,59.6811,43.0724,455000
92,4170.76,3037.58,92,-3596.267822265625,60.5853,37.9036,460000
