Real Sto Return,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Env Steps
184.61,397.0195007324219,32.575,32.2338,183.21,0,0,0
203.43,660.5857543945312,59.5727,33.5069,202.95,1,1,5000
275.02,627.031005859375,59.74,32.7222,276.47,2,2,10000
266.91,215.72064208984375,51.5295,31.5262,268.31,3,3,15000
267.75,446.58428955078125,68.9192,31.3748,269.96,4,4,20000
288.69,261.0860900878906,45.5435,31.7145,285.89,5,5,25000
300.79,191.3585662841797,56.508,30.9203,305.36,6,6,30000
313.0,259.86883544921875,57.2933,30.9127,316.37,7,7,35000
322.42,-67.29864501953125,53.179,30.7941,325.21,8,8,40000
360.67,271.1148681640625,104.2942,30.6653,368.87,9,9,45000
368.8,134.2044219970703,71.7462,30.7475,378.45,10,10,50000
354.78,113.28192138671875,159.9693,30.106,360.9,11,11,55000
416.02,75.57339477539062,144.9146,27.9094,468.22,12,12,60000
401.39,-28.6411075592041,169.1747,30.3868,407.75,13,13,65000
425.02,-41.16750717163086,119.978,29.1659,395.65,14,14,70000
489.94,-117.75704193115234,116.5481,28.3223,512.59,15,15,75000
583.02,-99.8919677734375,35.1986,28.3717,587.11,16,16,80000
558.51,-127.978515625,62.7704,27.8965,577.08,17,17,85000
673.53,-179.3273162841797,53.3929,26.4227,620.53,18,18,90000
820.23,-300.0628356933594,51.4692,27.6074,782.48,19,19,95000
690.0,-418.05169677734375,66.4411,27.7504,725.5,20,20,100000
1290.86,-266.7229919433594,20.0131,24.9048,1091.54,21,21,105000
736.05,-399.1069641113281,30.8019,28.2356,816.0,22,22,110000
807.88,-485.43560791015625,36.3881,27.8754,830.26,23,23,115000
2034.37,-258.23956298828125,21.662,24.9529,2826.15,24,24,120000
1374.15,-457.2354431152344,45.9141,25.666,1754.55,25,25,125000
2096.99,-345.67974853515625,21.2993,25.8992,1743.78,26,26,130000
1858.89,-529.231689453125,63.2193,25.8613,2768.57,27,27,135000
2131.52,-317.1161193847656,19.9531,26.4459,1426.69,28,28,140000
2202.04,-223.564453125,17.6713,25.2102,2334.07,29,29,145000
1928.6,-413.12652587890625,23.829,27.4416,1344.54,30,30,150000
1206.6,-445.29339599609375,32.7326,27.3768,1695.39,31,31,155000
1238.69,-457.8497314453125,30.7916,25.7858,1258.73,32,32,160000
1878.74,-457.4548645019531,26.4216,24.7566,1504.24,33,33,165000
2533.02,-347.02008056640625,17.2402,23.5894,2415.72,34,34,170000
1570.88,-511.99517822265625,32.5201,26.928,2057.4,35,35,175000
1088.39,-703.4739379882812,36.1212,26.5253,1133.94,36,36,180000
2632.72,-301.6722412109375,20.85,23.6742,3148.02,37,37,185000
2184.4,-364.03497314453125,24.5107,24.6729,1809.78,38,38,190000
2509.84,-443.71630859375,25.6175,24.7581,2137.63,39,39,195000
2766.17,-349.0133056640625,18.9774,24.755,3076.95,40,40,200000
2530.68,-332.51739501953125,17.0276,25.457,2911.08,41,41,205000
2888.56,-258.59503173828125,17.7187,25.3475,3016.01,42,42,210000
2440.48,-375.80426025390625,23.3895,25.4172,3139.47,43,43,215000
2953.69,-315.08587646484375,15.8033,24.7726,2964.13,44,44,220000
2273.95,-448.0177001953125,27.2867,25.6436,3054.96,45,45,225000
1987.71,-732.4636840820312,33.0064,25.0353,3179.13,46,46,230000
2840.63,-554.3402709960938,22.3421,25.0073,3113.7,47,47,235000
2071.11,-678.023193359375,29.7661,25.2342,3154.17,48,48,240000
1735.33,-794.7637329101562,24.2498,25.4508,3163.38,49,49,245000
1914.66,-612.8521118164062,21.8782,24.9373,2774.49,50,50,250000
1688.11,-630.2000122070312,23.651,23.8168,3155.18,51,51,255000
1723.63,-805.9234008789062,29.7842,24.9065,2002.2,52,52,260000
2881.35,-342.0373840332031,16.3844,24.9835,3119.75,53,53,265000
2485.1,-452.5986633300781,18.6441,25.1982,3142.17,54,54,270000
2399.83,-454.984619140625,20.2569,24.6906,3122.64,55,55,275000
1395.32,-940.2960815429688,25.6399,26.4,2125.08,56,56,280000
1968.97,-444.5131530761719,19.1517,25.3249,3163.95,57,57,285000
2732.25,-589.158935546875,20.1863,24.1366,3134.43,58,58,290000
2713.15,-416.5586853027344,15.236,23.665,3163.62,59,59,295000
2058.42,-768.5635375976562,20.4333,23.1194,3136.06,60,60,300000
2517.16,-430.7517395019531,16.4155,23.6508,3145.0,61,61,305000
1491.95,-1186.026611328125,25.2569,24.3074,1774.83,62,62,310000
2075.4,-664.85693359375,18.2936,23.6133,3161.59,63,63,315000
1831.29,-919.8209838867188,20.1986,24.0976,3122.5,64,64,320000
2537.01,-838.572509765625,18.3269,22.8832,2178.51,65,65,325000
1410.19,-1461.3441162109375,30.995,25.1909,2957.74,66,66,330000
1537.95,-1232.156494140625,25.6383,23.5386,3212.37,67,67,335000
2264.97,-747.5850830078125,18.9304,24.1699,1802.48,68,68,340000
2490.66,-420.1847229003906,14.8788,23.4642,2930.21,69,69,345000
1669.18,-1110.8385009765625,24.0548,23.9523,3134.35,70,70,350000
1728.94,-1106.541259765625,27.018,23.5466,3134.4,71,71,355000
2304.3,-873.4790649414062,26.7108,23.6062,3181.5,72,72,360000
1447.21,-1163.7470703125,25.1933,23.9253,3162.27,73,73,365000
1271.29,-1480.7730712890625,30.2364,23.763,1486.07,74,74,370000
1349.98,-1276.1685791015625,27.0864,23.7928,2926.11,75,75,375000
1851.61,-1544.6085205078125,41.2883,22.9057,3162.5,76,76,380000
1820.13,-1161.5450439453125,26.4392,22.5811,3091.95,77,77,385000
1670.0,-1156.6746826171875,27.0196,23.1942,3128.05,78,78,390000
1273.25,-1645.4293212890625,35.7577,24.305,1471.27,79,79,395000
2740.56,-1213.84912109375,25.2819,22.9657,2993.38,80,80,400000
1590.24,-1675.296630859375,28.869,24.3245,3169.44,81,81,405000
