Running Update Time,Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps
0,0,26.0277,246.96,31.3325,370.5862121582031,239.96,0
1,1,30.829,275.53,31.1498,331.89544677734375,284.25,5000
2,2,32.7009,262.93,31.155,250.55662536621094,259.72,10000
3,3,32.7193,301.11,31.7007,188.39456176757812,300.73,15000
4,4,28.0524,304.93,31.4828,154.4739532470703,304.86,20000
5,5,33.1926,312.01,32.9669,70.8382568359375,70.56,25000
6,6,36.2715,316.68,31.5223,-11.592301368713379,314.0,30000
7,7,32.1767,348.63,32.4647,-53.82362747192383,351.33,35000
8,8,34.8867,377.61,32.4805,-124.94743347167969,390.81,40000
9,9,34.5118,272.06,30.7813,-183.67904663085938,331.18,45000
10,10,25.5674,1018.32,36.0289,-152.09982299804688,1017.69,50000
11,11,33.5521,348.93,31.9002,151.43067932128906,354.41,55000
12,12,37.7453,981.73,38.6909,-285.14447021484375,981.71,60000
13,13,44.0361,10.19,31.5598,111.08853149414062,14.96,65000
14,14,25.2635,440.93,30.1949,-149.57725524902344,409.0,70000
15,15,27.0729,1000.53,37.1596,-391.0565490722656,1001.13,75000
16,16,25.9375,1073.77,34.9625,-424.85369873046875,1076.17,80000
17,17,19.964,1036.72,34.546,-490.9736328125,1029.05,85000
18,18,19.5161,777.39,28.7002,-318.0068054199219,933.84,90000
19,19,41.5724,1033.56,36.988,-657.6964111328125,1034.02,95000
20,20,28.9695,1046.59,35.3422,-684.1206665039062,1036.09,100000
21,21,25.6493,194.11,31.8062,-219.6668243408203,192.41,105000
22,22,21.4336,543.57,30.7798,-191.03628540039062,716.5,110000
23,23,26.1604,7.58,33.8961,-731.7332763671875,7.46,115000
24,24,97.5832,144.02,34.4916,-212.31080627441406,143.44,120000
25,25,42.8903,989.32,35.6581,-894.7677612304688,988.99,125000
26,26,20.2186,199.79,31.6982,356.79840087890625,194.53,130000
27,27,34.7471,773.92,34.0577,-534.8740234375,775.7,135000
28,28,36.7663,985.28,37.2605,-1031.5804443359375,986.24,140000
29,29,30.7842,831.69,34.0197,-665.8795166015625,831.42,145000
30,30,24.4557,921.46,33.852,-852.0235595703125,920.48,150000
31,31,20.1792,978.0,33.266,-882.0925903320312,982.98,155000
32,32,22.0638,1091.34,34.0937,-1082.3228759765625,1077.66,160000
33,33,26.4281,1325.41,32.9295,-686.4177856445312,1325.91,165000
34,34,23.6662,1028.51,34.0712,-1016.1007690429688,1029.11,170000
35,35,157.9365,297.63,30.9957,-978.8258056640625,337.01,175000
36,36,186.2261,330.88,33.5963,-954.4755249023438,329.73,180000
37,37,22.8609,702.3,32.0756,-399.6856384277344,670.89,185000
38,38,156.1316,439.12,32.2957,-1207.93505859375,441.73,190000
39,39,42.3072,287.76,32.6948,-1288.73046875,283.86,195000
40,40,122.671,261.04,33.067,-1624.392333984375,242.16,200000
41,41,23.6898,1015.21,34.3364,-412.9859924316406,1029.35,205000
42,42,56.9028,993.87,37.7596,-1698.811767578125,993.52,210000
43,43,35.5483,143.51,30.6368,-905.7902221679688,149.27,215000
44,44,34.3639,241.73,34.4217,-1465.8597412109375,246.86,220000
45,45,59.4702,321.52,31.4548,-1365.225830078125,340.2,225000
46,46,26.2187,276.86,30.1059,-999.6884155273438,279.93,230000
47,47,28.4366,628.26,31.9639,-1086.938232421875,599.58,235000
48,48,22.0331,661.08,32.3091,-800.1843872070312,721.76,240000
49,49,27.6073,1106.83,33.2345,-1462.2584228515625,1114.41,245000
50,50,154.317,289.97,32.9133,-1931.673583984375,233.62,250000
51,51,118.264,304.34,33.2836,-2069.938232421875,286.14,255000
52,52,25.4631,867.21,31.0758,-1775.0322265625,891.81,260000
53,53,24.3476,1050.94,37.4704,-2052.8408203125,1051.63,265000
54,54,28.4744,1047.14,36.6345,-1954.3023681640625,1047.37,270000
55,55,21.7893,916.24,31.4127,-1862.1307373046875,841.11,275000
