Real Sto Return,Real Det Return,Itration,Running Reverse KL,Running Forward KL
-17.04,262.46,0,26.416,74.3183
-19.37,320.09,1,27.3222,74.8786
12.45,396.24,2,28.8533,72.7347
24.98,477.16,3,27.1017,71.6557
86.87,536.39,4,28.0134,71.8733
68.45,517.71,5,29.5545,71.4757
97.16,800.22,6,28.181,68.3847
255.12,830.12,7,28.8493,68.2569
247.03,876.23,8,27.6437,65.6445
169.91,625.79,9,27.9342,64.9805
139.96,645.57,10,26.6301,63.3975
288.35,789.96,11,27.3534,63.2279
259.89,1110.67,12,27.4086,63.7206
177.98,1095.06,13,27.7687,64.1045
323.96,902.44,14,28.1102,64.158
271.69,916.74,15,24.9903,57.7034
329.91,942.47,16,26.0041,57.8471
436.49,1110.47,17,25.7322,60.0535
276.09,998.07,18,26.9234,62.2054
818.29,1445.5,19,22.1496,53.7245
354.23,1011.31,20,27.2357,63.4959
366.33,987.36,21,26.167,60.3908
-745.55,-994.87,22,283.8145,86.0363
-644.78,-826.87,23,76.4082,82.5888
-476.88,-644.96,24,35.4892,73.9762
-246.94,53.92,25,29.7356,70.0933
-169.42,-233.45,26,27.881,69.162
-254.81,-111.17,27,27.4834,73.0947
-228.97,-107.83,28,28.9358,72.8058
-178.21,-80.74,29,27.2024,73.2466
-121.5,-112.55,30,27.4743,72.5786
-132.39,91.31,31,25.6563,70.7123
-118.68,-36.63,32,28.6777,72.7914
-110.39,11.58,33,26.8446,71.325
-107.42,151.09,34,27.8595,73.3254
-132.02,146.41,35,26.9276,70.816
-150.69,255.64,36,28.6457,71.581
-67.11,152.72,37,27.0539,68.9432
-112.89,167.66,38,27.9264,73.088
-42.65,141.25,39,29.0716,72.9264
-130.78,70.5,40,30.6211,73.533
-92.98,76.54,41,29.1497,71.568
-21.97,352.02,42,27.375,69.3996
-83.44,173.26,43,27.5056,70.8853
-56.41,145.67,44,29.4564,72.3012
-103.9,21.26,45,26.9609,72.0093
-72.07,200.85,46,25.389,69.9708
-13.52,76.05,47,29.1222,72.2638
-22.42,119.28,48,28.3977,70.3516
-46.42,83.32,49,26.4254,70.3544
-47.51,167.32,50,29.4878,68.4616
-42.08,40.81,51,28.6352,69.4615
1.36,184.62,52,28.9268,69.8712
-57.8,215.54,53,28.2612,71.5299
-116.74,133.04,54,28.6296,73.6643
-33.7,98.84,55,27.7216,67.8856
-50.23,150.8,56,26.6483,69.2598
0.3,177.67,57,29.7334,70.7594
-77.93,110.15,58,31.6877,67.0288
-88.56,200.47,59,27.112,70.3115
-10.98,127.45,60,28.3938,67.2159
-9.2,97.43,61,29.5913,69.869
-27.35,228.44,62,28.2175,69.6352
-32.39,179.16,63,32.7849,71.6602
-66.21,140.29,64,27.2862,70.3045
-0.32,130.41,65,27.2991,69.6554
-8.64,206.8,66,32.2208,69.5715
71.64,161.75,67,29.1405,69.156
20.73,162.82,68,28.6124,67.7569
-16.62,144.9,69,29.48,70.3696
124.98,399.58,70,27.4984,68.0111
-0.4,245.64,71,30.5825,69.1673
-61.48,270.22,72,29.325,69.6522
30.42,119.26,73,29.2591,68.6581
-24.79,30.84,74,30.5714,69.2514
-56.41,51.76,75,28.3773,68.5785
-51.41,17.55,76,29.6357,70.8631
-51.69,-24.76,77,28.3843,70.2965
-41.37,56.75,78,25.4337,70.143
-16.29,90.77,79,29.7695,71.3764
-66.6,137.34,80,33.1456,68.8853
26.81,298.37,81,24.5663,66.1842
104.8,197.72,82,27.8145,67.7812
16.53,239.43,83,29.7158,70.6421
-34.19,356.99,84,26.0011,64.9027
77.52,319.24,85,27.8568,69.0409
-31.54,217.2,86,27.028,69.1913
-9.07,130.87,87,25.7086,68.7993
-47.07,268.23,88,28.3402,70.357
14.92,126.64,89,27.5839,68.1927
-46.05,255.13,90,26.7983,66.532
22.09,247.69,91,28.1548,67.3902
3.85,32.4,92,25.5181,68.4885
-40.29,193.9,93,30.485,68.0327
-85.73,159.67,94,29.692,68.8312
17.11,306.18,95,25.7763,67.2883
16.72,380.94,96,26.9524,68.4109
22.92,301.44,97,27.299,66.1442
32.34,245.59,98,29.7357,69.6589
-46.86,118.86,99,26.3766,68.6647
7.16,51.14,100,25.4232,67.7181
-52.59,221.83,101,29.6057,69.3694
-57.42,75.28,102,26.7668,68.2857
-82.59,144.78,103,26.7414,70.4297
-21.0,236.9,104,27.1703,69.5693
28.8,217.16,105,27.7415,70.5667
1.34,230.03,106,27.9758,70.9022
-14.13,342.33,107,30.8641,72.168
-23.5,171.81,108,30.2255,70.7657
44.94,298.76,109,25.3201,64.6674
-42.53,341.06,110,31.724,68.883
-80.89,202.41,111,26.5593,67.5154
-16.25,153.71,112,28.2283,69.7075
-36.0,247.08,113,29.245,68.8409
28.15,322.65,114,26.2886,66.3228
54.81,395.66,115,30.0755,69.461
-43.53,414.13,116,27.9935,69.1032
-1.61,250.69,117,24.6988,65.4892
-9.01,207.11,118,29.04,70.3922
-11.17,90.59,119,25.4772,67.8765
-42.98,177.25,120,28.1919,68.9352
72.89,277.12,121,24.0066,61.2746
28.28,271.23,122,25.2173,62.3757
126.44,157.16,123,25.387,66.9626
4.65,213.66,124,25.5566,63.4015
7.74,39.1,125,27.3645,66.6674
6.36,391.11,126,27.6841,68.0859
-32.67,245.43,127,28.9073,70.135
14.77,103.92,128,25.5887,68.1218
-10.0,214.95,129,26.3479,69.3797
86.69,228.71,130,26.2739,70.045
-3.51,34.4,131,27.4105,67.3108
21.02,304.26,132,26.5754,71.0005
-22.69,61.41,133,29.1875,70.5645
-32.31,156.68,134,30.3553,71.4661
81.95,126.45,135,26.1586,67.4952
-63.49,140.15,136,31.9336,70.1473
46.91,248.73,137,26.5808,66.0149
34.64,383.88,138,24.4273,66.336
-10.75,234.77,139,25.1984,65.7917
39.79,334.99,140,26.8267,70.5895
-5.83,149.21,141,28.5846,70.114
-70.43,222.86,142,26.9578,67.1048
-76.16,243.33,143,27.0794,67.8338
-26.39,285.64,144,27.4024,68.6081
-5.05,283.44,145,26.9739,69.6849
-7.81,115.46,146,27.2611,66.7087
58.67,330.63,147,27.8029,66.0825
-13.37,227.11,148,27.3145,68.2645
7.83,194.52,149,26.1179,69.4383
-41.31,138.65,150,30.789,72.665
-113.08,183.34,151,29.0651,69.9659
-26.38,129.72,152,27.1,68.3981
-18.13,250.75,153,28.0267,67.3251
57.05,160.66,154,28.369,65.7876
-1.52,260.41,155,27.9096,69.8073
20.67,338.18,156,25.798,67.96
22.03,181.72,157,23.9071,69.6912
-18.85,303.63,158,27.4715,68.7327
-39.87,124.68,159,30.847,71.1326
12.37,113.58,160,25.5325,71.0077
22.65,182.36,161,27.3283,67.6974
-51.36,223.75,162,29.5088,72.1479
7.55,316.75,163,30.9043,70.7856
-52.11,315.61,164,27.8063,67.6158
16.15,236.81,165,28.2298,69.844
-69.89,162.79,166,26.8409,70.3709
-3.9,-2.6,167,31.9808,68.7338
-22.57,226.63,168,30.0368,72.8803
5.2,49.59,169,29.815,70.4147
92.37,408.42,170,29.8062,62.9456
-63.52,167.95,171,29.807,70.1822
4.63,348.72,172,26.9491,66.5695
-24.19,239.47,173,29.1454,71.8076
19.24,-444.06,174,26.9537,65.6482
-55.15,260.23,175,31.3851,72.028
81.31,340.76,176,28.4554,71.436
18.74,308.42,177,28.8767,67.787
0.36,62.7,178,27.417,68.5746
18.55,96.28,179,26.8116,69.6927
-42.13,116.53,180,28.7091,69.1785
-43.33,239.62,181,26.8067,68.7471
33.97,242.22,182,27.9912,67.0071
46.93,171.03,183,26.9123,68.7442
-42.61,129.5,184,32.0567,71.7121
33.84,145.38,185,27.9203,70.4756
10.34,307.43,186,25.6658,67.7199
133.43,274.02,187,25.557,66.129
37.12,85.37,188,27.9911,66.9693
115.16,556.32,189,27.222,66.7942
35.55,302.14,190,27.0391,68.4571
14.83,191.29,191,25.5146,68.5725
49.12,302.78,192,27.3562,65.3138
64.44,347.59,193,28.3754,67.3339
35.63,168.85,194,26.4307,68.5375
24.5,221.77,195,28.439,67.3431
1.6,284.98,196,30.3855,71.3355
-10.17,263.98,197,27.2898,69.7318
2.5,205.1,198,27.9387,69.6089
89.02,198.23,199,27.2154,66.9979
30.99,180.04,200,26.3499,68.6601
42.3,223.1,201,26.5595,65.3456
17.74,125.97,202,25.9016,68.2093
-16.43,137.36,203,25.2902,67.3297
17.43,151.34,204,25.6549,69.732
-9.49,49.05,205,26.4345,68.5229
22.07,211.51,206,24.9743,65.1872
-26.77,88.95,207,27.9401,69.3838
-5.98,144.16,208,25.419,68.1552
22.96,146.92,209,27.786,67.1665
59.22,267.08,210,25.775,64.9866
28.67,248.21,211,25.5833,64.8353
56.15,297.12,212,24.9273,64.7965
76.59,174.47,213,26.3751,66.8215
-0.49,155.48,214,26.8917,66.8602
10.76,165.15,215,25.8858,66.4258
-15.31,132.22,216,27.2723,68.7274
27.56,140.89,217,25.4286,67.2149
-24.25,-175.27,218,26.5953,67.4938
-30.05,-60.72,219,25.4354,70.4079
-71.79,-156.8,220,27.1485,67.1001
-46.4,0.37,221,25.2397,66.3043
-56.69,2.99,222,26.0666,67.1477
-93.26,-25.85,223,25.3865,67.3522
-30.15,9.42,224,27.2754,69.5845
-5.3,-40.41,225,26.286,69.8826
-40.67,192.5,226,26.4016,69.2285
-106.99,-47.12,227,29.7598,69.1837
-64.55,59.98,228,26.9737,67.3529
-72.66,-20.18,229,26.8255,68.6593
-88.84,-151.0,230,28.5812,71.0889
-38.79,10.74,231,27.4145,66.9127
-8.55,-66.7,232,25.0128,67.9645
-93.81,-77.77,233,30.3974,70.5027
-53.86,-52.1,234,28.6965,70.933
-53.1,-67.93,235,29.4195,71.9154
0.6,13.8,236,26.133,69.8232
-29.78,68.66,237,25.724,69.9545
-81.4,28.52,238,27.7298,67.9706
-91.45,38.61,239,26.6135,71.494
-40.35,70.42,240,23.2086,66.0643
-46.71,42.85,241,26.8431,68.4536
-133.72,24.61,242,25.8386,71.0359
-40.58,39.76,243,28.6199,72.4778
-102.24,-27.31,244,28.0076,70.1172
-65.03,55.05,245,25.4996,70.2906
-53.71,11.08,246,26.8971,70.978
-55.71,17.64,247,27.284,70.5545
-71.65,-28.86,248,26.5554,71.7866
-75.42,-0.83,249,27.5044,72.2151
-9.0,37.32,250,26.555,71.0387
-5.35,65.67,251,27.0602,69.4617
-30.86,81.63,252,26.2484,66.564
-45.02,88.08,253,27.2509,71.1836
2.47,129.36,254,28.4417,69.463
-21.18,98.97,255,27.399,70.3935
27.35,95.8,256,26.8106,68.5685
-42.8,-17.54,257,27.5291,69.5658
-62.4,27.11,258,27.0048,69.3543
-30.12,23.68,259,26.8586,70.3981
6.66,121.39,260,26.7374,69.2857
-49.82,62.35,261,26.1282,70.8633
-55.18,-19.58,262,25.704,69.3507
-46.95,51.06,263,25.4484,69.4651
-58.02,119.79,264,25.965,70.3908
-41.13,-130.71,265,28.638,68.5905
-95.59,-61.08,266,28.7064,67.8406
-54.06,-224.25,267,27.4543,68.0095
-149.22,-462.51,268,29.1457,72.5415
-11.21,57.96,269,27.9536,68.8526
-52.03,-143.17,270,27.4068,72.8005
-26.05,-78.03,271,25.7763,71.1608
-96.32,-104.08,272,26.3851,69.0418
-72.04,-394.62,273,29.6474,70.6651
-122.97,-426.41,274,30.8867,72.2025
-187.06,-482.35,275,28.3379,69.4036
-130.23,-180.47,276,27.9537,70.7018
-86.49,-249.42,277,26.1097,70.3699
-49.34,49.09,278,25.8711,68.2825
-44.18,-5.72,279,28.7557,70.4386
-47.45,-16.47,280,27.7495,70.7523
-133.88,17.67,281,27.49,71.9407
-144.43,-1.33,282,27.3465,71.6725
-65.23,7.74,283,26.2792,69.9848
-80.94,25.49,284,24.8092,70.9661
-81.03,14.01,285,25.6784,71.0837
-36.36,22.26,286,24.8024,70.7562
-9.13,36.06,287,26.2042,71.3073
-63.15,-3.47,288,25.588,71.8162
-106.36,10.72,289,24.553,71.3468
-58.37,42.71,290,25.5286,71.9847
-21.75,29.92,291,23.8923,69.1334
-14.37,2.39,292,24.2203,71.5102
-32.83,36.32,293,23.6966,71.4687
-45.44,54.21,294,26.1401,71.2331
-83.49,93.17,295,27.2172,72.5382
-100.13,-19.48,296,25.9443,72.5617
-54.77,98.76,297,23.9319,71.985
-53.63,30.77,298,24.142,70.2687
-84.71,-99.77,299,26.574,71.1294
-14.85,25.21,300,23.9461,72.007
-101.82,-54.92,301,26.0291,71.2279
-55.2,-70.61,302,28.3445,72.314
-0.33,-25.95,303,26.1329,71.6579
-77.81,62.11,304,24.3185,70.6306
-81.69,53.52,305,25.0305,70.8784
-67.59,75.88,306,29.9664,71.4756
-52.72,22.48,307,25.1832,72.2001
-95.28,19.61,308,29.6278,72.066
-30.34,23.46,309,25.3969,71.0721
-93.8,-125.59,310,27.7228,71.5286
-124.5,-220.78,311,27.7522,69.977
-58.95,22.6,312,27.7939,71.9663
-77.42,-441.91,313,27.4649,72.822
-42.45,-23.43,314,29.0272,72.9706
-38.9,116.88,315,26.4881,72.4385
