Running Update Time,Real Sto Return,Running Reverse KL,Itration,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps
0,-19.05,27.1213,0,75.0057,15.134758949279785,170.37,0
1,-38.79,26.741,1,74.9632,4.033505916595459,219.36,5000
2,13.55,27.779,2,74.769,-0.7888823747634888,195.92,10000
3,49.73,26.3975,3,72.4633,-15.664063453674316,526.8,15000
4,56.38,27.9944,4,72.0873,-22.779338836669922,576.51,20000
5,57.93,28.7859,5,72.6121,-37.049415588378906,600.49,25000
6,30.38,29.1885,6,72.0129,-47.07268524169922,704.11,30000
7,44.75,29.3433,7,72.2354,-55.74905014038086,354.15,35000
8,48.5,28.9358,8,71.2403,-66.52326965332031,779.53,40000
9,161.74,29.3822,9,71.1041,-78.67276000976562,809.14,45000
10,133.65,28.0797,10,67.4103,-88.53618621826172,841.96,50000
11,99.73,28.0868,11,66.9013,-99.76604461669922,779.91,55000
12,165.31,28.3212,12,67.458,-112.93492889404297,861.88,60000
13,154.97,28.8821,13,67.2687,-121.52743530273438,965.06,65000
14,239.42,29.5678,14,69.0024,-133.748291015625,963.66,70000
15,131.65,28.5549,15,67.6042,-143.45896911621094,687.41,75000
16,253.76,28.9159,16,67.0874,-155.0902099609375,856.72,80000
17,255.7,28.8558,17,67.8239,-168.30960083007812,1017.14,85000
18,268.75,28.4711,18,65.7071,-179.12368774414062,1170.62,90000
19,325.99,27.3085,19,66.3268,-191.25990295410156,1044.5,95000
20,328.89,26.9591,20,64.2106,-196.73538208007812,1094.05,100000
21,242.07,28.5926,21,68.2713,-216.0041046142578,942.16,105000
22,260.46,26.1764,22,63.3158,-217.66807556152344,969.98,110000
23,310.5,24.7218,23,60.5166,-221.9860382080078,1473.38,115000
24,253.55,26.785,24,64.3223,-245.20855712890625,1147.6,120000
25,285.31,26.5247,25,63.8935,-252.245361328125,989.4,125000
26,283.47,26.669,26,63.3267,-266.561279296875,1141.7,130000
27,365.66,26.3199,27,61.8362,-276.51690673828125,1126.14,135000
28,261.49,26.9514,28,63.3698,-293.3916320800781,1112.48,140000
29,599.29,25.5726,29,59.7302,-287.04962158203125,1628.97,145000
30,672.95,24.5749,30,57.9186,-285.9761657714844,1595.16,150000
31,566.96,21.3937,31,53.333,-268.6618347167969,1345.35,155000
32,884.95,23.9546,32,56.504,-301.34442138671875,1794.12,160000
33,775.71,24.8772,33,57.4018,-315.19842529296875,1994.34,165000
34,913.66,23.8537,34,54.7514,-315.7265625,1953.06,170000
35,490.12,24.6866,35,58.5555,-348.82196044921875,1541.29,175000
36,781.97,24.9545,36,58.328,-358.2392578125,1594.8,180000
37,850.49,22.4223,37,54.8251,-339.5929870605469,1483.09,185000
38,593.3,22.7647,38,55.7863,-352.1117858886719,1242.76,190000
39,600.46,22.5313,39,54.9945,-357.7624206542969,1163.85,195000
40,484.5,23.613,40,56.9905,-380.7799072265625,1179.67,200000
41,799.72,24.1571,41,57.2077,-389.09942626953125,1587.48,205000
42,710.31,23.2106,42,55.0598,-389.327392578125,1085.19,210000
43,792.68,23.0733,43,51.5166,-304.4925842285156,2199.12,215000
44,1297.35,23.6826,44,56.6893,-405.84356689453125,2256.55,220000
45,1140.79,25.2013,45,53.4633,-341.0829772949219,2796.35,225000
46,1149.45,22.2756,46,52.5033,-348.766357421875,1994.35,230000
47,1489.59,23.9837,47,56.2828,-446.2386474609375,2148.64,235000
48,1688.99,23.751,48,51.2714,-315.92919921875,2584.55,240000
49,1620.33,25.6277,49,51.7507,-301.4346923828125,2817.41,245000
50,1809.77,23.5255,50,52.5074,-356.7129821777344,2987.39,250000
51,1425.58,24.0468,51,52.1304,-334.4664001464844,2507.1,255000
52,1456.22,24.5451,52,50.919,-309.7301025390625,2341.5,260000
53,1301.88,23.0169,53,54.6942,-441.7050476074219,2480.73,265000
54,2037.45,26.0896,54,51.5507,-355.7451171875,3091.57,270000
55,1185.01,21.5625,55,52.8136,-440.15948486328125,2645.44,275000
56,1176.66,23.9209,56,51.4539,-352.5555725097656,2618.79,280000
