Running Forward KL,Running Reverse KL,Real Sto Return,Running Update Time,Itration,Reward Loss,Running Env Steps,Real Det Return
49.6812,12.1581,370.55,0,0,155.48214721679688,0,357.66
49.2948,12.8412,357.01,1,1,113.82276153564453,5000,458.38
49.6993,18.4936,347.74,2,2,65.249267578125,10000,314.95
48.8189,20.9224,387.02,3,3,10.74090576171875,15000,494.62
48.6495,13.6556,455.76,4,4,20.74122428894043,20000,584.47
49.5843,18.5825,410.34,5,5,-40.20258712768555,25000,650.62
49.3338,14.7109,266.91,6,6,111.62132263183594,30000,349.52
53.3135,17.5803,85.79,7,7,-37.64149475097656,35000,456.18
52.344,24.6641,96.9,8,8,-178.1598663330078,40000,1.05
51.6102,40.9326,132.95,9,9,-139.73635864257812,45000,77.05
51.4033,38.9725,253.25,10,10,-270.66021728515625,50000,167.9
51.1393,26.7983,560.53,11,11,-209.21571350097656,55000,434.6
52.8964,71.8708,23.13,12,12,-373.7666320800781,60000,17.64
54.1713,31.0674,925.47,13,13,-263.2819519042969,65000,390.59
53.9354,36.1929,119.95,14,14,-191.0049591064453,70000,138.76
53.1119,26.2259,579.12,15,15,-209.64675903320312,75000,328.09
53.3784,31.5828,611.62,16,16,-365.6653747558594,80000,1027.01
51.3232,47.9294,719.04,17,17,-374.69891357421875,85000,712.18
51.3633,22.9917,149.67,18,18,-193.323486328125,90000,121.18
53.7864,35.1344,904.04,19,19,-366.800537109375,95000,888.55
54.6406,53.0541,635.24,20,20,-434.5952453613281,100000,1037.78
52.2557,48.3006,919.16,21,21,-426.6944580078125,105000,933.68
51.5491,26.9966,311.73,22,22,-307.8842468261719,110000,538.46
52.4924,16.0227,91.07,23,23,-78.32711791992188,115000,314.24
55.9191,60.8863,1011.33,24,24,-519.8424682617188,120000,1011.66
51.7333,44.5772,747.2,25,25,-398.8818664550781,125000,741.1
55.9437,41.6003,1003.41,26,26,-512.3445434570312,130000,1004.23
55.1389,35.5363,1038.62,27,27,-498.499267578125,135000,1037.25
51.0421,32.1111,546.96,28,28,-356.5968933105469,140000,528.54
50.6664,30.0184,639.13,29,29,-424.9405822753906,145000,554.77
54.867,33.0746,1046.24,30,30,-542.2117309570312,150000,1039.56
57.6526,57.9869,1033.96,31,31,-587.4567260742188,155000,1033.61
49.6419,31.0176,703.95,32,32,-342.5408020019531,160000,648.06
53.2417,30.247,549.96,33,33,-481.4171142578125,165000,756.88
53.5389,33.3467,211.4,34,34,-457.4781494140625,170000,76.51
55.3189,46.3554,787.81,35,35,-553.2445678710938,175000,992.11
53.2226,27.0115,178.7,36,36,-486.7120056152344,180000,153.54
52.4229,27.1557,981.13,37,37,-526.2948608398438,185000,1044.48
51.064,38.4432,418.27,38,38,-421.78314208984375,190000,404.82
51.168,26.8631,359.83,39,39,-395.68603515625,195000,366.64
53.0673,36.818,457.93,40,40,-587.258056640625,200000,461.04
53.3313,47.5132,202.43,41,41,-540.022216796875,205000,423.29
56.3005,53.1605,1029.71,42,42,-684.4227905273438,210000,1030.68
52.9995,77.587,158.6,43,43,-605.0579833984375,215000,160.97
55.4813,43.6918,1025.73,44,44,-697.49658203125,220000,1029.02
53.5731,41.4234,841.25,45,45,-667.3516235351562,225000,932.48
55.4634,40.0532,550.97,46,46,-595.0724487304688,230000,659.11
52.5805,53.0736,180.44,47,47,-730.632568359375,235000,202.32
50.4049,22.0236,333.57,48,48,-330.654541015625,240000,528.53
52.7663,26.094,498.25,49,49,-582.7801513671875,245000,520.01
54.9476,31.2468,70.71,50,50,-668.025390625,250000,52.8
53.8242,38.5284,78.07,51,51,-660.0032958984375,255000,52.63
53.1516,46.4616,754.7,52,52,-779.3460693359375,260000,908.24
56.1533,41.9403,1050.37,53,53,-818.8662109375,265000,1049.76
50.4053,29.5644,625.09,54,54,-591.589111328125,270000,712.37
55.4388,32.2382,1054.04,55,55,-778.271484375,275000,1045.46
57.0806,50.8661,993.61,56,56,-866.181884765625,280000,995.26
50.1408,23.6204,634.82,57,57,-592.4421997070312,285000,595.46
54.2898,31.6757,1036.73,58,58,-810.5068969726562,290000,1038.55
57.1454,41.1613,1031.43,59,59,-896.0993041992188,295000,1031.31
50.6792,26.9863,706.2,60,60,-735.7197875976562,300000,571.58
50.1405,25.3685,816.49,61,61,-701.9210815429688,305000,818.46
51.5456,30.9054,653.52,62,62,-708.052734375,310000,753.83
51.502,29.7568,242.98,63,63,-694.0321655273438,315000,182.35
50.6033,17.1995,661.89,64,64,-473.8960266113281,320000,1010.27
53.0168,39.3529,250.39,65,65,-833.5469360351562,325000,287.96
54.912,51.7284,1044.22,66,66,-977.5343017578125,330000,1044.13
57.2936,50.3791,1013.1,67,67,-967.409423828125,335000,1012.64
54.4226,51.1664,1018.28,68,68,-974.7589111328125,340000,1028.4
53.1831,38.3374,916.71,69,69,-947.4360961914062,345000,917.46
51.1759,37.6443,3.45,70,70,-824.60009765625,350000,-2.56
50.9443,21.3014,25.1,71,71,-650.8790283203125,355000,32.1
56.0603,58.0082,1014.9,72,72,-1081.172119140625,360000,1014.99
51.8408,29.8638,532.48,73,73,-857.4712524414062,365000,471.3
53.7876,42.0623,881.99,74,74,-1007.7178344726562,370000,1015.86
54.1033,32.4687,1203.03,75,75,-917.2012939453125,375000,1022.77
51.4288,32.5659,124.07,76,76,-854.4342651367188,380000,153.49
53.5068,38.8077,832.32,77,77,-983.08544921875,385000,991.04
55.798,48.1482,1040.82,78,78,-1129.6011962890625,390000,1037.34
56.2294,48.8755,1014.72,79,79,-1156.440673828125,395000,1014.52
52.7578,24.629,165.98,80,80,-722.919189453125,400000,65.28
55.9033,47.8535,1056.93,81,81,-1168.00732421875,405000,1054.5
52.7434,45.2068,978.14,82,82,-1086.013671875,410000,834.26
49.5561,31.966,97.16,83,83,-843.1708984375,415000,74.09
51.6804,23.5328,24.91,84,84,-826.6504516601562,420000,46.53
54.2937,38.771,74.26,85,85,-1076.002197265625,425000,72.36
53.1431,53.5652,18.46,86,86,-1282.97607421875,430000,3.68
52.1429,30.6378,32.96,87,87,-1066.6204833984375,435000,45.65
50.2383,34.2077,272.07,88,88,-829.1146850585938,440000,265.89
51.2148,32.0545,40.22,89,89,-1104.6331787109375,445000,86.94
49.563,30.7714,301.87,90,90,-1057.6202392578125,450000,232.38
47.8539,15.667,387.49,91,91,-615.9341430664062,455000,400.69
48.993,15.117,345.52,92,92,-442.2037658691406,460000,370.59
48.5064,14.1799,338.9,93,93,-618.22119140625,465000,360.36
49.7189,14.8157,352.3,94,94,-682.8878784179688,470000,440.46
49.5656,16.444,394.72,95,95,-547.1400756835938,475000,410.62
50.0063,15.6993,446.98,96,96,-531.4719848632812,480000,417.04
51.3178,17.5288,157.15,97,97,-554.5262451171875,485000,102.77
50.2635,17.1013,361.65,98,98,-677.9791259765625,490000,381.83
50.0319,17.9071,425.97,99,99,-245.6312255859375,495000,422.36
50.4756,14.412,326.06,100,100,-726.7453002929688,500000,414.54
49.7094,15.895,284.3,101,101,-487.0976257324219,505000,219.51
49.0699,16.1201,315.52,102,102,-457.66912841796875,510000,314.39
49.1803,16.0194,345.95,103,103,-720.0918579101562,515000,319.53
49.1771,15.5046,381.75,104,104,-754.5018920898438,520000,366.62
51.3008,37.8903,317.08,105,105,-1332.4354248046875,525000,328.3
55.6716,37.8999,1006.83,106,106,-1369.3602294921875,530000,1009.89
56.1562,67.4468,1031.08,107,107,-1438.4566650390625,535000,1030.92
56.8851,53.5095,993.69,108,108,-1443.792724609375,540000,995.49
56.878,49.3423,999.26,109,109,-1474.4749755859375,545000,998.17
57.186,44.7712,996.77,110,110,-1466.8302001953125,550000,998.25
50.343,42.7582,179.08,111,111,-1322.4532470703125,555000,60.7
54.2304,59.5801,159.31,112,112,-1503.3236083984375,560000,126.88
54.6099,31.6645,877.42,113,113,-1136.8480224609375,565000,862.38
54.8396,35.0573,917.16,114,114,-1407.824462890625,570000,927.84
56.5492,46.8001,1010.25,115,115,-1442.599365234375,575000,1010.55
56.8371,47.4594,1008.02,116,116,-1538.213623046875,580000,1009.77
56.3575,48.9462,1025.67,117,117,-1592.8065185546875,585000,1024.72
54.6113,64.7633,353.58,118,118,-1462.4007568359375,590000,379.34
52.2758,45.1622,147.27,119,119,-1204.8966064453125,595000,153.24
51.2411,21.9461,357.61,120,120,-1138.75439453125,600000,328.53
51.0894,30.2139,383.61,121,121,-1123.704345703125,605000,395.69
49.5833,26.8227,380.63,122,122,-1190.0450439453125,610000,397.25
50.0784,22.2025,460.82,123,123,-1182.5352783203125,615000,625.72
55.0841,41.6,1037.35,124,124,-1666.330810546875,620000,1037.51
53.5075,33.5891,928.72,125,125,-1524.626708984375,625000,1051.66
55.6551,41.2917,1023.25,126,126,-1650.7401123046875,630000,1022.43
52.9471,40.0513,326.69,127,127,-1580.106689453125,635000,284.82
