Itration,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
0,353.41,15.9953,329.93,35.9498
1,383.35,31.9073,354.51,36.0348
2,383.61,24.2571,348.49,34.7553
3,446.63,34.1843,440.57,31.9313
4,357.45,44.4587,353.72,35.2308
5,1001.63,26.835,1023.98,45.2029
6,534.76,34.5653,531.78,32.6761
7,86.75,106.5887,80.84,41.8662
8,755.44,62.5022,851.7,32.1169
9,1257.46,15.67,974.02,30.6264
10,819.82,22.4885,807.52,31.6127
11,1041.19,32.1087,1041.11,40.7846
12,1000.49,22.2301,1004.0,40.8794
13,1043.41,28.1347,1042.57,40.258
14,1029.12,22.9498,1029.42,40.5356
15,1040.18,27.2646,1039.18,40.185
16,1039.58,28.8241,1039.08,40.5779
17,217.2,33.3048,510.82,36.8174
18,750.66,39.0329,711.07,32.9141
19,365.71,53.7454,365.49,33.6523
20,461.7,31.0152,470.43,32.9412
21,225.98,19.9821,245.19,37.1824
22,412.52,32.2039,419.27,38.6677
23,397.45,40.5022,397.88,37.0405
24,1318.82,40.0757,1090.54,35.9689
25,346.13,60.0127,325.7,36.9995
26,1017.16,35.6176,975.64,39.4793
27,672.87,39.2039,689.13,38.0317
28,281.06,55.5274,285.79,36.4989
29,378.36,55.5814,357.73,34.885
30,220.38,49.3345,233.73,35.7936
31,196.65,36.7297,194.06,36.982
32,1041.08,33.0272,1039.61,46.4121
33,1000.51,44.3794,999.14,41.9967
34,997.07,37.4939,996.91,42.4158
35,1049.01,30.0131,1055.84,40.4163
36,1010.17,28.0969,1012.63,40.2095
37,1019.82,25.179,1026.89,42.9531
38,1033.99,32.0456,1033.87,42.2772
39,1037.74,36.6054,1037.51,42.4724
40,1042.96,25.1608,1043.5,40.7038
41,1019.54,35.1736,1020.16,44.0308
42,1023.19,39.3543,1023.84,41.7412
43,220.27,42.4811,225.83,45.3542
44,1041.57,33.4672,924.74,43.6111
45,1046.89,40.0626,1046.85,42.7154
46,120.46,40.3456,23.58,41.9829
47,989.13,36.8418,989.52,43.9444
48,1034.63,31.9617,1034.34,43.4299
49,429.24,33.1216,428.08,41.02
50,1044.75,28.0534,1044.88,44.8209
51,1010.88,48.2098,1010.81,46.8779
52,344.81,42.6918,281.96,45.999
53,137.3,36.351,139.4,45.3548
54,208.43,58.5625,235.22,34.669
55,111.91,55.0727,111.51,39.1349
56,394.64,40.7238,370.87,38.6099
57,309.47,27.4263,212.9,37.414
58,13.76,66.4148,13.48,44.2849
59,982.56,47.2536,982.58,46.9232
60,25.36,28.0664,25.76,40.0296
61,992.31,58.0463,992.19,45.5481
62,1025.22,37.7674,1033.06,43.1066
63,76.79,48.5924,75.95,38.5908
64,99.61,73.7154,100.28,38.2536
65,127.74,25.5889,130.85,39.6466
66,240.91,20.2376,237.43,38.6289
67,1038.85,32.5148,1038.21,42.5006
68,1028.83,31.9119,1028.42,43.8826
69,437.31,19.8349,426.82,37.6501
70,1043.09,26.3437,1044.6,43.7296
71,361.43,20.1497,345.33,38.3505
72,239.4,22.9857,253.33,38.3413
73,351.07,28.3266,332.45,40.1153
74,271.55,21.1696,428.41,35.1735
75,347.06,17.5092,350.34,37.7296
76,299.31,17.2128,301.46,36.3627
77,307.41,30.5217,308.52,37.7237
78,274.73,37.8271,280.79,38.5916
79,356.21,29.9618,328.06,36.5378
80,581.82,53.5079,488.68,38.0531
81,300.08,36.3316,320.18,38.3502
82,381.64,35.9064,367.88,36.3896
83,536.41,33.4957,483.52,33.2696
84,372.74,42.5976,411.9,33.5558
85,375.07,35.364,375.27,34.3121
86,603.51,36.7794,566.34,33.518
87,585.85,49.2194,584.89,33.3241
88,461.53,44.351,419.83,33.4482
89,401.26,44.6125,406.16,33.2484
90,589.6,31.4046,566.18,33.49
91,451.68,42.3569,476.95,33.713
92,296.12,23.6862,327.16,34.9496
93,798.99,16.0009,741.87,29.9694
94,1088.34,27.6201,958.2,32.8844
95,587.43,50.5648,633.12,33.8442
96,717.98,44.5269,833.68,31.3499
97,448.34,21.8771,500.03,33.5077
98,1153.73,16.8812,1089.71,32.1389
99,1150.03,32.9133,1280.58,31.6695
100,1944.8,18.92,1262.84,30.2498
101,815.9,24.3546,812.65,31.8559
102,741.94,33.7223,965.97,31.1402
103,946.22,15.9281,854.76,31.3452
104,2171.64,19.9284,1422.96,31.4217
105,2441.52,12.8725,1951.99,30.8647
106,821.09,15.3894,700.74,33.2397
107,849.49,25.9013,1260.08,31.9625
108,2464.48,13.7469,2390.92,30.8795
109,2570.65,15.6011,2452.13,31.4481
110,2513.29,16.1788,2544.44,32.1615
111,2396.47,15.8489,2315.43,33.217
112,2766.21,13.1492,2445.98,29.1155
113,1013.02,26.2593,1018.37,43.5718
114,1468.49,41.8645,1266.57,31.0726
115,2825.52,16.0091,2660.15,30.1296
116,2690.87,15.0133,2697.39,30.5314
117,1030.43,16.6089,1719.11,29.1116
118,1008.55,48.6556,1009.42,42.1218
119,2401.3,13.7705,2539.09,30.3204
120,2913.61,12.7154,2804.95,27.9545
121,2840.98,14.2409,2859.61,30.224
122,2568.05,16.5328,2576.76,32.654
123,2250.76,13.9461,2279.1,32.8035
124,2749.38,16.7828,2805.36,30.8446
125,1901.05,14.1686,2536.72,30.9529
126,2398.6,14.0103,2195.54,31.2513
127,2475.55,13.0419,2430.35,29.8861
128,2518.66,15.6623,2509.85,30.8449
129,995.09,16.4505,2140.75,31.7076
130,2145.15,13.9587,2166.68,32.7658
131,2196.35,14.4087,2267.72,32.1213
132,2898.82,17.138,2904.67,29.6742
133,1038.57,15.4697,1695.35,32.4201
134,2242.89,12.0548,2233.94,31.4495
135,3128.1,18.3831,3118.23,31.2383
136,2619.56,20.6082,1988.49,31.6384
137,2416.44,12.9944,2646.16,30.4578
138,973.83,35.7056,973.53,45.5609
139,2339.79,18.2827,2394.47,33.6745
140,2269.33,14.9037,2331.33,32.2074
141,988.83,21.0375,1363.7,32.3586
142,3196.23,14.9896,3157.28,29.4427
143,2937.78,15.5389,2511.61,28.0245
144,2872.55,14.2481,2845.0,29.3364
145,1504.17,33.9451,1936.36,29.8855
146,2591.46,20.8529,2605.14,33.3291
147,2002.77,14.4001,1535.15,33.6866
148,2964.26,13.1341,3000.87,27.838
149,2976.28,14.7593,2913.51,29.7186
150,2750.51,19.573,1244.47,31.7006
151,2139.76,13.6896,2431.97,31.9255
152,3058.11,14.9655,2868.86,28.1052
153,549.62,29.631,1004.02,30.4337
154,1238.92,37.268,1213.37,30.4478
155,2545.21,13.7548,2109.45,29.6224
156,2842.6,14.2488,2859.18,29.8514
157,3158.83,14.1254,3015.79,26.9879
158,2888.93,13.9974,2905.7,29.8228
159,2607.89,14.83,2536.82,31.4055
160,2949.34,17.9167,2944.89,29.9489
161,3136.9,21.6923,2728.62,31.6398
162,2620.84,16.0126,2648.43,31.6702
163,573.54,37.2204,661.13,35.2263
164,2769.58,16.0134,2730.8,31.3082
165,2660.22,14.4468,2743.01,29.1698
