Itration,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return
0,203.0740966796875,158.5783,0,0,-35.84,11.7482,-185.63
1,169.7835693359375,158.5115,1,5000,8.41,12.0817,-78.02
2,139.02711486816406,158.3821,2,10000,751.54,12.3363,127.39
3,67.70140075683594,158.4847,3,15000,1011.46,13.8346,341.11
4,23.99030303955078,157.9825,4,20000,931.93,14.1185,519.83
5,-5.131959915161133,157.943,5,25000,683.82,13.7989,505.79
6,-45.864253997802734,158.0965,6,30000,1205.57,14.6314,746.79
7,-53.353397369384766,158.0946,7,35000,1059.65,15.0018,745.32
8,-78.92597961425781,158.0066,8,40000,1400.34,15.6685,974.91
9,-87.41189575195312,158.0222,9,45000,1437.9,16.1425,945.11
10,-116.96720886230469,158.0768,10,50000,1522.42,16.2801,1023.86
11,-149.86474609375,157.715,11,55000,1522.29,16.4243,1137.03
12,-168.7967529296875,157.6376,12,60000,1647.79,16.6957,1269.5
13,-187.1544647216797,157.7065,13,65000,1655.37,16.4975,1263.25
14,-217.4628448486328,157.7744,14,70000,1652.75,16.7867,1290.81
15,-269.5994873046875,157.6518,15,75000,1726.21,15.9788,1282.32
16,-286.0228271484375,157.5205,16,80000,1713.93,16.3797,1306.43
17,-323.85052490234375,157.6668,17,85000,1756.34,16.4087,1373.94
18,-347.7247009277344,157.9533,18,90000,1754.54,16.63,1368.75
19,-382.61077880859375,157.5102,19,95000,1807.73,16.1432,1399.05
20,-422.353271484375,157.7195,20,100000,1861.09,16.5007,1422.09
21,-432.88385009765625,157.6406,21,105000,1818.62,16.3133,1447.16
22,-470.7034912109375,157.7569,22,110000,1891.47,16.4534,1470.39
23,-494.8842468261719,157.553,23,115000,1860.15,16.2594,1514.05
