Running Env Steps,Running Update Time,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Itration,Real Det Return
0,0,30.832,-100.0377197265625,39.3333,202.91,0,195.59
5000,1,37.419,-108.66187286376953,36.2648,332.95,1,344.4
10000,2,45.301,-121.00726318359375,36.3554,369.65,2,365.5
15000,3,17.3832,-53.37234878540039,32.2554,406.65,3,418.34
20000,4,13.496,-24.463708877563477,28.9047,660.94,4,724.53
25000,5,20.4206,-73.775634765625,31.5774,523.7,5,460.69
30000,6,18.9856,-72.88765716552734,29.3074,658.8,6,702.11
35000,7,16.6831,-44.243309020996094,29.8068,656.79,7,612.56
40000,8,16.7926,-66.68644714355469,29.6321,759.29,8,712.49
45000,9,16.0903,-96.70040130615234,29.1132,756.15,9,844.63
50000,10,15.2825,-94.45443725585938,28.6875,917.08,10,852.18
55000,11,14.1177,-67.94740295410156,27.8761,1002.38,11,1039.93
60000,12,42.2491,-77.43208312988281,28.1513,970.82,12,1016.71
65000,13,13.8948,-96.27101135253906,27.0122,1194.09,13,1322.01
70000,14,12.7704,-97.43181610107422,27.7128,1040.48,14,1638.46
75000,15,13.9216,-60.72476577758789,27.3482,1587.0,15,2168.44
80000,16,13.8124,-78.48472595214844,27.5757,1211.18,16,3029.7
85000,17,14.1864,-100.39846801757812,27.1209,1805.19,17,1455.88
90000,18,14.2,-87.96702575683594,27.1831,1575.24,18,2408.71
95000,19,15.6699,-128.6641845703125,27.2705,1353.55,19,2055.06
100000,20,15.023,-113.34226989746094,27.1903,1672.25,20,1830.36
105000,21,18.6997,-147.66937255859375,27.8484,1661.54,21,2029.34
110000,22,17.5334,-117.78611755371094,26.3321,1560.81,22,1116.76
115000,23,13.773,-75.13729858398438,27.0506,2223.07,23,1311.54
120000,24,12.8248,-77.20948791503906,26.732,2481.65,24,3105.38
125000,25,12.4999,-52.98446273803711,25.678,2093.5,25,3182.59
130000,26,15.1934,-109.11187744140625,27.1501,1966.44,26,3192.67
135000,27,14.8491,-85.84931182861328,27.1969,2311.94,27,3181.18
140000,28,13.4097,-77.12271881103516,26.6374,2343.47,28,3256.49
145000,29,12.6417,-47.86027908325195,26.1354,2482.55,29,3349.94
150000,30,12.4369,-68.0855484008789,25.759,2362.68,30,3163.55
155000,31,14.5923,-15.542134284973145,26.5144,2786.64,31,3257.95
160000,32,13.0082,-84.26225280761719,26.545,2084.42,32,3055.29
165000,33,12.5595,-85.76221466064453,26.8794,2076.18,33,3304.05
170000,34,13.6391,-124.33378601074219,27.1678,1419.49,34,2129.45
175000,35,12.5701,-67.71961975097656,26.2105,2421.01,35,3334.25
180000,36,13.1745,-73.62775421142578,25.9116,2432.69,36,3351.88
185000,37,14.1826,-140.11019897460938,27.7411,1337.1,37,3176.14
190000,38,14.0549,-148.2743682861328,27.5519,1271.27,38,1538.73
195000,39,12.8708,-63.84775161743164,26.1051,2507.19,39,3382.81
200000,40,14.0461,-119.24149322509766,26.0778,2235.04,40,3349.45
205000,41,13.7998,-87.1187744140625,25.862,2522.66,41,3396.65
210000,42,13.8749,-123.2233657836914,26.4988,2550.48,42,3442.22
215000,43,14.5318,-23.723243713378906,26.0729,2886.69,43,3294.74
220000,44,15.5137,-18.0246524810791,26.5239,3246.36,44,3340.39
225000,45,14.5287,-68.52165222167969,26.1123,2845.89,45,3376.61
230000,46,14.9107,-44.83011245727539,26.2047,3037.24,46,3345.84
235000,47,14.3775,-31.726181030273438,25.7724,3136.85,47,3340.46
240000,48,14.4285,-30.62921714782715,26.0739,3021.91,48,3320.5
245000,49,13.99,-93.45072174072266,25.9889,2755.28,49,3345.28
250000,50,14.367,-74.89219665527344,26.4892,2960.8,50,3313.96
255000,51,14.7799,-33.51131057739258,26.0781,3212.96,51,3265.4
260000,52,15.7684,-28.922945022583008,26.5396,3184.87,52,3379.91
265000,53,13.2272,-80.07286834716797,25.1913,2970.25,53,3448.6
270000,54,14.8206,-179.84677124023438,26.7131,2252.71,54,3428.84
275000,55,14.1773,-33.13425064086914,25.4464,3282.55,55,3424.18
280000,56,15.0534,-40.883689880371094,26.6677,3382.04,56,3462.13
285000,57,13.8111,-85.37142181396484,25.8229,3197.94,57,3469.18
290000,58,14.3567,-42.48100662231445,25.9523,3118.04,58,3449.84
295000,59,13.9691,-42.01749038696289,25.679,3389.75,59,3477.15
300000,60,14.9655,-45.10405731201172,26.3828,3403.28,60,3463.68
305000,61,15.6717,-40.574283599853516,26.9323,3414.71,61,3470.64
310000,62,13.5192,-87.1292953491211,25.8418,3023.07,62,3477.27
315000,63,14.3683,-50.36178207397461,26.2539,3078.07,63,3468.52
320000,64,13.5114,-80.50584411621094,25.5836,3345.92,64,3502.82
325000,65,14.4697,-48.856197357177734,26.0229,3330.84,65,3483.07
330000,66,14.3835,-49.5534553527832,25.6451,3413.52,66,3469.55
335000,67,14.5115,-52.955596923828125,26.0134,3428.23,67,3496.72
340000,68,13.978,-51.619319915771484,25.5472,3429.84,68,3484.81
345000,69,14.56,-53.61339569091797,25.9485,3424.93,69,3481.46
350000,70,14.3936,-57.66230773925781,26.1181,3418.35,70,3484.74
355000,71,13.4898,-53.86978530883789,25.1139,3421.13,71,3485.55
360000,72,13.9977,-43.68263626098633,25.1992,3456.74,72,3510.25
365000,73,13.2762,-73.48027801513672,25.1952,3434.39,73,3483.3
370000,74,13.6092,-54.607601165771484,24.7837,3430.25,74,3484.33
375000,75,14.9175,-53.50145721435547,25.9667,3446.12,75,3468.39
380000,76,15.3439,-65.99295043945312,26.7684,3388.25,76,3387.52
385000,77,13.4524,-60.813724517822266,24.9877,2951.41,77,3502.08
390000,78,14.1139,-64.43366241455078,25.8555,3424.03,78,3479.37
395000,79,13.5958,-65.1336898803711,25.1515,3354.07,79,3486.09
400000,80,14.6313,-69.61500549316406,25.9091,3434.27,80,3471.01
405000,81,13.6207,-70.01951599121094,25.4852,3415.61,81,3485.98
410000,82,13.0175,-65.92288970947266,24.8467,3395.9,82,3498.11
415000,83,13.313,-71.4847412109375,24.9536,3450.17,83,3495.07
420000,84,13.7144,-67.73808288574219,25.2082,3460.54,84,3513.55
425000,85,13.8237,-78.89327239990234,25.123,3454.48,85,3500.98
430000,86,13.8496,-79.02884674072266,25.5074,3431.44,86,3483.35
435000,87,13.8002,-79.98466491699219,25.2527,3433.64,87,3482.04
440000,88,14.3251,-83.76598358154297,25.6337,3360.49,88,3481.49
445000,89,13.7815,-83.85711669921875,25.2886,3443.35,89,3484.86
450000,90,14.303,-79.08123779296875,25.2656,3457.31,90,3488.87
455000,91,13.6331,-85.69815826416016,25.1941,3444.78,91,3490.19
460000,92,13.2283,-79.10403442382812,24.9391,3447.61,92,3485.4
465000,93,13.7467,-91.65409088134766,25.7246,3439.38,93,3482.06
470000,94,13.733,-88.66149139404297,25.4981,3446.72,94,3480.65
475000,95,13.1486,-88.06278991699219,24.5201,3441.53,95,3492.23
480000,96,14.2759,-88.62775421142578,25.4943,3441.01,96,3477.51
485000,97,13.3325,-98.93148803710938,25.0729,3362.7,97,3490.23
490000,98,13.0199,-92.22748565673828,24.8536,3267.2,98,3491.61
495000,99,13.2641,-93.70622253417969,24.5441,3474.59,99,3516.61
500000,100,12.4132,-89.11332702636719,23.8853,3373.99,100,3505.85
505000,101,12.8862,-91.6822280883789,24.0171,3467.19,101,3515.06
510000,102,14.0735,-103.53926086425781,25.2837,3455.02,102,3487.46
515000,103,13.2308,-98.72591400146484,24.2024,3443.54,103,3494.84
520000,104,12.9434,-99.11090087890625,24.2986,3468.85,104,3516.19
525000,105,12.6537,-107.49632263183594,24.7899,3212.79,105,3496.29
530000,106,12.5818,-107.20470428466797,24.2094,3409.51,106,3498.82
535000,107,13.2919,-112.94097900390625,24.8723,3305.23,107,3493.07
540000,108,13.2997,-113.42605590820312,24.8369,3473.44,108,3501.99
545000,109,13.5135,-106.43366241455078,24.4085,3455.06,109,3489.87
550000,110,12.9768,-115.24786376953125,24.7596,3319.51,110,3468.69
555000,111,14.2808,-118.16878509521484,25.0892,3463.6,111,3503.85
560000,112,13.7053,-120.06278228759766,25.1144,3429.1,112,3491.31
565000,113,13.5566,-120.7710952758789,24.9343,3450.13,113,3487.31
570000,114,13.4165,-122.49787139892578,24.6358,3450.42,114,3499.64
575000,115,12.9289,-132.2879638671875,24.8261,3425.69,115,3477.57
580000,116,13.1666,-119.38911437988281,24.4776,3437.19,116,3486.91
585000,117,13.7866,-129.1787567138672,24.8249,3435.68,117,3474.09
590000,118,13.838,-131.99557495117188,24.7373,3462.81,118,3491.24
595000,119,13.126,-128.3028564453125,24.3682,3447.6,119,3494.51
600000,120,13.744,-131.09483337402344,24.5739,3462.99,120,3489.14
605000,121,13.3069,-138.10037231445312,24.5391,3406.11,121,3451.12
610000,122,13.3031,-128.0809783935547,24.5366,3376.84,122,3485.9
615000,123,13.9044,-145.34738159179688,24.9144,3413.3,123,3427.49
620000,124,12.174,-130.97500610351562,23.8294,3428.86,124,3484.61
625000,125,12.8769,-136.81642150878906,24.1827,3457.69,125,3501.35
630000,126,12.701,-147.04812622070312,24.9917,3450.05,126,3499.98
635000,127,12.6371,-133.78167724609375,23.997,3453.71,127,3494.4
640000,128,12.6079,-140.16746520996094,24.2764,3435.2,128,3504.75
645000,129,13.1273,-145.16636657714844,24.1967,3470.84,129,3520.71
650000,130,12.6342,-147.80194091796875,24.2575,3468.54,130,3511.95
655000,131,13.2209,-149.2006378173828,24.9115,3464.05,131,3502.05
660000,132,12.9149,-155.2607879638672,24.3716,3446.91,132,3497.29
665000,133,12.7312,-152.8726348876953,24.6305,3456.59,133,3507.17
670000,134,12.8115,-152.33131408691406,24.6027,3433.94,134,3525.54
675000,135,13.5868,-156.4085693359375,24.6381,3483.07,135,3508.42
680000,136,14.0718,-166.35794067382812,25.2049,3481.19,136,3509.35
685000,137,12.9906,-151.97265625,24.2307,3476.39,137,3513.58
690000,138,12.6548,-159.98553466796875,23.6829,3452.79,138,3488.03
695000,139,12.8154,-167.6446533203125,24.4897,3453.42,139,3489.89
700000,140,13.1694,-176.12831115722656,24.7313,3452.37,140,3499.7
705000,141,12.8096,-168.81024169921875,24.622,3437.07,141,3504.63
710000,142,12.565,-171.9257049560547,24.8785,3444.15,142,3501.53
715000,143,13.0827,-170.50375366210938,24.3217,3395.45,143,3495.49
720000,144,12.0009,-162.04356384277344,23.7063,3444.66,144,3486.02
725000,145,12.2524,-171.569091796875,24.1328,3494.79,145,3527.39
730000,146,12.3427,-171.94818115234375,23.8988,3470.34,146,3513.22
735000,147,12.9143,-183.88766479492188,24.1646,3423.71,147,3475.07
740000,148,12.3525,-171.68258666992188,23.9988,3454.77,148,3502.74
745000,149,12.9404,-186.34466552734375,24.1753,3441.25,149,3467.48
750000,150,12.4987,-185.25555419921875,24.3389,3386.01,150,3498.31
755000,151,12.3974,-184.53282165527344,24.1466,3472.91,151,3516.32
760000,152,12.7887,-197.25477600097656,24.2418,3470.3,152,3509.24
765000,153,12.1846,-197.46426391601562,24.386,3308.21,153,3510.41
770000,154,12.8472,-190.99896240234375,24.7309,3460.97,154,3500.42
775000,155,13.3318,-197.8424530029297,24.3143,3477.2,155,3489.55
780000,156,12.0102,-190.77740478515625,23.8168,3492.63,156,3524.95
785000,157,12.753,-200.2104949951172,24.7732,3418.63,157,3507.4
790000,158,13.0888,-201.8821258544922,24.3292,3453.83,158,3469.0
795000,159,12.836,-203.7149200439453,24.2695,3458.33,159,3498.39
800000,160,12.7902,-213.1510772705078,24.5089,3465.44,160,3509.67
805000,161,13.1013,-208.635986328125,24.1983,3462.59,161,3492.77
810000,162,12.7624,-219.24293518066406,24.7828,3469.85,162,3512.54
815000,163,13.4023,-224.2029266357422,24.7605,3465.25,163,3511.49
820000,164,11.8267,-212.19810485839844,24.5062,3415.67,164,3499.14
825000,165,12.9349,-215.6117706298828,24.2003,3415.1,165,3505.91
830000,166,12.999,-222.41722106933594,24.5611,3443.13,166,3498.02
835000,167,12.9126,-222.1197509765625,24.2609,3471.58,167,3504.92
840000,168,12.412,-227.3095245361328,24.7891,3401.75,168,3520.9
845000,169,13.0873,-244.7976531982422,24.5273,3465.35,169,3499.78
850000,170,12.9548,-214.94337463378906,24.169,3453.49,170,3478.66
855000,171,13.2982,-227.78616333007812,24.2778,3465.79,171,3500.95
860000,172,12.9198,-241.30335998535156,24.3332,3438.79,172,3481.26
865000,173,13.3334,-235.9687957763672,24.4932,3451.71,173,3486.08
870000,174,12.3841,-230.18368530273438,24.0663,3459.37,174,3513.06
875000,175,13.1374,-243.17445373535156,25.1061,3417.91,175,3511.66
880000,176,12.4733,-229.0983123779297,24.3823,3450.74,176,3492.99
885000,177,13.3113,-245.6245880126953,24.8067,3391.85,177,3504.13
890000,178,12.8026,-238.30763244628906,24.1259,3452.68,178,3499.23
895000,179,12.6473,-242.45989990234375,24.3869,3395.11,179,3520.51
900000,180,12.9782,-247.34947204589844,24.4082,3463.1,180,3506.77
905000,181,13.295,-259.9786376953125,24.3467,3461.58,181,3497.56
910000,182,13.4922,-251.67930603027344,24.5742,3456.46,182,3487.62
915000,183,12.7984,-241.53956604003906,23.8361,3437.63,183,3481.98
920000,184,12.4518,-239.5904083251953,24.3261,3256.08,184,3498.04
925000,185,13.5149,-268.37872314453125,24.9473,3464.63,185,3500.45
930000,186,12.8139,-259.20159912109375,25.0431,3338.03,186,3504.9
935000,187,11.9517,-272.3162841796875,24.4851,3431.89,187,3495.2
940000,188,12.6701,-260.1788024902344,24.0908,3448.89,188,3492.54
945000,189,13.1669,-285.9488525390625,24.961,3341.21,189,3504.29
950000,190,12.7277,-261.96197509765625,24.7349,3383.11,190,3509.26
955000,191,12.8075,-273.5726318359375,24.6588,3437.4,191,3513.26
960000,192,12.9435,-277.3859558105469,24.4923,3418.32,192,3504.96
965000,193,12.7792,-278.2255554199219,24.4625,3444.53,193,3501.22
970000,194,12.8514,-279.0182189941406,24.6143,3438.19,194,3512.76
975000,195,13.3238,-281.2176513671875,25.0202,3453.97,195,3502.47
980000,196,12.9197,-280.6851501464844,24.5127,3388.01,196,3503.43
985000,197,12.9321,-280.99267578125,24.5509,3464.29,197,3508.36
990000,198,13.0088,-294.6916809082031,24.4652,3447.35,198,3492.58
995000,199,13.1304,-299.81329345703125,24.7088,3441.63,199,3485.14
