Itration,Real Det Return,Real Sto Return,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Running Forward KL
0,263.18,264.7,-1159.3138427734375,34.5387,0,0,31.3312
1,344.2,340.46,-1296.568115234375,37.4212,5000,1,30.5449
2,322.96,308.99,-1337.012939453125,24.557,10000,2,30.2531
3,445.93,397.6,-1319.281005859375,29.1736,15000,3,27.6084
4,496.38,546.23,-1284.1973876953125,28.199,20000,4,26.7294
5,555.63,564.92,-1397.34814453125,26.3695,25000,5,25.338
6,570.21,552.99,-1326.1070556640625,18.9929,30000,6,24.6704
7,80.02,270.02,-1314.977783203125,19.539,35000,7,24.6814
8,752.99,696.36,-933.0621337890625,58.7691,40000,8,24.6183
9,739.03,691.37,-1227.72412109375,56.2403,45000,9,24.8323
10,769.76,711.12,-1431.8929443359375,24.197,50000,10,24.9602
11,877.76,801.79,-1396.5758056640625,48.7713,55000,11,23.8276
12,935.56,975.58,-1494.2884521484375,27.1696,60000,12,24.0835
13,999.15,921.01,-1496.8607177734375,53.212,65000,13,23.4348
14,1114.48,1165.1,-1309.2239990234375,31.9721,70000,14,23.1333
15,1327.57,1349.98,-1394.8292236328125,48.524,75000,15,22.9668
16,1733.74,1451.61,-1285.1473388671875,21.1163,80000,16,22.2714
17,1232.22,1016.46,-1373.736083984375,34.0133,85000,17,24.4861
18,1272.31,1111.86,-1348.533935546875,32.6174,90000,18,23.6349
19,1082.81,963.97,-1532.7130126953125,31.3362,95000,19,23.4276
20,939.03,947.96,-1833.0557861328125,31.2555,100000,20,24.8111
21,3126.4,2782.86,-705.0779418945312,15.1423,105000,21,22.7681
22,2952.28,3021.52,-592.717529296875,17.0783,110000,22,22.998
23,2705.19,1227.93,-1252.7664794921875,35.1429,115000,23,23.0119
24,1008.53,963.58,-1756.6207275390625,41.2916,120000,24,24.2861
25,1101.37,1107.37,-1690.646240234375,50.7796,125000,25,24.2651
26,3137.01,1849.24,-1438.5433349609375,27.0427,130000,26,22.2729
27,3174.59,2050.74,-1090.7396240234375,22.3683,135000,27,22.0375
28,3124.81,2996.58,-577.5208129882812,17.4167,140000,28,21.9409
29,2387.54,1374.9,-1832.6336669921875,42.4404,145000,29,22.779
30,3148.66,1698.94,-1788.1951904296875,40.4761,150000,30,23.1091
31,3199.65,1644.24,-1809.6580810546875,30.6203,155000,31,23.0768
32,3101.48,2861.8,-461.1804504394531,12.8398,160000,32,22.3404
33,3109.43,2883.08,-459.2126770019531,12.7979,165000,33,21.7713
