Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Env Steps,Real Sto Return,Running Update Time,Running Forward KL
0,12.6518,-43.85346221923828,-30.19,0,-255.63,0,158.4988
1,12.1085,-60.37822341918945,465.4,5000,276.22,1,158.3486
2,11.4807,-101.01041412353516,1165.11,10000,352.96,2,157.7678
3,12.6725,-156.4995880126953,1315.17,15000,726.29,3,157.7377
4,12.9085,-184.36416625976562,1682.04,20000,1096.24,4,157.6659
5,13.222,-222.48333740234375,1996.18,25000,1284.35,5,157.1879
6,14.2687,-289.7716369628906,2749.74,30000,1911.19,6,156.9296
7,16.8216,-347.3717041015625,3524.63,35000,2581.42,7,156.9951
8,18.7185,-417.0303955078125,3862.82,40000,3022.33,8,157.1373
9,18.6294,-462.8095397949219,3660.29,45000,3190.36,9,157.305
10,18.316,-452.8674011230469,3911.17,50000,3565.07,10,157.0308
11,20.4443,-516.54296875,4322.97,55000,3677.18,11,157.4572
12,18.3132,-530.66064453125,4408.71,60000,3708.2,12,156.9002
13,18.9738,-550.5983276367188,4685.03,65000,3796.44,13,156.8992
14,19.7942,-583.7549438476562,4746.91,70000,3956.07,14,157.0003
15,18.5953,-605.2886962890625,4770.2,75000,4299.95,15,156.4774
16,20.2367,-665.7272338867188,4860.01,80000,4335.99,16,157.2067
17,17.9818,-634.1116943359375,4935.85,85000,4245.97,17,156.577
18,18.7323,-686.2651977539062,4921.71,90000,4469.95,18,156.6035
19,18.0633,-654.3859252929688,5054.02,95000,4660.6,19,156.2616
20,18.0608,-683.8469848632812,5321.69,100000,4808.11,20,156.0803
21,17.5329,-651.6762084960938,5392.45,105000,4871.86,21,155.7308
22,17.5675,-703.4739990234375,5465.79,110000,4941.52,22,155.4809
23,17.0533,-656.1416015625,5780.61,115000,5120.23,23,155.3665
24,16.3492,-690.6619262695312,5684.03,120000,5087.03,24,155.3558
25,17.188,-723.2235717773438,5860.0,125000,5436.1,25,155.0228
26,16.4598,-720.9248657226562,6088.88,130000,5548.45,26,154.8265
27,16.2998,-710.3307495117188,6181.59,135000,5763.98,27,154.5129
28,15.758,-713.27978515625,6387.6,140000,5924.07,28,154.3094
29,16.697,-756.6305541992188,6131.17,145000,5821.74,29,154.3573
30,16.4409,-742.7748413085938,6562.23,150000,6106.56,30,154.3739
31,16.039,-751.3466796875,6438.49,155000,5941.23,31,153.5576
32,15.9887,-780.3719482421875,6752.53,160000,6166.96,32,154.3058
33,16.55,-787.2332763671875,6504.72,165000,6146.77,33,153.9908
34,16.1627,-822.707763671875,7022.4,170000,6518.69,34,153.5576
35,16.383,-813.3265991210938,6888.2,175000,6512.7,35,153.6784
36,15.7611,-836.11962890625,6967.67,180000,6510.38,36,153.1623
37,16.105,-837.4608154296875,7033.27,185000,6670.76,37,153.4231
38,16.4995,-861.5651245117188,7320.68,190000,6866.05,38,153.106
39,15.8825,-876.0609741210938,7228.92,195000,6780.56,39,153.0396
40,16.4215,-899.1785278320312,7387.75,200000,6831.7,40,153.0796
41,15.7538,-869.6304321289062,7371.87,205000,6963.4,41,153.0971
42,15.0854,-919.5139770507812,7536.27,210000,6946.96,42,152.4405
43,15.8253,-901.7158813476562,7660.47,215000,7188.15,43,152.2041
44,14.6808,-939.8521728515625,7412.37,220000,7219.31,44,152.4382
45,15.6727,-970.3742065429688,7884.77,225000,7256.05,45,152.6063
46,16.7186,-967.528564453125,7509.81,230000,7284.73,46,152.3519
47,15.4613,-944.4710693359375,7801.99,235000,7393.4,47,151.9634
48,15.3307,-983.8201293945312,7844.74,240000,7371.57,48,151.7725
49,16.2557,-988.566162109375,8098.96,245000,7615.28,49,151.7443
50,15.5281,-998.3601684570312,8090.79,250000,7625.49,50,151.7709
51,16.1444,-989.1953735351562,7988.61,255000,7705.35,51,151.6893
52,16.5615,-1034.69287109375,7943.7,260000,7898.49,52,151.3429
53,15.8452,-1019.25634765625,7900.1,265000,7477.18,53,151.4971
54,15.3907,-1063.822998046875,8408.8,270000,7591.47,54,151.0073
55,15.1193,-1070.5833740234375,8448.59,275000,7686.95,55,151.3581
56,14.6879,-1057.740234375,7848.88,280000,7348.47,56,151.0713
57,16.0433,-1083.4918212890625,8072.71,285000,7954.07,57,150.8654
58,15.6355,-1101.457275390625,8500.18,290000,7962.28,58,150.8007
59,16.2428,-1093.3680419921875,8617.35,295000,8129.12,59,150.7225
60,16.3542,-1118.8751220703125,8529.06,300000,7834.37,60,150.6113
61,15.7264,-1102.6505126953125,8552.93,305000,8148.73,61,150.0145
62,15.8985,-1134.1026611328125,8772.77,310000,8306.87,62,150.5378
63,15.8392,-1131.2154541015625,8743.23,315000,8247.68,63,150.7092
64,15.892,-1138.6651611328125,8859.19,320000,7927.11,64,149.8793
65,16.0086,-1171.6898193359375,8738.6,325000,8227.05,65,150.5277
66,15.1274,-1174.44384765625,8800.21,330000,8233.09,66,150.1385
67,16.2066,-1190.59033203125,8761.29,335000,8354.41,67,150.9622
68,15.5196,-1229.9320068359375,8908.17,340000,8397.8,68,150.2811
69,15.9579,-1222.104248046875,9108.76,345000,8158.64,69,149.7706
70,16.4193,-1233.8448486328125,8988.12,350000,8577.47,70,150.0103
71,16.4738,-1259.4251708984375,9076.65,355000,8464.94,71,150.3703
72,15.5124,-1239.9937744140625,9107.62,360000,8545.39,72,149.6506
73,15.7338,-1278.3682861328125,9109.86,365000,8533.31,73,149.7383
74,15.8034,-1230.4857177734375,8977.98,370000,8691.4,74,149.2168
75,16.0004,-1293.6986083984375,9012.72,375000,8590.66,75,149.6398
76,15.3649,-1276.89892578125,9177.21,380000,8379.25,76,149.0297
77,15.9715,-1295.707763671875,9083.92,385000,8459.01,77,148.8812
78,15.4992,-1312.2047119140625,9222.22,390000,8748.08,78,149.017
79,15.7908,-1360.7027587890625,9339.82,395000,8783.67,79,149.2936
80,14.6977,-1349.2608642578125,9017.96,400000,8512.1,80,147.8288
81,17.0058,-1176.20263671875,-101.67,405000,-141.7,81,157.9414
