Running Forward KL,Running Update Time,Real Sto Return,Itration,Reward Loss,Real Det Return,Running Env Steps,Running Reverse KL
49.7006,0,306.59,0,75.76364135742188,265.73,0,12.8118
51.1505,1,280.52,1,1.9559264183044434,280.79,5000,45.6307
50.7949,2,272.77,2,2.632275104522705,275.85,10000,19.3259
49.6237,3,394.13,3,-48.246273040771484,417.29,15000,21.5049
49.4346,4,409.5,4,-46.3029670715332,434.74,20000,16.2357
49.5346,5,397.51,5,-21.132997512817383,422.94,25000,15.3877
49.5834,6,386.76,6,34.53639602661133,370.84,30000,16.0028
49.0726,7,491.44,7,4.297368049621582,824.77,35000,14.5585
48.5806,8,455.38,8,-27.556732177734375,496.15,40000,22.9784
49.4818,9,499.95,9,-77.822509765625,533.4,45000,25.0021
47.4831,10,1296.29,10,-23.89141082763672,1618.87,50000,19.0182
48.7007,11,671.54,11,-84.70803833007812,643.14,55000,30.967
48.2951,12,681.92,12,-111.33097076416016,1218.36,60000,51.8282
47.0904,13,1072.84,13,-104.24707794189453,1353.15,65000,28.7135
47.7256,14,714.16,14,-111.05029296875,1380.99,70000,18.143
47.1959,15,1655.27,15,-66.8665542602539,2351.27,75000,23.7868
46.7811,16,1080.36,16,-112.54136657714844,1895.45,80000,18.1607
46.7662,17,2149.27,17,-81.48693084716797,2937.6,85000,16.3181
46.9656,18,1792.8,18,-69.23091888427734,2655.49,90000,19.3481
46.1756,19,1331.49,19,-67.58378601074219,2393.75,95000,15.3556
46.5243,20,2006.45,20,-130.21238708496094,2948.92,100000,18.663
46.5303,21,1530.26,21,-143.31785583496094,2955.53,105000,17.6021
45.5826,22,2008.02,22,-140.22476196289062,2870.19,110000,16.2961
45.1633,23,3071.2,23,-47.824954986572266,3289.43,115000,18.1334
45.6077,24,2885.21,24,-57.6516227722168,3087.9,120000,17.3528
46.2053,25,2944.38,25,-69.98300170898438,2955.25,125000,18.4275
45.337,26,2469.82,26,-134.45701599121094,2878.33,130000,22.9383
45.0033,27,3174.93,27,-120.07042694091797,3448.5,135000,18.7281
45.0245,28,2283.62,28,-107.87174224853516,2057.81,140000,15.9876
46.327,29,3054.48,29,-66.705810546875,3169.38,145000,20.9774
45.5628,30,2903.63,30,-145.26885986328125,3363.48,150000,17.0116
45.3235,31,3079.97,31,-139.69866943359375,3507.43,155000,16.7465
45.629,32,3279.89,32,-106.67464447021484,3420.38,160000,21.4438
46.0777,33,3490.73,33,-106.80747985839844,3273.35,165000,20.3412
46.2018,34,2955.59,34,-111.53388977050781,3017.74,170000,19.2874
46.1657,35,3517.25,35,-117.53457641601562,3493.68,175000,21.4052
45.1414,36,3408.78,36,-107.81929016113281,3481.81,180000,20.4737
45.2433,37,3521.14,37,-117.12381744384766,3461.16,185000,19.8791
44.2244,38,2504.69,38,-168.75953674316406,3480.25,190000,18.7913
45.9676,39,3379.5,39,-148.1151123046875,3522.62,195000,23.6921
44.9752,40,2648.97,40,-248.84056091308594,3369.17,200000,23.3862
46.3045,41,3543.81,41,-138.24972534179688,3363.86,205000,22.0396
44.6107,42,3705.99,42,-166.12484741210938,3627.87,210000,19.6627
44.8042,43,3718.49,43,-159.14337158203125,3553.62,215000,20.7593
45.5244,44,3177.01,44,-183.90682983398438,3428.18,220000,21.193
44.2201,45,3441.68,45,-156.46258544921875,3763.38,225000,20.5203
44.9795,46,3410.65,46,-197.7275390625,3872.68,230000,20.3053
45.7442,47,3694.23,47,-179.3772735595703,3522.7,235000,21.7493
47.0267,48,3893.66,48,-173.55075073242188,3872.75,240000,23.8837
45.2526,49,3836.65,49,-183.3931884765625,3884.38,245000,21.1404
44.3482,50,3792.32,50,-195.9693145751953,3795.64,250000,19.3162
43.9637,51,3536.78,51,-188.0154571533203,3938.85,255000,20.8213
45.5733,52,3862.49,52,-202.0397491455078,3847.37,260000,22.2542
44.1804,53,3744.69,53,-217.09149169921875,3826.9,265000,17.1288
44.9194,54,3942.83,54,-212.7387237548828,4025.14,270000,20.7896
44.5595,55,3752.59,55,-229.32022094726562,3860.62,275000,21.68
44.3654,56,3940.09,56,-217.59671020507812,3995.36,280000,21.3122
43.8743,57,4054.47,57,-217.3236541748047,4133.0,285000,20.9895
44.3586,58,3807.66,58,-241.22752380371094,4102.1,290000,21.2925
43.6081,59,3938.94,59,-226.3815460205078,3955.94,295000,21.3816
43.5389,60,3925.47,60,-238.09385681152344,3936.46,300000,20.3636
42.5886,61,3114.51,61,-287.49029541015625,4095.99,305000,17.5216
44.275,62,3768.58,62,-260.0331115722656,4033.32,310000,21.3348
46.4501,63,3052.48,63,-343.8797607421875,1628.34,315000,38.9365
47.5515,64,605.81,64,-466.08929443359375,-19.33,320000,51.2646
56.1115,65,-1.19,65,-534.9164428710938,2.09,325000,52.9122
50.9103,66,271.77,66,-430.0219421386719,137.22,330000,21.6184
47.9929,67,523.09,67,-409.2621765136719,912.34,335000,16.6747
46.8852,68,1276.71,68,-396.59295654296875,1003.2,340000,24.1274
41.7357,69,3747.05,69,-288.6624450683594,4077.68,345000,15.8214
42.7751,70,3787.05,70,-295.4880676269531,4116.86,350000,17.6537
43.2191,71,3937.84,71,-304.6393127441406,4031.29,355000,19.871
43.328,72,3891.22,72,-315.2400207519531,4008.2,360000,17.6189
43.249,73,3937.85,73,-327.1601867675781,4020.75,365000,19.7725
44.3757,74,3892.28,74,-323.7969055175781,3844.75,370000,20.1703
44.1558,75,4128.05,75,-319.5081481933594,4098.69,375000,20.3729
44.4848,76,4068.44,76,-326.4521789550781,4047.92,380000,21.3325
44.3207,77,3794.26,77,-340.41058349609375,3926.01,385000,20.0972
42.9451,78,4050.62,78,-338.0766906738281,4093.01,390000,18.2462
41.8216,79,4115.06,79,-332.0354919433594,4179.55,395000,17.8383
43.3288,80,4073.96,80,-359.4394226074219,4121.0,400000,21.0385
42.4109,81,4164.99,81,-340.11065673828125,4247.83,405000,19.1063
41.8227,82,4120.78,82,-351.0386047363281,4224.07,410000,17.2924
43.4325,83,4146.52,83,-361.2656555175781,4226.82,415000,19.1895
42.1579,84,4075.26,84,-363.8282470703125,4153.31,420000,17.4527
42.9198,85,3885.37,85,-375.61065673828125,4176.57,425000,17.7715
41.4086,86,4105.89,86,-365.0960388183594,4133.66,430000,16.6631
41.0357,87,4100.89,87,-366.0312194824219,4263.59,435000,15.5129
41.7882,88,4182.14,88,-388.58575439453125,4271.32,440000,17.3906
41.3479,89,4209.45,89,-385.1344299316406,4323.64,445000,17.2369
40.8344,90,4150.25,90,-375.8148498535156,4185.35,450000,17.4701
43.2435,91,3737.96,91,-402.02813720703125,4326.01,455000,19.6244
41.224,92,4170.6,92,-405.9470520019531,4201.31,460000,17.7727
42.1066,93,4156.98,93,-409.48529052734375,4247.25,465000,16.8409
41.709,94,3984.69,94,-425.9533386230469,4299.31,470000,16.1129
41.0089,95,4176.04,95,-441.21441650390625,4269.2,475000,14.2879
42.4507,96,4006.09,96,-435.2728576660156,4356.81,480000,18.7508
42.6852,97,4190.36,97,-428.89617919921875,4303.23,485000,17.7179
41.8015,98,4275.46,98,-437.6918640136719,4340.84,490000,18.3313
40.7229,99,4230.37,99,-432.9644470214844,4279.04,495000,16.709
42.1368,100,4082.15,100,-448.04754638671875,4299.92,500000,18.027
40.4563,101,4291.09,101,-427.927490234375,4404.9,505000,15.4809
40.7571,102,4169.29,102,-436.879150390625,4211.39,510000,14.5479
41.7458,103,4234.22,103,-455.2876892089844,4217.61,515000,16.7197
