Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Real Sto Return,Itration,Running Update Time,Running Forward KL
0,-3.765113592147827,211.93,19.3099,210.54,0,0,33.2491
5000,-9.17994213104248,278.7,19.5609,278.87,1,1,32.3316
10000,-26.010087966918945,259.11,20.8543,260.48,2,2,32.1685
15000,-49.931541442871094,294.35,23.4814,292.0,3,3,32.5421
20000,-66.27200317382812,305.42,23.0421,303.55,4,4,33.4804
25000,-74.05207824707031,302.43,22.2469,304.97,5,5,31.0833
30000,-81.66383361816406,303.59,21.5611,301.61,6,6,31.5665
35000,-70.53053283691406,8.16,69.5948,8.35,7,7,32.497
40000,-106.8531265258789,520.13,26.9686,627.32,8,8,34.7554
45000,-99.81717681884766,698.41,23.3708,583.52,9,9,35.37
50000,-166.08456420898438,1022.03,23.0197,1027.2,10,10,36.2152
55000,-134.04981994628906,344.76,27.2728,250.08,11,11,32.0358
60000,-149.86720275878906,229.57,42.2715,195.98,12,12,35.6001
65000,-88.5705337524414,11.54,110.0315,11.55,13,13,37.4544
70000,-200.62124633789062,1000.44,48.7644,999.36,14,14,37.5144
75000,-159.60157775878906,214.62,67.366,219.53,15,15,33.6066
80000,-180.34413146972656,319.78,25.7552,318.1,16,16,32.0214
85000,-210.4620361328125,510.12,33.2912,645.1,17,17,33.7841
90000,-66.33564758300781,830.8,17.3991,820.98,18,18,26.5745
95000,-244.0035858154297,1038.46,25.0184,1034.34,19,19,35.1496
100000,-247.12551879882812,1026.26,30.1217,1026.73,20,20,37.5869
105000,-249.65243530273438,1036.48,27.3143,1037.46,21,21,36.7669
110000,-240.55258178710938,1033.45,24.431,1034.33,22,22,37.0723
115000,-271.2658386230469,996.36,44.4996,996.13,23,23,38.7884
120000,-290.04986572265625,984.24,36.4363,983.7,24,24,36.7021
125000,-293.91265869140625,980.13,43.8981,982.71,25,25,37.937
130000,-299.1525573730469,989.68,31.6865,948.8,26,26,35.3671
135000,-350.1515197753906,453.57,75.3953,428.66,27,27,30.1482
140000,-354.1056213378906,229.04,44.3609,229.95,28,28,35.4367
145000,-279.60308837890625,264.48,30.367,265.86,29,29,32.4385
150000,-335.81689453125,990.7,39.601,989.87,30,30,36.2471
155000,-371.9608154296875,998.97,54.7392,999.02,31,31,36.9382
160000,-363.1739196777344,982.32,44.8018,982.01,32,32,36.4606
165000,-176.4202117919922,301.47,18.2135,302.08,33,33,32.1126
170000,-280.0121765136719,129.59,47.6958,170.12,34,34,32.0214
175000,-380.9830322265625,999.78,30.6437,999.99,35,35,36.6978
180000,-382.2769470214844,1034.45,63.1848,1034.43,36,36,37.8229
185000,-396.0428161621094,239.69,58.7012,248.2,37,37,35.1094
190000,-436.7671813964844,1028.16,38.109,1026.54,38,38,36.6955
195000,-439.281005859375,1019.63,31.1207,1019.48,39,39,39.7175
200000,-455.7621154785156,986.26,49.5071,986.17,40,40,36.6662
205000,-461.3406982421875,1003.73,47.5087,1003.62,41,41,40.6746
210000,-479.6751708984375,986.81,58.5825,986.75,42,42,37.6187
215000,-488.6694641113281,983.42,49.0606,983.14,43,43,40.612
220000,-519.5742797851562,1014.99,63.9468,1015.14,44,44,37.2229
225000,-521.076904296875,1013.17,48.2991,1012.82,45,45,36.4384
230000,-503.5345458984375,1039.57,36.3783,1031.43,46,46,35.4553
235000,-532.627685546875,980.95,53.8317,980.85,47,47,38.7727
240000,-558.0999145507812,1008.23,57.1871,1008.15,48,48,36.0013
245000,-552.4376220703125,1035.48,38.1272,1034.61,49,49,37.1871
250000,-557.5421752929688,1040.14,42.1706,1040.14,50,50,37.4249
255000,-230.50486755371094,131.81,42.3614,180.26,51,51,35.9308
260000,-466.037353515625,290.7,30.9521,291.09,52,52,34.8342
265000,-493.9423828125,317.54,26.7701,317.61,53,53,34.4345
270000,-655.599609375,188.99,51.5229,188.61,54,54,33.2599
275000,-720.1217651367188,234.27,72.0177,232.89,55,55,34.0961
280000,-603.7110595703125,338.76,44.7828,540.49,56,56,37.9706
285000,-639.0613403320312,983.88,51.3663,889.26,57,57,37.0732
290000,-673.0794677734375,1012.33,46.221,1014.54,58,58,37.7
295000,-661.6581420898438,972.53,52.644,972.47,59,59,38.2335
300000,-673.0191040039062,1031.44,43.488,1030.96,60,60,37.2339
305000,-333.7043151855469,105.09,26.4236,104.26,61,61,31.2411
310000,-625.1239013671875,47.87,27.9244,47.61,62,62,33.4201
315000,-697.6207275390625,72.27,40.8875,72.3,63,63,34.1564
320000,-686.7103271484375,764.21,46.9877,622.82,64,64,35.0846
325000,-742.3455810546875,283.08,50.823,279.42,65,65,36.3032
330000,-731.2581787109375,450.41,70.0999,448.72,66,66,36.9013
335000,-762.9905395507812,1000.43,50.1282,999.85,67,67,37.0925
340000,-612.928466796875,300.56,104.355,299.97,68,68,31.6418
345000,-636.2902221679688,195.56,38.0617,203.61,69,69,32.4021
350000,-602.6376342773438,124.15,59.9031,124.64,70,70,28.7693
355000,-793.92822265625,984.04,54.1658,984.14,71,71,39.5427
