Itration,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL,Running Env Steps,Running Forward KL,Real Det Return
0,4.756669998168945,32.81,0,8.3966,0,37.4587,42.93
1,4.535377502441406,34.07,1,9.3826,90,38.3888,42.54
2,4.5176100730896,43.06,2,7.8121,180,37.9051,48.21
3,4.172243595123291,44.77,3,7.5567,270,37.3399,48.15
4,3.9406509399414062,46.21,4,7.7137,360,36.6607,49.81
