Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL
0,614.19,75.3714,-54.21,25.603
1,560.57,73.545,-74.15,27.2047
2,621.36,72.7367,-45.54,26.2998
3,492.09,70.5052,-12.11,26.9934
4,467.65,72.1916,5.14,28.2484
5,505.35,72.8258,52.13,28.9249
6,594.74,72.985,69.52,29.1989
7,607.9,73.6198,86.19,31.0188
8,690.57,71.8843,107.85,30.9867
9,583.86,72.0291,136.95,31.1155
10,678.7,73.2183,128.96,31.0257
11,706.38,72.009,128.54,31.8356
12,647.0,73.3862,133.63,32.0354
13,771.61,72.3802,118.49,31.0323
14,642.39,70.9917,147.21,31.0338
15,608.91,72.2486,184.76,32.425
16,658.88,70.971,159.47,30.9602
17,769.48,71.2253,188.46,31.7204
18,751.15,72.5422,200.02,30.9192
19,835.75,69.7646,231.4,30.426
20,839.79,69.8506,227.0,30.4854
21,880.37,70.9648,258.37,31.0161
22,876.55,70.4034,179.95,30.4049
23,604.63,72.3638,182.19,30.5912
24,174.94,72.7293,98.95,31.8014
25,665.56,73.0112,132.96,32.2666
26,399.1,71.92,75.52,30.9429
27,113.06,73.0883,-85.32,34.8291
28,39.43,75.5521,-557.01,70.2258
29,50.62,74.128,-155.79,36.6609
30,149.05,73.3849,-178.53,28.9897
31,168.73,72.5053,-198.42,27.3813
32,257.39,72.6045,-76.36,26.5948
33,25.59,72.1531,-99.34,32.9031
34,447.76,70.4853,26.39,27.0671
35,424.53,69.7404,16.23,28.4389
36,467.19,71.6705,35.75,26.5537
37,-70.77,70.2734,30.15,27.4385
38,347.38,68.9273,67.63,27.8795
39,586.43,69.31,122.46,28.2167
40,567.53,71.0572,102.5,29.4992
41,458.57,71.712,93.92,30.4821
42,474.68,72.6986,96.6,29.9102
43,278.65,69.9898,116.61,28.1747
44,427.74,72.7509,81.58,29.9
45,213.84,72.0259,102.7,28.9058
46,416.2,70.8191,79.25,28.4022
47,255.41,72.6896,64.24,29.6041
48,303.54,70.3731,115.5,30.3515
49,586.45,68.9241,168.92,28.8153
50,600.45,69.7837,119.14,29.0238
51,352.17,74.4341,81.87,32.1078
52,484.98,69.5535,88.3,29.4455
53,488.36,66.5205,143.06,29.0108
54,481.99,73.449,86.24,29.4052
55,438.99,72.8558,81.67,31.2761
56,618.6,71.3646,157.59,30.1784
57,385.82,69.9321,150.15,32.2027
58,264.21,70.8449,124.0,28.9431
59,526.79,68.2552,142.53,28.8718
60,417.82,68.6393,86.24,29.2907
61,616.57,70.0928,149.98,30.819
62,547.77,66.6352,257.32,28.0013
63,656.27,68.3026,101.54,30.5521
64,437.23,69.2755,172.47,28.9051
65,544.78,68.1573,161.9,29.7809
66,311.82,71.027,123.16,29.4827
67,536.27,69.1802,160.58,30.2247
68,622.39,70.0671,121.8,29.9703
69,558.73,70.4483,120.42,29.7038
70,407.83,70.2473,69.47,33.3878
71,342.39,67.8582,94.89,28.2008
72,293.19,71.0324,96.64,30.8001
73,228.1,69.3204,21.78,35.7566
74,281.07,66.918,20.61,28.0554
75,373.78,69.1139,26.27,29.1191
76,416.18,71.1666,29.92,31.3958
77,527.38,71.1604,58.68,28.7371
78,770.46,65.6385,153.96,26.0375
79,589.75,65.4885,186.69,25.3007
80,631.19,68.2701,187.46,27.165
81,842.23,66.4233,208.61,27.1349
82,642.38,65.547,216.41,27.5412
83,950.69,63.7508,286.13,26.0534
84,753.48,64.0948,321.24,28.7047
85,501.17,63.1966,229.25,26.2777
86,605.83,72.386,116.27,32.431
87,973.97,60.3529,624.87,30.4686
88,746.86,68.4322,334.58,30.0072
89,155.67,72.4028,102.35,32.831
90,572.96,71.7957,151.26,29.2621
91,597.43,72.5126,123.85,30.9231
92,640.97,72.2452,128.09,30.2695
93,360.13,66.7538,141.54,29.8875
94,607.39,67.679,179.32,35.168
95,902.74,67.8603,167.39,31.2391
96,424.27,67.9084,37.69,32.9342
97,446.91,69.7532,107.0,30.4589
98,578.58,69.8022,113.33,27.6431
99,544.49,67.3783,182.15,27.2888
100,877.5,70.6236,221.27,28.843
101,930.05,63.6941,315.36,24.9655
102,770.46,66.2476,233.78,27.0566
103,873.27,64.0427,321.77,27.7152
104,1168.95,68.2798,392.14,29.5958
105,1065.71,63.0349,496.78,27.2909
106,1303.01,65.6933,754.54,30.8432
107,1001.23,65.074,375.54,28.7368
108,206.91,66.302,420.66,30.6501
109,801.84,67.5496,401.79,30.3852
110,902.34,67.9739,400.61,30.486
111,962.23,65.7796,345.07,28.7806
112,882.25,63.6691,399.68,28.3779
113,1268.4,57.4384,705.28,24.2155
114,1168.8,57.63,852.44,26.6542
115,1042.26,61.2114,635.68,27.8067
116,937.25,65.3736,407.71,28.9483
117,1026.41,61.7477,602.56,27.7515
118,920.4,65.5086,442.33,29.3303
119,1089.65,63.0426,585.93,28.845
120,1486.6,57.3174,871.64,25.4894
121,934.32,69.3201,412.5,30.6991
122,1314.31,53.2373,637.74,22.4381
123,710.09,64.2179,366.76,30.488
124,621.89,69.7946,289.15,31.5751
125,-30.72,70.2339,215.07,31.1978
126,401.37,69.7693,285.6,30.6301
127,770.3,66.4901,335.27,30.4705
128,1099.02,60.6334,412.35,26.5611
129,964.0,66.4878,353.43,30.1238
130,324.06,66.5593,169.04,35.257
131,1057.1,61.0815,362.12,27.833
132,669.71,67.3862,264.82,29.6772
133,562.21,63.2327,261.02,27.677
134,710.56,64.5981,340.69,28.1757
135,482.92,67.5047,166.24,38.7373
136,711.52,67.1389,224.76,28.7215
137,682.25,67.7714,262.9,30.3805
138,619.71,70.5377,164.89,36.1609
139,902.32,59.9143,616.14,28.4676
140,1343.52,54.0136,733.29,23.4824
141,421.25,68.4863,35.25,37.1866
142,833.79,69.3046,239.99,30.1663
143,1728.5,56.906,676.83,24.6845
144,1254.32,56.935,595.58,23.6115
145,1019.64,59.1385,501.01,26.2368
146,1411.01,50.4148,707.83,20.7444
147,1678.56,51.1904,962.29,20.7707
148,650.65,64.906,287.88,31.5613
149,-818.6,74.5199,-120.48,48.162
