Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Real Det Return
75.376,0,26.1111,-96.72,332.04
71.8127,1,25.5869,-48.23,386.73
74.2017,2,26.4281,-28.34,419.19
73.6466,3,27.2043,-20.12,569.97
71.2964,4,27.494,37.93,581.42
70.7002,5,28.1759,85.82,813.0
72.5696,6,29.2355,118.82,796.26
68.8125,7,29.4174,225.98,721.66
69.9632,8,29.6767,195.99,927.66
71.3037,9,29.906,122.3,661.53
70.2562,10,29.0583,128.69,753.63
69.1292,11,29.8977,175.3,826.6
68.4643,12,29.3025,204.54,730.76
69.4053,13,29.2714,167.59,689.07
70.405,14,29.6939,292.14,639.99
70.5672,15,29.8023,175.48,581.53
66.4695,16,27.8991,363.5,660.07
69.736,17,29.8574,206.88,687.97
71.277,18,30.1054,261.27,875.08
67.0117,19,27.8397,278.91,841.98
67.0093,20,28.4953,382.09,857.83
67.1449,21,28.4146,333.91,1059.98
68.6193,22,29.0986,267.77,1010.68
68.0071,23,29.328,270.79,826.98
67.6152,24,28.5684,296.51,847.95
67.6499,25,28.1292,553.33,1087.1
66.1272,26,27.1896,252.38,930.02
65.2965,27,26.7465,382.97,1332.87
80.5942,28,58.8197,-783.56,-573.2
75.2956,29,44.034,-716.02,-31.65
67.5705,30,27.1928,29.09,686.38
68.4905,31,25.7565,-67.26,261.21
70.1845,32,27.256,-106.88,200.7
67.0743,33,25.6736,65.22,421.6
65.8608,34,24.4697,341.63,661.09
59.8161,35,23.7513,677.96,1375.47
62.9794,36,28.6492,519.13,677.78
60.8803,37,26.39,561.03,1156.78
63.1393,38,26.1738,404.83,920.59
66.2466,39,29.0469,253.83,499.13
66.6632,40,27.5472,371.16,599.55
62.1133,41,25.5296,584.01,1097.39
63.5295,42,26.1697,232.26,588.23
64.3259,43,25.1995,395.01,866.29
67.0654,44,26.475,303.93,569.78
67.7015,45,27.9407,267.46,687.06
67.4125,46,28.0091,217.36,617.64
70.9948,47,30.8096,199.24,710.38
69.3056,48,27.5143,376.22,506.48
69.8677,49,28.6672,233.87,674.96
65.2541,50,25.8368,562.53,1052.83
71.2746,51,28.4915,227.91,630.2
62.0432,52,24.6079,606.7,1252.52
62.3456,53,24.5328,371.61,725.1
65.9749,54,27.006,601.74,961.08
65.9822,55,27.3747,264.99,547.6
61.8962,56,24.5189,599.46,806.38
66.8675,57,26.715,521.87,584.89
64.4163,58,27.2665,450.24,890.23
68.5735,59,32.1224,197.95,452.06
63.7549,60,25.9777,433.07,863.46
68.0472,61,28.1598,382.37,565.17
67.4561,62,27.4232,633.6,1042.42
66.219,63,28.7033,156.43,479.44
65.8493,64,28.1453,278.39,665.11
64.9703,65,25.7555,443.03,883.61
62.9591,66,25.1464,588.52,1116.55
65.3632,67,27.1694,609.33,1370.64
62.0406,68,26.1692,1135.07,1826.86
62.3369,69,25.1261,983.07,1400.0
59.3298,70,24.19,626.87,1575.58
61.5061,71,24.3309,666.9,1117.09
60.5156,72,23.4524,1301.3,2053.78
60.8358,73,76.2287,1031.74,2088.13
62.3132,74,28.9986,890.76,1441.81
61.0075,75,28.0867,1844.74,2042.51
65.4498,76,36.4841,484.26,511.72
63.7062,77,30.7725,1489.09,1837.56
62.1093,78,25.5358,768.49,1287.83
