Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Real Sto Return,Real Det Return
0,115.22978210449219,11.7357,0,0,158.5928,-229.57,-53.8
1,-120.85726928710938,11.9598,5000,1,158.4263,-94.17,67.79
2,-353.25555419921875,11.7208,10000,2,158.2721,97.27,742.46
3,-661.2886352539062,13.6601,15000,3,158.161,407.83,859.82
4,-937.9913940429688,14.341,20000,4,158.0147,543.16,964.67
5,-1092.4322509765625,14.251,25000,5,157.6927,622.59,989.12
6,-1215.3951416015625,14.1282,30000,6,157.7071,724.87,788.37
7,-1423.54296875,14.6496,35000,7,157.5188,826.23,1156.13
8,-1645.4530029296875,15.3516,40000,8,157.4472,997.54,1261.3
9,-1768.1578369140625,15.2715,45000,9,157.6704,969.75,1332.74
10,-1937.4754638671875,16.1337,50000,10,157.5604,1091.79,1474.9
11,-2152.96044921875,15.9697,55000,11,157.3734,1130.86,1566.1
12,-2387.385498046875,16.1164,60000,12,157.5375,1211.74,1603.06
13,-2594.2607421875,15.9138,65000,13,157.3982,1227.96,1677.3
14,-2798.52099609375,16.2477,70000,14,157.4324,1294.32,1676.43
15,-3011.01025390625,16.3773,75000,15,157.7587,1288.33,1683.02
16,-3191.665283203125,16.1289,80000,16,157.6136,1295.17,1678.76
17,-3394.441650390625,16.1774,85000,17,157.624,1348.9,1741.79
18,-3631.46044921875,16.3902,90000,18,157.5654,1340.68,1711.05
19,-3806.009765625,16.0255,95000,19,157.6361,1379.12,1791.29
20,-3984.6787109375,16.3644,100000,20,157.6281,1448.27,1855.3
21,-4157.29052734375,16.282,105000,21,157.7882,1431.86,1859.43
22,-4413.009765625,16.0221,110000,22,157.6428,1484.11,1869.46
23,-4624.625,16.5639,115000,23,157.7585,1489.99,1914.77
24,-4795.45068359375,15.9597,120000,24,157.6128,1534.86,1896.16
25,-4934.87255859375,16.1599,125000,25,157.372,1519.28,1902.76
26,-5159.43212890625,16.3116,130000,26,157.6958,1554.88,1946.56
27,-5289.32421875,16.053,135000,27,157.5619,1547.58,1965.83
28,-5498.37158203125,16.2211,140000,28,157.4505,1570.33,1922.31
29,-5705.69091796875,16.0915,145000,29,157.5242,1581.34,1916.44
30,-5927.466796875,16.0134,150000,30,157.3474,1586.82,1987.77
31,-6018.91796875,16.1919,155000,31,157.3193,1617.67,1995.36
32,-6226.27001953125,16.124,160000,32,157.4724,1617.95,1949.76
33,-6450.08349609375,15.9588,165000,33,157.4633,1591.25,1942.55
34,-6621.259765625,16.0625,170000,34,157.1801,1644.91,2040.39
35,-6808.3798828125,16.2964,175000,35,157.5393,1595.7,2000.77
36,-6974.42041015625,15.8513,180000,36,157.3617,1628.92,1999.48
37,-7178.2158203125,16.1045,185000,37,157.2771,1651.78,1996.05
38,-7484.49658203125,16.0376,190000,38,157.3997,1647.86,2000.59
39,-7562.66064453125,15.918,195000,39,157.3582,1642.24,1985.04
40,-7682.93212890625,15.6906,200000,40,157.3512,1659.54,1985.2
41,-7959.52978515625,16.3798,205000,41,157.272,1708.2,2064.15
42,-8107.30126953125,16.1602,210000,42,157.2606,1675.99,2041.88
43,-8326.552734375,15.7221,215000,43,157.1316,1669.67,2009.87
44,-8478.587890625,15.8471,220000,44,156.9837,1685.3,2008.75
45,-8673.4052734375,16.0576,225000,45,157.2392,1656.92,2031.89
46,-8902.7880859375,16.0322,230000,46,157.0226,1706.78,2061.43
47,-9059.2529296875,15.9567,235000,47,156.9649,1709.66,2096.29
48,-9253.6689453125,15.7642,240000,48,157.0561,1683.0,2028.07
49,-9484.3623046875,15.6759,245000,49,157.1593,1703.28,2069.59
50,-9628.099609375,15.9802,250000,50,157.2103,1758.67,2136.05
51,-9854.615234375,16.2899,255000,51,157.159,1713.84,2040.35
52,-10008.6826171875,15.7885,260000,52,156.9626,1712.02,2111.59
53,-10240.5185546875,15.7964,265000,53,157.2056,1735.6,2035.94
54,-10402.7724609375,15.8503,270000,54,157.2742,1756.96,2092.95
55,-10716.5107421875,16.2506,275000,55,157.0983,1777.22,2101.48
56,-10807.5458984375,15.7291,280000,56,156.9164,1715.68,2116.49
57,-11056.7578125,15.7119,285000,57,157.001,1705.62,2016.8
58,-11214.6904296875,15.9522,290000,58,157.2536,1753.59,2150.01
59,-11352.6552734375,15.8722,295000,59,156.8343,1749.48,2155.82
60,-11570.9453125,16.4719,300000,60,157.0216,1802.04,2158.33
61,-11850.345703125,16.1868,305000,61,157.1042,1737.34,2109.67
62,-12047.310546875,15.8055,310000,62,157.1043,1775.43,2151.85
63,-12201.96484375,15.7966,315000,63,157.0349,1755.51,2064.21
64,-12447.8134765625,15.5632,320000,64,156.6912,1770.17,2065.77
65,-12650.8916015625,16.0968,325000,65,157.1249,1745.22,2123.17
66,-12786.73046875,15.7151,330000,66,156.9393,1757.95,2090.12
67,-13030.1103515625,15.9781,335000,67,156.9772,1794.4,2124.1
68,-13176.9228515625,15.9531,340000,68,156.9732,1806.57,2190.15
69,-13354.89453125,15.8051,345000,69,156.9088,1816.13,2154.25
70,-13664.7783203125,15.7638,350000,70,156.7647,1791.58,2151.94
71,-13946.7236328125,16.0845,355000,71,156.9974,1794.97,2149.2
72,-14035.40625,15.7351,360000,72,156.8299,1726.97,2148.8
73,-14288.7548828125,15.6456,365000,73,157.0047,1759.43,2082.25
74,-14483.0185546875,16.0626,370000,74,157.0928,1788.65,2152.58
75,-14758.865234375,15.9417,375000,75,156.9691,1797.43,2149.95
76,-14950.2998046875,15.6767,380000,76,157.0222,1781.94,2143.38
77,-15108.056640625,15.9933,385000,77,156.9475,1830.09,2188.42
78,-15247.7392578125,15.6189,390000,78,156.9152,1818.77,2150.72
79,-15526.439453125,15.624,395000,79,157.0911,1799.62,2136.82
80,-15783.2421875,15.629,400000,80,156.8769,1807.75,2142.33
81,-15995.755859375,15.8988,405000,81,157.0423,1813.6,2130.42
82,-16156.9111328125,15.9147,410000,82,156.9992,1803.11,2148.26
83,-16545.1484375,16.0576,415000,83,156.9304,1822.05,2164.12
84,-16573.685546875,15.6577,420000,84,156.8982,1769.12,2117.95
85,-16856.880859375,15.702,425000,85,156.9342,1790.29,2138.98
86,-17067.54296875,15.8178,430000,86,156.9566,1832.42,2168.18
87,-17181.984375,15.9223,435000,87,156.7625,1824.55,2201.84
88,-17390.349609375,15.7832,440000,88,156.8461,1818.21,2157.76
89,-17811.41796875,15.7699,445000,89,157.0044,1813.08,2167.53
90,-17917.15625,15.7128,450000,90,156.9276,1819.36,2120.94
91,-18144.337890625,15.565,455000,91,156.8817,1835.46,2126.55
92,-18258.171875,15.6025,460000,92,156.9002,1812.83,2169.08
93,-18593.408203125,15.6343,465000,93,156.7731,1858.36,2219.93
94,-18790.5,15.689,470000,94,156.8521,1837.66,2175.88
95,-18928.90625,15.4533,475000,95,156.6563,1839.73,2187.1
96,-19292.701171875,15.7737,480000,96,156.7359,1831.59,2200.61
97,-19505.974609375,15.9598,485000,97,157.0229,1837.6,2183.16
98,-19728.185546875,15.8356,490000,98,156.8237,1844.98,2243.24
99,-19846.390625,15.7197,495000,99,156.7836,1855.72,2208.94
100,-20248.017578125,15.8652,500000,100,156.7903,1851.33,2233.86
101,-20372.982421875,15.5635,505000,101,156.726,1828.06,2194.83
102,-20817.970703125,15.6736,510000,102,156.712,1845.88,2198.94
103,-20906.158203125,15.2812,515000,103,156.7709,1820.6,2121.39
104,-21192.60546875,15.6694,520000,104,156.6577,1871.27,2222.99
105,-21531.767578125,15.5597,525000,105,156.8903,1794.52,2132.81
106,-21760.71875,15.8527,530000,106,156.8675,1843.57,2198.53
107,-21917.029296875,15.7863,535000,107,156.7764,1828.51,2188.67
108,-22286.083984375,15.8448,540000,108,156.9373,1869.93,2253.06
109,-22374.587890625,15.6688,545000,109,156.9857,1841.36,2217.83
