Real Det Return,Reward Loss,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Running Update Time
300.46,75.12049865722656,0,21.908,237.77,0,30.5128,0
289.88,-21.96139907836914,5000,15.4927,289.45,1,29.9495,1
317.05,-120.54367065429688,10000,14.9094,309.34,2,28.8,2
289.76,-55.309303283691406,15000,16.1018,293.63,3,29.1337,3
334.7,-203.41673278808594,20000,15.0253,329.58,4,28.5616,4
142.82,-195.91156005859375,25000,15.7565,235.6,5,29.1802,5
348.76,-259.798095703125,30000,19.2165,339.9,6,30.6657,6
379.89,-347.9461364746094,35000,15.3713,367.1,7,29.2661,7
423.2,-420.06561279296875,40000,14.6677,418.85,8,29.1585,8
463.39,-429.10064697265625,45000,13.2122,449.69,9,28.0207,9
439.3,-466.4510498046875,50000,15.7672,427.41,10,29.0619,10
245.68,-485.1874084472656,55000,14.1547,380.25,11,28.7989,11
435.15,-547.9891357421875,60000,14.1826,426.75,12,28.9734,12
452.57,-360.88836669921875,65000,15.0514,441.88,13,28.2118,13
486.18,-465.7421875,70000,14.9912,464.86,14,28.5838,14
499.33,-454.3732604980469,75000,17.1955,477.05,15,27.8254,15
620.73,-562.8671875,80000,18.8283,555.34,16,27.2552,16
615.66,-446.55914306640625,85000,15.5821,566.32,17,27.8365,17
653.85,-440.5381164550781,90000,18.1723,608.85,18,27.447,18
224.65,-304.9028015136719,95000,13.1663,395.72,19,27.2786,19
637.54,-432.7491149902344,100000,13.6974,608.82,20,27.7927,20
680.87,-656.7274780273438,105000,21.4479,653.85,21,27.8498,21
684.95,-709.9771728515625,110000,18.067,659.15,22,26.8027,22
453.84,-580.8883056640625,115000,15.6135,576.77,23,27.1827,23
639.07,-731.9423828125,120000,16.1578,657.21,24,27.5242,24
662.27,-831.6611938476562,125000,16.748,659.78,25,26.5282,25
674.77,-792.06982421875,130000,17.3753,674.28,26,27.1782,26
673.91,-914.7491455078125,135000,22.467,689.62,27,27.6474,27
657.11,-1108.5634765625,140000,40.835,672.28,28,27.8153,28
709.44,-1052.459228515625,145000,31.5809,739.25,29,25.9994,29
717.76,-973.1558837890625,150000,16.3019,723.97,30,26.7853,30
725.89,-1042.7381591796875,155000,17.7282,759.74,31,26.4471,31
846.88,-967.6857299804688,160000,15.0574,837.67,32,25.6123,32
854.63,-1045.4261474609375,165000,17.2878,916.99,33,25.9823,33
832.73,-1019.9853515625,170000,16.3125,1177.23,34,25.973,34
995.73,-974.0416870117188,175000,14.8049,1106.08,35,25.1508,35
919.47,-1125.5955810546875,180000,15.2519,805.67,36,26.138,36
1082.67,-1221.8765869140625,185000,16.08,830.29,37,26.3933,37
929.58,-1262.336181640625,190000,15.8626,851.67,38,25.8308,38
987.62,-1193.3004150390625,195000,15.9121,852.95,39,26.1533,39
1010.16,-1290.8983154296875,200000,16.6291,824.49,40,26.0204,40
886.62,-1278.2333984375,205000,17.1788,971.14,41,25.9185,41
944.59,-1116.385009765625,210000,15.1657,1267.68,42,25.1874,42
1163.49,-1426.958251953125,215000,16.8428,1028.3,43,26.1019,43
1457.89,-1246.0794677734375,220000,15.5128,1409.27,44,24.3644,44
3114.17,-777.2789306640625,225000,16.3763,2321.75,45,24.5401,45
3035.5,-1002.0165405273438,230000,14.8944,2482.88,46,24.7947,46
1007.73,-918.5064086914062,235000,14.5382,1049.32,47,24.6233,47
2673.41,-1120.5736083984375,240000,15.2078,1546.15,48,24.464,48
2946.03,-1093.4720458984375,245000,17.5875,2398.91,49,24.1961,49
2974.59,-1158.031005859375,250000,14.5194,1997.21,50,24.1324,50
1000.29,-1424.1441650390625,255000,15.6246,1486.9,51,25.0789,51
1382.62,-1337.7276611328125,260000,14.8836,1524.9,52,24.532,52
2944.48,-1381.5953369140625,265000,14.5932,1667.37,53,25.5594,53
1227.75,-1583.0216064453125,270000,16.9815,1464.24,54,25.0641,54
2547.96,-1338.4178466796875,275000,13.1545,1764.48,55,24.593,55
2778.29,-1564.0113525390625,280000,14.8772,2031.72,56,24.7132,56
2965.07,-1425.3597412109375,285000,15.091,2017.22,57,24.6433,57
1947.56,-1657.611572265625,290000,16.6431,1937.68,58,25.5634,58
3169.01,-1270.35888671875,295000,15.1085,2289.59,59,23.8455,59
2233.53,-1506.757568359375,300000,14.6476,1845.81,60,24.1979,60
3159.53,-930.3627319335938,305000,14.7803,2539.59,61,23.8194,61
1193.9,-1743.834228515625,310000,17.6281,1513.07,62,24.3795,62
2051.12,-2028.135009765625,315000,18.9872,1207.99,63,25.331,63
3189.31,-1375.5885009765625,320000,15.2273,2602.18,64,23.8379,64
3075.67,-1771.8717041015625,325000,16.8523,1528.89,65,24.5456,65
3216.9,-1267.4285888671875,330000,15.8725,2907.77,66,23.9592,66
3169.85,-1407.4114990234375,335000,14.5955,2617.5,67,23.2123,67
3165.96,-1504.6893310546875,340000,14.4487,1833.8,68,23.845,68
2805.05,-1235.869873046875,345000,15.819,2665.57,69,24.16,69
2988.35,-1690.0999755859375,350000,14.1012,2634.93,70,23.9305,70
3197.86,-1348.8397216796875,355000,14.8051,2227.82,71,23.6506,71
3198.06,-1591.6373291015625,360000,14.3688,1692.52,72,23.7791,72
3180.36,-1737.612548828125,365000,15.4904,2179.14,73,23.9781,73
3140.03,-1201.251953125,370000,15.1889,2827.81,74,23.6598,74
2984.54,-1614.3453369140625,375000,16.0039,2425.28,75,24.7832,75
3167.1,-1322.15478515625,380000,15.0856,2687.36,76,23.5882,76
3200.45,-1763.376708984375,385000,15.5759,2439.11,77,23.9577,77
3194.86,-1495.7607421875,390000,14.957,3104.82,78,23.0226,78
3205.2,-1452.8634033203125,395000,14.3842,2235.25,79,23.2607,79
3182.83,-1342.840087890625,400000,14.9105,2947.83,80,23.0745,80
3187.92,-1500.6158447265625,405000,14.9828,2583.36,81,23.6882,81
3186.5,-1437.792724609375,410000,13.4575,2234.37,82,23.478,82
3201.24,-1278.1898193359375,415000,14.5066,3095.57,83,23.2732,83
3196.77,-1416.7403564453125,420000,15.9446,2923.21,84,23.5364,84
3187.79,-1700.2724609375,425000,15.0272,1969.21,85,23.0428,85
3202.09,-1876.4962158203125,430000,15.3124,2476.76,86,23.4566,86
3203.87,-1941.2724609375,435000,14.9316,2157.97,87,23.071,87
3212.5,-1276.5247802734375,440000,14.334,2958.12,88,22.5933,88
3251.63,-1458.022216796875,445000,14.9428,3054.11,89,23.516,89
3219.22,-1624.5830078125,450000,14.9284,2939.07,90,22.9812,90
3203.91,-1731.974853515625,455000,15.3004,2793.76,91,23.065,91
3233.35,-1658.4031982421875,460000,14.7396,2857.01,92,22.6651,92
3204.46,-1450.3721923828125,465000,14.4679,3041.27,93,23.1528,93
3208.4,-1488.649169921875,470000,15.8441,2826.57,94,23.1745,94
3266.37,-1230.235107421875,475000,14.0758,2980.27,95,22.6584,95
3238.87,-1961.436279296875,480000,14.6502,2373.06,96,22.8224,96
3230.41,-1545.0279541015625,485000,14.5266,3142.8,97,22.859,97
3241.26,-1332.8585205078125,490000,14.5507,3170.65,98,22.8435,98
3268.06,-1263.2178955078125,495000,14.586,3282.31,99,22.353,99
3300.97,-1236.0321044921875,500000,15.3005,3295.32,100,23.0509,100
3367.07,-1189.0916748046875,505000,14.4756,3177.13,101,22.4894,101
3332.21,-1295.062744140625,510000,14.4083,3080.59,102,22.4853,102
3285.17,-1469.62744140625,515000,15.308,3130.88,103,23.3555,103
3269.4,-1429.3701171875,520000,15.02,3268.4,104,22.7648,104
3364.84,-1257.6790771484375,525000,14.6486,3161.3,105,22.404,105
3426.06,-1041.963134765625,530000,15.2643,3379.7,106,22.7748,106
3368.17,-1321.334228515625,535000,13.531,3284.56,107,22.133,107
3362.8,-1606.77197265625,540000,12.9656,2012.39,108,23.0377,108
