Running Forward KL,Running Update Time,Running Env Steps,Reward Loss,Itration,Running Reverse KL,Real Sto Return,Real Det Return
33.3796,0,0,353.2633361816406,0,36.9757,188.9,185.75
32.0392,1,5000,157.4752197265625,1,21.9137,225.22,230.61
31.956,2,10000,346.36376953125,2,31.4394,255.31,260.04
31.4697,3,15000,254.72036743164062,3,29.5228,282.1,275.64
32.0238,4,20000,122.3375015258789,4,30.9999,295.87,299.64
32.249,5,25000,32.5583381652832,5,28.7849,314.34,316.48
31.9425,6,30000,15.006397247314453,6,24.3563,326.0,320.88
31.5909,7,35000,25.717832565307617,7,19.437,316.37,317.04
31.2515,8,40000,78.77335357666016,8,16.3394,334.72,337.5
31.359,9,45000,-41.61299133300781,9,17.7823,324.13,329.15
31.0409,10,50000,-210.28565979003906,10,27.0963,305.32,316.42
32.0811,11,55000,-287.3325500488281,11,24.1049,340.59,330.99
30.9934,12,60000,-232.85707092285156,12,23.3382,345.54,354.74
30.2225,13,65000,-213.7163543701172,13,22.7716,302.27,327.15
29.8758,14,70000,-265.3817138671875,14,19.3082,304.22,324.12
30.2336,15,75000,-229.09854125976562,15,20.4773,348.86,350.14
27.3366,16,80000,-10.09566879272461,16,15.2295,339.91,337.72
26.1092,17,85000,-358.5221862792969,17,24.3047,556.41,584.94
25.8942,18,90000,-435.19293212890625,18,20.7614,524.98,528.53
25.2949,19,95000,-307.885986328125,19,14.6317,596.07,611.11
25.2621,20,100000,-375.0818786621094,20,16.2426,757.15,804.48
23.9124,21,105000,-378.25775146484375,21,19.3496,779.83,635.23
24.5688,22,110000,-265.4911193847656,22,14.5632,486.04,386.76
24.7174,23,115000,-345.2127685546875,23,16.7356,955.26,1187.71
25.2487,24,120000,-510.8443298339844,24,16.7038,876.59,862.21
25.3377,25,125000,-538.2079467773438,25,16.5917,986.82,1095.79
24.2364,26,130000,-461.64483642578125,26,15.7814,1148.77,1009.82
23.1909,27,135000,-376.1047058105469,27,13.8478,1024.85,1401.87
23.4413,28,140000,-373.7474365234375,28,15.703,1573.71,2399.85
23.8489,29,145000,-418.0099182128906,29,14.0084,1337.97,873.83
24.3362,30,150000,-394.1780700683594,30,15.3393,1740.66,1537.6
