Reward Loss,Itration,Running Reverse KL,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return
-148.8833770751953,0,14.0258,0,0,326.65,49.593,261.5
-189.00039672851562,1,16.0433,1,5000,332.25,50.0578,287.14
-9.710132598876953,2,23.2837,2,10000,358.13,49.6702,400.57
-145.0862274169922,3,19.1648,3,15000,342.24,49.7014,372.55
1.3051257133483887,4,32.805,4,20000,379.0,49.9263,489.76
7.374137878417969,5,28.9202,5,25000,351.83,49.4648,376.95
41.01304626464844,6,38.7344,6,30000,388.47,50.4102,406.56
3.884516716003418,7,34.9885,7,35000,421.21,50.131,574.05
-113.1761245727539,8,25.1044,8,40000,579.0,49.6439,793.58
-29.622859954833984,9,26.2774,9,45000,676.27,48.3754,582.67
-86.60791778564453,10,17.4181,10,50000,983.09,47.7527,1112.72
-24.961374282836914,11,26.3206,11,55000,719.6,48.4429,1045.89
-120.02999114990234,12,18.6877,12,60000,1005.81,45.2891,1041.24
-83.75138092041016,13,31.1471,13,65000,735.95,48.1635,778.55
-178.3352813720703,14,19.6725,14,70000,1770.76,46.1439,2460.15
-202.57858276367188,15,26.3133,15,75000,1569.41,45.7233,2036.1
-162.7695770263672,16,15.9523,16,80000,1493.48,46.1558,1034.07
-176.1299591064453,17,19.8241,17,85000,1457.95,46.9848,1197.43
-191.2876739501953,18,17.6171,18,90000,1533.1,46.5235,2066.61
-192.6793212890625,19,16.3626,19,95000,2191.75,45.3148,1475.66
-190.3751220703125,20,16.3753,20,100000,2956.21,45.653,3104.25
-223.97142028808594,21,18.3735,21,105000,3036.07,44.9029,3377.7
-177.1745147705078,22,18.6101,22,110000,3458.36,45.0579,3446.67
-166.9248046875,23,16.5115,23,115000,3346.2,44.431,3389.01
-176.7971954345703,24,17.454,24,120000,3402.5,44.8389,3383.33
-183.59950256347656,25,17.0998,25,125000,3492.75,44.4051,3490.51
-193.59495544433594,26,16.1219,26,130000,3429.5,43.9561,3308.47
-201.55384826660156,27,16.9333,27,135000,3514.1,44.6068,3456.24
-236.91189575195312,28,16.2864,28,140000,3541.08,43.9887,3563.36
-180.7194061279297,29,17.8004,29,145000,3353.64,44.631,3434.13
-209.30477905273438,30,15.6465,30,150000,3358.49,43.3041,3567.48
-315.9549255371094,31,17.4793,31,155000,1407.79,44.8887,1608.12
