Running Env Steps,Itration,Running Forward KL,Reward Loss,Real Sto Return,Running Update Time,Running Reverse KL,Real Det Return
0,0,158.4561,10.566264152526855,-192.86,0,11.5456,-46.94
5000,1,158.5317,-36.281349182128906,-70.28,1,11.9537,267.16
10000,2,158.1223,-80.95642852783203,173.87,2,12.6022,658.65
15000,3,158.1031,-139.4214630126953,293.47,3,12.7668,709.7
20000,4,158.003,-188.14451599121094,378.57,4,12.6875,675.4
25000,5,157.8602,-241.55213928222656,500.81,5,13.4148,899.23
30000,6,157.9818,-303.7247009277344,661.22,6,14.1704,1157.0
35000,7,157.8779,-324.9255676269531,834.46,7,14.6935,1192.46
40000,8,158.0334,-371.245849609375,835.72,8,14.9009,1300.99
45000,9,157.7475,-410.4891357421875,977.88,9,15.7037,1377.11
50000,10,157.8185,-457.7989501953125,1023.92,10,15.4269,1447.81
55000,11,158.0359,-499.2890930175781,1002.99,11,15.8049,1461.46
60000,12,157.8313,-543.3660278320312,1166.72,12,16.2991,1564.67
65000,13,158.0099,-563.6422119140625,1161.68,13,16.2903,1651.15
70000,14,157.8737,-608.0529174804688,1108.53,14,15.9641,1626.09
75000,15,158.0746,-659.38232421875,1186.81,15,15.6204,1604.93
80000,16,157.9037,-667.03125,1250.63,16,16.4104,1636.83
85000,17,157.9955,-727.6923828125,1294.29,17,16.3179,1699.54
90000,18,158.0545,-766.089111328125,1289.05,18,16.3903,1727.07
95000,19,157.94,-785.3319702148438,1306.25,19,16.1802,1752.35
100000,20,157.7146,-834.2445068359375,1403.42,20,16.421,1794.75
105000,21,158.0142,-880.0159912109375,1373.8,21,16.3874,1842.77
110000,22,158.0657,-908.86181640625,1390.91,22,16.3241,1691.5
115000,23,158.0763,-963.273193359375,1439.73,23,16.3256,1829.92
120000,24,157.877,-994.4486694335938,1439.31,24,16.9478,1900.35
125000,25,157.8491,-1034.232177734375,1477.09,25,16.1959,1867.3
130000,26,157.8013,-1074.9322509765625,1504.58,26,16.5256,1927.38
135000,27,157.7953,-1116.127685546875,1547.52,27,16.5674,1879.74
140000,28,157.7489,-1147.1055908203125,1533.88,28,16.2694,1935.8
145000,29,157.7351,-1187.778076171875,1571.85,29,16.457,1938.88
150000,30,157.7208,-1225.9654541015625,1581.97,30,16.6479,1963.02
155000,31,157.4282,-1258.11474609375,1615.99,31,16.8335,1950.91
160000,32,157.6876,-1303.2557373046875,1542.17,32,16.4333,1958.18
165000,33,157.5663,-1327.929931640625,1636.3,33,16.6606,2029.86
170000,34,157.4014,-1353.4276123046875,1612.75,34,16.0987,1980.89
175000,35,157.4039,-1392.6446533203125,1612.98,35,16.5129,1998.41
180000,36,157.6038,-1437.4998779296875,1625.29,36,16.298,1975.53
185000,37,157.2418,-1469.53271484375,1621.98,37,16.1349,1984.81
190000,38,157.6256,-1521.267333984375,1632.13,38,16.337,1917.95
195000,39,157.5202,-1555.90625,1658.86,39,16.4918,2016.49
200000,40,157.247,-1595.190185546875,1651.65,40,16.1754,1993.49
205000,41,157.4388,-1620.441162109375,1691.39,41,16.6002,2070.71
210000,42,157.3748,-1657.5872802734375,1683.87,42,16.3191,2027.98
215000,43,157.3718,-1693.636962890625,1694.6,43,16.3246,2050.23
220000,44,157.1096,-1746.49853515625,1735.61,44,16.2829,2065.17
225000,45,157.1907,-1777.419921875,1674.93,45,15.819,1989.72
230000,46,157.126,-1796.689453125,1713.32,46,16.0438,2085.14
235000,47,157.1142,-1853.664794921875,1715.26,47,16.3256,2071.47
240000,48,157.2375,-1897.6224365234375,1674.35,48,15.75,2020.72
245000,49,157.2021,-1949.2137451171875,1729.11,49,16.2795,2074.36
250000,50,157.0728,-1951.5428466796875,1718.58,50,15.7384,2083.49
255000,51,157.2172,-2003.349365234375,1686.82,51,15.9336,2028.14
260000,52,157.1149,-2029.16357421875,1719.08,52,15.7042,2047.88
265000,53,157.3447,-2063.346923828125,1698.38,53,15.9526,2091.47
270000,54,157.3123,-2120.0244140625,1728.51,54,16.2984,2104.16
