Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL,Reward Loss,Running Env Steps,Running Update Time,Itration
433.3059,200.66,279.57,253.835,-581.0676879882812,0,0,0
448.7244,325.43,322.58,269.7717,-1088.319091796875,5000,1,1
433.7994,303.61,347.7,241.9507,-1372.699951171875,10000,2,2
410.1854,337.86,399.72,240.8968,-1224.740234375,15000,3,3
411.311,332.09,365.84,254.2698,-1050.7489013671875,20000,4,4
368.0417,518.67,452.83,243.2124,-1555.671630859375,25000,5,5
392.6185,472.57,480.65,264.0045,-2086.09619140625,30000,6,6
379.7142,549.83,461.87,253.5612,-2038.645751953125,35000,7,7
388.3966,343.7,426.14,256.8441,-1546.9427490234375,40000,8,8
377.9428,601.74,519.07,237.0607,-2293.7060546875,45000,9,9
397.7909,323.42,436.56,235.7633,-1781.8857421875,50000,10,10
396.9853,464.04,527.52,273.1139,-2731.671875,55000,11,11
362.2893,586.56,488.73,271.1872,-2912.47314453125,60000,12,12
384.4236,591.72,509.59,297.8136,-3474.712890625,65000,13,13
375.8369,472.32,549.11,293.627,-3903.391357421875,70000,14,14
368.2722,811.78,621.82,284.2776,-3813.16357421875,75000,15,15
360.0341,661.63,563.96,252.7613,-3430.51513671875,80000,16,16
354.254,562.4,582.14,242.3166,-3554.84912109375,85000,17,17
342.3009,816.04,617.54,240.3076,-3959.65625,90000,18,18
344.346,726.85,730.09,242.564,-3956.977294921875,95000,19,19
345.119,467.4,636.25,234.5359,-4099.8505859375,100000,20,20
347.9783,728.03,754.63,244.9329,-4721.8369140625,105000,21,21
367.23,796.72,740.25,250.5102,-4172.37353515625,110000,22,22
352.4659,694.21,814.45,251.3102,-5101.796875,115000,23,23
339.2904,561.27,772.2,261.7343,-5467.97509765625,120000,24,24
357.5438,572.78,698.41,260.7648,-5682.71142578125,125000,25,25
358.2612,558.95,793.99,309.4068,-6630.75830078125,130000,26,26
338.9169,631.08,902.36,269.8078,-6255.97119140625,135000,27,27
342.438,668.34,1061.11,241.2357,-6032.640625,140000,28,28
346.1791,561.4,822.68,297.5689,-6842.197265625,145000,29,29
328.3807,538.52,843.89,278.5603,-6872.47509765625,150000,30,30
349.0966,524.18,981.32,250.7368,-6083.73486328125,155000,31,31
361.1199,562.44,831.56,235.9417,-6145.21142578125,160000,32,32
334.3486,678.22,1042.06,218.938,-6360.11962890625,165000,33,33
343.5976,598.06,1042.03,233.0238,-6803.853515625,170000,34,34
313.1126,820.8,1320.6,199.9958,-6213.19287109375,175000,35,35
332.6189,590.25,1171.48,216.4497,-6530.69677734375,180000,36,36
305.8287,864.09,1336.52,218.6339,-6726.2431640625,185000,37,37
329.2081,561.88,1176.42,259.1068,-7776.3623046875,190000,38,38
326.5717,544.54,1409.92,224.5935,-7204.13818359375,195000,39,39
322.6915,695.14,1349.15,232.0757,-7481.97119140625,200000,40,40
302.6106,1355.74,1410.21,192.3034,-6529.8798828125,205000,41,41
315.7137,951.33,1671.62,208.2848,-7110.69482421875,210000,42,42
321.2797,843.18,1362.22,241.7425,-7820.38427734375,215000,43,43
322.6635,700.31,1110.03,235.9187,-7792.42138671875,220000,44,44
319.1422,823.06,1823.08,229.4845,-7782.90625,225000,45,45
315.091,1620.71,2090.36,208.181,-7379.62841796875,230000,46,46
315.3328,1122.07,1617.83,204.2338,-7338.39599609375,235000,47,47
302.1464,1081.44,2046.76,150.5949,-5646.33984375,240000,48,48
315.1789,1402.02,2426.82,152.0347,-5661.8662109375,245000,49,49
317.895,1883.88,1645.11,200.9411,-7842.83935546875,250000,50,50
325.4954,1384.43,1636.88,243.0249,-9007.978515625,255000,51,51
324.6281,1067.4,1460.27,249.8348,-9017.109375,260000,52,52
325.9144,1152.18,2126.61,213.7422,-8171.70068359375,265000,53,53
310.8945,2533.58,2894.83,147.6944,-6205.5517578125,270000,54,54
308.0581,1397.91,2468.11,174.2249,-7272.0810546875,275000,55,55
296.5871,1791.39,2451.32,150.345,-6403.98583984375,280000,56,56
