Real Sto Return,Itration,Running Reverse KL,Reward Loss,Running Env Steps,Running Update Time,Real Det Return,Running Forward KL
288.02,0,273.821,518.599365234375,0,0,439.28,430.6655
362.32,1,282.3877,377.592041015625,5000,1,344.58,410.8614
414.61,2,254.5034,277.1961975097656,10000,2,277.36,413.7842
446.29,3,244.2454,-2048.68310546875,15000,3,572.44,419.7555
406.21,4,237.3403,-2502.4521484375,20000,4,501.82,442.0946
477.2,5,239.4447,-3739.148681640625,25000,5,562.98,426.445
398.58,6,232.9312,-5794.7197265625,30000,6,424.91,408.437
474.11,7,263.394,-5124.6728515625,35000,7,429.29,436.5202
456.09,8,257.502,-6550.9951171875,40000,8,451.93,421.0615
427.39,9,276.0781,-7558.37158203125,45000,9,369.06,419.2417
480.99,10,292.0677,-8339.9111328125,50000,10,602.86,427.6592
515.65,11,243.6497,-9791.2548828125,55000,11,526.51,407.3151
500.01,12,270.3653,-9330.3603515625,60000,12,515.52,416.1162
497.27,13,269.8228,-10739.2783203125,65000,13,520.42,414.3355
590.09,14,252.363,-10931.9716796875,70000,14,669.94,396.5458
607.7,15,256.4343,-12149.3828125,75000,15,674.11,402.441
606.04,16,258.8106,-14304.53515625,80000,16,628.73,421.7772
589.5,17,273.1488,-13119.30078125,85000,17,661.99,422.8273
518.65,18,264.0741,-14629.9296875,90000,18,566.26,429.1189
615.85,19,261.4661,-15283.5654296875,95000,19,525.28,415.1967
583.02,20,289.0846,-16408.615234375,100000,20,537.82,410.5167
577.43,21,278.1358,-15910.73828125,105000,21,536.12,409.2413
512.54,22,303.935,-18472.275390625,110000,22,398.17,439.4544
533.59,23,288.6052,-16981.521484375,115000,23,490.11,401.0835
678.6,24,268.7784,-17960.78515625,120000,24,582.73,399.2783
712.43,25,246.1978,-18709.119140625,125000,25,609.23,403.851
837.04,26,249.4711,-19801.353515625,130000,26,885.57,392.0385
672.99,27,255.9734,-19217.923828125,135000,27,853.85,405.3739
755.47,28,253.7728,-21323.40234375,140000,28,597.1,401.1553
787.11,29,259.9958,-20879.95703125,145000,29,662.43,391.7909
670.69,30,254.898,-20962.107421875,150000,30,744.78,407.3923
663.53,31,274.9427,-22616.052734375,155000,31,695.24,402.2161
703.15,32,274.2143,-23947.71875,160000,32,842.44,398.1494
730.45,33,289.0919,-24139.994140625,165000,33,700.42,412.8311
793.75,34,275.4831,-25115.115234375,170000,34,884.75,391.3137
874.72,35,247.5048,-24935.8984375,175000,35,756.02,392.2405
946.23,36,242.5513,-25930.052734375,180000,36,834.55,404.2898
963.74,37,222.5286,-24215.109375,185000,37,689.77,372.9067
957.73,38,230.5153,-25619.515625,190000,38,827.1,380.1147
861.24,39,244.7905,-24774.45703125,195000,39,605.87,374.7815
1113.35,40,221.0278,-23921.0546875,200000,40,809.34,365.411
1055.71,41,235.4032,-24224.271484375,205000,41,930.03,358.4596
1032.03,42,248.4906,-26279.537109375,210000,42,1234.67,379.3785
862.81,43,256.4082,-27813.97265625,215000,43,965.85,384.0242
832.29,44,251.8177,-28069.6328125,220000,44,738.99,381.9765
771.7,45,256.8499,-29609.6640625,225000,45,775.71,399.751
1122.38,46,249.2688,-29129.73046875,230000,46,934.74,389.4372
935.8,47,262.1301,-30215.498046875,235000,47,752.83,393.1791
1186.24,48,241.7991,-29452.38671875,240000,48,781.43,382.7979
1010.81,49,262.5314,-31023.87109375,245000,49,774.45,385.5193
1166.03,50,256.8248,-30209.232421875,250000,50,701.8,369.4639
1469.93,51,217.0958,-28513.748046875,255000,51,676.07,377.0845
1706.55,52,178.5908,-23452.525390625,260000,52,1090.45,354.1871
1637.45,53,187.1474,-20482.390625,265000,53,1169.31,347.1178
1163.47,54,207.1002,-25867.34765625,270000,54,857.21,367.7469
1343.57,55,230.8862,-31241.8046875,275000,55,957.37,365.7058
914.38,56,197.6485,-29917.837890625,280000,56,959.29,356.6279
1659.73,57,196.7762,-31262.80859375,285000,57,1025.22,370.6547
1369.84,58,223.7465,-33271.828125,290000,58,1037.75,366.0047
1088.71,59,236.6143,-35522.203125,295000,59,770.86,371.0575
2021.55,60,188.6611,-25470.095703125,300000,60,1162.55,346.7841
1084.11,61,193.7754,-31459.212890625,305000,61,805.26,362.6463
1863.28,62,158.1833,-24756.673828125,310000,62,1631.71,341.8146
1448.53,63,184.9324,-30047.220703125,315000,63,1184.39,361.2078
2069.1,64,207.6681,-33032.1484375,320000,64,1845.9,367.5012
1917.99,65,173.5078,-25941.115234375,325000,65,1543.14,356.8186
2046.29,66,171.6664,-30211.8984375,330000,66,1510.38,352.9747
2823.35,67,160.9395,-25443.5078125,335000,67,1764.93,354.4458
3610.81,68,122.3511,-14785.0302734375,340000,68,1743.82,330.5521
3614.28,69,143.6908,-20457.037109375,345000,69,1705.14,341.4513
3868.13,70,124.3911,-17141.23046875,350000,70,2570.53,337.9643
2186.35,71,172.5675,-30811.533203125,355000,71,1850.66,342.2219
4197.19,72,132.3354,-20557.34765625,360000,72,2231.3,343.8098
3156.77,73,148.8098,-26527.02734375,365000,73,2393.55,336.6844
3024.66,74,148.3435,-27138.978515625,370000,74,1845.19,332.997
3953.65,75,117.4921,-12370.736328125,375000,75,3310.95,328.6615
3663.43,76,120.9795,-17609.380859375,380000,76,1953.25,334.6855
4489.4,77,112.1708,-14046.9736328125,385000,77,2770.14,335.98
1527.98,78,182.8429,-36175.046875,390000,78,1386.41,347.8774
3680.71,79,137.5233,-29016.033203125,395000,79,2113.28,333.915
3532.15,80,128.5817,-21979.09375,400000,80,2370.6,352.2178
3846.74,81,113.5716,-22422.873046875,405000,81,2499.52,325.2277
3982.2,82,116.7615,-15543.123046875,410000,82,2028.3,336.4497
2686.98,83,168.0731,-35825.1015625,415000,83,1861.91,331.3101
4119.43,84,118.9511,-19918.353515625,420000,84,3500.88,341.8965
3591.06,85,116.1388,-24930.34375,425000,85,2241.1,324.1702
2592.87,86,176.4726,-39200.5234375,430000,86,2145.18,344.856
2041.6,87,182.3068,-35760.80859375,435000,87,862.86,340.3787
4640.04,88,129.5865,-23569.4765625,440000,88,4047.73,360.7446
3436.41,89,160.2502,-35532.85546875,445000,89,1708.63,350.7277
4637.19,90,124.7734,-20713.703125,450000,90,1520.13,347.6535
2374.98,91,170.0164,-37851.1328125,455000,91,2397.38,341.882
568.52,92,244.0058,-49477.1171875,460000,92,492.49,401.1457
898.15,93,240.853,-49306.9921875,465000,93,464.89,390.8494
