Running Update Time,Real Sto Return,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Reward Loss,Real Det Return
0,-223.07,0,158.4363,0,11.3106,9.128093719482422,-133.45
1,-94.18,1,158.5625,5000,12.2018,-179.9180450439453,61.39
2,48.99,2,158.1981,10000,11.879,-397.5220031738281,59.67
3,235.62,3,158.0555,15000,12.5767,-686.0902099609375,699.59
4,456.74,4,157.8773,20000,13.1845,-878.0455322265625,742.57
5,528.13,5,158.0514,25000,13.6722,-1209.1387939453125,752.3
6,672.36,6,157.753,30000,14.0114,-1404.9530029296875,996.17
7,674.6,7,157.7441,35000,13.8576,-1623.4217529296875,982.71
8,774.05,8,157.6931,40000,14.1469,-1841.5191650390625,1030.65
9,937.49,9,157.6993,45000,14.9443,-2100.578369140625,1318.75
10,997.33,10,157.805,50000,15.545,-2315.5322265625,1379.65
11,1059.99,11,157.8927,55000,15.724,-2546.116943359375,1420.78
12,1120.11,12,157.9837,60000,16.1619,-2721.994384765625,1529.41
13,1136.11,13,157.6861,65000,15.8586,-2921.89111328125,1528.94
14,1218.99,14,157.8036,70000,16.5544,-3158.99267578125,1651.49
15,1277.66,15,157.7187,75000,16.3869,-3279.882080078125,1721.81
16,1326.04,16,157.7311,80000,16.3321,-3525.92138671875,1719.51
17,1361.41,17,157.8082,85000,16.512,-3626.2578125,1785.72
18,1364.39,18,157.8836,90000,16.7159,-3825.333740234375,1793.83
19,1403.03,19,157.6377,95000,16.2136,-4007.0625,1817.32
20,1381.98,20,157.7701,100000,16.0087,-4218.4609375,1741.78
21,1444.44,21,157.9614,105000,16.6247,-4385.24951171875,1851.75
22,1506.54,22,157.8029,110000,16.3714,-4582.9619140625,1888.94
23,1482.54,23,157.9189,115000,16.4465,-4801.99609375,1857.05
24,1461.54,24,157.7524,120000,16.3423,-4934.3818359375,1845.36
25,1546.87,25,157.7802,125000,16.4819,-5053.29150390625,1910.19
26,1533.7,26,157.6718,130000,16.4562,-5357.1728515625,1889.64
27,1566.17,27,157.6613,135000,16.4881,-5538.61669921875,1906.82
28,1557.21,28,157.4559,140000,16.5976,-5722.8310546875,2002.94
29,1617.55,29,157.5918,145000,16.4483,-5856.74951171875,1990.56
30,1558.38,30,157.5055,150000,16.393,-6006.82421875,1916.56
31,1608.35,31,157.5584,155000,16.8284,-6207.85888671875,2005.0
32,1579.16,32,157.3475,160000,16.3907,-6447.29052734375,1940.5
33,1598.37,33,157.4999,165000,16.4363,-6497.04248046875,2001.96
34,1606.79,34,157.3988,170000,16.3088,-6716.91748046875,2016.13
35,1585.27,35,157.5058,175000,16.6505,-6943.2255859375,1960.86
36,1645.44,36,157.4209,180000,16.2464,-7109.03369140625,1975.78
37,1661.38,37,157.0251,185000,16.2658,-7170.7607421875,2054.44
38,1688.8,38,157.2908,190000,16.3949,-7421.18408203125,2055.46
39,1672.5,39,157.187,195000,16.6311,-7686.66357421875,2062.35
40,1633.48,40,157.2123,200000,15.7689,-7789.45654296875,1988.48
41,1671.61,41,157.2729,205000,16.0483,-8082.97265625,2091.16
42,1727.39,42,157.2524,210000,16.2186,-8186.0703125,2031.83
43,1634.77,43,157.208,215000,15.9263,-8465.2109375,1942.26
44,1697.11,44,157.1936,220000,16.0458,-8553.390625,2053.82
45,1706.46,45,157.1431,225000,16.3684,-8760.0126953125,2053.06
46,1662.16,46,157.2051,230000,16.0304,-8963.9873046875,2090.06
47,1676.46,47,157.3166,235000,16.3329,-9082.59765625,1979.55
48,1714.98,48,156.9389,240000,15.9758,-9249.4208984375,2085.18
49,1736.57,49,157.0769,245000,15.7786,-9461.138671875,2097.69
50,1694.2,50,157.1838,250000,15.831,-9621.27734375,2068.08
51,1736.12,51,157.1565,255000,16.1358,-9838.68359375,2104.42
52,1747.78,52,156.9631,260000,16.2794,-10074.7060546875,2121.51
53,1708.12,53,157.0058,265000,15.9268,-10205.880859375,2093.31
54,1693.03,54,157.0845,270000,16.0056,-10477.857421875,1995.77
55,1732.29,55,156.9764,275000,15.9264,-10583.0078125,2081.53
56,1728.51,56,156.9737,280000,16.05,-10789.349609375,2110.5
57,1735.57,57,157.1805,285000,15.8918,-10958.208984375,2105.63
58,1734.03,58,157.079,290000,15.9365,-11211.087890625,2100.61
59,1733.76,59,156.8822,295000,15.7117,-11336.171875,2106.96
60,1759.74,60,157.1545,300000,15.9993,-11472.47265625,2118.09
61,1726.86,61,157.0839,305000,15.8006,-11766.5185546875,2126.25
62,1746.33,62,157.0106,310000,15.8503,-11998.9013671875,2147.78
63,1744.04,63,156.9701,315000,15.6783,-12155.5869140625,2063.73
64,1786.54,64,156.8102,320000,16.0697,-12289.3818359375,2134.89
65,1734.2,65,156.8242,325000,15.6801,-12402.693359375,2097.25
66,1768.91,66,157.021,330000,15.771,-12684.4482421875,2101.43
67,1735.47,67,156.8081,335000,15.4355,-12813.326171875,2031.48
68,1708.78,68,156.8518,340000,15.7378,-13005.2998046875,2055.69
69,1798.16,69,156.8086,345000,15.5617,-13216.3984375,2121.13
70,1751.91,70,156.8834,350000,15.6905,-13407.7373046875,2117.24
71,1775.87,71,156.8217,355000,15.3538,-13542.6259765625,2114.3
72,1763.24,72,156.8254,360000,15.6002,-13736.0146484375,2125.29
73,1791.4,73,156.8047,365000,15.8853,-14045.212890625,2122.23
74,1736.65,74,156.8041,370000,15.5665,-14170.677734375,2098.94
75,1764.6,75,156.8678,375000,15.5203,-14340.0009765625,2122.42
