Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Running Env Steps,Real Sto Return,Itration,Running Update Time
257.1202,436.7583,323.74,132.2781982421875,0,303.04,0,0
268.3553,428.8497,318.15,859.772705078125,5000,316.39,1,1
309.9873,434.8689,275.8,113.30842590332031,10000,313.08,2,2
251.6296,410.2976,289.47,263.9017028808594,15000,355.17,3,3
238.6852,410.8808,523.56,-74.97811126708984,20000,461.64,4,4
249.4574,414.2614,417.72,-74.3703842163086,25000,435.73,5,5
246.3807,400.3897,413.19,13.82136344909668,30000,452.96,6,6
261.3004,421.9665,528.52,-240.193603515625,35000,404.24,7,7
270.5002,433.2686,400.25,-607.3181762695312,40000,433.33,8,8
255.2203,414.9776,427.66,-804.7677001953125,45000,406.87,9,9
266.9141,414.8759,475.07,-1213.5455322265625,50000,429.36,10,10
274.5794,407.774,557.42,-1187.9051513671875,55000,436.52,11,11
269.2628,398.0794,434.05,-1466.51220703125,60000,516.6,12,12
243.8752,404.1082,543.08,-1600.5091552734375,65000,473.35,13,13
255.7313,401.932,512.25,-2431.404296875,70000,495.24,14,14
260.1033,407.4245,549.36,-2568.890625,75000,490.0,15,15
267.7976,394.6788,617.99,-3523.732666015625,80000,461.37,16,16
266.269,405.1484,574.18,-3560.1875,85000,522.79,17,17
265.6848,388.2598,522.43,-2999.8115234375,90000,497.9,18,18
272.6135,393.5134,601.7,-2608.83837890625,95000,610.19,19,19
268.6243,391.4528,535.68,-3193.305908203125,100000,689.74,20,20
295.2493,404.2645,511.85,-3029.802734375,105000,587.5,21,21
282.3721,386.7063,531.34,-2772.60400390625,110000,697.47,22,22
301.8144,393.8489,511.61,-3110.98681640625,115000,623.16,23,23
287.1694,381.7868,479.82,-3839.03515625,120000,635.19,24,24
283.5402,384.3186,504.06,-4546.3447265625,125000,671.1,25,25
264.7231,382.3631,585.73,-5512.83837890625,130000,655.24,26,26
274.7587,378.0337,587.35,-5403.720703125,135000,761.84,27,27
285.0458,369.7457,589.53,-5083.88671875,140000,744.01,28,28
271.0199,365.0883,579.59,-5583.6181640625,145000,868.22,29,29
260.587,372.916,596.42,-5328.5439453125,150000,792.65,30,30
231.668,360.2332,870.8,-5209.5029296875,155000,942.53,31,31
276.1685,351.5817,940.47,-6336.02783203125,160000,920.9,32,32
240.8206,340.6455,1408.79,-5933.271484375,165000,1078.89,33,33
237.2245,344.0821,886.08,-6613.82373046875,170000,1227.05,34,34
213.0796,338.7592,1777.16,-6382.2177734375,175000,1362.19,35,35
287.1971,351.2746,561.56,-7166.48779296875,180000,1317.79,36,36
251.8421,360.1092,753.73,-7969.41650390625,185000,1336.11,37,37
242.2256,341.8425,677.4,-7118.48095703125,190000,2168.58,38,38
215.5426,339.0767,1417.77,-7026.0849609375,195000,1736.84,39,39
259.7785,339.0435,683.63,-7303.5791015625,200000,1969.01,40,40
264.0173,351.6599,818.13,-8012.88427734375,205000,1738.74,41,41
178.0798,331.3305,951.95,-5929.63134765625,210000,2398.25,42,42
163.4931,327.9695,1978.76,-6198.8876953125,215000,2779.76,43,43
214.2672,346.6335,1468.73,-7522.986328125,220000,1542.77,44,44
248.6665,350.2561,1362.98,-8439.33203125,225000,1521.53,45,45
202.2481,341.725,844.48,-7247.775390625,230000,2740.13,46,46
188.5127,341.9359,1432.34,-7229.44140625,235000,2952.73,47,47
150.7439,326.6907,2585.89,-5555.68603515625,240000,3716.75,48,48
190.8591,329.1525,4218.24,-7025.36767578125,245000,4026.77,49,49
195.6166,332.1382,3694.2,-7656.9111328125,250000,3280.94,50,50
143.6334,325.3206,3645.58,-5752.0390625,255000,3713.99,51,51
161.645,335.5486,2579.65,-7175.3017578125,260000,1973.96,52,52
166.7569,323.6433,4220.84,-6392.78564453125,265000,3702.08,53,53
148.0283,329.714,3421.8,-6130.71142578125,270000,3138.08,54,54
252.241,343.7164,1890.31,-9580.0751953125,275000,2036.44,55,55
150.2461,321.112,4830.21,-5436.1904296875,280000,4838.19,56,56
130.7649,317.6634,5005.63,-4649.8662109375,285000,4216.15,57,57
134.7312,330.8392,3965.27,-4544.0107421875,290000,4131.75,58,58
149.9993,334.842,4131.26,-4998.7421875,295000,3281.7,59,59
139.8544,326.586,5057.32,-4234.74658203125,300000,4800.91,60,60
139.8113,328.0534,4970.75,-5890.78857421875,305000,4816.32,61,61
156.4731,335.623,4680.41,-6479.10986328125,310000,4357.01,62,62
149.0939,327.6656,4024.88,-6394.572265625,315000,3753.12,63,63
139.8634,327.8396,3572.2,-5164.97216796875,320000,4113.72,64,64
139.7083,322.8832,4912.96,-4839.4140625,325000,4830.82,65,65
155.3522,332.8114,2849.62,-4984.4931640625,330000,4601.05,66,66
158.361,321.8451,3532.15,-5776.38671875,335000,4157.37,67,67
140.6112,319.1453,3378.85,-5306.28662109375,340000,4506.59,68,68
124.1943,312.5099,4755.51,-5438.0322265625,345000,4965.38,69,69
122.2265,313.8129,4724.73,-5176.54931640625,350000,4617.28,70,70
131.1241,314.762,2419.89,-4921.0146484375,355000,4614.16,71,71
148.0393,317.7815,1758.71,-6826.02978515625,360000,4257.78,72,72
135.8464,313.4018,4279.63,-7062.5458984375,365000,4984.34,73,73
150.6447,315.9966,3267.42,-7015.32373046875,370000,3683.14,74,74
120.2435,309.817,3755.24,-5778.96337890625,375000,5042.92,75,75
186.5647,318.5241,1452.76,-8615.4638671875,380000,3445.98,76,76
125.0872,312.3978,4372.74,-6364.3154296875,385000,3909.37,77,77
130.9805,314.3237,4761.83,-6624.1396484375,390000,4070.04,78,78
152.6437,317.4081,1167.27,-8558.02734375,395000,3823.6,79,79
133.9447,316.6768,2596.33,-7556.16748046875,400000,3443.72,80,80
245.5458,334.9092,2800.26,-10692.455078125,405000,2477.08,81,81
154.081,319.1018,5009.91,-7976.7353515625,410000,4019.13,82,82
147.3731,311.9237,4668.5,-7701.66943359375,415000,4918.49,83,83
137.7529,316.7302,5147.68,-7378.1904296875,420000,4343.31,84,84
125.0873,313.9552,5282.06,-7485.36474609375,425000,4652.72,85,85
122.047,305.8991,5323.43,-7293.08544921875,430000,5237.08,86,86
124.1284,311.1671,5156.93,-7287.52783203125,435000,4662.98,87,87
140.1155,322.348,4923.06,-7468.77783203125,440000,4577.52,88,88
111.5056,308.802,4071.71,-7691.5859375,445000,4355.24,89,89
131.7154,324.6231,5085.46,-7871.2958984375,450000,5074.55,90,90
137.4871,324.7706,4641.15,-7687.12109375,455000,4478.49,91,91
135.0516,317.0519,5136.92,-7789.31640625,460000,4847.5,92,92
122.6677,316.9732,4753.51,-8250.7275390625,465000,4887.94,93,93
117.1432,311.3534,5055.88,-8491.7294921875,470000,4916.67,94,94
107.9621,307.4403,3574.97,-7957.392578125,475000,4636.81,95,95
114.2881,306.4756,5266.22,-8310.8671875,480000,4886.61,96,96
117.1396,309.6697,3962.63,-8554.6650390625,485000,4774.36,97,97
123.0548,313.477,4942.1,-9026.10546875,490000,4469.05,98,98
117.5569,308.1552,4916.74,-8615.474609375,495000,5121.08,99,99
174.2576,315.6154,4248.29,-10537.1298828125,500000,4624.38,100,100
116.6375,309.5246,4077.2,-9473.3369140625,505000,4821.54,101,101
124.8539,314.0875,4745.35,-9888.19140625,510000,4409.55,102,102
115.2712,307.4994,5143.93,-9062.818359375,515000,4469.36,103,103
150.8019,316.103,4974.79,-10344.646484375,520000,4934.9,104,104
114.5263,306.1763,4835.22,-9510.1201171875,525000,4942.67,105,105
121.3775,309.4639,4774.23,-10365.9541015625,530000,4821.09,106,106
133.0104,311.4117,3693.31,-10353.08984375,535000,4470.14,107,107
126.0817,313.581,5183.55,-10196.12109375,540000,4465.11,108,108
121.7835,311.9342,3277.89,-10463.79296875,545000,4930.06,109,109
107.5037,302.7892,4023.58,-9912.041015625,550000,4967.47,110,110
115.4765,305.9825,3407.46,-10618.88671875,555000,4679.76,111,111
120.4626,310.351,5032.87,-10943.6435546875,560000,3920.68,112,112
140.5301,315.485,4853.52,-11358.720703125,565000,4757.94,113,113
105.0452,306.5718,4617.65,-10694.8359375,570000,4832.21,114,114
110.4985,304.6066,4150.35,-10583.75,575000,4959.25,115,115
108.8661,308.6288,4274.81,-10618.326171875,580000,5135.38,116,116
126.6149,310.2052,2872.71,-11120.19140625,585000,3355.4,117,117
109.281,305.5478,3119.41,-10978.3095703125,590000,3964.67,118,118
102.1472,306.5068,4816.86,-10937.408203125,595000,4563.92,119,119
110.9504,308.0913,5167.01,-11068.4658203125,600000,4788.24,120,120
118.0701,313.7011,5013.02,-10956.5498046875,605000,4890.17,121,121
103.617,308.3064,5103.97,-11254.482421875,610000,4821.86,122,122
124.0149,307.226,5292.09,-11620.3955078125,615000,4816.33,123,123
108.9028,302.9754,5208.29,-11744.5107421875,620000,4569.24,124,124
131.6348,312.0491,4511.79,-12126.6318359375,625000,4544.84,125,125
132.5871,311.8208,5257.66,-12326.5517578125,630000,4199.01,126,126
113.722,303.6791,5042.16,-11951.0791015625,635000,4497.38,127,127
141.4925,316.7188,5200.37,-12770.6015625,640000,4358.64,128,128
121.9507,303.1738,5227.38,-12374.9443359375,645000,4815.23,129,129
108.7093,306.0109,5176.77,-12397.8349609375,650000,4859.64,130,130
107.7992,306.9961,3661.61,-12140.37109375,655000,5080.87,131,131
120.5571,306.7591,5022.08,-12654.8173828125,660000,4790.66,132,132
97.4325,306.9434,4993.52,-12455.63671875,665000,4866.43,133,133
159.518,319.4439,3785.07,-13537.2255859375,670000,3297.44,134,134
117.3679,315.5838,4966.87,-13012.125,675000,4854.73,135,135
99.252,305.326,4672.9,-12487.5048828125,680000,5162.73,136,136
90.7441,299.0852,5161.63,-12346.353515625,685000,5008.26,137,137
94.513,301.9867,4537.32,-12652.6962890625,690000,4882.55,138,138
120.5729,310.1389,5205.46,-13068.0322265625,695000,4865.13,139,139
136.0504,307.3025,5212.19,-13379.4814453125,700000,4977.13,140,140
95.9414,305.3473,5205.82,-12732.6435546875,705000,4723.4,141,141
115.5079,312.3112,5193.09,-13732.080078125,710000,4455.16,142,142
105.5336,312.8141,5217.02,-13576.7080078125,715000,4874.09,143,143
98.1009,298.8293,5174.56,-13251.5673828125,720000,4789.21,144,144
108.2822,306.9505,5198.36,-13831.037109375,725000,4928.82,145,145
100.8333,299.0524,5203.68,-13277.99609375,730000,4390.21,146,146
91.4427,300.1037,5259.25,-13490.3505859375,735000,5116.97,147,147
108.7592,302.4941,5247.83,-13821.4072265625,740000,4906.97,148,148
123.3784,313.1381,5168.43,-14153.2998046875,745000,4820.87,149,149
95.8955,299.568,5276.3,-13877.2255859375,750000,4759.59,150,150
253.7125,370.3023,1247.72,-15413.080078125,755000,1032.65,151,151
99.2024,295.9616,4597.66,-13724.1865234375,760000,5091.34,152,152
135.5142,314.4174,5056.14,-14882.1201171875,765000,4715.59,153,153
101.1533,306.2949,4970.71,-14538.7626953125,770000,5044.49,154,154
92.8274,304.4259,5190.93,-14511.3056640625,775000,5079.99,155,155
89.7075,301.1295,5201.63,-14198.5224609375,780000,5004.02,156,156
99.454,308.4011,5107.55,-14599.998046875,785000,4707.52,157,157
105.1558,309.949,5139.03,-14630.046875,790000,4870.34,158,158
105.8711,311.7973,3907.0,-14690.6865234375,795000,4609.24,159,159
105.3876,313.9958,4305.14,-14853.263671875,800000,4453.52,160,160
92.3046,306.0393,4908.59,-14639.078125,805000,4863.11,161,161
98.079,311.1102,5097.54,-15103.90625,810000,4905.93,162,162
110.2887,316.4586,4960.45,-15078.05859375,815000,4188.89,163,163
88.5107,304.8912,5089.84,-14987.0966796875,820000,4783.93,164,164
84.9428,298.6077,5147.55,-14838.0712890625,825000,4898.98,165,165
87.9921,305.0153,5095.76,-15110.9306640625,830000,5004.64,166,166
102.1126,310.0713,4761.38,-15625.259765625,835000,4545.5,167,167
92.4946,301.6042,3753.56,-14948.2578125,840000,4929.23,168,168
101.8919,307.4784,4982.34,-15299.5810546875,845000,4621.23,169,169
114.1975,312.3227,4993.76,-15676.2890625,850000,3869.0,170,170
101.2877,312.7301,5142.13,-15877.5478515625,855000,4952.26,171,171
98.434,302.1423,3564.74,-15528.3232421875,860000,4886.7,172,172
100.1966,304.8229,5289.99,-15511.853515625,865000,4896.46,173,173
85.8529,295.9623,5263.0,-15131.98046875,870000,4974.03,174,174
91.2638,296.8606,5086.15,-15441.2666015625,875000,4868.16,175,175
95.1019,304.7611,5290.39,-15633.5478515625,880000,5176.78,176,176
135.0162,314.7476,4561.56,-15817.8046875,885000,4838.82,177,177
110.2106,302.1405,4950.84,-15536.3125,890000,4017.65,178,178
88.118,300.8362,5274.5,-15167.9990234375,895000,4725.22,179,179
184.4578,311.5241,4619.0,-15242.59375,900000,3491.98,180,180
202.6926,310.9982,4415.89,-15806.7109375,905000,2477.43,181,181
191.6202,310.701,3858.76,-15900.91015625,910000,3745.21,182,182
127.8218,309.8909,1706.66,-15317.3896484375,915000,4061.36,183,183
121.6969,309.2035,5233.64,-16270.8203125,920000,4982.06,184,184
105.8204,309.0461,4637.52,-16280.2451171875,925000,5129.14,185,185
94.3004,299.9415,4810.01,-15950.3046875,930000,4892.75,186,186
98.3841,304.5235,5214.07,-16455.783203125,935000,4530.76,187,187
102.2699,307.4277,5239.19,-16646.19921875,940000,4696.98,188,188
143.1783,313.2635,4873.23,-16579.791015625,945000,4423.69,189,189
109.1156,302.9326,5179.26,-16488.216796875,950000,4178.89,190,190
120.5993,303.5072,3317.17,-16311.298828125,955000,4663.43,191,191
100.4707,306.7199,4848.79,-16838.2265625,960000,4647.59,192,192
92.8346,302.7602,5145.73,-16505.8203125,965000,5041.11,193,193
125.396,315.3064,5201.38,-17142.142578125,970000,4908.34,194,194
166.0658,315.0607,5062.92,-17033.671875,975000,4446.92,195,195
96.4499,307.4935,4919.01,-16853.513671875,980000,5028.24,196,196
118.6522,307.7675,2840.89,-16229.3759765625,985000,3703.55,197,197
134.8191,318.3224,3432.17,-17186.9140625,990000,4463.33,198,198
146.9986,314.6624,2632.43,-16742.07421875,995000,3675.08,199,199
104.82,305.675,2140.18,-17097.9296875,1000000,4685.53,200,200
93.9092,306.9167,4643.77,-16927.75,1005000,4776.98,201,201
146.662,314.1627,1990.42,-17003.826171875,1010000,4230.09,202,202
169.9062,314.8445,3777.4,-17043.685546875,1015000,4893.16,203,203
137.6355,312.4232,5274.48,-16943.66015625,1020000,4919.35,204,204
154.7323,320.0893,3714.92,-16960.505859375,1025000,4034.25,205,205
