Running Update Time,Running Forward KL,Real Det Return,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Real Sto Return
0,158.4196,-22.04,105.3851089477539,11.4885,0,0,-206.51
1,158.4761,-121.97,-126.65567016601562,11.6369,5000,1,-111.14
2,158.2127,1.51,-296.4051513671875,11.8587,10000,2,11.63
3,158.1916,653.54,-556.7300415039062,12.1485,15000,3,134.16
4,157.8762,781.62,-716.8092041015625,12.0691,20000,4,248.63
5,157.7591,956.88,-976.7080078125,13.0753,25000,5,456.63
6,157.8551,704.44,-1182.5355224609375,13.6574,30000,6,572.33
7,158.0105,600.72,-1464.2877197265625,14.1263,35000,7,619.16
8,158.1433,741.95,-1611.179443359375,14.6378,40000,8,774.93
9,158.1786,1082.9,-1832.6947021484375,14.8309,45000,9,755.94
10,158.1797,1393.05,-2009.2244873046875,15.5889,50000,10,893.35
11,157.837,1493.36,-2239.558349609375,15.515,55000,11,1087.56
12,158.1644,1471.58,-2398.659912109375,15.9354,60000,12,1064.26
13,158.1711,1475.88,-2562.859130859375,16.3149,65000,13,1014.58
14,157.9388,1599.18,-2834.666259765625,16.5206,70000,14,1211.71
15,158.1451,1574.59,-3029.57421875,16.749,75000,15,1233.9
16,158.0852,1693.39,-3243.9931640625,16.444,80000,16,1266.94
17,158.1169,1764.81,-3400.86962890625,16.8697,85000,17,1320.45
18,158.1519,1737.06,-3663.919189453125,16.8103,90000,18,1330.36
19,157.8613,1782.8,-3835.5654296875,16.606,95000,19,1365.2
20,157.9665,1795.44,-4015.84423828125,16.7064,100000,20,1424.43
21,157.7152,1877.6,-4266.1279296875,16.5923,105000,21,1441.36
22,157.7986,1848.81,-4469.357421875,16.5691,110000,22,1435.75
23,157.7441,1852.53,-4631.7275390625,16.3338,115000,23,1484.81
24,157.9436,1912.12,-4851.140625,17.1489,120000,24,1519.22
25,157.6934,1892.32,-5034.18603515625,16.3526,125000,25,1537.22
26,157.7137,1912.36,-5156.9892578125,16.3848,130000,26,1567.17
27,157.646,1904.41,-5383.12158203125,16.5153,135000,27,1498.15
28,157.5401,1928.44,-5544.52734375,16.5895,140000,28,1542.75
29,157.3392,1854.01,-5646.259765625,15.6903,145000,29,1520.43
30,157.4367,1934.79,-5898.71142578125,16.4765,150000,30,1571.03
31,157.2773,1927.43,-6070.69189453125,15.8866,155000,31,1570.5
32,157.3996,1966.7,-6270.96533203125,16.1479,160000,32,1618.75
33,157.3753,1851.09,-6451.009765625,15.7662,165000,33,1539.69
34,157.3556,2032.23,-6605.8369140625,15.953,170000,34,1607.18
35,157.3172,1970.3,-6858.08251953125,15.8498,175000,35,1601.48
36,157.3641,2025.42,-7012.4541015625,16.1841,180000,36,1620.74
37,157.2882,2024.69,-7190.12451171875,15.9255,185000,37,1617.58
38,157.332,1986.94,-7359.48828125,15.8726,190000,38,1637.17
39,157.1154,2050.41,-7551.5029296875,16.0429,195000,39,1624.75
40,157.4085,1993.32,-7781.609375,15.7897,200000,40,1649.19
41,157.1212,2036.28,-8005.44140625,16.1669,205000,41,1673.69
42,157.1032,2037.58,-8177.2841796875,15.8823,210000,42,1659.87
43,157.2466,2030.12,-8241.2861328125,15.9467,215000,43,1659.19
44,157.1904,2069.54,-8550.8017578125,16.3939,220000,44,1697.62
45,157.1364,2074.61,-8674.265625,16.1193,225000,45,1716.73
46,156.9893,2058.13,-8898.4912109375,16.0449,230000,46,1702.35
47,157.1082,2109.09,-9079.6787109375,16.2977,235000,47,1733.08
48,157.0743,2042.4,-9272.865234375,16.0388,240000,48,1683.8
49,157.1097,2079.55,-9494.0048828125,15.8787,245000,49,1697.77
50,156.8989,2057.06,-9615.8173828125,15.8112,250000,50,1698.44
51,157.0376,2092.75,-9787.7734375,16.0583,255000,51,1689.64
52,157.1761,2111.2,-10065.8466796875,16.0261,260000,52,1725.8
53,157.0055,2069.42,-10157.0634765625,15.7403,265000,53,1710.63
54,157.179,2116.3,-10461.4423828125,15.8943,270000,54,1711.66
55,156.7558,2063.86,-10587.033203125,15.4862,275000,55,1698.04
56,156.9067,2116.12,-10771.361328125,16.1057,280000,56,1742.79
57,157.0301,2127.17,-10999.3564453125,16.0826,285000,57,1752.44
58,157.0054,2107.79,-11271.0078125,15.741,290000,58,1721.03
59,156.9011,2115.3,-11331.7587890625,15.5742,295000,59,1747.07
60,157.0189,2117.14,-11573.8779296875,16.1885,300000,60,1747.65
61,156.9224,2126.32,-11784.9541015625,15.8168,305000,61,1759.53
62,156.8216,2115.55,-11961.0390625,15.6143,310000,62,1742.49
63,157.0133,2110.19,-12240.6171875,15.9162,315000,63,1733.75
64,156.8395,2083.62,-12462.953125,15.7174,320000,64,1735.03
65,157.0345,2115.98,-12633.751953125,15.89,325000,65,1737.08
66,156.9318,2127.89,-12750.2373046875,15.7225,330000,66,1739.96
67,156.8064,2111.38,-12935.6181640625,15.8566,335000,67,1759.21
68,156.9263,2116.52,-13162.3837890625,15.7409,340000,68,1717.93
69,156.991,2124.06,-13446.7861328125,15.8329,345000,69,1740.39
70,156.9456,2098.97,-13634.4736328125,15.6132,350000,70,1725.73
