Real Det Return,Running Update Time,Itration,Real Sto Return,Reward Loss,Running Forward KL,Running Env Steps,Running Reverse KL
238.44,0,0,251.01,151.93138122558594,31.1797,0,23.31
267.29,1,1,265.57,168.4865264892578,30.1023,5000,30.9496
299.48,2,2,292.08,265.75823974609375,29.8869,10000,59.5926
288.76,3,3,287.69,162.84803771972656,29.4597,15000,47.6459
358.68,4,4,328.17,-21.873035430908203,30.149,20000,33.4708
442.13,5,5,419.68,-81.7668228149414,29.1612,25000,42.639
413.16,6,6,423.25,-105.59919738769531,31.035,30000,42.6367
513.5,7,7,626.06,-75.83438873291016,27.0622,35000,37.0823
446.77,8,8,521.46,-199.53152465820312,26.52,40000,30.0174
1431.42,9,9,1177.96,-230.2542724609375,26.6728,45000,15.9217
1929.56,10,10,1520.41,-95.28579711914062,23.8967,50000,16.238
1672.01,11,11,1316.13,-103.94392395019531,25.1153,55000,26.4059
664.47,12,12,837.13,-207.1400146484375,26.7551,60000,17.9052
1819.02,13,13,1789.08,-116.16726684570312,25.8362,65000,24.4305
2976.74,14,14,2950.55,-98.04668426513672,24.4964,70000,19.3019
832.75,15,15,1343.83,-330.4439392089844,24.7283,75000,21.5488
1418.59,16,16,2016.92,-132.39930725097656,23.9121,80000,24.2838
2771.28,17,17,2754.74,-97.50898742675781,23.5928,85000,13.7103
2843.79,18,18,2825.52,-133.0781707763672,23.6043,90000,12.9301
3076.28,19,19,2085.92,-257.7999267578125,23.3671,95000,27.4676
2561.23,20,20,1865.8,-246.70733642578125,25.0393,100000,22.811
3167.3,21,21,2994.61,-150.11019897460938,22.1564,105000,15.0899
3181.27,22,22,2555.17,-192.59584045410156,23.0795,110000,19.2738
3026.55,23,23,2416.27,-366.0729675292969,24.3566,115000,29.3921
2866.92,24,24,2969.69,-183.04367065429688,22.747,120000,12.9404
2816.43,25,25,2874.21,-240.28054809570312,23.9413,125000,12.8025
2921.9,26,26,2976.36,-224.07025146484375,22.526,130000,13.0624
2938.12,27,27,2991.23,-194.87881469726562,22.9522,135000,13.0562
3214.52,28,28,2976.41,-148.5535888671875,22.6701,140000,16.8909
3094.66,29,29,2192.12,-289.6272277832031,22.25,145000,17.9365
3094.14,30,30,3085.34,-195.9019012451172,21.104,150000,12.3288
3178.0,31,31,3012.67,-231.529541015625,23.6727,155000,15.3721
3187.47,32,32,2930.17,-307.1685791015625,23.5546,160000,19.972
3153.74,33,33,3126.61,-239.3794403076172,23.0576,165000,14.3785
3177.64,34,34,3144.26,-256.7414245605469,23.3066,170000,14.8954
3164.04,35,35,2803.13,-247.31222534179688,20.6611,175000,12.3493
3223.24,36,36,3140.02,-209.25961303710938,21.1856,180000,12.6728
3067.87,37,37,2941.87,-212.1503448486328,20.1694,185000,11.7338
3174.44,38,38,3080.62,-267.01708984375,19.8737,190000,10.8361
3195.33,39,39,2217.59,-358.9059753417969,21.3097,195000,15.3253
3107.12,40,40,3040.92,-339.4622802734375,20.2747,200000,13.9454
3280.92,41,41,2911.29,-414.1727600097656,20.7919,205000,12.7379
3215.67,42,42,3189.56,-365.1851806640625,22.4338,210000,14.3764
3189.27,43,43,3051.47,-309.20037841796875,21.0765,215000,11.7185
3232.02,44,44,3228.59,-330.1001892089844,20.1847,220000,12.0103
1277.39,45,45,2288.93,-661.9713134765625,22.7625,225000,22.152
3140.26,46,46,2199.38,-453.75518798828125,22.2298,230000,19.4139
3206.3,47,47,2182.91,-579.2491455078125,22.5243,235000,18.3871
1541.36,48,48,1927.07,-636.4281616210938,22.1017,240000,18.993
3090.23,49,49,2511.79,-479.7392272949219,21.719,245000,12.3552
3143.7,50,50,1532.38,-540.1538696289062,23.2524,250000,17.6934
2298.86,51,51,1892.92,-673.137451171875,20.0103,255000,31.7516
3176.01,52,52,3163.64,-437.3769836425781,22.9336,260000,13.9578
3225.7,53,53,3010.77,-396.4447021484375,20.4251,265000,12.2447
3305.73,54,54,3212.22,-399.0710754394531,20.835,270000,13.6516
3295.03,55,55,3281.69,-475.1709899902344,21.0216,275000,12.9128
3238.59,56,56,3220.35,-448.20538330078125,21.6883,280000,13.2517
3280.32,57,57,3026.48,-436.8976745605469,20.7369,285000,13.1574
3211.35,58,58,3114.48,-483.5577087402344,20.5944,290000,13.9015
3300.58,59,59,2969.68,-357.96307373046875,19.1021,295000,11.4305
3254.77,60,60,2506.76,-717.2791137695312,19.8825,300000,21.2698
3278.07,61,61,2289.06,-589.239990234375,20.6719,305000,15.8541
1611.12,62,62,1579.78,-906.1093139648438,21.4622,310000,36.1252
3195.54,63,63,1626.76,-1077.52294921875,22.5059,315000,31.6743
3175.12,64,64,2672.2,-595.3989868164062,21.1222,320000,16.0894
3233.74,65,65,2864.96,-630.4267578125,20.6003,325000,12.7734
3202.75,66,66,3162.83,-490.08209228515625,20.0971,330000,10.9393
2263.94,67,67,2887.69,-551.1851196289062,19.1471,335000,13.6087
1933.23,68,68,2828.08,-564.70751953125,19.3713,340000,18.2613
3245.64,69,69,2894.69,-582.5216674804688,21.0609,345000,15.0495
3104.77,70,70,2747.6,-709.349609375,19.151,350000,18.4849
3230.15,71,71,3061.57,-609.2376098632812,19.819,355000,11.8673
3298.52,72,72,2404.92,-718.0750732421875,20.3079,360000,18.5553
3235.9,73,73,3200.86,-646.76123046875,19.8956,365000,11.2983
1581.87,74,74,1234.92,-1288.0797119140625,22.9208,370000,23.1064
