Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Reward Loss,Itration
308.27,26.0492,0,0,-126.82,76.0936,16.37993049621582,0
217.02,25.0508,1,5000,1.24,75.3919,0.5193948745727539,1
417.0,26.0033,2,10000,-43.77,73.7737,-10.503530502319336,2
398.36,27.1321,3,15000,-3.43,72.0187,-26.41878318786621,3
574.75,27.9043,4,20000,42.17,71.8075,-34.80110168457031,4
621.25,28.1221,5,25000,77.76,69.6992,-52.93901443481445,5
730.42,29.086,6,30000,206.04,67.4163,-59.52827453613281,6
870.62,28.3821,7,35000,162.13,67.4424,-73.22592163085938,7
965.57,28.8408,8,40000,211.85,68.705,-84.5822982788086,8
795.85,29.772,9,45000,195.89,68.4481,-101.49279022216797,9
809.01,29.9438,10,50000,183.84,69.5864,-114.64163208007812,10
979.43,28.1818,11,55000,267.68,66.6647,-123.15055084228516,11
1203.03,26.2705,12,60000,402.36,62.4655,-125.60039520263672,12
1302.38,27.7139,13,65000,337.48,64.6753,-141.2015838623047,13
993.75,28.3924,14,70000,293.45,67.3816,-159.62828063964844,14
639.32,29.1078,15,75000,230.81,67.1971,-169.37631225585938,15
718.28,27.5094,16,80000,247.77,67.1329,-183.21856689453125,16
706.56,27.4189,17,85000,377.7,66.9925,-192.02330017089844,17
1792.93,26.2905,18,90000,732.0,61.5007,-182.31932067871094,18
905.51,26.3588,19,95000,376.77,64.6848,-209.11383056640625,19
999.1,27.5567,20,100000,593.2,66.3935,-228.93377685546875,20
1464.27,25.8996,21,105000,677.43,61.6718,-226.1899871826172,21
1637.01,25.8081,22,110000,523.55,62.7035,-235.66360473632812,22
1803.65,26.4733,23,115000,845.58,61.5383,-226.7763671875,23
1405.91,26.0838,24,120000,917.42,62.6983,-244.63758850097656,24
1602.08,25.9152,25,125000,701.85,62.6548,-243.84689331054688,25
2091.86,25.3949,26,130000,959.2,61.0224,-260.718994140625,26
2049.12,25.5724,27,135000,1029.5,60.1235,-250.28622436523438,27
2307.57,29.4802,28,140000,1725.99,62.3358,-250.94235229492188,28
2501.33,29.8229,29,145000,1626.4,62.3698,-263.9723815917969,29
2452.06,27.0151,30,150000,1424.45,61.7695,-286.44482421875,30
2240.81,26.7897,31,155000,1287.46,63.8626,-328.2794494628906,31
2978.69,30.741,32,160000,1975.04,62.1451,-276.451416015625,32
1925.49,28.3061,33,165000,1623.69,62.9724,-317.3327331542969,33
2711.95,35.9586,34,170000,1845.12,64.1312,-257.875732421875,34
1380.69,26.239,35,175000,1065.22,63.8902,-346.4485778808594,35
2313.01,32.739,36,180000,2007.95,65.291,-324.75762939453125,36
2203.73,29.402,37,185000,1709.89,63.8728,-333.8966369628906,37
2678.97,34.9292,38,190000,1715.81,63.4495,-305.7424621582031,38
1873.22,34.6348,39,195000,1651.96,65.0829,-319.44268798828125,39
1719.78,34.3916,40,200000,902.16,63.9975,-316.8169860839844,40
1505.07,35.4358,41,205000,1561.93,63.8019,-336.9081726074219,41
2452.14,43.4552,42,210000,1936.9,67.6465,-311.6846923828125,42
1574.52,33.9387,43,215000,998.93,65.3081,-374.6640625,43
1681.8,32.3829,44,220000,1665.17,64.5083,-398.4631042480469,44
2307.52,37.2775,45,225000,1960.55,65.0164,-364.8448791503906,45
3248.4,44.8595,46,230000,2863.94,67.5038,-344.69769287109375,46
2687.21,37.7158,47,235000,1999.11,65.4966,-378.6753845214844,47
1838.68,42.7246,48,240000,1202.83,67.1559,-379.4662780761719,48
3730.47,50.582,49,245000,3066.03,70.3898,-354.4012145996094,49
2429.8,47.8328,50,250000,2153.48,68.8162,-361.79278564453125,50
2577.56,45.8977,51,255000,2675.03,68.8769,-395.8093566894531,51
2799.41,49.904,52,260000,2531.34,70.4924,-379.8255310058594,52
3483.31,58.0092,53,265000,2948.46,74.9395,-361.2506408691406,53
2879.78,43.2657,54,270000,2150.25,67.7286,-434.5407409667969,54
3891.81,58.2621,55,275000,3308.77,73.7562,-376.16693115234375,55
2893.55,50.0209,56,280000,3404.33,70.8988,-431.7215576171875,56
2446.67,50.0264,57,285000,1705.6,69.7715,-431.8710632324219,57
3791.51,51.1038,58,290000,3062.47,70.7505,-448.73760986328125,58
