Running Forward KL,Real Det Return,Itration,Running Reverse KL,Real Sto Return
411.4992,445.49,0,243.7212,386.71
429.8601,320.28,1,264.7839,364.54
443.2102,306.82,2,261.3254,336.34
422.0023,390.03,3,251.7239,412.2
403.2143,443.73,4,244.2356,464.22
416.353,328.41,5,287.8313,385.83
406.7951,448.69,6,293.8709,390.43
408.0961,431.03,7,255.0177,500.1
416.7209,400.13,8,256.346,436.11
401.0054,547.48,9,247.8895,479.31
410.2306,383.91,10,250.7438,459.81
400.8189,394.12,11,257.5302,454.97
407.9341,363.77,12,276.1886,435.19
404.6905,348.51,13,273.7261,438.44
407.3519,375.39,14,257.7633,463.09
397.4982,422.53,15,262.3291,560.49
391.8396,496.72,16,267.4666,536.03
395.4606,621.31,17,265.9976,506.34
386.7075,562.75,18,264.6113,646.44
388.4742,390.42,19,277.4323,512.04
376.7726,575.33,20,250.6543,599.75
381.9773,654.01,21,263.0556,603.34
380.5946,634.84,22,263.688,590.63
390.9463,570.07,23,257.0665,547.23
371.7602,804.9,24,224.3855,654.54
374.1749,685.54,25,259.4163,641.18
377.2078,613.21,26,245.2721,570.91
388.8474,563.45,27,260.6033,685.68
360.3105,840.76,28,242.8351,745.12
376.4529,766.19,29,265.6651,861.11
372.8129,673.54,30,232.7595,788.4
367.1604,643.69,31,238.0707,820.49
368.9382,803.98,32,233.6968,886.15
389.918,735.5,33,243.5926,666.69
377.77,661.91,34,263.5501,717.68
361.4481,678.8,35,253.6635,952.25
365.6053,913.98,36,283.4765,904.53
365.6462,1096.81,37,240.482,820.1
374.8498,793.79,38,235.3255,796.91
364.067,616.64,39,245.5946,924.79
362.5947,947.37,40,250.3746,1067.55
352.2661,769.86,41,228.7146,1108.47
369.5934,620.75,42,272.0895,954.91
366.5307,734.33,43,277.1997,776.06
379.4666,618.58,44,253.7555,874.41
367.1237,964.86,45,249.7582,1123.3
358.4177,803.71,46,244.7735,1294.2
351.1453,1301.02,47,220.0398,1223.81
344.9348,1024.83,48,230.5879,1288.19
369.4003,837.27,49,240.5383,936.8
353.0704,787.58,50,219.5862,1216.71
353.8174,1053.9,51,233.6962,1161.8
344.953,1219.62,52,207.9409,1472.1
353.3681,1191.23,53,220.9028,1353.49
366.2338,936.28,54,227.9086,1043.14
351.7684,1223.7,55,241.4111,1826.88
332.5301,1356.16,56,172.1786,1760.59
333.0015,1119.61,57,213.7424,1881.81
336.0507,1196.46,58,192.389,2300.66
352.0727,987.35,59,219.3486,1817.83
341.7627,1212.66,60,212.7197,2673.87
344.6349,2691.03,61,224.6758,2004.14
321.314,2153.83,62,179.6671,3063.42
392.0159,657.53,63,253.7922,1467.42
328.9256,2768.72,64,200.6747,3154.71
318.5524,4175.2,65,199.3308,3114.07
325.468,1429.5,66,178.0274,3015.17
314.6726,4115.18,67,158.1683,3682.27
311.9026,4343.38,68,143.5859,2839.07
315.8817,1496.0,69,169.8012,2557.62
301.4988,4666.7,70,111.7148,3210.99
313.0717,5114.04,71,156.9237,3164.85
300.9006,4972.96,72,101.6387,3589.89
319.3901,4636.95,73,162.7138,3232.7
315.9376,4707.25,74,158.0712,3509.37
310.6461,4487.25,75,143.6158,4087.27
313.3182,3898.8,76,134.6021,2669.18
300.7504,4395.98,77,104.382,4235.34
311.023,2743.86,78,129.2922,4130.04
331.0999,1324.01,79,195.7316,2252.53
303.7214,5061.76,80,115.3492,4699.31
305.2179,4576.53,81,100.9678,4824.31
313.6979,2481.32,82,135.9905,3551.27
315.9411,1721.85,83,148.3938,3780.83
319.1883,4691.39,84,184.9343,3096.8
308.9754,4829.45,85,152.0251,3843.02
313.2131,4669.82,86,198.0256,3670.57
299.7169,5234.02,87,103.3635,3695.96
303.5758,3821.71,88,125.4129,4543.52
303.4369,2431.13,89,120.9362,3468.63
306.7833,3174.52,90,128.4709,3746.85
335.4318,4959.58,91,202.6747,3389.31
298.2505,5190.06,92,102.8669,4784.83
301.4256,5030.49,93,105.7437,4821.19
296.3715,3546.37,94,94.2604,4475.66
299.0172,4708.56,95,117.7948,5101.25
294.2309,4996.81,96,104.6179,4447.87
306.7603,3320.39,97,116.0745,4581.86
297.0964,3470.6,98,104.2914,3759.29
303.8074,2890.0,99,119.247,3954.59
295.8978,4356.3,100,108.1878,4932.3
303.0104,2100.14,101,120.2565,4040.9
298.565,4148.84,102,111.0431,4622.85
296.0061,5161.99,103,101.3728,4918.39
294.5744,5192.54,104,99.563,4769.51
292.8339,5164.94,105,90.0597,4575.92
296.4152,5173.09,106,98.8582,4969.99
295.7121,4907.23,107,113.2591,5056.83
294.3149,5213.2,108,98.1206,5142.63
296.7789,5162.53,109,95.4427,4554.67
294.0194,5195.51,110,103.2154,5077.52
296.0784,5251.57,111,106.3463,4915.83
296.4256,5218.52,112,114.6549,4469.28
299.766,5160.98,113,99.7817,4939.2
300.5475,5185.82,114,98.6569,4652.87
301.3521,5155.48,115,112.2859,4626.88
299.9111,5189.88,116,97.3858,4809.93
295.4114,5206.38,117,95.3685,4904.56
292.9109,5167.04,118,92.9573,4328.93
296.1963,4967.36,119,97.0706,4936.81
295.3095,5249.35,120,93.8107,4518.38
294.1197,5185.31,121,95.7507,4875.46
295.3888,5212.19,122,89.6382,4867.55
303.8727,5241.91,123,109.0469,4888.83
297.1419,5195.53,124,94.1727,4598.57
304.9621,5196.3,125,90.8719,4650.27
