Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Update Time
-235.26,-59.84,11.8183,0,0,158.5204,27.688085556030273,0
-12.94,181.73,11.7454,5000,1,158.1103,-25.052249908447266,1
39.34,158.76,12.0063,10000,2,158.3623,-70.01736450195312,2
263.73,772.25,13.1135,15000,3,158.3413,-116.08386993408203,3
398.53,890.3,13.9449,20000,4,158.2022,-170.03379821777344,4
576.34,1007.95,14.5337,25000,5,158.3721,-215.6928253173828,5
682.26,1027.67,14.8396,30000,6,158.3089,-278.2697448730469,6
719.82,1103.17,14.9961,35000,7,158.0418,-308.1790466308594,7
767.73,1103.42,14.8673,40000,8,157.7846,-340.71173095703125,8
822.06,1213.45,15.6053,45000,9,158.0458,-386.8094787597656,9
968.86,1356.81,15.3634,50000,10,157.8853,-408.62554931640625,10
1022.64,1386.51,15.9707,55000,11,158.0478,-453.11163330078125,11
1049.84,1489.44,15.9398,60000,12,157.9207,-485.8318786621094,12
1131.31,1471.8,16.4212,65000,13,157.8589,-527.1064453125,13
1166.07,1599.52,16.5647,70000,14,157.9088,-565.455810546875,14
1180.48,1577.26,16.7498,75000,15,157.9074,-599.38623046875,15
1239.15,1639.82,16.419,80000,16,157.9359,-652.7787475585938,16
1246.08,1654.64,16.5344,85000,17,157.9884,-686.6729736328125,17
1323.36,1727.85,16.5359,90000,18,157.8932,-741.990234375,18
1363.91,1769.03,16.1736,95000,19,157.8422,-775.4911499023438,19
1387.91,1809.17,16.6653,100000,20,157.9757,-818.9290771484375,20
1399.61,1794.77,16.8031,105000,21,158.116,-862.97509765625,21
1440.78,1774.2,16.474,110000,22,157.7576,-907.24609375,22
1457.49,1856.2,16.6977,115000,23,157.8491,-935.9526977539062,23
1500.11,1813.5,16.6827,120000,24,157.7076,-979.5781860351562,24
1497.45,1811.18,16.4138,125000,25,157.8712,-997.3505249023438,25
1496.45,1874.01,16.6298,130000,26,157.7515,-1055.2637939453125,26
1520.37,1869.96,16.5191,135000,27,157.728,-1087.6981201171875,27
1557.74,1895.33,16.7515,140000,28,157.6682,-1130.7589111328125,28
1587.56,1946.0,16.9243,145000,29,157.6684,-1162.48095703125,29
1545.73,1923.35,16.6818,150000,30,157.7136,-1215.07861328125,30
1612.71,1979.15,17.04,155000,31,157.9007,-1249.1898193359375,31
1622.58,1980.65,17.3425,160000,32,157.9486,-1288.4102783203125,32
1606.94,1962.75,16.8071,165000,33,157.6942,-1329.59716796875,33
1597.33,1977.11,16.8209,170000,34,157.7085,-1357.0654296875,34
1591.27,1984.39,16.9756,175000,35,157.7443,-1386.8160400390625,35
1570.67,1962.42,16.8413,180000,36,157.7679,-1443.8233642578125,36
1661.91,2041.73,16.9752,185000,37,157.6664,-1467.3450927734375,37
1642.5,2007.19,16.8746,190000,38,157.7034,-1502.6026611328125,38
1657.91,2062.46,16.6874,195000,39,157.4581,-1555.703857421875,39
1666.51,2051.94,16.5627,200000,40,157.3529,-1590.740478515625,40
1664.58,2035.63,16.6175,205000,41,157.5277,-1630.2744140625,41
1662.44,2063.23,16.6297,210000,42,157.4847,-1668.9873046875,42
1611.43,1975.84,16.1436,215000,43,157.5312,-1699.4892578125,43
1675.76,2063.04,16.7484,220000,44,157.5379,-1729.240478515625,44
1662.56,2014.84,16.5973,225000,45,157.4763,-1772.59521484375,45
1682.5,2079.64,16.3801,230000,46,157.3965,-1822.685791015625,46
1705.79,2102.76,16.8235,235000,47,157.3779,-1863.327880859375,47
1700.93,2065.22,16.6957,240000,48,157.4471,-1876.8250732421875,48
1676.48,2038.12,16.4075,245000,49,157.5162,-1933.28466796875,49
1679.72,2042.42,16.3195,250000,50,157.2691,-1973.3861083984375,50
1725.49,2099.18,16.8034,255000,51,157.3128,-2001.6427001953125,51
1718.69,2063.31,16.3732,260000,52,157.2924,-2038.55615234375,52
1740.38,2079.03,16.2162,265000,53,157.1346,-2071.849609375,53
1717.54,2079.78,16.6063,270000,54,157.3562,-2123.253173828125,54
